Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.84,11.11,10.82,10.95,6968177.0,0.0,1.0,10.84,11.11,10.82,10.95,6968177.0
2018-03-26,10.76,10.89,10.655,10.84,5714828.0,0.0,1.0,10.76,10.89,10.655,10.84,5714828.0
2018-03-23,10.91,11.02,10.68,10.72,6507022.0,0.0,1.0,10.91,11.02,10.68,10.72,6507022.0
2018-03-22,10.8,11.035,10.69,10.82,7836563.0,0.0,1.0,10.8,11.035,10.69,10.82,7836563.0
2018-03-21,10.72,10.95,10.67,10.8,5630944.0,0.0,1.0,10.72,10.95,10.67,10.8,5630944.0
2018-03-20,10.8,10.86,10.63,10.71,6314668.0,0.0,1.0,10.8,10.86,10.63,10.71,6314668.0
2018-03-19,10.88,10.9,10.7,10.77,5638418.0,0.0,1.0,10.88,10.9,10.7,10.77,5638418.0
2018-03-16,10.73,10.91,10.7,10.84,6991989.0,0.0,1.0,10.73,10.91,10.7,10.84,6991989.0
2018-03-15,10.69,10.765,10.49,10.69,8913629.0,0.0,1.0,10.69,10.765,10.49,10.69,8913629.0
2018-03-14,10.7,10.78,10.65,10.7,4288779.0,0.0,1.0,10.7,10.78,10.65,10.7,4288779.0
2018-03-13,10.79,10.83,10.62,10.67,5711772.0,0.0,1.0,10.79,10.83,10.62,10.67,5711772.0
2018-03-12,10.85,10.88,10.62,10.74,7480512.0,0.0,1.0,10.85,10.88,10.62,10.74,7480512.0
2018-03-09,10.86,10.86,10.65,10.85,5797300.0,0.0,1.0,10.86,10.86,10.65,10.85,5797300.0
2018-03-08,10.84,10.94,10.83,10.84,5012315.0,0.0,1.0,10.84,10.94,10.83,10.84,5012315.0
2018-03-07,10.87,10.92,10.71,10.8,7118294.0,0.0,1.0,10.87,10.92,10.71,10.8,7118294.0
2018-03-06,11.04,11.095,10.8301,10.93,8263142.0,0.0,1.0,11.04,11.095,10.8301,10.93,8263142.0
2018-03-05,10.9,10.99,10.8,10.98,12072514.0,0.0,1.0,10.9,10.99,10.8,10.98,12072514.0
2018-03-02,10.9,11.0,10.7,10.86,7723567.0,0.0,1.0,10.9,11.0,10.7,10.86,7723567.0
2018-03-01,10.92,11.27,10.89,10.96,9875404.0,0.0,1.0,10.92,11.27,10.89,10.96,9875404.0
2018-02-28,11.28,11.32,10.86,10.87,10117926.0,0.0,1.0,11.28,11.32,10.86,10.87,10117926.0
2018-02-27,10.75,11.25,10.57,11.22,22076722.0,0.0,1.0,10.75,11.25,10.57,11.22,22076722.0
2018-02-26,10.51,10.54,10.35,10.45,10758030.0,0.0,1.0,10.51,10.54,10.35,10.45,10758030.0
2018-02-23,10.36,10.52,10.325,10.49,4644273.0,0.0,1.0,10.36,10.52,10.325,10.49,4644273.0
2018-02-22,10.26,10.43,10.25,10.3,6626146.0,0.0,1.0,10.26,10.43,10.25,10.3,6626146.0
2018-02-21,10.44,10.5673,10.23,10.23,5317115.0,0.0,1.0,10.44,10.5673,10.23,10.23,5317115.0
2018-02-20,10.39,10.54,10.36,10.4,7433447.0,0.0,1.0,10.39,10.54,10.36,10.4,7433447.0
2018-02-16,10.44,10.61,10.43,10.45,5664573.0,0.0,1.0,10.44,10.61,10.43,10.45,5664573.0
2018-02-15,10.36,10.52,10.32,10.52,7138177.0,0.0,1.0,10.36,10.52,10.32,10.52,7138177.0
2018-02-14,10.23,10.33,10.14,10.27,5929061.0,0.0,1.0,10.23,10.33,10.14,10.27,5929061.0
2018-02-13,10.26,10.39,10.16,10.32,6311016.0,0.0,1.0,10.26,10.39,10.16,10.32,6311016.0
2018-02-12,10.23,10.335,10.03,10.27,9004157.0,0.0,1.0,10.23,10.335,10.03,10.27,9004157.0
2018-02-09,10.13,10.28,9.865,10.2,10295538.0,0.0,1.0,10.13,10.28,9.865,10.2,10295538.0
2018-02-08,10.44,10.45,10.05,10.06,13039875.0,0.0,1.0,10.44,10.45,10.05,10.06,13039875.0
2018-02-07,10.6,10.78,10.465,10.48,8576986.0,0.0,1.0,10.6,10.78,10.465,10.48,8576986.0
2018-02-06,10.4,10.64,10.15,10.58,11610561.0,0.0,1.0,10.4,10.64,10.15,10.58,11610561.0
2018-02-05,11.11,11.12,10.54,10.6,15604796.0,0.0,1.0,11.11,11.12,10.54,10.6,15604796.0
2018-02-02,11.35,11.49,11.11,11.12,9939748.0,0.0,1.0,11.35,11.49,11.11,11.12,9939748.0
2018-02-01,11.59,11.67,11.46,11.51,6781025.0,0.0,1.0,11.59,11.67,11.46,11.51,6781025.0
