Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,41.94,42.28,40.98,41.22,569406.0,0.0,1.0,41.94,42.28,40.98,41.22,569406.0
2018-03-26,41.67,41.95,41.05,41.91,353541.0,0.0,1.0,41.67,41.95,41.05,41.91,353541.0
2018-03-23,42.52,42.64,41.01,41.07,500114.0,0.0,1.0,42.52,42.64,41.01,41.07,500114.0
2018-03-22,43.2,43.65,42.52,42.53,483553.0,0.0,1.0,43.2,43.65,42.52,42.53,483553.0
2018-03-21,43.6,44.22,43.46,43.7,441670.0,0.0,1.0,43.6,44.22,43.46,43.7,441670.0
2018-03-20,43.64,43.85,43.4,43.6,604473.0,0.0,1.0,43.64,43.85,43.4,43.6,604473.0
2018-03-19,44.56,44.56,43.34,43.59,404844.0,0.0,1.0,44.56,44.56,43.34,43.59,404844.0
2018-03-16,44.25,44.85,44.25,44.71,770745.0,0.0,1.0,44.25,44.85,44.25,44.71,770745.0
2018-03-15,43.94,44.75,43.86,44.14,753669.0,0.0,1.0,43.94,44.75,43.86,44.14,753669.0
2018-03-14,44.4,44.42,43.74,43.92,606248.0,0.0,1.0,44.4,44.42,43.74,43.92,606248.0
2018-03-13,44.57,44.82,44.17,44.21,722538.0,0.0,1.0,44.57,44.82,44.17,44.21,722538.0
2018-03-12,43.85,44.51,43.62,44.4,681276.0,0.0,1.0,43.85,44.51,43.62,44.4,681276.0
2018-03-09,43.62,44.28,43.2601,44.02,816948.0,0.0,1.0,43.62,44.28,43.2601,44.02,816948.0
2018-03-08,43.77,43.82,43.0,43.4,884947.0,0.0,1.0,43.77,43.82,43.0,43.4,884947.0
2018-03-07,43.42,43.99,43.33,43.79,663024.0,0.0,1.0,43.42,43.99,43.33,43.79,663024.0
2018-03-06,43.52,43.98,43.31,43.79,546851.0,0.0,1.0,43.52,43.98,43.31,43.79,546851.0
2018-03-05,42.77,43.42,42.68,43.39,743667.0,0.0,1.0,42.77,43.42,42.68,43.39,743667.0
2018-03-02,42.05,43.18,41.775,43.13,476753.0,0.0,1.0,42.05,43.18,41.775,43.13,476753.0
2018-03-01,42.74,43.15,42.18,42.44,672584.0,0.0,1.0,42.74,43.15,42.18,42.44,672584.0
2018-02-28,43.0,43.31,42.69,42.7,844697.0,0.0,1.0,43.0,43.31,42.69,42.7,844697.0
2018-02-27,43.12,43.6,42.89,42.92,746434.0,0.0,1.0,43.12,43.6,42.89,42.92,746434.0
2018-02-26,42.65,43.14,42.29,43.11,512876.0,0.0,1.0,42.65,43.14,42.29,43.11,512876.0
2018-02-23,42.16,42.63,42.025,42.62,419778.0,0.0,1.0,42.16,42.63,42.025,42.62,419778.0
2018-02-22,42.09,42.47,41.81,41.84,531229.0,0.0,1.0,42.09,42.47,41.81,41.84,531229.0
2018-02-21,42.39,42.62,41.99,42.01,797089.0,0.0,1.0,42.39,42.62,41.99,42.01,797089.0
