Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,15.43,15.675,15.285,15.43,1313421.0,0.0,1.0,15.43,15.675,15.285,15.43,1313421.0
2018-03-26,15.45,15.48,15.205,15.45,1195914.0,0.0,1.0,15.45,15.48,15.205,15.45,1195914.0
2018-03-23,15.66,15.685,15.26,15.32,2044553.0,0.0,1.0,15.66,15.685,15.26,15.32,2044553.0
2018-03-22,15.8,15.94,15.67,15.68,1891435.0,0.0,1.0,15.8,15.94,15.67,15.68,1891435.0
2018-03-21,16.07,16.09,15.72,15.83,1703540.0,0.0,1.0,16.07,16.09,15.72,15.83,1703540.0
2018-03-20,16.07,16.18,15.995,16.06,1167323.0,0.0,1.0,16.07,16.18,15.995,16.06,1167323.0
2018-03-19,16.14,16.14,15.91,16.07,1193804.0,0.0,1.0,16.14,16.14,15.91,16.07,1193804.0
2018-03-16,16.09,16.17,15.96,16.14,2970907.0,0.0,1.0,16.09,16.17,15.96,16.14,2970907.0
2018-03-15,16.09,16.11,15.94,16.07,1099107.0,0.0,1.0,16.09,16.11,15.94,16.07,1099107.0
2018-03-14,16.06,16.13,15.94,16.06,837495.0,0.0,1.0,16.06,16.13,15.94,16.06,837495.0
2018-03-13,16.19,16.26,15.98,16.04,1846237.0,0.0,1.0,16.19,16.26,15.98,16.04,1846237.0
2018-03-12,16.35,16.35,16.18,16.28,899338.0,0.0,1.0,16.35,16.35,16.18,16.28,899338.0
2018-03-09,16.24,16.39,16.1,16.35,1182733.0,0.0,1.0,16.24,16.39,16.1,16.35,1182733.0
2018-03-08,16.32,16.32,16.07,16.21,1319007.0,0.0,1.0,16.32,16.32,16.07,16.21,1319007.0
2018-03-07,15.95,16.265,15.88,16.26,1661232.0,0.0,1.0,15.95,16.265,15.88,16.26,1661232.0
2018-03-06,15.9,16.09,15.75,16.02,914822.0,0.0,1.0,15.9,16.09,15.75,16.02,914822.0
2018-03-05,15.61,15.98,15.6,15.9,1401595.0,0.0,1.0,15.61,15.98,15.6,15.9,1401595.0
2018-03-02,15.67,15.705,15.45,15.69,1038175.0,0.0,1.0,15.67,15.705,15.45,15.69,1038175.0
2018-03-01,15.62,15.89,15.56,15.72,1490765.0,0.0,1.0,15.62,15.89,15.56,15.72,1490765.0
2018-02-28,15.91,15.96,15.62,15.66,2220989.0,0.0,1.0,15.91,15.96,15.62,15.66,2220989.0
2018-02-27,16.26,16.28,15.67,15.81,1921164.0,0.0,1.0,16.26,16.28,15.67,15.81,1921164.0
2018-02-26,16.5,16.5,16.17,16.24,1548658.0,0.0,1.0,16.5,16.5,16.17,16.24,1548658.0
2018-02-23,16.32,16.46,16.23,16.46,1131142.0,0.0,1.0,16.32,16.46,16.23,16.46,1131142.0
2018-02-22,16.2,16.445,16.15,16.28,1062907.0,0.0,1.0,16.2,16.445,16.15,16.28,1062907.0
2018-02-21,16.4,16.485,16.11,16.12,1578645.0,0.0,1.0,16.4,16.485,16.11,16.12,1578645.0
2018-02-20,16.46,16.58,16.41,16.41,1514072.0,0.0,1.0,16.46,16.58,16.41,16.41,1514072.0
2018-02-16,16.24,16.56,16.24,16.52,1825518.0,0.0,1.0,16.24,16.56,16.24,16.52,1825518.0
2018-02-15,16.08,16.325,16.04,16.27,2017216.0,0.0,1.0,16.08,16.325,16.04,16.27,2017216.0
2018-02-14,16.01,16.1,15.86,16.02,1254451.0,0.0,1.0,16.01,16.1,15.86,16.02,1254451.0
2018-02-13,16.12,16.21,15.85,16.15,861033.0,0.0,1.0,16.12,16.21,15.85,16.15,861033.0
2018-02-12,16.18,16.24,15.5,16.14,1788000.0,0.0,1.0,16.18,16.24,15.5,16.14,1788000.0
2018-02-09,15.9,16.23,15.76,16.16,2417717.0,0.0,1.0,15.9,16.23,15.76,16.16,2417717.0
2018-02-08,16.41,16.45,15.8,15.8,2349683.0,0.0,1.0,16.41,16.45,15.8,15.8,2349683.0
2018-02-07,16.51,16.75,16.4,16.41,1717536.0,0.0,1.0,16.51,16.75,16.4,16.41,1717536.0
