Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,73.66,73.66,72.38,72.61,836289.0,0.0,1.0,73.66,73.66,72.38,72.61,836289.0
2018-03-26,73.01,73.24,71.62,73.19,1019563.0,0.0,1.0,73.01,73.24,71.62,73.19,1019563.0
2018-03-23,72.63,74.57,72.4,72.52,1386913.0,0.0,1.0,72.63,74.57,72.4,72.52,1386913.0
2018-03-22,72.44,73.69,71.94,72.05,1470355.0,0.0,1.0,72.44,73.69,71.94,72.05,1470355.0
2018-03-21,73.63,73.89,72.605,73.02,1142069.0,0.0,1.0,73.63,73.89,72.605,73.02,1142069.0
2018-03-20,72.96,74.0,72.66,73.99,961006.0,0.0,1.0,72.96,74.0,72.66,73.99,961006.0
2018-03-19,73.59,73.7284,72.34,72.65,1089969.0,0.0,1.0,73.59,73.7284,72.34,72.65,1089969.0
2018-03-16,74.03,74.46,72.21,73.43,2231443.0,0.0,1.0,74.03,74.46,72.21,73.43,2231443.0
2018-03-15,74.56,75.28,73.31,73.74,1284069.0,0.0,1.0,74.56,75.28,73.31,73.74,1284069.0
2018-03-14,76.0,76.21,74.05,74.24,1030841.0,0.0,1.0,76.0,76.21,74.05,74.24,1030841.0
2018-03-13,76.0,76.31,75.52,75.87,1003110.0,0.0,1.0,76.0,76.31,75.52,75.87,1003110.0
2018-03-12,75.58,76.38,75.47,75.93,1597180.0,0.0,1.0,75.58,76.38,75.47,75.93,1597180.0
2018-03-09,77.13,77.23,72.32,74.96,4762727.0,0.0,1.0,77.13,77.23,72.32,74.96,4762727.0
2018-03-08,77.41,77.75,76.6,77.01,1223676.0,0.0,1.0,77.41,77.75,76.6,77.01,1223676.0
2018-03-07,77.72,79.1,77.17,77.43,2360359.0,0.0,1.0,77.72,79.1,77.17,77.43,2360359.0
2018-03-06,79.09,79.09,76.69,77.11,2965316.0,0.0,1.0,79.09,79.09,76.69,77.11,2965316.0
2018-03-05,75.25,78.97,75.12,77.99,3432388.0,0.0,1.0,75.25,78.97,75.12,77.99,3432388.0
2018-03-02,75.22,75.78,74.34,75.17,1710070.0,0.0,1.0,75.22,75.78,74.34,75.17,1710070.0
2018-03-01,75.24,76.81,75.04,75.98,976929.0,0.0,1.0,75.24,76.81,75.04,75.98,976929.0
2018-02-28,75.29,76.695,75.29,75.43,1507059.0,0.0,1.0,75.29,76.695,75.29,75.43,1507059.0
2018-02-27,76.47,76.47,74.83,74.83,1446434.0,0.0,1.0,76.47,76.47,74.83,74.83,1446434.0
2018-02-26,76.6,76.6,75.69,75.97,856592.0,0.0,1.0,76.6,76.6,75.69,75.97,856592.0
2018-02-23,75.7,77.0,75.48,76.62,843845.0,0.0,1.0,75.7,77.0,75.48,76.62,843845.0
2018-02-22,75.39,76.68,75.15,75.59,1368288.0,0.0,1.0,75.39,76.68,75.15,75.59,1368288.0
2018-02-21,76.35,76.58,75.09,75.1,2099851.0,0.0,1.0,76.35,76.58,75.09,75.1,2099851.0
2018-02-20,78.62,78.73,75.01,76.07,2333890.0,0.0,1.0,78.62,78.73,75.01,76.07,2333890.0
2018-02-16,77.0,79.94,76.85,79.1,2344097.0,0.0,1.0,77.0,79.94,76.85,79.1,2344097.0
2018-02-15,76.24,77.535,75.18,77.19,2679631.0,0.0,1.0,76.24,77.535,75.18,77.19,2679631.0
2018-02-14,76.19,77.77,74.0,75.06,5581052.0,0.0,1.0,76.19,77.77,74.0,75.06,5581052.0
2018-02-13,79.57,79.99,78.58,79.51,1534740.0,0.0,1.0,79.57,79.99,78.58,79.51,1534740.0
2018-02-12,81.0,81.0,78.07,79.66,1954401.0,0.0,1.0,81.0,81.0,78.07,79.66,1954401.0
2018-02-09,80.46,81.45,77.7,80.75,2224737.0,0.0,1.0,80.46,81.45,77.7,80.75,2224737.0
2018-02-08,81.46,82.56,79.96,79.96,1928905.0,0.0,1.0,81.46,82.56,79.96,79.96,1928905.0
2018-02-07,82.5,83.0,81.34,81.34,1661591.0,0.0,1.0,82.5,83.0,81.34,81.34,1661591.0
2018-02-06,80.49,82.86,80.33,82.55,3029112.0,0.0,1.0,80.49,82.86,80.33,82.55,3029112.0
2018-02-05,82.5,83.2,80.89,80.89,5295791.0,0.0,1.0,82.5,83.2,80.89,80.89,5295791.0
2018-02-02,78.85,79.43,78.43,78.6,1122916.0,0.0,1.0,78.85,79.43,78.43,78.6,1122916.0
2018-02-01,79.21,82.0,78.91,79.66,1499699.0,0.0,1.0,79.21,82.0,78.91,79.66,1499699.0
2018-01-31,80.0,80.5,78.835,79.43,1596263.0,0.0,1.0,80.0,80.5,78.835,79.43,1596263.0
2018-01-30,79.98,80.5,79.4,79.95,1405122.0,0.0,1.0,79.98,80.5,79.4,79.95,1405122.0
2018-01-29,81.39,81.73,80.185,80.86,1176122.0,0.0,1.0,81.39,81.73,80.185,80.86,1176122.0
2018-01-26,80.61,82.219,80.05,81.8,2202605.0,0.0,1.0,80.61,82.219,80.05,81.8,2202605.0
2018-01-25,80.14,80.51,79.7691,80.0,1396839.0,0.0,1.0,80.14,80.51,79.7691,80.0,1396839.0
2018-01-24,80.7,81.61,79.37,80.03,1712004.0,0.0,1.0,80.7,81.61,79.37,80.03,1712004.0
2018-01-23,81.67,81.85,79.82,80.57,3879891.0,0.0,1.0,81.67,81.85,79.82,80.57,3879891.0
2018-01-22,79.59,82.44,78.4,82.11,8428382.0,0.0,1.0,79.59,82.44,78.4,82.11,8428382.0
2018-01-19,69.41,77.83,68.65100000000001,77.56,4161938.0,0.0,1.0,69.41,77.83,68.65100000000001,77.56,4161938.0
2018-01-18,69.95,70.26,69.44,69.64,935411.0,0.0,1.0,69.95,70.26,69.44,69.64,935411.0
2018-01-17,70.37,70.89,69.66,70.45,1040249.0,0.0,1.0,70.37,70.89,69.66,70.45,1040249.0
2018-01-16,69.52,70.98,69.41,70.18,1170503.0,0.0,1.0,69.52,70.98,69.41,70.18,1170503.0
2018-01-12,70.42,70.73,69.17,69.74,966473.0,0.0,1.0,70.42,70.73,69.17,69.74,966473.0
2018-01-11,69.68,70.76,69.355,70.44,1044815.0,0.0,1.0,69.68,70.76,69.355,70.44,1044815.0
2018-01-10,69.39,69.53,67.82,69.39,921408.0,0.0,1.0,69.39,69.53,67.82,69.39,921408.0
2018-01-09,69.22,69.96,68.87,69.63,984403.0,0.0,1.0,69.22,69.96,68.87,69.63,984403.0
2018-01-08,69.75,69.77,68.24,68.93,1037423.0,0.0,1.0,69.75,69.77,68.24,68.93,1037423.0
2018-01-05,70.5,70.99,69.55,69.94,792666.0,0.0,1.0,70.5,70.99,69.55,69.94,792666.0
2018-01-04,69.78,71.21,69.75,70.47,2026905.0,0.0,1.0,69.78,71.21,69.75,70.47,2026905.0
2018-01-03,68.38,70.21,68.06,69.45,2121847.0,0.0,1.0,68.38,70.21,68.06,69.45,2121847.0
2018-01-02,67.23,68.03,66.45,67.99,943394.0,0.0,1.0,67.23,68.03,66.45,67.99,943394.0
2017-12-29,67.3,67.92,67.08,67.08,808797.0,0.0,1.0,67.3,67.92,67.08,67.08,808797.0
2017-12-28,67.06,67.215,66.66,67.15,574148.0,0.0,1.0,67.06,67.215,66.66,67.15,574148.0
2017-12-27,67.32,67.36,66.75,66.86,458235.0,0.0,1.0,67.32,67.36,66.75,66.86,458235.0
2017-12-26,66.55,67.27,66.55,67.17,569668.0,0.0,1.0,66.55,67.27,66.55,67.17,569668.0
2017-12-22,67.295,67.43,66.55,66.74,486816.0,0.0,1.0,67.295,67.43,66.55,66.74,486816.0
2017-12-21,67.28,68.19,66.9,66.99,975518.0,0.0,1.0,67.28,68.19,66.9,66.99,975518.0
2017-12-20,66.74,67.64,66.32,67.25,1241345.0,0.0,1.0,66.74,67.64,66.32,67.25,1241345.0
2017-12-19,66.62,67.18,66.37,66.91,1099228.0,0.0,1.0,66.62,67.18,66.37,66.91,1099228.0
2017-12-18,68.01,68.97,66.95,67.03,1044638.0,0.0,1.0,68.01,68.97,66.95,67.03,1044638.0
2017-12-15,66.4,67.97,66.13,67.69,1779876.0,0.0,1.0,66.4,67.97,66.13,67.69,1779876.0
2017-12-14,67.19,67.35,66.11,66.12,1520377.0,0.0,1.0,67.19,67.35,66.11,66.12,1520377.0
2017-12-13,68.57,69.0,66.11,66.22,2702124.0,0.0,1.0,68.57,69.0,66.11,66.22,2702124.0
2017-12-12,69.87,70.67,68.62,68.68,1598138.0,0.0,1.0,69.87,70.67,68.62,68.68,1598138.0
2017-12-11,70.06,70.48,69.3947,69.67,1307039.0,0.0,1.0,70.06,70.48,69.3947,69.67,1307039.0
2017-12-08,69.12,70.46,68.99,69.79,2153426.0,0.0,1.0,69.12,70.46,68.99,69.79,2153426.0
2017-12-07,69.5,70.6,68.55,69.21,2627432.0,0.0,1.0,69.5,70.6,68.55,69.21,2627432.0
