Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.64,13.64,13.205,13.33,1644911.0,0.0,1.0,13.64,13.64,13.205,13.33,1644911.0
2018-03-26,13.29,13.6,13.22,13.59,1478977.0,0.0,1.0,13.29,13.6,13.22,13.59,1478977.0
2018-03-23,13.41,13.55,13.1,13.11,1969403.0,0.0,1.0,13.41,13.55,13.1,13.11,1969403.0
2018-03-22,13.68,13.83,13.4,13.41,1473461.0,0.0,1.0,13.68,13.83,13.4,13.41,1473461.0
2018-03-21,13.95,13.98,13.83,13.83,1566760.0,0.0,1.0,13.95,13.98,13.83,13.83,1566760.0
2018-03-20,13.96,14.12,13.93,13.96,1356919.0,0.0,1.0,13.96,14.12,13.93,13.96,1356919.0
2018-03-19,13.85,13.98,13.5,13.96,2344300.0,0.0,1.0,13.85,13.98,13.5,13.96,2344300.0
2018-03-16,13.66,14.0,13.66,13.91,2420187.0,0.0,1.0,13.66,14.0,13.66,13.91,2420187.0
2018-03-15,13.9,13.96,13.64,13.64,3335297.0,0.0,1.0,13.9,13.96,13.64,13.64,3335297.0
2018-03-14,14.15,14.15,13.815,13.84,2694190.0,0.0,1.0,14.15,14.15,13.815,13.84,2694190.0
2018-03-13,14.58,14.58,14.02,14.06,1816141.0,0.0,1.0,14.58,14.58,14.02,14.06,1816141.0
2018-03-12,14.43,14.67,14.3,14.49,2454167.0,0.0,1.0,14.43,14.67,14.3,14.49,2454167.0
2018-03-09,14.01,14.34,13.84,14.33,3280019.0,0.0,1.0,14.01,14.34,13.84,14.33,3280019.0
2018-03-08,13.74,13.92,13.7,13.89,3124501.0,0.0,1.0,13.74,13.92,13.7,13.89,3124501.0
2018-03-07,13.38,13.71,13.34,13.69,1453011.0,0.0,1.0,13.38,13.71,13.34,13.69,1453011.0
2018-03-06,13.5,13.57,13.36,13.51,1672199.0,0.0,1.0,13.5,13.57,13.36,13.51,1672199.0
2018-03-05,13.21,13.48,13.17,13.45,2524298.0,0.0,1.0,13.21,13.48,13.17,13.45,2524298.0
2018-03-02,12.98,13.28,12.9,13.25,1726154.0,0.0,1.0,12.98,13.28,12.9,13.25,1726154.0
2018-03-01,13.2,13.3,12.94,13.1,2065631.0,0.0,1.0,13.2,13.3,12.94,13.1,2065631.0
2018-02-28,13.12,13.35,13.06,13.22,4836741.0,0.0,1.0,13.12,13.35,13.06,13.22,4836741.0
