Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,254.07,254.07,245.84,249.58,173617.0,0.0,1.0,254.07,254.07,245.84,249.58,173617.0
2018-03-26,250.92,254.49,246.18,253.5,136761.0,0.0,1.0,250.92,254.49,246.18,253.5,136761.0
2018-03-23,252.5,254.8,246.71,247.06,111525.0,0.0,1.0,252.5,254.8,246.71,247.06,111525.0
2018-03-22,259.42,261.48,252.67,252.69,148971.0,0.0,1.0,259.42,261.48,252.67,252.69,148971.0
2018-03-21,261.88,263.88,258.53,260.91,82361.0,0.0,1.0,261.88,263.88,258.53,260.91,82361.0
2018-03-20,263.97,264.0499,260.625,262.64,70542.0,0.0,1.0,263.97,264.0499,260.625,262.64,70542.0
2018-03-19,262.24,264.14,258.65,262.27,137680.0,0.0,1.0,262.24,264.14,258.65,262.27,137680.0
2018-03-16,269.77,269.77,259.95,263.0,279429.0,0.0,1.0,269.77,269.77,259.95,263.0,279429.0
2018-03-15,269.1,271.4,266.1501,268.58,85890.0,0.0,1.0,269.1,271.4,266.1501,268.58,85890.0
2018-03-14,272.08,272.84,265.31,269.4,93020.0,0.0,1.0,272.08,272.84,265.31,269.4,93020.0
2018-03-13,274.57,274.99,268.86,270.94,68449.0,0.0,1.0,274.57,274.99,268.86,270.94,68449.0
2018-03-12,273.96,276.0,267.53,273.84,78942.0,0.0,1.0,273.96,276.0,267.53,273.84,78942.0
2018-03-09,267.5,275.34,265.485,274.11,143579.0,0.0,1.0,267.5,275.34,265.485,274.11,143579.0
2018-03-08,266.4,267.58,264.01,265.84,91557.0,0.0,1.0,266.4,267.58,264.01,265.84,91557.0
2018-03-07,260.87,272.04,259.85,265.63,235644.0,0.0,1.0,260.87,272.04,259.85,265.63,235644.0
2018-03-06,260.4,263.81,257.565,262.34,202825.0,0.0,1.0,260.4,263.81,257.565,262.34,202825.0
2018-03-05,261.23,261.5985,256.275,259.98,152781.0,0.0,1.0,261.23,261.5985,256.275,259.98,152781.0
2018-03-02,262.12,264.46,259.655,263.04,261118.0,0.0,1.0,262.12,264.46,259.655,263.04,261118.0
2018-03-01,271.29,271.29,260.41,264.82,220037.0,0.0,1.0,271.29,271.29,260.41,264.82,220037.0
2018-02-28,274.81,279.59,264.6,270.04,428962.0,0.0,1.0,274.81,279.59,264.6,270.04,428962.0
2018-02-27,257.56,258.98,252.905,254.0,155230.0,0.0,1.0,257.56,258.98,252.905,254.0,155230.0
2018-02-26,254.72,259.24,253.21,257.85,168877.0,0.0,1.0,254.72,259.24,253.21,257.85,168877.0
2018-02-23,249.1,254.83,246.6349,254.31,204091.0,0.0,1.0,249.1,254.83,246.6349,254.31,204091.0
2018-02-22,246.75,250.21,243.04,248.08,228002.0,0.0,1.0,246.75,250.21,243.04,248.08,228002.0
2018-02-21,251.74,255.69,245.28,245.62,172792.0,0.0,1.0,251.74,255.69,245.28,245.62,172792.0
2018-02-20,247.62,254.23,246.31,251.12,204939.0,0.0,1.0,247.62,254.23,246.31,251.12,204939.0
2018-02-16,244.9,251.39,240.15,249.04,209183.0,0.0,1.0,244.9,251.39,240.15,249.04,209183.0
2018-02-15,248.34,250.18,243.02,246.83,114316.0,0.0,1.0,248.34,250.18,243.02,246.83,114316.0
2018-02-14,235.49,249.5799,235.49,247.91,166840.0,0.0,1.0,235.49,249.5799,235.49,247.91,166840.0
2018-02-13,239.0,240.43,235.71,237.36,150249.0,0.0,1.0,239.0,240.43,235.71,237.36,150249.0
2018-02-12,238.07,242.09,233.96,239.69,159799.0,0.0,1.0,238.07,242.09,233.96,239.69,159799.0
2018-02-09,235.34,240.3,231.0,236.72,177452.0,0.0,1.0,235.34,240.3,231.0,236.72,177452.0
2018-02-08,244.11,245.85,233.48,233.97,160200.0,0.0,1.0,244.11,245.85,233.48,233.97,160200.0
2018-02-07,245.58,248.2,243.04,243.76,209402.0,0.0,1.0,245.58,248.2,243.04,243.76,209402.0
2018-02-06,243.44,249.255,240.54,246.47,220214.0,0.0,1.0,243.44,249.255,240.54,246.47,220214.0
2018-02-05,252.47,255.02,245.6,247.23,188338.0,0.0,1.0,252.47,255.02,245.6,247.23,188338.0
2018-02-02,257.62,259.83,253.92,254.34,97390.0,0.0,1.0,257.62,259.83,253.92,254.34,97390.0
2018-02-01,257.81,259.99,256.23,258.75,233572.0,0.0,1.0,257.81,259.99,256.23,258.75,233572.0
2018-01-31,261.01,264.89,256.085,258.53,104623.0,0.0,1.0,261.01,264.89,256.085,258.53,104623.0
2018-01-30,261.11,261.86,256.94,259.2,107314.0,0.0,1.0,261.11,261.86,256.94,259.2,107314.0
2018-01-29,261.06,266.98,261.06,263.41,134610.0,0.0,1.0,261.06,266.98,261.06,263.41,134610.0
2018-01-26,259.23,263.65,254.55,261.89,212259.0,0.0,1.0,259.23,263.65,254.55,261.89,212259.0
2018-01-25,255.76,259.21,254.4841,259.11,113774.0,0.0,1.0,255.76,259.21,254.4841,259.11,113774.0
2018-01-24,255.95,257.12,252.4,254.41,141302.0,0.0,1.0,255.95,257.12,252.4,254.41,141302.0
2018-01-23,255.4,258.2,254.36,254.83,149102.0,0.0,1.0,255.4,258.2,254.36,254.83,149102.0
2018-01-22,253.28,255.8,250.945,254.65,134750.0,0.0,1.0,253.28,255.8,250.945,254.65,134750.0
2018-01-19,252.9,255.89,251.27,254.54,272456.0,0.0,1.0,252.9,255.89,251.27,254.54,272456.0
2018-01-18,251.74,252.72,248.83,252.5,126081.0,0.0,1.0,251.74,252.72,248.83,252.5,126081.0
2018-01-17,250.54,254.63,250.1377,252.64,201559.0,0.0,1.0,250.54,254.63,250.1377,252.64,201559.0
2018-01-16,249.18,251.06,245.615,249.11,106051.0,0.0,1.0,249.18,251.06,245.615,249.11,106051.0
2018-01-12,251.48,251.48,246.45,248.37,176333.0,0.0,1.0,251.48,251.48,246.45,248.37,176333.0
2018-01-11,250.16,252.16,247.59,251.21,169642.0,0.0,1.0,250.16,252.16,247.59,251.21,169642.0
2018-01-10,255.34,255.34,249.62,249.8,166237.0,0.0,1.0,255.34,255.34,249.62,249.8,166237.0
2018-01-09,252.18,257.36,250.05,256.12,216142.0,0.0,1.0,252.18,257.36,250.05,256.12,216142.0
2018-01-08,248.52,251.88,247.41,251.0,233678.0,0.0,1.0,248.52,251.88,247.41,251.0,233678.0
2018-01-05,249.13,250.02,248.08,249.05,102085.0,0.0,1.0,249.13,250.02,248.08,249.05,102085.0
2018-01-04,251.52,251.52,247.62,248.49,143045.0,0.0,1.0,251.52,251.52,247.62,248.49,143045.0
2018-01-03,242.34,251.85,242.34,250.47,233072.0,0.0,1.0,242.34,251.85,242.34,250.47,233072.0
2018-01-02,238.67,241.98,238.23,241.42,169464.0,0.0,1.0,238.67,241.98,238.23,241.42,169464.0
2017-12-29,238.89,241.0,237.515,238.67,183806.0,0.0,1.0,238.89,241.0,237.515,238.67,183806.0
2017-12-28,240.64,240.9,237.37,239.31,225437.0,0.0,1.0,240.64,240.9,237.37,239.31,225437.0
2017-12-27,241.52,242.28,239.545,240.36,176368.0,0.0,1.0,241.52,242.28,239.545,240.36,176368.0
2017-12-26,243.84,244.3099,240.71,242.04,194304.0,0.0,1.0,243.84,244.3099,240.71,242.04,194304.0
2017-12-22,244.5,246.49,242.97,244.19,152055.0,0.0,1.0,244.5,246.49,242.97,244.19,152055.0
2017-12-21,244.0,245.86,241.79,245.04,252626.0,0.0,1.0,244.0,245.86,241.79,245.04,252626.0
2017-12-20,247.4,248.455,243.83,245.29,179180.0,0.0,1.0,247.4,248.455,243.83,245.29,179180.0
2017-12-19,249.12,249.8399,246.89,247.16,189295.0,0.0,1.0,249.12,249.8399,246.89,247.16,189295.0
2017-12-18,250.98,252.85,248.56,249.24,319628.0,0.0,1.0,250.98,252.85,248.56,249.24,319628.0
2017-12-15,252.39,253.01,250.36,251.94,306098.0,0.0,1.0,252.39,253.01,250.36,251.94,306098.0
2017-12-14,252.61,252.93,249.015,249.72,114985.0,0.0,1.0,252.61,252.93,249.015,249.72,114985.0
