Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,43.51,43.51,42.605,43.17,747243.0,0.0,1.0,43.51,43.51,42.605,43.17,747243.0
2018-03-26,43.03,43.8,43.03,43.39,505509.0,0.0,1.0,43.03,43.8,43.03,43.39,505509.0
2018-03-23,43.16,43.47,42.53,42.54,601151.0,0.0,1.0,43.16,43.47,42.53,42.54,601151.0
2018-03-22,44.13,44.31,43.08,43.08,523680.0,0.0,1.0,44.13,44.31,43.08,43.08,523680.0
2018-03-21,44.37,44.62,44.14,44.27,658185.0,0.0,1.0,44.37,44.62,44.14,44.27,658185.0
2018-03-20,44.87,45.2,44.33,44.36,778410.0,0.0,1.0,44.87,45.2,44.33,44.36,778410.0
2018-03-19,45.0,45.88,44.68,44.7,827682.0,0.0,1.0,45.0,45.88,44.68,44.7,827682.0
2018-03-16,45.28,45.4275,44.97,44.98,900747.0,0.0,1.0,45.28,45.4275,44.97,44.98,900747.0
2018-03-15,45.79,46.02,45.07,45.19,409401.0,0.0,1.0,45.79,46.02,45.07,45.19,409401.0
2018-03-14,46.14,46.23,45.43,45.7,264922.0,0.0,1.0,46.14,46.23,45.43,45.7,264922.0
2018-03-13,46.04,46.59,45.85,45.92,929974.0,0.0,1.0,46.04,46.59,45.85,45.92,929974.0
2018-03-12,45.87,45.96,45.38,45.9,222094.0,0.0,1.0,45.87,45.96,45.38,45.9,222094.0
2018-03-09,45.48,45.95,45.22,45.93,260305.0,0.0,1.0,45.48,45.95,45.22,45.93,260305.0
2018-03-08,45.57,45.65,44.97,45.47,392004.0,0.0,1.0,45.57,45.65,44.97,45.47,392004.0
2018-03-07,45.24,45.85,45.09,45.57,389664.0,0.0,1.0,45.24,45.85,45.09,45.57,389664.0
2018-03-06,44.93,45.74,44.68,45.55,506515.0,0.0,1.0,44.93,45.74,44.68,45.55,506515.0
2018-03-05,44.3,44.96,44.2,44.72,595049.0,0.0,1.0,44.3,44.96,44.2,44.72,595049.0
2018-03-02,43.94,44.54,43.8,44.43,298744.0,0.0,1.0,43.94,44.54,43.8,44.43,298744.0
2018-03-01,44.13,44.51,43.82,44.09,626536.0,0.0,1.0,44.13,44.51,43.82,44.09,626536.0
2018-02-28,44.52,44.71,44.08,44.09,414875.0,0.0,1.0,44.52,44.71,44.08,44.09,414875.0
2018-02-27,45.13,45.28,44.21,44.4,610788.0,0.0,1.0,45.13,45.28,44.21,44.4,610788.0
2018-02-26,44.83,45.27,44.72,45.12,352267.0,0.0,1.0,44.83,45.27,44.72,45.12,352267.0
2018-02-23,45.07,45.29,44.38,44.69,695388.0,0.0,1.0,45.07,45.29,44.38,44.69,695388.0
2018-02-22,45.13,45.56,44.88,45.01,454780.0,0.0,1.0,45.13,45.56,44.88,45.01,454780.0
