Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,63.64,63.67,61.8001,62.41,6190172.0,0.0,1.0,63.64,63.67,61.8001,62.41,6190172.0
2018-03-26,62.78,63.57,61.73,63.4,6179728.0,0.0,1.0,62.78,63.57,61.73,63.4,6179728.0
2018-03-23,64.05,64.05,61.94,62.06,8373656.0,0.0,1.0,64.05,64.05,61.94,62.06,8373656.0
2018-03-22,65.58,65.89,63.91,63.95,6645773.0,0.0,1.0,65.58,65.89,63.91,63.95,6645773.0
2018-03-21,66.54,66.99,66.09,66.1,4324358.0,0.0,1.0,66.54,66.99,66.09,66.1,4324358.0
2018-03-20,66.38,67.16,65.72,66.43,6262110.0,0.0,1.0,66.38,67.16,65.72,66.43,6262110.0
2018-03-19,66.62,66.98,65.18,66.07,5252383.0,0.0,1.0,66.62,66.98,65.18,66.07,5252383.0
2018-03-16,66.18,67.44,66.18,66.6,7989357.0,0.0,1.0,66.18,67.44,66.18,66.6,7989357.0
2018-03-15,66.76,66.93,66.21,66.25,3370830.0,0.0,1.0,66.76,66.93,66.21,66.25,3370830.0
2018-03-14,67.08,67.26,66.27,66.63,4825890.0,0.0,1.0,67.08,67.26,66.27,66.63,4825890.0
2018-03-13,67.81,68.22,66.27,66.68,5882456.0,0.0,1.0,67.81,68.22,66.27,66.68,5882456.0
2018-03-12,67.9,68.18,67.18,67.45,5029470.0,0.0,1.0,67.9,68.18,67.18,67.45,5029470.0
2018-03-09,66.95,68.05,66.67,67.92,5272609.0,0.0,1.0,66.95,68.05,66.67,67.92,5272609.0
2018-03-08,66.2,66.96,66.08,66.75,3620269.0,0.0,1.0,66.2,66.96,66.08,66.75,3620269.0
2018-03-07,64.9,66.26,64.7,66.1,5927647.0,0.0,1.0,64.9,66.26,64.7,66.1,5927647.0
2018-03-06,67.22,67.4,65.185,65.47,6277234.0,0.0,1.0,67.22,67.4,65.185,65.47,6277234.0
2018-03-05,65.83,67.14,65.6,66.82,6339604.0,0.0,1.0,65.83,67.14,65.6,66.82,6339604.0
2018-03-02,65.45,66.5,65.13,66.17,5391365.0,0.0,1.0,65.45,66.5,65.13,66.17,5391365.0
2018-03-01,66.1,66.52,64.83,65.69,7801327.0,0.0,1.0,66.1,66.52,64.83,65.69,7801327.0
2018-02-28,67.85,67.94,66.17,66.2,8276238.0,0.0,1.0,67.85,67.94,66.17,66.2,8276238.0
2018-02-27,68.54,68.8796,67.82,67.84,4120852.0,0.0,1.0,68.54,68.8796,67.82,67.84,4120852.0
2018-02-26,67.99,68.865,67.88,68.63,4222018.0,0.0,1.0,67.99,68.865,67.88,68.63,4222018.0
2018-02-23,66.17,68.03,66.17,67.95,5081211.0,0.0,1.0,66.17,68.03,66.17,67.95,5081211.0
2018-02-22,67.0,67.0,65.86,65.94,6186717.0,0.0,1.0,67.0,67.0,65.86,65.94,6186717.0
