Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,83.3,83.55,81.39,81.73,250564.0,0.0,1.0,83.3,83.55,81.39,81.73,250564.0
2018-03-26,82.0,83.195,81.63,82.96,169890.0,0.0,1.0,82.0,83.195,81.63,82.96,169890.0
2018-03-23,83.07,83.175,80.685,80.81,258984.0,0.0,1.0,83.07,83.175,80.685,80.81,258984.0
2018-03-22,84.81,85.59,82.89,82.99,231688.0,0.0,1.0,84.81,85.59,82.89,82.99,231688.0
2018-03-21,85.09,86.42,84.54,85.66,233390.0,0.0,1.0,85.09,86.42,84.54,85.66,233390.0
2018-03-20,86.06,86.49,84.945,85.08,205353.0,0.0,1.0,86.06,86.49,84.945,85.08,205353.0
2018-03-19,86.14,86.2,84.92,86.05,199279.0,0.0,1.0,86.14,86.2,84.92,86.05,199279.0
2018-03-16,85.7,86.85,85.46,86.28,2607978.0,0.0,1.0,85.7,86.85,85.46,86.28,2607978.0
2018-03-15,85.71,86.25,84.59,85.53,234327.0,0.0,1.0,85.71,86.25,84.59,85.53,234327.0
2018-03-14,86.78,86.78,85.0,85.29,321253.0,0.0,1.0,86.78,86.78,85.0,85.29,321253.0
2018-03-13,87.73,87.73,85.91,86.32,303575.0,0.0,1.0,87.73,87.73,85.91,86.32,303575.0
2018-03-12,86.93,88.01,86.47,87.51,350493.0,0.0,1.0,86.93,88.01,86.47,87.51,350493.0
2018-03-09,85.85,87.08,85.365,86.9,181919.0,0.0,1.0,85.85,87.08,85.365,86.9,181919.0
2018-03-08,86.22,86.295,84.39,85.09,210032.0,0.0,1.0,86.22,86.295,84.39,85.09,210032.0
2018-03-07,84.49,86.52,84.49,86.2,287894.0,0.0,1.0,84.49,86.52,84.49,86.2,287894.0
2018-03-06,84.75,85.63,83.83,85.28,167713.0,0.0,1.0,84.75,85.63,83.83,85.28,167713.0
2018-03-05,82.92,84.84,82.335,84.53,183257.0,0.0,1.0,82.92,84.84,82.335,84.53,183257.0
2018-03-02,81.61,83.65,81.195,83.43,148638.0,0.0,1.0,81.61,83.65,81.195,83.43,148638.0
2018-03-01,82.0,83.01,81.49,82.13,156836.0,0.0,1.0,82.0,83.01,81.49,82.13,156836.0
2018-02-28,83.21,84.29,81.94,82.01,183589.0,0.0,1.0,83.21,84.29,81.94,82.01,183589.0
2018-02-27,83.78,84.98,83.09,83.11,213125.0,0.0,1.0,83.78,84.98,83.09,83.11,213125.0
2018-02-26,84.08,84.31,83.14,84.09,147538.0,0.0,1.0,84.08,84.31,83.14,84.09,147538.0
2018-02-23,82.94,83.75,82.02,83.74,216037.0,0.0,1.0,82.94,83.75,82.02,83.74,216037.0
2018-02-22,84.62,84.81299999999999,82.55,82.72,293117.0,0.0,1.0,84.62,84.81299999999999,82.55,82.72,293117.0
2018-02-21,83.69,85.46,83.64,84.31,163356.0,0.0,1.0,83.69,85.46,83.64,84.31,163356.0
2018-02-20,84.68,85.24,83.67,83.83,209674.0,0.0,1.0,84.68,85.24,83.67,83.83,209674.0
2018-02-16,84.49,85.89,84.31,85.13,250176.0,0.0,1.0,84.49,85.89,84.31,85.13,250176.0
2018-02-15,84.92,85.01,84.113,84.77,148523.0,0.0,1.0,84.92,85.01,84.113,84.77,148523.0
2018-02-14,82.1,84.52,82.1,84.46,151056.0,0.0,1.0,82.1,84.52,82.1,84.46,151056.0
2018-02-13,81.8,82.57,81.56,82.39,180466.0,0.0,1.0,81.8,82.57,81.56,82.39,180466.0
2018-02-12,81.5,82.75,80.855,82.09,295366.0,0.0,1.0,81.5,82.75,80.855,82.09,295366.0
2018-02-09,80.93,81.935,79.01,81.21,322748.0,0.0,1.0,80.93,81.935,79.01,81.21,322748.0
2018-02-08,82.13,82.13,80.12,80.13,260672.0,0.0,1.0,82.13,82.13,80.12,80.13,260672.0
2018-02-07,81.47,82.92,81.32,81.99,206865.0,0.0,1.0,81.47,82.92,81.32,81.99,206865.0
2018-02-06,79.39,81.93,78.3955,81.8,409850.0,0.0,1.0,79.39,81.93,78.3955,81.8,409850.0
2018-02-05,82.97,84.25,80.81,80.98,323656.0,0.0,1.0,82.97,84.25,80.81,80.98,323656.0
