Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-11-17,12.73,12.73,12.73,12.73,1169333.0,0.0,1.0,12.73,12.73,12.73,12.73,1169333.0
2017-11-16,12.6,12.74,12.565,12.73,35804156.0,0.0,1.0,12.6,12.74,12.565,12.73,35804156.0
2017-11-15,12.57,12.6,12.56,12.58,5078970.0,0.0,1.0,12.57,12.6,12.56,12.58,5078970.0
2017-11-14,12.61,12.625,12.48,12.58,7179510.0,0.0,1.0,12.61,12.625,12.48,12.58,7179510.0
2017-11-13,12.62,12.64,12.61,12.61,4060656.0,0.0,1.0,12.62,12.64,12.61,12.61,4060656.0
2017-11-10,12.55,12.67,12.55,12.62,9086168.0,0.0,1.0,12.55,12.67,12.55,12.62,9086168.0
2017-11-09,12.52,12.57,12.495,12.5,8310931.0,0.0,1.0,12.52,12.57,12.495,12.5,8310931.0
2017-11-07,12.52,12.53,12.47,12.48,5686197.0,0.0,1.0,12.52,12.53,12.47,12.48,5686197.0
2017-11-06,12.5,12.58,12.45,12.54,14256499.0,0.0,1.0,12.5,12.58,12.45,12.54,14256499.0
2017-11-03,12.57,12.6,12.085,12.25,29582846.0,0.0,1.0,12.57,12.6,12.085,12.25,29582846.0
2017-11-02,11.71,12.64,11.62,12.58,57523598.0,0.0,1.0,11.71,12.64,11.62,12.58,57523598.0
2017-11-01,11.68,11.77,11.63,11.74,5471712.0,0.0,1.0,11.68,11.77,11.63,11.74,5471712.0
2017-10-31,11.51,11.69,11.51,11.65,2896961.0,0.0,1.0,11.51,11.69,11.51,11.65,2896961.0
2017-10-30,11.78,11.78,11.43,11.55,6978253.0,0.0,1.0,11.78,11.78,11.43,11.55,6978253.0
2017-10-27,11.8,11.8,11.59,11.64,6125713.0,0.0,1.0,11.8,11.8,11.59,11.64,6125713.0
2017-10-26,11.8,11.9,11.7,11.72,3026971.0,0.0,1.0,11.8,11.9,11.7,11.72,3026971.0
2017-10-25,11.86,11.9,11.76,11.78,3698514.0,0.0,1.0,11.86,11.9,11.76,11.78,3698514.0
2017-10-24,11.87,11.9,11.83,11.86,1746901.0,0.0,1.0,11.87,11.9,11.83,11.86,1746901.0
2017-10-23,11.89,11.9599,11.82,11.83,3309375.0,0.0,1.0,11.89,11.9599,11.82,11.83,3309375.0
2017-10-20,11.91,11.955,11.875,11.9,2593865.0,0.0,1.0,11.91,11.955,11.875,11.9,2593865.0
2017-10-19,11.81,12.02,11.78,11.9,5061017.0,0.0,1.0,11.81,12.02,11.78,11.9,5061017.0
2017-10-18,11.78,11.93,11.78,11.81,10706720.0,0.0,1.0,11.78,11.93,11.78,11.81,10706720.0
2017-10-17,11.92,11.96,11.76,11.77,8113373.0,0.0,1.0,11.92,11.96,11.76,11.77,8113373.0
2017-10-16,12.05,12.11,11.895,11.91,6979661.0,0.0,1.0,12.05,12.11,11.895,11.91,6979661.0
2017-10-13,12.21,12.23,11.94,12.04,11693303.0,0.0,1.0,12.21,12.23,11.94,12.04,11693303.0
2017-10-12,12.29,12.32,12.16,12.21,5512300.0,0.0,1.0,12.29,12.32,12.16,12.21,5512300.0
2017-10-11,12.38,12.39,12.28,12.29,5857695.0,0.0,1.0,12.38,12.39,12.28,12.29,5857695.0
2017-10-10,12.38,12.39,12.29,12.33,10736859.0,0.0,1.0,12.38,12.39,12.29,12.33,10736859.0
2017-10-09,12.3,12.3,12.25,12.28,3519269.0,0.0,1.0,12.3,12.3,12.25,12.28,3519269.0
2017-10-06,12.23,12.31,12.23,12.27,2938385.0,0.0,1.0,12.23,12.31,12.23,12.27,2938385.0
2017-10-05,12.28,12.28,12.175,12.26,4063410.0,0.0,1.0,12.28,12.28,12.175,12.26,4063410.0
2017-10-04,12.13,12.27,12.13,12.25,12986222.0,0.0,1.0,12.13,12.27,12.13,12.25,12986222.0
2017-10-03,12.18,12.22,12.11,12.16,41846671.0,0.0,1.0,12.18,12.22,12.11,12.16,41846671.0
2017-10-02,12.0,12.05,11.95,12.03,7488025.0,0.0,1.0,12.0,12.05,11.95,12.03,7488025.0
2017-09-29,11.7,11.98,11.7,11.95,15686024.0,0.0,1.0,11.7,11.98,11.7,11.95,15686024.0
2017-09-28,11.8,11.83,11.65,11.66,7459664.0,0.0,1.0,11.8,11.83,11.65,11.66,7459664.0
2017-09-27,11.93,11.97,11.75,11.8,8828581.0,0.0,1.0,11.93,11.97,11.75,11.8,8828581.0
2017-09-26,12.01,12.03,11.86,11.9,9403873.0,0.0,1.0,12.01,12.03,11.86,11.9,9403873.0
2017-09-25,12.01,12.11,11.97,11.98,3596228.0,0.0,1.0,12.01,12.11,11.97,11.98,3596228.0
2017-09-22,12.13,12.15,12.06,12.11,3455627.0,0.0,1.0,12.13,12.15,12.06,12.11,3455627.0
2017-09-21,12.15,12.17,12.11,12.14,3442113.0,0.0,1.0,12.15,12.17,12.11,12.14,3442113.0
2017-09-20,12.22,12.25,12.12,12.14,6117430.0,0.0,1.0,12.22,12.25,12.12,12.14,6117430.0
2017-09-19,12.2,12.25,12.18,12.24,4572965.0,0.0,1.0,12.2,12.25,12.18,12.24,4572965.0
2017-09-18,12.2,12.265,12.12,12.19,6725667.0,0.0,1.0,12.2,12.265,12.12,12.19,6725667.0
2017-09-15,12.15,12.26,12.105,12.23,10304051.0,0.0,1.0,12.15,12.26,12.105,12.23,10304051.0
2017-09-14,12.19,12.3,12.16,12.17,6725302.0,0.0,1.0,12.19,12.3,12.16,12.17,6725302.0
2017-09-13,12.27,12.32,12.18,12.19,4996691.0,0.0,1.0,12.27,12.32,12.18,12.19,4996691.0
2017-09-12,12.3,12.32,12.235,12.28,4140749.0,0.0,1.0,12.3,12.32,12.235,12.28,4140749.0
2017-09-11,12.33,12.345,12.28,12.29,2564304.0,0.0,1.0,12.33,12.345,12.28,12.29,2564304.0
2017-09-08,12.3,12.34,12.29,12.31,2322543.0,0.055,1.0,12.3,12.34,12.29,12.31,2322543.0
2017-09-07,12.37,12.37,12.32,12.36,3221570.0,0.0,1.0,12.314977759806002,12.314977759806002,12.265200161747,12.305022240193999,3221570.0
2017-09-06,12.35,12.42,12.32,12.38,5796127.0,0.0,1.0,12.295066720582,12.364755357865,12.265200161747,12.324933279418001,5796127.0
2017-09-05,12.36,12.39,12.35,12.36,3265646.0,0.0,1.0,12.305022240193999,12.33488879903,12.295066720582,12.305022240193999,3265646.0
2017-09-01,12.36,12.395,12.34,12.385,2668524.0,0.0,1.0,12.305022240193999,12.339866558835,12.285111200969999,12.329911039224,2668524.0
2017-08-31,12.35,12.39,12.35,12.385,1907110.0,0.0,1.0,12.295066720582,12.33488879903,12.295066720582,12.329911039224,1907110.0
2017-08-30,12.34,12.39,12.32,12.35,3095431.0,0.0,1.0,12.285111200969999,12.33488879903,12.265200161747,12.295066720582,3095431.0
