Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,29.86,29.96,29.27,29.41,955482.0,0.0,1.0,29.86,29.96,29.27,29.41,955482.0
2018-03-26,29.57,30.36,29.18,29.81,482396.0,0.0,1.0,29.57,30.36,29.18,29.81,482396.0
2018-03-23,29.74,30.2,29.11,29.12,583497.0,0.0,1.0,29.74,30.2,29.11,29.12,583497.0
2018-03-22,29.82,30.31,29.085,29.66,648063.0,0.0,1.0,29.82,30.31,29.085,29.66,648063.0
2018-03-21,30.32,30.61,30.03,30.17,593604.0,0.0,1.0,30.32,30.61,30.03,30.17,593604.0
2018-03-20,29.95,30.39,29.95,30.31,324066.0,0.0,1.0,29.95,30.39,29.95,30.31,324066.0
2018-03-19,29.91,30.12,29.54,29.96,385258.0,0.0,1.0,29.91,30.12,29.54,29.96,385258.0
2018-03-16,30.23,30.32,29.57,30.03,596415.0,0.0,1.0,30.23,30.32,29.57,30.03,596415.0
2018-03-15,30.0,30.41,29.57,30.12,301053.0,0.0,1.0,30.0,30.41,29.57,30.12,301053.0
2018-03-14,30.33,31.12,29.97,30.04,293025.0,0.0,1.0,30.33,31.12,29.97,30.04,293025.0
2018-03-13,30.91,30.97,30.09,30.13,1035530.0,0.0,1.0,30.91,30.97,30.09,30.13,1035530.0
2018-03-12,30.9,30.93,30.52,30.74,351699.0,0.0,1.0,30.9,30.93,30.52,30.74,351699.0
2018-03-09,30.41,31.0,29.94,30.91,284865.0,0.0,1.0,30.41,31.0,29.94,30.91,284865.0
2018-03-08,30.27,30.46,30.06,30.35,345072.0,0.0,1.0,30.27,30.46,30.06,30.35,345072.0
2018-03-07,29.57,30.27,29.57,30.09,642945.0,0.0,1.0,29.57,30.27,29.57,30.09,642945.0
2018-03-06,29.82,30.23,29.65,30.17,327088.0,0.0,1.0,29.82,30.23,29.65,30.17,327088.0
2018-03-05,29.64,29.87,29.24,29.65,352830.0,0.0,1.0,29.64,29.87,29.24,29.65,352830.0
2018-03-02,29.26,30.0,29.0018,29.9,417079.0,0.0,1.0,29.26,30.0,29.0018,29.9,417079.0
2018-03-01,30.65,30.675,29.46,29.65,491448.0,0.0,1.0,30.65,30.675,29.46,29.65,491448.0
2018-02-28,31.1,31.38,30.64,30.65,336319.0,0.0,1.0,31.1,31.38,30.64,30.65,336319.0
2018-02-27,31.6,32.71,31.05,31.07,416865.0,0.0,1.0,31.6,32.71,31.05,31.07,416865.0
2018-02-26,31.86,32.0,31.025,31.61,363229.0,0.0,1.0,31.86,32.0,31.025,31.61,363229.0
2018-02-23,31.51,31.96,31.21,31.79,419577.0,0.0,1.0,31.51,31.96,31.21,31.79,419577.0
2018-02-22,31.5,31.9,31.17,31.23,472991.0,0.0,1.0,31.5,31.9,31.17,31.23,472991.0
2018-02-21,30.9,32.08,30.5237,31.5,763343.0,0.0,1.0,30.9,32.08,30.5237,31.5,763343.0
2018-02-20,31.88,32.15,31.29,31.53,366222.0,0.0,1.0,31.88,32.15,31.29,31.53,366222.0
2018-02-16,32.12,32.44,31.9001,32.1,262895.0,0.0,1.0,32.12,32.44,31.9001,32.1,262895.0
2018-02-15,32.38,32.51,31.9,32.3,390400.0,0.0,1.0,32.38,32.51,31.9,32.3,390400.0
2018-02-14,31.03,32.22,30.85,32.19,480027.0,0.0,1.0,31.03,32.22,30.85,32.19,480027.0
2018-02-13,31.08,31.38,30.21,31.19,488736.0,0.0,1.0,31.08,31.38,30.21,31.19,488736.0
2018-02-12,30.82,31.8,30.08,31.43,1083370.0,0.0,1.0,30.82,31.8,30.08,31.43,1083370.0
2018-02-09,33.2,33.36,30.18,30.58,1292687.0,0.0,1.0,33.2,33.36,30.18,30.58,1292687.0
2018-02-08,33.11,33.11,31.55,31.65,635734.0,0.0,1.0,33.11,33.11,31.55,31.65,635734.0
2018-02-07,33.8,33.92,32.4,33.16,587319.0,0.0,1.0,33.8,33.92,32.4,33.16,587319.0
2018-02-06,32.73,34.0,32.47,33.86,826496.0,0.0,1.0,32.73,34.0,32.47,33.86,826496.0
2018-02-05,35.07,35.175,33.33,33.5,438768.0,0.0,1.0,35.07,35.175,33.33,33.5,438768.0
2018-02-02,36.01,36.19,35.32,35.34,320771.0,0.0,1.0,36.01,36.19,35.32,35.34,320771.0
2018-02-01,35.39,36.28,35.33,36.23,434662.0,0.0,1.0,35.39,36.28,35.33,36.23,434662.0
2018-01-31,35.49,36.38,35.43,35.61,656130.0,0.0,1.0,35.49,36.38,35.43,35.61,656130.0
2018-01-30,35.32,35.68,35.09,35.33,557173.0,0.0,1.0,35.32,35.68,35.09,35.33,557173.0
2018-01-29,35.36,35.94,35.36,35.65,368043.0,0.0,1.0,35.36,35.94,35.36,35.65,368043.0
2018-01-26,35.53,35.64,35.22,35.57,488529.0,0.0,1.0,35.53,35.64,35.22,35.57,488529.0
2018-01-25,35.24,35.79,35.145,35.41,328931.0,0.0,1.0,35.24,35.79,35.145,35.41,328931.0
2018-01-24,35.21,35.38,34.88,35.14,503301.0,0.0,1.0,35.21,35.38,34.88,35.14,503301.0
2018-01-23,35.23,35.32,34.6,35.07,316363.0,0.0,1.0,35.23,35.32,34.6,35.07,316363.0
2018-01-22,35.17,35.45,34.87,35.07,338970.0,0.0,1.0,35.17,35.45,34.87,35.07,338970.0
2018-01-19,34.39,35.22,34.39,35.2,771511.0,0.0,1.0,34.39,35.22,34.39,35.2,771511.0
2018-01-18,34.26,34.8,33.8,34.26,570164.0,0.0,1.0,34.26,34.8,33.8,34.26,570164.0
2018-01-17,34.45,34.76,34.05,34.22,817303.0,0.0,1.0,34.45,34.76,34.05,34.22,817303.0
2018-01-16,35.13,35.22,34.12,34.2,409049.0,0.0,1.0,35.13,35.22,34.12,34.2,409049.0
2018-01-12,34.54,35.03,34.11,34.97,510177.0,0.0,1.0,34.54,35.03,34.11,34.97,510177.0
2018-01-11,34.9,34.94,34.34,34.5,623741.0,0.0,1.0,34.9,34.94,34.34,34.5,623741.0
2018-01-10,35.28,35.46,34.39,34.75,662787.0,0.0,1.0,35.28,35.46,34.39,34.75,662787.0
2018-01-09,36.41,36.43,35.29,35.51,600703.0,0.0,1.0,36.41,36.43,35.29,35.51,600703.0
2018-01-08,35.89,36.49,35.89,36.22,364525.0,0.0,1.0,35.89,36.49,35.89,36.22,364525.0
2018-01-05,35.36,36.18,35.36,35.99,387579.0,0.0,1.0,35.36,36.18,35.36,35.99,387579.0
2018-01-04,35.04,35.57,34.92,34.99,552294.0,0.0,1.0,35.04,35.57,34.92,34.99,552294.0
2018-01-03,34.47,34.895,34.32,34.81,348575.0,0.0,1.0,34.47,34.895,34.32,34.81,348575.0
2018-01-02,34.5,34.74,34.365,34.52,313000.0,0.0,1.0,34.5,34.74,34.365,34.52,313000.0
2017-12-29,34.43,34.6,34.23,34.32,275227.0,0.0,1.0,34.43,34.6,34.23,34.32,275227.0
2017-12-28,34.32,34.47,34.095,34.42,239049.0,0.0,1.0,34.32,34.47,34.095,34.42,239049.0
2017-12-27,34.24,34.36,34.05,34.28,215043.0,0.0,1.0,34.24,34.36,34.05,34.28,215043.0
2017-12-26,34.07,34.25,33.83,34.11,281746.0,0.0,1.0,34.07,34.25,33.83,34.11,281746.0
