Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.32,51.43,50.36,50.56,491348.0,0.0,1.0,51.32,51.43,50.36,50.56,491348.0
2018-03-26,50.53,51.16,50.08,51.04,423917.0,0.0,1.0,50.53,51.16,50.08,51.04,423917.0
2018-03-23,50.94,51.25,49.9,49.94,755583.0,0.0,1.0,50.94,51.25,49.9,49.94,755583.0
2018-03-22,52.25,52.55,50.91,50.93,583520.0,0.0,1.0,52.25,52.55,50.91,50.93,583520.0
2018-03-21,52.74,52.88,52.26,52.57,653306.0,0.0,1.0,52.74,52.88,52.26,52.57,653306.0
2018-03-20,52.69,53.16,52.69,52.86,745197.0,0.0,1.0,52.69,53.16,52.69,52.86,745197.0
2018-03-19,52.69,52.99,52.34,52.62,429579.0,0.0,1.0,52.69,52.99,52.34,52.62,429579.0
2018-03-16,52.64,52.94,52.32,52.75,1071009.0,0.0,1.0,52.64,52.94,52.32,52.75,1071009.0
2018-03-15,52.58,52.83,52.37,52.54,621789.0,0.0,1.0,52.58,52.83,52.37,52.54,621789.0
2018-03-14,52.91,52.99,52.32,52.54,493572.0,0.0,1.0,52.91,52.99,52.32,52.54,493572.0
2018-03-13,53.46,53.46,52.635,52.8,513885.0,0.0,1.0,53.46,53.46,52.635,52.8,513885.0
2018-03-12,53.55,53.82,53.11,53.33,427400.0,0.0,1.0,53.55,53.82,53.11,53.33,427400.0
2018-03-09,52.72,53.7,52.72,53.63,686278.0,0.0,1.0,52.72,53.7,52.72,53.63,686278.0
2018-03-08,52.73,52.78,52.18,52.57,795898.0,0.0,1.0,52.73,52.78,52.18,52.57,795898.0
2018-03-07,52.67,52.9,52.41,52.55,1166920.0,0.0,1.0,52.67,52.9,52.41,52.55,1166920.0
2018-03-06,52.95,53.07,52.33,53.01,946506.0,0.0,1.0,52.95,53.07,52.33,53.01,946506.0
2018-03-05,52.04,53.02,51.66,52.84,564428.0,0.0,1.0,52.04,53.02,51.66,52.84,564428.0
2018-03-02,51.71,52.39,51.34,52.27,364922.0,0.0,1.0,51.71,52.39,51.34,52.27,364922.0
2018-03-01,52.75,52.87,51.62,51.94,518344.0,0.0,1.0,52.75,52.87,51.62,51.94,518344.0
2018-02-28,53.36,53.87,52.61,52.64,611976.0,0.0,1.0,53.36,53.87,52.61,52.64,611976.0
2018-02-27,53.34,53.81,53.07,53.23,618077.0,0.0,1.0,53.34,53.81,53.07,53.23,618077.0
2018-02-26,53.07,53.39,52.72,53.38,285158.0,0.0,1.0,53.07,53.39,52.72,53.38,285158.0
2018-02-23,52.34,52.93,52.2,52.88,229608.0,0.0,1.0,52.34,52.93,52.2,52.88,229608.0
2018-02-22,52.65,52.86,52.09,52.25,447953.0,0.0,1.0,52.65,52.86,52.09,52.25,447953.0
2018-02-21,52.6,53.35,52.49,52.5,395058.0,0.0,1.0,52.6,53.35,52.49,52.5,395058.0
2018-02-20,52.62,53.08,52.38,52.61,387528.0,0.0,1.0,52.62,53.08,52.38,52.61,387528.0
2018-02-16,52.44,52.93,52.44,52.7,448797.0,0.0,1.0,52.44,52.93,52.44,52.7,448797.0
2018-02-15,52.72,53.06,52.43,52.64,589647.0,0.0,1.0,52.72,53.06,52.43,52.64,589647.0
2018-02-14,51.32,52.45,51.2,52.44,521185.0,0.0,1.0,51.32,52.45,51.2,52.44,521185.0
2018-02-13,50.89,51.77,50.78,51.56,529826.0,0.0,1.0,50.89,51.77,50.78,51.56,529826.0
2018-02-12,50.77,51.58,50.57,51.12,871793.0,0.0,1.0,50.77,51.58,50.57,51.12,871793.0
2018-02-09,50.56,50.74,49.42,50.49,939117.0,0.0,1.0,50.56,50.74,49.42,50.49,939117.0
2018-02-08,51.76,52.13,50.1,50.11,747268.0,0.0,1.0,51.76,52.13,50.1,50.11,747268.0
2018-02-07,51.6,52.16,51.15,51.77,710427.0,0.0,1.0,51.6,52.16,51.15,51.77,710427.0
2018-02-06,50.77,51.78,50.31,51.66,1093712.0,0.0,1.0,50.77,51.78,50.31,51.66,1093712.0
2018-02-05,52.55,53.125,51.46,51.48,559363.0,0.0,1.0,52.55,53.125,51.46,51.48,559363.0
2018-02-02,53.01,53.47,52.85,52.98,534077.0,0.0,1.0,53.01,53.47,52.85,52.98,534077.0
2018-02-01,52.32,53.29,52.235,53.19,600443.0,0.0,1.0,52.32,53.29,52.235,53.19,600443.0
2018-01-31,52.77,52.83,52.33,52.48,852603.0,0.0,1.0,52.77,52.83,52.33,52.48,852603.0
2018-01-30,52.98,53.53,52.77,52.87,510483.0,0.0,1.0,52.98,53.53,52.77,52.87,510483.0
2018-01-29,53.62,53.75,53.11,53.15,446814.0,0.0,1.0,53.62,53.75,53.11,53.15,446814.0
2018-01-26,53.03,53.77,52.92,53.77,463631.0,0.0,1.0,53.03,53.77,52.92,53.77,463631.0
2018-01-25,52.85,53.2399,52.6,52.97,1073466.0,0.0,1.0,52.85,53.2399,52.6,52.97,1073466.0
2018-01-24,52.23,53.39,52.1,52.89,1648484.0,0.0,1.0,52.23,53.39,52.1,52.89,1648484.0
2018-01-23,53.54,53.72,51.75,52.05,2869077.0,0.0,1.0,53.54,53.72,51.75,52.05,2869077.0
2018-01-22,52.51,52.82,52.01,52.25,1656356.0,0.0,1.0,52.51,52.82,52.01,52.25,1656356.0
2018-01-19,52.57,52.79,52.15,52.5,725331.0,0.0,1.0,52.57,52.79,52.15,52.5,725331.0
2018-01-18,52.58,52.71,52.12,52.36,706140.0,0.0,1.0,52.58,52.71,52.12,52.36,706140.0
2018-01-17,52.49,52.81,52.42,52.58,451896.0,0.0,1.0,52.49,52.81,52.42,52.58,451896.0
2018-01-16,52.57,52.82,52.28,52.37,297604.0,0.0,1.0,52.57,52.82,52.28,52.37,297604.0
2018-01-12,52.41,52.51,52.11,52.42,271368.0,0.0,1.0,52.41,52.51,52.11,52.42,271368.0
2018-01-11,52.21,52.46,52.05,52.2,374913.0,0.0,1.0,52.21,52.46,52.05,52.2,374913.0
2018-01-10,52.6,52.68,52.15,52.22,407129.0,0.0,1.0,52.6,52.68,52.15,52.22,407129.0
2018-01-09,52.22,52.86,52.22,52.55,465539.0,0.0,1.0,52.22,52.86,52.22,52.55,465539.0
2018-01-08,52.37,52.42,52.1,52.13,346099.0,0.0,1.0,52.37,52.42,52.1,52.13,346099.0
2018-01-05,52.02,52.42,51.84,52.29,362527.0,0.0,1.0,52.02,52.42,51.84,52.29,362527.0
2018-01-04,51.92,52.3,51.79,51.8,359222.0,0.0,1.0,51.92,52.3,51.79,51.8,359222.0
2018-01-03,51.38,51.82,51.19,51.66,318514.0,0.0,1.0,51.38,51.82,51.19,51.66,318514.0
2018-01-02,51.65,51.78,50.91,51.08,692552.0,0.0,1.0,51.65,51.78,50.91,51.08,692552.0
2017-12-29,51.76,51.99,51.45,51.46,288119.0,0.0,1.0,51.76,51.99,51.45,51.46,288119.0
2017-12-28,51.57,51.82,51.43,51.78,383092.0,0.0,1.0,51.57,51.82,51.43,51.78,383092.0
2017-12-27,51.48,51.87,51.36,51.56,304719.0,0.0,1.0,51.48,51.87,51.36,51.56,304719.0
2017-12-26,51.27,51.66,51.17,51.44,212609.0,0.0,1.0,51.27,51.66,51.17,51.44,212609.0
2017-12-22,51.325,51.5,50.96,51.11,256424.0,0.0,1.0,51.325,51.5,50.96,51.11,256424.0
2017-12-21,51.36,51.62,51.13,51.35,398935.0,0.0,1.0,51.36,51.62,51.13,51.35,398935.0
2017-12-20,51.655,51.96,51.37,51.39,395305.0,0.0,1.0,51.655,51.96,51.37,51.39,395305.0
2017-12-19,51.61,51.84,51.46,51.5,447253.0,0.0,1.0,51.61,51.84,51.46,51.5,447253.0
2017-12-18,51.68,51.785,51.23,51.47,421799.0,0.0,1.0,51.68,51.785,51.23,51.47,421799.0
2017-12-15,51.2,51.8,51.05,51.18,1150821.0,0.0,1.0,51.2,51.8,51.05,51.18,1150821.0
