Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,45.16,45.65,44.88,45.01,423386.0,0.0,1.0,45.16,45.65,44.88,45.01,423386.0
2018-03-26,44.63,45.02,44.03,44.96,317973.0,0.0,1.0,44.63,45.02,44.03,44.96,317973.0
2018-03-23,45.23,45.36,44.1,44.14,404904.0,0.0,1.0,45.23,45.36,44.1,44.14,404904.0
2018-03-22,45.83,45.92,45.2,45.21,338952.0,0.0,1.0,45.83,45.92,45.2,45.21,338952.0
2018-03-21,46.12,46.46,46.06,46.11,188493.0,0.0,1.0,46.12,46.46,46.06,46.11,188493.0
2018-03-20,46.38,46.43,45.99,46.13,241826.0,0.0,1.0,46.38,46.43,45.99,46.13,241826.0
2018-03-19,46.35,46.44,45.85,46.38,260278.0,0.0,1.0,46.35,46.44,45.85,46.38,260278.0
2018-03-16,46.08,46.66,46.08,46.49,536540.0,0.0,1.0,46.08,46.66,46.08,46.49,536540.0
2018-03-15,46.13,46.32,45.88,45.99,393515.0,0.0,1.0,46.13,46.32,45.88,45.99,393515.0
2018-03-14,46.29,46.5,46.0,46.1,388396.0,0.0,1.0,46.29,46.5,46.0,46.1,388396.0
2018-03-13,46.98,47.18,46.2,46.32,326699.0,0.0,1.0,46.98,47.18,46.2,46.32,326699.0
2018-03-12,46.71,47.01,46.575,46.83,301536.0,0.0,1.0,46.71,47.01,46.575,46.83,301536.0
2018-03-09,46.13,46.9,46.06,46.74,348166.0,0.0,1.0,46.13,46.9,46.06,46.74,348166.0
2018-03-08,46.22,46.43,45.76,45.94,290241.0,0.0,1.0,46.22,46.43,45.76,45.94,290241.0
2018-03-07,45.32,46.31,45.32,46.16,450813.0,0.0,1.0,45.32,46.31,45.32,46.16,450813.0
2018-03-06,45.88,45.99,45.26,45.57,726262.0,0.0,1.0,45.88,45.99,45.26,45.57,726262.0
2018-03-05,45.55,46.29,45.37,45.92,632389.0,0.0,1.0,45.55,46.29,45.37,45.92,632389.0
2018-03-02,45.16,45.89,45.16,45.82,383429.0,0.0,1.0,45.16,45.89,45.16,45.82,383429.0
2018-03-01,45.55,46.03,45.11,45.52,476476.0,0.0,1.0,45.55,46.03,45.11,45.52,476476.0
2018-02-28,45.68,46.34,45.4,45.5,766524.0,0.0,1.0,45.68,46.34,45.4,45.5,766524.0
2018-02-27,46.64,47.0,45.39,45.46,398091.0,0.0,1.0,46.64,47.0,45.39,45.46,398091.0
2018-02-26,45.99,46.2,45.47,45.97,299001.0,0.0,1.0,45.99,46.2,45.47,45.97,299001.0
2018-02-23,45.51,45.8,45.21,45.78,382399.0,0.0,1.0,45.51,45.8,45.21,45.78,382399.0
2018-02-22,45.36,45.64,45.2,45.27,303419.0,0.0,1.0,45.36,45.64,45.2,45.27,303419.0
2018-02-21,45.24,45.86,45.12,45.22,400198.0,0.0,1.0,45.24,45.86,45.12,45.22,400198.0
2018-02-20,45.43,45.68,45.1,45.25,364177.0,0.0,1.0,45.43,45.68,45.1,45.25,364177.0
2018-02-16,45.45,45.9,45.38,45.59,293325.0,0.0,1.0,45.45,45.9,45.38,45.59,293325.0
2018-02-15,45.08,45.59,44.795,45.52,377646.0,0.0,1.0,45.08,45.59,44.795,45.52,377646.0
2018-02-14,43.31,44.95,43.11,44.77,1079901.0,0.0,1.0,43.31,44.95,43.11,44.77,1079901.0
2018-02-13,43.1,43.77,42.98,43.45,930374.0,0.0,1.0,43.1,43.77,42.98,43.45,930374.0
