Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,94.0,94.0,90.96,91.44,163736.0,0.0,1.0,94.0,94.0,90.96,91.44,163736.0
2018-03-26,92.77,93.68,92.06,93.52,235122.0,0.0,1.0,92.77,93.68,92.06,93.52,235122.0
2018-03-23,93.2,93.78,91.09,91.28,171232.0,0.0,1.0,93.2,93.78,91.09,91.28,171232.0
2018-03-22,95.08,95.43,92.67,92.77,359835.0,0.0,1.0,95.08,95.43,92.67,92.77,359835.0
2018-03-21,95.1,96.23,94.585,95.74,194075.0,0.0,1.0,95.1,96.23,94.585,95.74,194075.0
2018-03-20,94.52,96.39,94.52,95.27,154010.0,0.0,1.0,94.52,96.39,94.52,95.27,154010.0
2018-03-19,94.46,94.88,93.44,94.52,128540.0,0.0,1.0,94.46,94.88,93.44,94.52,128540.0
2018-03-16,94.02,95.21,93.48,94.73,345542.0,0.0,1.0,94.02,95.21,93.48,94.73,345542.0
2018-03-15,94.61,95.19,93.68,94.52,122254.0,0.0,1.0,94.61,95.19,93.68,94.52,122254.0
2018-03-14,95.63,95.72,94.01,94.48,226628.0,0.0,1.0,95.63,95.72,94.01,94.48,226628.0
2018-03-13,96.0,96.25,94.78,95.03,202238.0,0.0,1.0,96.0,96.25,94.78,95.03,202238.0
2018-03-12,97.1,97.28,95.31,95.89,357918.0,0.0,1.0,97.1,97.28,95.31,95.89,357918.0
2018-03-09,95.57,97.05,95.01,96.92,311891.0,0.0,1.0,95.57,97.05,95.01,96.92,311891.0
2018-03-08,94.32,95.19,93.54,94.81,196763.0,0.0,1.0,94.32,95.19,93.54,94.81,196763.0
2018-03-07,92.4,94.22,92.4,93.98,268465.0,0.0,1.0,92.4,94.22,92.4,93.98,268465.0
2018-03-06,93.65,93.9,92.5348,93.48,260979.0,0.0,1.0,93.65,93.9,92.5348,93.48,260979.0
2018-03-05,91.35,93.63,91.25,93.11,449294.0,0.0,1.0,91.35,93.63,91.25,93.11,449294.0
2018-03-02,89.72,92.02,89.2401,91.86,234441.0,0.0,1.0,89.72,92.02,89.2401,91.86,234441.0
2018-03-01,91.56,92.29,89.86,90.33,273887.0,0.0,1.0,91.56,92.29,89.86,90.33,273887.0
2018-02-28,93.7,94.97,92.3,92.31,241166.0,0.0,1.0,93.7,94.97,92.3,92.31,241166.0
2018-02-27,94.43,95.34,93.36,93.36,252769.0,0.0,1.0,94.43,95.34,93.36,93.36,252769.0
2018-02-26,94.59,95.0,93.7001,94.85,240505.0,0.0,1.0,94.59,95.0,93.7001,94.85,240505.0
2018-02-23,94.73,95.19,93.25,94.23,143040.0,0.0,1.0,94.73,95.19,93.25,94.23,143040.0
2018-02-22,93.74,95.39,93.41,94.12,194531.0,0.0,1.0,93.74,95.39,93.41,94.12,194531.0
2018-02-21,93.93,95.19,93.5,93.52,254267.0,0.0,1.0,93.93,95.19,93.5,93.52,254267.0
2018-02-20,93.98,94.89,93.29,93.7,285965.0,0.0,1.0,93.98,94.89,93.29,93.7,285965.0
2018-02-16,93.77,95.58,93.67,94.59,184677.0,0.0,1.0,93.77,95.58,93.67,94.59,184677.0
2018-02-15,93.44,94.31,92.29,94.28,208955.0,0.0,1.0,93.44,94.31,92.29,94.28,208955.0
2018-02-14,89.81,92.89,89.81,92.76,327953.0,0.0,1.0,89.81,92.89,89.81,92.76,327953.0
2018-02-13,90.12,90.95,89.635,90.63,226933.0,0.0,1.0,90.12,90.95,89.635,90.63,226933.0
2018-02-12,90.16,91.04,89.23,90.48,320207.0,0.0,1.0,90.16,91.04,89.23,90.48,320207.0
2018-02-09,90.37,90.52,87.29,89.45,407576.0,0.0,1.0,90.37,90.52,87.29,89.45,407576.0
2018-02-08,93.3,93.53,89.37,89.45,363650.0,0.0,1.0,93.3,93.53,89.37,89.45,363650.0
2018-02-07,93.1,94.37899999999999,92.93,93.09,288832.0,0.0,1.0,93.1,94.37899999999999,92.93,93.09,288832.0
