Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.28,19.67,19.02,19.41,1292952.0,0.0,1.0,19.28,19.67,19.02,19.41,1292952.0
2018-03-26,19.85,19.92,19.06,19.27,1060535.0,0.0,1.0,19.85,19.92,19.06,19.27,1060535.0
2018-03-23,20.44,20.59,19.47,19.49,1139690.0,0.0,1.0,20.44,20.59,19.47,19.49,1139690.0
2018-03-22,20.75,20.96,20.45,20.46,776370.0,0.0,1.0,20.75,20.96,20.45,20.46,776370.0
2018-03-21,20.8,21.24,20.8,20.97,706817.0,0.0,1.0,20.8,21.24,20.8,20.97,706817.0
2018-03-20,20.8,20.96,20.64,20.77,702227.0,0.0,1.0,20.8,20.96,20.64,20.77,702227.0
2018-03-19,21.28,21.38,20.63,20.78,1016229.0,0.0,1.0,21.28,21.38,20.63,20.78,1016229.0
2018-03-16,21.35,21.6,21.25,21.49,1302905.0,0.0,1.0,21.35,21.6,21.25,21.49,1302905.0
2018-03-15,21.41,21.57,21.055,21.33,651743.0,0.0,1.0,21.41,21.57,21.055,21.33,651743.0
2018-03-14,21.71,21.82,21.37,21.4,545223.0,0.0,1.0,21.71,21.82,21.37,21.4,545223.0
2018-03-13,22.06,22.14,21.655,21.75,462466.0,0.0,1.0,22.06,22.14,21.655,21.75,462466.0
2018-03-12,21.56,22.01,21.33,21.93,854620.0,0.0,1.0,21.56,22.01,21.33,21.93,854620.0
2018-03-09,21.24,21.61,21.14,21.52,886601.0,0.0,1.0,21.24,21.61,21.14,21.52,886601.0
2018-03-08,21.78,21.82,21.08,21.21,670881.0,0.0,1.0,21.78,21.82,21.08,21.21,670881.0
2018-03-07,21.55,21.81,21.44,21.76,728153.0,0.0,1.0,21.55,21.81,21.44,21.76,728153.0
2018-03-06,21.51,22.0,21.32,21.71,777672.0,0.0,1.0,21.51,22.0,21.32,21.71,777672.0
2018-03-05,21.23,21.51,20.97,21.29,754746.0,0.0,1.0,21.23,21.51,20.97,21.29,754746.0
2018-03-02,21.03,21.35,20.83,21.31,661529.0,0.0,1.0,21.03,21.35,20.83,21.31,661529.0
2018-03-01,20.7,21.57,20.7,21.32,904760.0,0.0,1.0,20.7,21.57,20.7,21.32,904760.0
2018-02-28,20.95,21.285,20.775,20.79,1547678.0,0.0,1.0,20.95,21.285,20.775,20.79,1547678.0
2018-02-27,21.84,21.97,20.79,20.79,803666.0,0.0,1.0,21.84,21.97,20.79,20.79,803666.0
2018-02-26,22.11,22.115,21.76,21.86,566821.0,0.0,1.0,22.11,22.115,21.76,21.86,566821.0
2018-02-23,21.81,22.265,21.78,22.11,705415.0,0.0,1.0,21.81,22.265,21.78,22.11,705415.0
2018-02-22,21.78,22.09,21.57,21.67,668512.0,0.0,1.0,21.78,22.09,21.57,21.67,668512.0
2018-02-21,21.23,21.97,21.08,21.63,905785.0,0.0,1.0,21.23,21.97,21.08,21.63,905785.0
2018-02-20,21.17,21.72,21.11,21.27,716332.0,0.0,1.0,21.17,21.72,21.11,21.27,716332.0
2018-02-16,21.61,21.95,21.28,21.31,1137834.0,0.0,1.0,21.61,21.95,21.28,21.31,1137834.0
2018-02-15,21.42,22.24,20.63,21.47,1584392.0,0.0,1.0,21.42,22.24,20.63,21.47,1584392.0
2018-02-14,21.22,21.79,21.05,21.66,1967612.0,0.0,1.0,21.22,21.79,21.05,21.66,1967612.0
2018-02-13,20.1,21.39,20.1,21.26,1615176.0,0.0,1.0,20.1,21.39,20.1,21.26,1615176.0
2018-02-12,20.19,20.36,19.59,20.22,836945.0,0.0,1.0,20.19,20.36,19.59,20.22,836945.0
2018-02-09,20.06,20.29,19.75,20.14,771764.0,0.0,1.0,20.06,20.29,19.75,20.14,771764.0
2018-02-08,20.38,20.7,19.91,19.92,825506.0,0.0,1.0,20.38,20.7,19.91,19.92,825506.0
2018-02-07,20.71,21.02,20.37,20.37,904802.0,0.0,1.0,20.71,21.02,20.37,20.37,904802.0
2018-02-06,20.92,21.39,20.56,20.72,1049656.0,0.0,1.0,20.92,21.39,20.56,20.72,1049656.0
2018-02-05,22.08,22.2,20.72,21.38,1582535.0,0.0,1.0,22.08,22.2,20.72,21.38,1582535.0
2018-02-02,22.67,22.81,22.21,22.31,689552.0,0.0,1.0,22.67,22.81,22.21,22.31,689552.0
2018-02-01,23.15,23.38,22.83,22.87,662409.0,0.0,1.0,23.15,23.38,22.83,22.87,662409.0
2018-01-31,22.95,23.3,22.76,23.21,953837.0,0.0,1.0,22.95,23.3,22.76,23.21,953837.0
2018-01-30,22.82,22.96,22.523000000000003,22.8,684341.0,0.0,1.0,22.82,22.96,22.523000000000003,22.8,684341.0
2018-01-29,24.19,24.19,22.96,23.06,1464104.0,0.0,1.0,24.19,24.19,22.96,23.06,1464104.0
2018-01-26,22.9,24.14,22.09,24.03,2034154.0,0.0,1.0,22.9,24.14,22.09,24.03,2034154.0
2018-01-25,22.62,22.8,22.24,22.78,1436089.0,0.0,1.0,22.62,22.8,22.24,22.78,1436089.0
2018-01-24,22.31,22.72,22.16,22.57,818196.0,0.0,1.0,22.31,22.72,22.16,22.57,818196.0
2018-01-23,22.53,22.54,21.99,22.24,659900.0,0.0,1.0,22.53,22.54,21.99,22.24,659900.0
2018-01-22,22.35,22.58,22.11,22.43,590849.0,0.0,1.0,22.35,22.58,22.11,22.43,590849.0
2018-01-19,22.05,22.4,21.97,22.34,561640.0,0.0,1.0,22.05,22.4,21.97,22.34,561640.0
2018-01-18,22.18,22.2,21.76,21.98,901800.0,0.0,1.0,22.18,22.2,21.76,21.98,901800.0
2018-01-17,22.71,22.71,22.13,22.22,1160437.0,0.0,1.0,22.71,22.71,22.13,22.22,1160437.0
2018-01-16,22.42,22.92,22.42,22.54,1030168.0,0.0,1.0,22.42,22.92,22.42,22.54,1030168.0
2018-01-12,22.54,22.54,21.92,22.32,1168314.0,0.0,1.0,22.54,22.54,21.92,22.32,1168314.0
2018-01-11,21.82,22.61,21.66,22.61,1405147.0,0.0,1.0,21.82,22.61,21.66,22.61,1405147.0
2018-01-10,22.44,22.455,21.675,21.7,1100848.0,0.0,1.0,22.44,22.455,21.675,21.7,1100848.0
2018-01-09,23.55,23.57,22.37,22.44,1151627.0,0.0,1.0,23.55,23.57,22.37,22.44,1151627.0
2018-01-08,22.73,23.69,22.725,23.55,1204292.0,0.0,1.0,22.73,23.69,22.725,23.55,1204292.0
2018-01-05,22.64,22.8,22.295,22.73,987766.0,0.0,1.0,22.64,22.8,22.295,22.73,987766.0
2018-01-04,22.92,22.975,22.53,22.59,861948.0,0.0,1.0,22.92,22.975,22.53,22.59,861948.0
2018-01-03,22.59,22.98,22.59,22.86,986099.0,0.0,1.0,22.59,22.98,22.59,22.86,986099.0
2018-01-02,22.57,22.68,22.19,22.55,955969.0,0.0,1.0,22.57,22.68,22.19,22.55,955969.0
2017-12-29,21.93,22.76,21.77,22.5,2423108.0,0.0,1.0,21.93,22.76,21.77,22.5,2423108.0
2017-12-28,22.35,22.44,22.1,22.36,2722106.0,0.0,1.0,22.35,22.44,22.1,22.36,2722106.0
2017-12-27,22.45,22.55,22.03,22.36,1989725.0,0.0,1.0,22.45,22.55,22.03,22.36,1989725.0
2017-12-26,22.33,22.59,22.29,22.4,338590.0,0.0,1.0,22.33,22.59,22.29,22.4,338590.0
2017-12-22,22.04,22.5686,21.98,22.36,726690.0,0.0,1.0,22.04,22.5686,21.98,22.36,726690.0
2017-12-21,22.095,22.27,21.92,22.14,589333.0,0.0,1.0,22.095,22.27,21.92,22.14,589333.0
