Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,18.25,18.25,17.02,17.15,7168488.0,0.0,1.0,18.25,18.25,17.02,17.15,7168488.0
2018-03-26,17.62,18.09,17.46,18.08,5861945.0,0.0,1.0,17.62,18.09,17.46,18.08,5861945.0
2018-03-23,17.68,17.75,17.225,17.24,8158839.0,0.0,1.0,17.68,17.75,17.225,17.24,8158839.0
2018-03-22,18.0,18.18,17.58,17.67,6334292.0,0.0,1.0,18.0,18.18,17.58,17.67,6334292.0
2018-03-21,18.2,18.47,18.06,18.24,4129488.0,0.0,1.0,18.2,18.47,18.06,18.24,4129488.0
2018-03-20,17.97,18.24,17.9,18.18,4420340.0,0.0,1.0,17.97,18.24,17.9,18.18,4420340.0
2018-03-19,18.53,18.57,17.555,17.97,11279516.0,0.0,1.0,18.53,18.57,17.555,17.97,11279516.0
2018-03-16,18.52,18.715,18.26,18.6,12768012.0,0.0,1.0,18.52,18.715,18.26,18.6,12768012.0
2018-03-15,18.48,18.645,18.311,18.41,4790162.0,0.0,1.0,18.48,18.645,18.311,18.41,4790162.0
2018-03-14,18.4,18.6,18.225,18.46,4713327.0,0.0,1.0,18.4,18.6,18.225,18.46,4713327.0
2018-03-13,18.75,18.8722,18.26,18.33,5894421.0,0.0,1.0,18.75,18.8722,18.26,18.33,5894421.0
2018-03-12,18.51,18.72,18.42,18.62,4783050.0,0.0,1.0,18.51,18.72,18.42,18.62,4783050.0
2018-03-09,18.29,18.55,18.27,18.41,5193282.0,0.0,1.0,18.29,18.55,18.27,18.41,5193282.0
2018-03-08,18.29,18.29,17.99,18.14,3839205.0,0.0,1.0,18.29,18.29,17.99,18.14,3839205.0
2018-03-07,17.79,18.29,17.7604,18.1,5705545.0,0.0,1.0,17.79,18.29,17.7604,18.1,5705545.0
2018-03-06,17.74,18.27,17.68,18.07,9396580.0,0.0,1.0,17.74,18.27,17.68,18.07,9396580.0
2018-03-05,17.24,17.73,17.2,17.64,4490993.0,0.0,1.0,17.24,17.73,17.2,17.64,4490993.0
2018-03-02,16.61,17.6382,16.6,17.6,6610882.0,0.0,1.0,16.61,17.6382,16.6,17.6,6610882.0
2018-03-01,17.42,17.46,16.61,16.94,6186640.0,0.0,1.0,17.42,17.46,16.61,16.94,6186640.0
2018-02-28,17.57,17.77,17.39,17.47,4258612.0,0.0,1.0,17.57,17.77,17.39,17.47,4258612.0
2018-02-27,17.52,17.97,17.47,17.49,5571278.0,0.0,1.0,17.52,17.97,17.47,17.49,5571278.0
2018-02-26,17.33,17.64,17.2201,17.61,5655000.0,0.0,1.0,17.33,17.64,17.2201,17.61,5655000.0
2018-02-23,17.0,17.25,16.865,17.25,4480709.0,0.0,1.0,17.0,17.25,16.865,17.25,4480709.0
2018-02-22,16.93,17.05,16.74,16.85,4579752.0,0.0,1.0,16.93,17.05,16.74,16.85,4579752.0
2018-02-21,16.89,17.15,16.74,16.85,7760200.0,0.0,1.0,16.89,17.15,16.74,16.85,7760200.0
