Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,44.8,44.85,43.94,44.07,463344.0,0.0,1.0,44.8,44.85,43.94,44.07,463344.0
2018-03-26,44.49,44.82,44.01,44.74,375092.0,0.0,1.0,44.49,44.82,44.01,44.74,375092.0
2018-03-23,44.18,44.66,43.86,43.86,465564.0,0.0,1.0,44.18,44.66,43.86,43.86,465564.0
2018-03-22,45.57,45.76,44.14,44.15,507187.0,0.0,1.0,45.57,45.76,44.14,44.15,507187.0
2018-03-21,45.66,46.34,45.5,45.91,520635.0,0.0,1.0,45.66,46.34,45.5,45.91,520635.0
2018-03-20,45.24,45.86,45.14,45.59,477526.0,0.0,1.0,45.24,45.86,45.14,45.59,477526.0
2018-03-19,45.06,45.31,44.81,45.24,418835.0,0.0,1.0,45.06,45.31,44.81,45.24,418835.0
2018-03-16,45.11,45.44,44.65,45.26,859238.0,0.0,1.0,45.11,45.44,44.65,45.26,859238.0
2018-03-15,45.26,45.64,44.99,45.01,449739.0,0.0,1.0,45.26,45.64,44.99,45.01,449739.0
2018-03-14,45.55,45.6,45.14,45.23,593712.0,0.0,1.0,45.55,45.6,45.14,45.23,593712.0
2018-03-13,45.7,45.85,45.21,45.37,737148.0,0.0,1.0,45.7,45.85,45.21,45.37,737148.0
2018-03-12,45.64,45.82,45.23,45.56,767114.0,0.0,1.0,45.64,45.82,45.23,45.56,767114.0
2018-03-09,45.13,45.55,44.79,45.55,471049.0,0.0,1.0,45.13,45.55,44.79,45.55,471049.0
2018-03-08,44.6,44.93,44.03,44.92,553492.0,0.0,1.0,44.6,44.93,44.03,44.92,553492.0
2018-03-07,44.74,45.71,43.77,44.36,1051839.0,0.0,1.0,44.74,45.71,43.77,44.36,1051839.0
2018-03-06,45.87,46.41,44.11,44.89,1582997.0,0.0,1.0,45.87,46.41,44.11,44.89,1582997.0
2018-03-05,46.73,47.16,46.35,47.03,418362.0,0.0,1.0,46.73,47.16,46.35,47.03,418362.0
2018-03-02,46.45,46.99,46.22,46.9,303086.0,0.0,1.0,46.45,46.99,46.22,46.9,303086.0
2018-03-01,47.35,47.71,46.45,46.85,286278.0,0.0,1.0,47.35,47.71,46.45,46.85,286278.0
2018-02-28,48.21,48.55,47.44,47.46,388098.0,0.0,1.0,48.21,48.55,47.44,47.46,388098.0
2018-02-27,48.98,49.35,48.2,48.2,397802.0,0.0,1.0,48.98,49.35,48.2,48.2,397802.0
2018-02-26,48.78,49.12,48.29,49.01,209321.0,0.0,1.0,48.78,49.12,48.29,49.01,209321.0
2018-02-23,48.55,48.5697,47.84,48.49,266423.0,0.0,1.0,48.55,48.5697,47.84,48.49,266423.0
2018-02-22,48.14,48.79,47.86,48.34,354962.0,0.0,1.0,48.14,48.79,47.86,48.34,354962.0
2018-02-21,47.66,48.71,47.42,47.96,349684.0,0.0,1.0,47.66,48.71,47.42,47.96,349684.0
2018-02-20,47.83,48.42,47.57,47.66,422296.0,0.0,1.0,47.83,48.42,47.57,47.66,422296.0
2018-02-16,48.09,48.39,47.71,48.12,675108.0,0.0,1.0,48.09,48.39,47.71,48.12,675108.0
2018-02-15,48.08,48.26,47.67,48.18,424478.0,0.0,1.0,48.08,48.26,47.67,48.18,424478.0
2018-02-14,46.55,47.93,46.28,47.85,1527470.0,0.0,1.0,46.55,47.93,46.28,47.85,1527470.0
2018-02-13,46.51,46.94,46.11,46.78,442956.0,0.0,1.0,46.51,46.94,46.11,46.78,442956.0
2018-02-12,46.44,47.33,46.2,46.9,498600.0,0.0,1.0,46.44,47.33,46.2,46.9,498600.0
2018-02-09,46.53,46.59,44.8497,46.22,536057.0,0.0,1.0,46.53,46.59,44.8497,46.22,536057.0
2018-02-08,47.34,47.37,45.88,45.9,517363.0,0.0,1.0,47.34,47.37,45.88,45.9,517363.0
2018-02-07,47.09,47.91,46.7133,47.3,395590.0,0.0,1.0,47.09,47.91,46.7133,47.3,395590.0
2018-02-06,46.42,47.61,45.51,47.21,610683.0,0.0,1.0,46.42,47.61,45.51,47.21,610683.0
2018-02-05,48.58,49.16,47.1,47.12,761279.0,0.0,1.0,48.58,49.16,47.1,47.12,761279.0
2018-02-02,50.03,50.22,49.04,49.17,326348.0,0.0,1.0,50.03,50.22,49.04,49.17,326348.0
2018-02-01,50.47,50.73,50.07,50.24,413818.0,0.0,1.0,50.47,50.73,50.07,50.24,413818.0
2018-01-31,51.42,51.68,50.34,50.66,737201.0,0.0,1.0,51.42,51.68,50.34,50.66,737201.0
2018-01-30,51.11,51.43,50.84,51.15,306592.0,0.0,1.0,51.11,51.43,50.84,51.15,306592.0
2018-01-29,51.6,51.97,51.45,51.51,339079.0,0.0,1.0,51.6,51.97,51.45,51.51,339079.0
2018-01-26,51.68,51.76,51.27,51.74,274346.0,0.0,1.0,51.68,51.76,51.27,51.74,274346.0
2018-01-25,51.34,51.65,50.77,51.57,352639.0,0.0,1.0,51.34,51.65,50.77,51.57,352639.0
2018-01-24,51.45,51.69,50.87,51.17,245426.0,0.0,1.0,51.45,51.69,50.87,51.17,245426.0
2018-01-23,51.41,51.53,50.965,51.25,295892.0,0.0,1.0,51.41,51.53,50.965,51.25,295892.0
2018-01-22,51.94,52.05,51.07,51.29,314275.0,0.0,1.0,51.94,52.05,51.07,51.29,314275.0
2018-01-19,51.26,52.2,51.2,52.18,446717.0,0.0,1.0,51.26,52.2,51.2,52.18,446717.0
2018-01-18,51.31,51.69,51.05,51.16,366925.0,0.0,1.0,51.31,51.69,51.05,51.16,366925.0
2018-01-17,51.51,51.77,51.2,51.45,506973.0,0.0,1.0,51.51,51.77,51.2,51.45,506973.0
2018-01-16,51.58,52.115,50.96,51.27,1051637.0,0.0,1.0,51.58,52.115,50.96,51.27,1051637.0
2018-01-12,50.5,51.38,50.22,51.23,658768.0,0.0,1.0,50.5,51.38,50.22,51.23,658768.0
2018-01-11,49.48,50.45,49.205,50.43,541073.0,0.0,1.0,49.48,50.45,49.205,50.43,541073.0
2018-01-10,49.66,49.66,49.03,49.47,374372.0,0.0,1.0,49.66,49.66,49.03,49.47,374372.0
2018-01-09,49.9,50.27,49.59,49.82,405355.0,0.0,1.0,49.9,50.27,49.59,49.82,405355.0
2018-01-08,49.56,50.0,49.266000000000005,49.81,380085.0,0.0,1.0,49.56,50.0,49.266000000000005,49.81,380085.0
2018-01-05,49.28,49.63,49.06,49.56,433859.0,0.0,1.0,49.28,49.63,49.06,49.56,433859.0
2018-01-04,49.12,49.74,48.9601,49.15,653735.0,0.0,1.0,49.12,49.74,48.9601,49.15,653735.0
2018-01-03,49.15,49.18,48.62,48.94,350285.0,0.0,1.0,49.15,49.18,48.62,48.94,350285.0
2018-01-02,49.07,49.16,48.55,48.96,451720.0,0.0,1.0,49.07,49.16,48.55,48.96,451720.0
2017-12-29,49.12,49.44,48.94,48.95,310906.0,0.0,1.0,49.12,49.44,48.94,48.95,310906.0
2017-12-28,49.0,49.08,48.665,49.06,246594.0,0.0,1.0,49.0,49.08,48.665,49.06,246594.0
2017-12-27,48.76,49.05,48.58,48.79,260524.0,0.0,1.0,48.76,49.05,48.58,48.79,260524.0
2017-12-26,48.75,48.97,48.63,48.76,163205.0,0.0,1.0,48.75,48.97,48.63,48.76,163205.0
2017-12-22,49.02,49.26,48.63,48.72,166573.0,0.0,1.0,49.02,49.26,48.63,48.72,166573.0
2017-12-21,48.97,49.31,48.81,49.11,291968.0,0.0,1.0,48.97,49.31,48.81,49.11,291968.0
2017-12-20,49.21,49.34,48.805,48.85,462697.0,0.0,1.0,49.21,49.34,48.805,48.85,462697.0
2017-12-19,48.94,49.05,48.67,48.96,326378.0,0.0,1.0,48.94,49.05,48.67,48.96,326378.0
2017-12-18,49.12,49.37,48.74,48.83,409225.0,0.0,1.0,49.12,49.37,48.74,48.83,409225.0
2017-12-15,48.68,48.9,48.18,48.59,860394.0,0.0,1.0,48.68,48.9,48.18,48.59,860394.0
2017-12-14,48.66,48.86,47.92,47.95,462160.0,0.0,1.0,48.66,48.86,47.92,47.95,462160.0
2017-12-13,48.68,49.26,48.46,48.55,593899.0,0.0,1.0,48.68,49.26,48.46,48.55,593899.0
2017-12-12,49.37,49.45,48.47,48.51,493672.0,0.0,1.0,49.37,49.45,48.47,48.51,493672.0
2017-12-11,48.97,49.34,48.47,49.32,766174.0,0.0,1.0,48.97,49.34,48.47,49.32,766174.0
2017-12-08,49.21,49.21,48.62,48.81,428888.0,0.0,1.0,49.21,49.21,48.62,48.81,428888.0
2017-12-07,48.3,48.94,48.28,48.9,325831.0,0.0,1.0,48.3,48.94,48.28,48.9,325831.0
2017-12-06,48.1,48.59,47.9975,48.36,316173.0,0.0,1.0,48.1,48.59,47.9975,48.36,316173.0
2017-12-05,48.14,48.45,47.7,48.18,429519.0,0.18,1.0,48.14,48.45,47.7,48.18,429519.0
2017-12-04,48.91,49.24,48.39,48.5,484203.0,0.0,1.0,48.727952853598005,49.056724565757,48.209888337468996,48.319478908189,484203.0
