Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,7.09,7.12,6.89,7.04,5547046.0,0.0,1.0,7.09,7.12,6.89,7.04,5547046.0
2018-03-26,6.98,7.16,6.93,7.13,4654083.0,0.0,1.0,6.98,7.16,6.93,7.13,4654083.0
2018-03-23,6.98,7.04,6.88,6.95,3759336.0,0.0,1.0,6.98,7.04,6.88,6.95,3759336.0
2018-03-22,6.84,7.03,6.79,6.96,5480525.0,0.0,1.0,6.84,7.03,6.79,6.96,5480525.0
2018-03-21,6.86,6.93,6.76,6.84,4381353.0,0.0,1.0,6.86,6.93,6.76,6.84,4381353.0
2018-03-20,7.0,7.05,6.79,6.87,5192245.0,0.0,1.0,7.0,7.05,6.79,6.87,5192245.0
2018-03-19,7.04,7.07,6.86,6.95,5174758.0,0.0,1.0,7.04,7.07,6.86,6.95,5174758.0
2018-03-16,6.9,7.13,6.86,7.04,8729196.0,0.0,1.0,6.9,7.13,6.86,7.04,8729196.0
2018-03-15,6.96,7.06,6.8,6.9,7206729.0,0.0,1.0,6.96,7.06,6.8,6.9,7206729.0
2018-03-14,7.35,7.4,7.14,7.15,4619829.0,0.0,1.0,7.35,7.4,7.14,7.15,4619829.0
2018-03-13,7.54,7.61,7.3,7.32,5230934.0,0.0,1.0,7.54,7.61,7.3,7.32,5230934.0
2018-03-12,7.49,7.7,7.45,7.55,3456538.0,0.0,1.0,7.49,7.7,7.45,7.55,3456538.0
2018-03-09,7.8,7.81,7.495,7.51,4151229.0,0.0,1.0,7.8,7.81,7.495,7.51,4151229.0
2018-03-08,7.89,7.945,7.78,7.81,2715480.0,0.0,1.0,7.89,7.945,7.78,7.81,2715480.0
2018-03-07,7.72,7.91,7.72,7.9,2397813.0,0.0,1.0,7.72,7.91,7.72,7.9,2397813.0
2018-03-06,7.8,7.84,7.705,7.74,3837390.0,0.0,1.0,7.8,7.84,7.705,7.74,3837390.0
2018-03-05,7.74,7.905,7.71,7.81,3088663.0,0.0,1.0,7.74,7.905,7.71,7.81,3088663.0
2018-03-02,7.76,7.98,7.64,7.92,4131993.0,0.0,1.0,7.76,7.98,7.64,7.92,4131993.0
2018-03-01,7.8,8.02,7.69,7.86,4514183.0,0.0,1.0,7.8,8.02,7.69,7.86,4514183.0
2018-02-28,7.72,7.9,7.68,7.8,7221523.0,0.0,1.0,7.72,7.9,7.68,7.8,7221523.0
2018-02-27,7.99,8.03,7.59,7.61,4548721.0,0.0,1.0,7.99,8.03,7.59,7.61,4548721.0
2018-02-26,7.84,8.06,7.71,7.97,8039058.0,0.0,1.0,7.84,8.06,7.71,7.97,8039058.0
2018-02-23,7.62,7.775,7.465,7.74,3718201.0,0.0,1.0,7.62,7.775,7.465,7.74,3718201.0
2018-02-22,7.41,7.78,7.4,7.59,6244415.0,0.0,1.0,7.41,7.78,7.4,7.59,6244415.0
2018-02-21,7.57,7.57,7.37,7.38,4701921.0,0.0,1.0,7.57,7.57,7.37,7.38,4701921.0
2018-02-20,7.67,7.77,7.53,7.57,3119773.0,0.0,1.0,7.67,7.77,7.53,7.57,3119773.0
2018-02-16,7.7,7.82,7.58,7.73,7458682.0,0.0,1.0,7.7,7.82,7.58,7.73,7458682.0
2018-02-15,7.25,7.41,7.24,7.4,4514624.0,0.0,1.0,7.25,7.41,7.24,7.4,4514624.0
2018-02-14,7.12,7.21,6.99,7.19,4017925.0,0.0,1.0,7.12,7.21,6.99,7.19,4017925.0
2018-02-13,7.21,7.34,7.04,7.18,3944351.0,0.0,1.0,7.21,7.34,7.04,7.18,3944351.0
2018-02-12,7.14,7.28,6.91,7.21,5764137.0,0.0,1.0,7.14,7.28,6.91,7.21,5764137.0
2018-02-09,7.23,7.3,6.77,7.09,14606688.0,0.0,1.0,7.23,7.3,6.77,7.09,14606688.0
2018-02-08,7.33,7.46,7.21,7.24,5059520.0,0.0,1.0,7.33,7.46,7.21,7.24,5059520.0
2018-02-07,7.46,7.66,7.33,7.33,3290766.0,0.0,1.0,7.46,7.66,7.33,7.33,3290766.0
2018-02-06,7.42,7.61,7.33,7.46,10489879.0,0.0,1.0,7.42,7.61,7.33,7.46,10489879.0
2018-02-05,7.68,7.89,7.56,7.59,3818357.0,0.0,1.0,7.68,7.89,7.56,7.59,3818357.0
2018-02-02,7.74,7.82,7.62,7.77,5912681.0,0.0,1.0,7.74,7.82,7.62,7.77,5912681.0
2018-02-01,8.09,8.17,7.8,7.86,4065188.0,0.0,1.0,8.09,8.17,7.8,7.86,4065188.0
2018-01-31,8.12,8.22,8.03,8.12,2842930.0,0.0,1.0,8.12,8.22,8.03,8.12,2842930.0
2018-01-30,8.18,8.28,8.03,8.07,2648468.0,0.0,1.0,8.18,8.28,8.03,8.07,2648468.0
2018-01-29,8.28,8.3,8.07,8.23,2120477.0,0.0,1.0,8.28,8.3,8.07,8.23,2120477.0
2018-01-26,8.49,8.49,8.29,8.34,1494836.0,0.0,1.0,8.49,8.49,8.29,8.34,1494836.0
2018-01-25,8.54,8.6,8.34,8.46,2858802.0,0.0,1.0,8.54,8.6,8.34,8.46,2858802.0
2018-01-24,8.62,8.72,8.47,8.53,3828376.0,0.0,1.0,8.62,8.72,8.47,8.53,3828376.0
2018-01-23,8.62,8.72,8.54,8.64,1923708.0,0.0,1.0,8.62,8.72,8.54,8.64,1923708.0
2018-01-22,8.37,8.57,8.35,8.57,2753330.0,0.0,1.0,8.37,8.57,8.35,8.57,2753330.0
2018-01-19,8.37,8.4,8.28,8.39,2740303.0,0.0,1.0,8.37,8.4,8.28,8.39,2740303.0
2018-01-18,8.32,8.38,8.225,8.31,2715462.0,0.0,1.0,8.32,8.38,8.225,8.31,2715462.0
2018-01-17,8.46,8.48,8.26,8.37,3829257.0,0.0,1.0,8.46,8.48,8.26,8.37,3829257.0
2018-01-16,8.74,8.74,8.325,8.36,5464818.0,0.0,1.0,8.74,8.74,8.325,8.36,5464818.0
2018-01-12,8.54,8.63,8.41,8.59,3384396.0,0.0,1.0,8.54,8.63,8.41,8.59,3384396.0
