Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,98.7,98.99,96.69,97.25,2027985.0,0.0,1.0,98.7,98.99,96.69,97.25,2027985.0
2018-03-26,97.15,98.35,96.47,98.16,3169868.0,0.0,1.0,97.15,98.35,96.47,98.16,3169868.0
2018-03-23,97.91,98.41,95.71,95.94,2389114.0,0.0,1.0,97.91,98.41,95.71,95.94,2389114.0
2018-03-22,99.08,99.87,97.22,97.49,1834034.0,0.0,1.0,99.08,99.87,97.22,97.49,1834034.0
2018-03-21,100.86,100.99,99.8,99.81,1928498.0,0.0,1.0,100.86,100.99,99.8,99.81,1928498.0
2018-03-20,100.31,100.86,100.005,100.56,2307447.0,0.0,1.0,100.31,100.86,100.005,100.56,2307447.0
2018-03-19,101.79,101.845,99.55,100.31,2067302.0,0.0,1.0,101.79,101.845,99.55,100.31,2067302.0
2018-03-16,102.51,102.665,101.89,101.93,2384539.0,0.0,1.0,102.51,102.665,101.89,101.93,2384539.0
2018-03-15,102.38,102.66,101.97,102.22,1286716.0,0.0,1.0,102.38,102.66,101.97,102.22,1286716.0
2018-03-14,102.98,103.48,101.85,102.18,1512933.0,0.0,1.0,102.98,103.48,101.85,102.18,1512933.0
2018-03-13,103.89,104.29,102.565,102.8,2026832.0,0.0,1.0,103.89,104.29,102.565,102.8,2026832.0
2018-03-12,103.92,104.29,102.86,103.4,2292182.0,0.0,1.0,103.92,104.29,102.86,103.4,2292182.0
2018-03-09,102.13,104.07,101.665,103.74,3448059.0,0.0,1.0,102.13,104.07,101.665,103.74,3448059.0
2018-03-08,101.04,101.66,100.66,101.61,2395843.0,0.0,1.0,101.04,101.66,100.66,101.61,2395843.0
2018-03-07,97.24,101.23,96.95,100.82,3872602.0,0.0,1.0,97.24,101.23,96.95,100.82,3872602.0
2018-03-06,97.73,97.77,96.89,97.75,1525899.0,0.0,1.0,97.73,97.77,96.89,97.75,1525899.0
2018-03-05,95.64,97.99,95.385,97.58,1701657.0,0.0,1.0,95.64,97.99,95.385,97.58,1701657.0
2018-03-02,95.52,96.42,94.91,96.22,2318770.0,0.0,1.0,95.52,96.42,94.91,96.22,2318770.0
2018-03-01,97.75,98.0,95.145,95.99,2299886.0,0.0,1.0,97.75,98.0,95.145,95.99,2299886.0
2018-02-28,99.8,100.2,97.76,97.78,2033922.0,0.0,1.0,99.8,100.2,97.76,97.78,2033922.0
