Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-07,128.29,130.02,128.01,128.38,365359.0,0.0,1.0,128.29,130.02,128.01,128.38,365359.0
2018-03-06,128.96,130.19,127.99,128.79,937366.0,0.0,1.0,128.96,130.19,127.99,128.79,937366.0
2018-03-05,127.0,128.63,126.625,128.45,212055.0,0.0,1.0,127.0,128.63,126.625,128.45,212055.0
2018-03-02,123.68,128.0,123.08,127.68,326226.0,0.0,1.0,123.68,128.0,123.08,127.68,326226.0
2018-03-01,125.34,126.82,124.16,124.86,353098.0,0.0,1.0,125.34,126.82,124.16,124.86,353098.0
2017-04-25,109.9,110.97,109.29,109.71,261185.0,0.0,1.0,109.9,110.97,109.29,109.71,261185.0
2017-04-24,108.93,110.36,108.15,109.61,285521.0,0.0,1.0,108.93,110.36,108.15,109.61,285521.0
2017-04-21,107.34,108.34,107.3,107.62,218613.0,0.0,1.0,107.34,108.34,107.3,107.62,218613.0
2017-04-20,108.76,109.12,107.74,107.84,315129.0,0.0,1.0,108.76,109.12,107.74,107.84,315129.0
2017-04-19,108.56,109.05,107.77,108.53,321255.0,0.0,1.0,108.56,109.05,107.77,108.53,321255.0
2017-04-18,106.89,108.85,105.93,108.43,285614.0,0.0,1.0,106.89,108.85,105.93,108.43,285614.0
2017-04-17,105.59,107.4,105.05,107.39,233315.0,0.0,1.0,105.59,107.4,105.05,107.39,233315.0
2017-04-13,105.24,105.83,104.85,105.01,433565.0,0.0,1.0,105.24,105.83,104.85,105.01,433565.0
2017-04-12,106.93,106.93,104.68,105.28,505455.0,0.0,1.0,106.93,106.93,104.68,105.28,505455.0
2017-04-11,106.72,107.12,106.02,106.65,402181.0,0.0,1.0,106.72,107.12,106.02,106.65,402181.0
2017-04-10,106.81,107.55,106.1,106.6,389244.0,0.0,1.0,106.81,107.55,106.1,106.6,389244.0
2017-04-07,106.36,106.885,105.5,106.3,425207.0,0.0,1.0,106.36,106.885,105.5,106.3,425207.0
2017-04-06,106.97,107.55,106.39,106.85,405445.0,0.0,1.0,106.97,107.55,106.39,106.85,405445.0
2017-04-05,105.99,107.86,105.83,106.79,725541.0,0.0,1.0,105.99,107.86,105.83,106.79,725541.0
2017-04-04,107.59,107.76,105.8,105.99,8202824.0,0.0,1.0,107.59,107.76,105.8,105.99,8202824.0
2017-04-03,107.97,108.57,107.54,107.91,417424.0,0.0,1.0,107.97,108.57,107.54,107.91,417424.0
2017-03-31,105.77,108.36,105.695,107.94,407798.0,0.0,1.0,105.77,108.36,105.695,107.94,407798.0
2017-03-30,103.79,106.0,103.13,105.83,395899.0,0.0,1.0,103.79,106.0,103.13,105.83,395899.0
2017-03-29,104.1,104.1,103.21,103.71,142988.0,0.0,1.0,104.1,104.1,103.21,103.71,142988.0
2017-03-28,104.13,104.61,103.0,104.15,236048.0,0.0,1.0,104.13,104.61,103.0,104.15,236048.0
2017-03-27,102.94,104.41,102.85,104.3,188337.0,0.0,1.0,102.94,104.41,102.85,104.3,188337.0
2017-03-24,104.56,105.1,104.14,104.83,315953.0,0.0,1.0,104.56,105.1,104.14,104.83,315953.0
2017-03-23,105.15,105.3624,104.175,104.42,250100.0,0.0,1.0,105.15,105.3624,104.175,104.42,250100.0
2017-03-22,104.97,105.32,103.84,105.21,212578.0,0.0,1.0,104.97,105.32,103.84,105.21,212578.0
2017-03-21,107.82,107.82,104.43,104.66,375089.0,0.0,1.0,107.82,107.82,104.43,104.66,375089.0
2017-03-20,108.38,108.38,106.88,107.48,196134.0,0.0,1.0,108.38,108.38,106.88,107.48,196134.0
2017-03-17,107.99,108.53,107.22,108.38,381394.0,0.0,1.0,107.99,108.53,107.22,108.38,381394.0
2017-03-16,108.35,109.01,107.41,107.82,230943.0,0.0,1.0,108.35,109.01,107.41,107.82,230943.0
2017-03-15,107.34,108.83,107.18,108.28,378150.0,0.0,1.0,107.34,108.83,107.18,108.28,378150.0
2017-03-14,107.76,107.76,106.24,107.11,229729.0,0.0,1.0,107.76,107.76,106.24,107.11,229729.0
2017-03-13,107.8,108.365,107.54,108.27,191976.0,0.0,1.0,107.8,108.365,107.54,108.27,191976.0
2017-03-10,108.43,108.75,106.87,107.8,246151.0,0.0,1.0,108.43,108.75,106.87,107.8,246151.0
2017-03-09,107.06,108.51,107.01,108.5,342872.0,0.0,1.0,107.06,108.51,107.01,108.5,342872.0
2017-03-08,107.03,107.94,106.53,106.59,371572.0,0.0,1.0,107.03,107.94,106.53,106.59,371572.0
2017-03-07,106.75,107.43,106.33,107.14,299921.0,0.0,1.0,106.75,107.43,106.33,107.14,299921.0
2017-03-06,107.31,108.035,106.885,107.47,221646.0,0.0,1.0,107.31,108.035,106.885,107.47,221646.0
2017-03-03,106.86,107.7,105.96,107.53,328869.0,0.0,1.0,106.86,107.7,105.96,107.53,328869.0
2017-03-02,107.25,107.29,106.18,106.74,218719.0,0.0,1.0,107.25,107.29,106.18,106.74,218719.0
2017-03-01,106.54,108.21,106.14,107.28,555759.0,0.0,1.0,106.54,108.21,106.14,107.28,555759.0
2017-02-28,106.71,106.95,105.3,105.54,538797.0,0.0,1.0,106.71,106.95,105.3,105.54,538797.0
2017-02-27,105.79,106.79,105.76,106.68,405221.0,0.0,1.0,105.79,106.79,105.76,106.68,405221.0
2017-02-24,107.6,107.6,105.06,105.6,585093.0,0.0,1.0,107.6,107.6,105.06,105.6,585093.0
2017-02-23,108.75,109.25,107.88,108.22,396844.0,0.0,1.0,108.75,109.25,107.88,108.22,396844.0
2017-02-22,108.47,109.05,108.12,108.38,478789.0,0.0,1.0,108.47,109.05,108.12,108.38,478789.0
2017-02-21,107.4,108.96,106.03,108.53,418210.0,0.502,1.0,107.4,108.96,106.03,108.53,418210.0
2017-02-17,106.88,108.21,105.99,108.2,397618.0,0.0,1.0,106.38790813706068,107.7117846136914,105.50200583314991,107.70183065522049,397618.0
2017-02-16,106.24,107.15,105.61,106.91,504221.0,0.0,1.0,105.7508547949226,106.6566650157752,105.12375541125542,106.41777001247341,504221.0
2017-02-15,106.08,107.38,105.53,106.38,432507.0,0.0,1.0,105.59159145938808,106.88560606060604,105.04412374348816,105.89021021351529,432507.0
2017-02-14,102.4,106.9,102.1,105.65,948202.0,0.0,1.0,101.92853474209407,106.4078160540025,101.62991598796684,105.16357124513904,948202.0
2017-02-13,101.39,103.09,101.01,102.31,1011537.0,0.0,1.0,100.92318493653241,102.6153578765867,100.54493451463793,101.8389491158559,1011537.0
2017-02-10,101.98,102.93,100.54,100.75,1334594.0,0.0,1.0,101.51046848631594,102.4560945410522,100.07709846650525,100.2861315943943,1334594.0
2017-02-09,110.41,113.01,100.46,101.88,1986742.0,0.0,1.0,109.90165547729107,112.48968467972706,99.99746679873795,101.41092890160688,1986742.0
2017-02-08,122.27,123.565,121.84,122.47,317825.0,0.0,1.0,121.7070502237875,122.99608784577005,121.27903000953847,121.90612939320566,317825.0
2017-02-07,125.3,125.565,122.27,122.41,432014.0,0.0,1.0,124.72309964047251,124.98687953995156,121.7070502237875,121.84640564238022,432014.0
2017-02-06,123.61,125.44,123.53,125.41,247603.0,0.0,1.0,123.04088065888914,124.86245505906523,122.96124899112188,124.83259318365249,247603.0
2017-02-03,123.68,124.48,123.04,123.97,419156.0,0.0,1.0,123.11055836818551,123.9068750458581,122.4735050260474,123.3992231638418,419156.0
2017-02-02,122.87,123.53,122.0,123.2,288050.0,0.0,1.0,122.30428773204196,122.96124899112188,121.43829334507299,122.63276836158191,288050.0
2017-02-01,122.94,123.21,121.7,122.66,158799.0,0.0,1.0,122.37396544133831,122.64272232005285,121.13967459094576,122.09525460415291,158799.0
2017-01-31,122.68,123.3,122.01,122.62,117315.0,0.0,1.0,122.11516252109472,122.732307946291,121.44824730354394,122.05543877026928,117315.0
2017-01-30,122.62,123.15,121.34,122.93,169814.0,0.0,1.0,122.05543877026928,122.58299856922741,120.7813320859931,122.36401148286743,169814.0
2017-01-27,123.4,123.76,122.29,123.0,135812.0,0.0,1.0,122.83184753100008,123.19019003595275,121.72695814072935,122.43368919216377,135812.0
2017-01-26,122.55,123.87,122.46,122.99,135450.0,0.0,1.0,121.98576106097292,123.2996835791327,121.89617543473473,122.42373523369284,135450.0
2017-01-25,124.66,124.99,122.23,122.98,206986.0,0.0,1.0,124.08604629833442,124.41452692787438,121.66723438990387,122.41378127522196,206986.0
2017-01-24,122.43,123.32,122.1001,122.94,258186.0,0.0,1.0,121.86631355932205,122.7522158632328,121.5379324693668,122.37396544133831,258186.0
2017-01-23,122.71,123.31,121.78,122.47,154629.0,0.0,1.0,122.14502439650744,122.7422619047619,121.21930625871306,121.90612939320566,154629.0
2017-01-20,122.29,123.25,121.41,122.74,201522.0,0.0,1.0,121.72695814072935,122.68253815393646,120.85100979528946,122.17488627192014,201522.0
2017-01-19,122.83,123.43,121.3,121.31,117289.0,0.0,1.0,122.26447189815832,122.86170940641279,120.74151625210945,120.75147021058037,117289.0
2017-01-18,123.0,123.35,122.1,123.26,98002.0,0.0,1.0,122.43368919216377,122.78207773864551,121.53783292978208,122.69249211240736,98002.0
2017-01-17,122.69,123.71,121.9,122.94,195417.0,0.0,1.0,122.12511647956563,123.1404202435982,121.33875376036393,122.37396544133831,195417.0
2017-01-13,122.07,123.74,121.28,123.48,203328.0,0.0,1.0,121.50797105436935,123.17028211901092,120.72160833516766,122.91147919876734,203328.0
2017-01-12,122.41,123.01,121.13,122.0,235457.0,0.0,1.0,121.84640564238022,122.44364315063468,120.57229895810404,121.43829334507299,235457.0
2017-01-11,122.18,122.815,121.49,122.58,130975.0,0.0,1.0,121.61746459754934,122.24954096045198,120.93064146305672,122.01562293638563,130975.0
2017-01-10,122.67,122.67,121.5,121.97,236328.0,0.0,1.0,122.1052085626238,122.1052085626238,120.94059542152763,121.40843146966029,236328.0
2017-01-09,123.34,124.08,122.85,123.06,120586.0,0.0,1.0,122.77212378017462,123.50871670702179,122.28437981510015,122.4934129429892,120586.0
2017-01-06,122.34,123.74,122.34,123.42,114042.0,0.0,1.0,121.77672793308386,123.17028211901092,121.77672793308386,122.85175544794187,114042.0
2017-01-05,122.03,123.35,120.96,122.51,304813.0,0.0,1.0,121.46815522048573,122.78207773864551,120.4030816640986,121.9459452270893,304813.0
2017-01-04,121.46,122.63,120.42,121.43,232189.0,0.0,1.0,120.90077958764398,122.06539272874019,119.8655679066696,120.87091771223128,232189.0
2017-01-03,122.51,122.77,121.08,121.8,143199.0,0.0,1.0,121.9459452270893,122.2047481473329,120.52252916574949,121.23921417565485,143199.0
