Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-08-31,65.06,66.65,65.04,66.65,42618557.0,0.0,1.0,65.06,66.65,65.04,66.65,42618557.0
2017-08-30,63.85,64.98,63.745,64.9,4310741.0,0.0,1.0,63.85,64.98,63.745,64.9,4310741.0
2017-08-29,64.36,64.423,64.04,64.22,3155382.0,0.0,1.0,64.36,64.423,64.04,64.22,3155382.0
2017-08-28,64.72,64.82,64.28,64.67,4389316.0,0.0,1.0,64.72,64.82,64.28,64.67,4389316.0
2017-08-25,64.59,64.74,64.27,64.54,2676153.0,0.0,1.0,64.59,64.74,64.27,64.54,2676153.0
2017-08-24,64.59,64.82,64.31,64.35,2939071.0,0.0,1.0,64.59,64.82,64.31,64.35,2939071.0
2017-08-23,64.5,65.175,64.5,64.58,4794823.0,0.0,1.0,64.5,65.175,64.5,64.58,4794823.0
2017-08-22,64.12,64.95,64.03,64.78,5755147.0,0.0,1.0,64.12,64.95,64.03,64.78,5755147.0
2017-08-21,63.5,63.98,63.17,63.86,5167297.0,0.0,1.0,63.5,63.98,63.17,63.86,5167297.0
2017-08-18,62.92,63.59,62.83,63.4,5411583.0,0.0,1.0,62.92,63.59,62.83,63.4,5411583.0
2017-08-17,63.6,63.95,63.16,63.18,5824599.0,0.0,1.0,63.6,63.95,63.16,63.18,5824599.0
2017-08-16,63.79,64.02,63.57,63.94,5128483.0,0.0,1.0,63.79,64.02,63.57,63.94,5128483.0
2017-08-15,63.62,63.73,63.2,63.67,3655537.0,0.0,1.0,63.62,63.73,63.2,63.67,3655537.0
2017-08-14,63.53,63.9,63.24,63.41,3157526.0,0.0,1.0,63.53,63.9,63.24,63.41,3157526.0
2017-08-11,63.04,63.46,63.03,63.26,4979251.0,0.0,1.0,63.04,63.46,63.03,63.26,4979251.0
2017-08-10,63.26,63.4,62.515,63.11,5244034.0,0.0,1.0,63.26,63.4,62.515,63.11,5244034.0
2017-08-09,63.27,63.66,63.151,63.5,3223139.0,0.0,1.0,63.27,63.66,63.151,63.5,3223139.0
2017-08-08,63.8,64.01,63.16,63.41,4003303.0,0.0,1.0,63.8,64.01,63.16,63.41,4003303.0
2017-08-07,64.15,64.21,63.61,63.88,3773373.0,0.0,1.0,64.15,64.21,63.61,63.88,3773373.0
2017-08-04,63.55,64.16,63.52,64.11,4014010.0,0.0,1.0,63.55,64.16,63.52,64.11,4014010.0
2017-08-03,64.31,64.53,63.235,63.43,6083424.0,0.0,1.0,64.31,64.53,63.235,63.43,6083424.0
2017-08-02,64.33,64.509,63.9062,64.3,3460175.0,0.0,1.0,64.33,64.509,63.9062,64.3,3460175.0
2017-08-01,64.46,64.795,64.08,64.69,5048489.0,0.0,1.0,64.46,64.795,64.08,64.69,5048489.0
2017-07-31,65.97,66.03,64.21,64.24,6888958.0,0.0,1.0,65.97,66.03,64.21,64.24,6888958.0
2017-07-28,66.64,66.9,65.22,65.68,3734292.0,0.0,1.0,66.64,66.9,65.22,65.68,3734292.0
2017-07-27,66.73,67.24,65.67,66.1,5050340.0,0.46,1.0,66.73,67.24,65.67,66.1,5050340.0
2017-07-26,66.73,66.81,65.98,66.42,4902138.0,0.0,1.0,66.268825120192,66.348272235577,65.524008413462,65.96096754807701,4902138.0
2017-07-25,67.08,67.5,66.63,66.85,5000924.0,0.0,1.0,66.61640625,67.033503605769,66.169516225962,66.387995793269,5000924.0
2017-07-24,66.08,66.62,65.87,66.22,3503754.0,0.0,1.0,65.623317307692,66.159585336538,65.414768629808,65.762349759615,3503754.0
2017-07-21,66.3,66.54,66.055,66.14,3043490.0,0.0,1.0,65.841796875,66.080138221154,65.598490084135,65.682902644231,3043490.0
2017-07-20,66.77,66.889,66.255,66.39,4252576.0,0.0,1.0,66.308548677885,66.42672626201899,65.797107872596,65.931174879808,4252576.0
2017-07-19,65.93,66.79,65.85,66.77,3149831.0,0.0,1.0,65.474353966346,66.328410456731,65.394906850962,66.308548677885,3149831.0
2017-07-18,65.98,66.14,65.59,65.75,2429684.0,0.0,1.0,65.524008413462,65.682902644231,65.136703725962,65.295597956731,2429684.0
2017-07-17,66.25,66.46,65.8707,66.12,2909220.0,0.0,1.0,65.792142427885,66.000691105769,65.415463792067,65.663040865385,2909220.0
2017-07-14,65.74,66.42,65.53,66.24,3091773.0,0.0,1.0,65.285667067308,65.96096754807701,65.07711838942299,65.782211538462,3091773.0
2017-07-13,66.265,66.48,65.45,65.61,4786695.0,0.0,1.0,65.80703876201899,66.020552884615,64.997671274038,65.156565504808,4786695.0
2017-07-12,64.91,66.415,64.72,66.28,6415869.0,0.0,1.0,64.461403245192,65.956002103365,64.272716346154,65.82193509615401,6415869.0
2017-07-11,64.58,64.61,63.915,64.55,3290203.0,0.0,1.0,64.133683894231,64.1634765625,63.473279747595996,64.103891225962,3290203.0
2017-07-10,63.64,64.84,63.54,64.52,3438798.0,0.0,1.0,63.200180288462,64.391887019231,63.10087139423101,64.074098557692,3438798.0
2017-07-07,63.61,63.98,63.26,63.89,3152823.0,0.0,1.0,63.170387620192,63.537830528845994,62.822806490385,63.448452524038,3152823.0
2017-07-06,63.28,63.95,62.84,63.56,3361970.0,0.0,1.0,62.842668269231005,63.508037860577005,62.405709134615,63.120733173077,3361970.0
2017-07-05,64.0,64.1,63.04,63.42,3843217.0,0.0,1.0,63.557692307692,63.657001201922995,62.604326923077004,62.981700721154006,3843217.0
2017-07-03,63.42,64.24,63.309,63.94,3014103.0,0.0,1.0,62.981700721154006,63.796033653845996,62.871467848558,63.498106971154,3014103.0
2017-06-30,62.88,63.44,62.6,63.07,6683394.0,0.0,1.0,62.445432692307996,63.0015625,62.167367788462,62.634119591346,6683394.0
2017-06-29,63.28,63.9257,62.5,62.71,4394569.0,0.0,1.0,62.842668269231005,63.483905799279,62.06805889423101,62.276607572115005,4394569.0
2017-06-28,63.42,63.56,63.06,63.25,5115790.0,0.46,1.0,62.981700721154006,63.120733173077,62.624188701922996,62.812875600962,5115790.0
2017-06-27,63.66,63.74,62.9861,63.09,5265360.0,0.0,1.0,62.76357966971,62.842453159713,62.099169108298995,62.201606053439995,5265360.0
2017-06-26,63.54,63.96,63.3,63.57,4588804.0,0.0,1.0,62.645269434706,63.05935525721999,62.408648964697,62.674846993457,4588804.0
2017-06-23,63.84,64.0,63.29,63.47,6842760.0,0.0,1.0,62.941045022215995,63.098792002222005,62.398789778447,62.576255130952994,6842760.0
2017-06-22,63.72,64.12899999999999,63.57,63.83,4729129.0,0.0,1.0,62.822734787212,63.225975504851,62.674846993457,62.931185835966,4729129.0
2017-06-21,65.1,65.21,63.52,63.68,5932666.0,0.0,1.0,64.18330248976,64.291753538514,62.625551062205,62.783298042211,5932666.0
2017-06-20,65.16,65.38,64.75,65.1,7335220.0,0.0,1.0,64.242457607262,64.45935970477,63.838230970998,64.18330248976,7335220.0
2017-06-19,64.66,65.47,64.66,65.22,4348357.0,0.0,1.0,63.749498294744996,64.548092381023,63.749498294744996,64.301612724764,4348357.0
2017-06-16,64.65,64.75,63.84,64.39,9431083.0,0.0,1.0,63.739639108493996,63.838230970998,62.941045022215995,63.483300265985,9431083.0
2017-06-15,64.09,64.5,63.18,64.1,6700182.0,0.0,1.0,63.187524678475,63.591751314739,62.290338729693005,63.197383864725,6700182.0
2017-06-14,65.34,65.42,64.2,64.53,5241844.0,0.0,1.0,64.419922959768,64.498796449771,63.295975727229006,63.62132887349,5241844.0
2017-06-13,63.96,65.31,63.96,65.26,5243370.0,0.0,1.0,63.05935525721999,64.390345401017,63.05935525721999,64.341049469765,5243370.0
2017-06-12,64.32,64.6,63.73,64.01,5467191.0,0.0,1.0,63.414285962233,63.690343177242,62.832593973462,63.108651188472,5467191.0
2017-06-09,64.07,64.9,63.99,64.74,8360240.0,0.0,1.0,63.167806305974,63.986118764753,63.088932815971006,63.828371784747,8360240.0
2017-06-08,63.79,64.2255,63.58,63.97,5407465.0,0.0,1.0,62.891749090964005,63.321116652167,62.684706179707,63.069214443471004,5407465.0
2017-06-07,63.94,64.095,63.24,63.98,6387530.0,0.0,1.0,63.03963688471999,63.1924542716,62.349493847195,63.079073629721,6387530.0
2017-06-06,63.0,64.06,62.8557,63.73,6234426.0,0.0,1.0,62.11287337718701,63.157947119724,61.970605319594,62.832593973462,6234426.0
2017-06-05,63.0,63.34,62.85,63.21,5546633.0,0.0,1.0,62.11287337718701,62.448085709699,61.964985583432,62.319916288444006,5546633.0
2017-06-02,62.97,63.43,62.8,63.05,4638267.0,0.0,1.0,62.083295818436,62.536818385951996,61.915689652180006,62.162169308439,4638267.0
2017-06-01,61.96,62.86,61.88,62.76,5841912.0,0.0,1.0,61.087518007151004,61.974844769682,61.008644517148,61.876252907179,5841912.0
2017-05-31,60.99,61.98,60.5601,61.96,10706299.0,0.0,1.0,60.13117694086701,61.107236379651006,59.707330523965,61.087518007151004,10706299.0
2017-05-30,60.76,61.1,60.61,60.89,3508716.0,0.0,1.0,59.904415657109006,60.239627989621,59.756527863353995,60.032585078364,3508716.0
2017-05-26,60.46,61.155,60.44,61.06,3109273.0,0.0,1.0,59.608640069599,60.293853513998,59.588921697097994,60.20019124462,3109273.0
2017-05-25,61.72,61.88,60.385,60.65,4392063.0,0.0,1.0,60.850897537142004,61.008644517148,59.534696172721006,59.795964608355,4392063.0
