Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,66.81,67.01,65.805,65.93,738202.0,0.0,1.0,66.81,67.01,65.805,65.93,738202.0
2018-03-26,66.56,67.1587,65.59,66.6,687051.0,0.0,1.0,66.56,67.1587,65.59,66.6,687051.0
2018-03-23,66.96,67.95,65.665,65.7,1173277.0,0.0,1.0,66.96,67.95,65.665,65.7,1173277.0
2018-03-22,68.3,69.78,66.92,66.97,851121.0,0.0,1.0,68.3,69.78,66.92,66.97,851121.0
2018-03-21,69.69,69.72,68.72,68.91,638820.0,0.0,1.0,69.69,69.72,68.72,68.91,638820.0
2018-03-20,69.99,69.99,68.98,69.64,607149.0,0.0,1.0,69.99,69.99,68.98,69.64,607149.0
2018-03-19,69.04,71.72,68.78,70.1,1349832.0,0.0,1.0,69.04,71.72,68.78,70.1,1349832.0
2018-03-16,67.77,68.4,67.77,68.25,653470.0,0.0,1.0,67.77,68.4,67.77,68.25,653470.0
2018-03-15,68.04,68.415,67.64,67.91,373697.0,0.0,1.0,68.04,68.415,67.64,67.91,373697.0
2018-03-14,68.72,69.0,67.82,67.87,339453.0,0.0,1.0,68.72,69.0,67.82,67.87,339453.0
2018-03-13,69.22,69.44,68.45,68.59,364848.0,0.0,1.0,69.22,69.44,68.45,68.59,364848.0
2018-03-12,69.01,69.42,68.82,68.94,583673.0,0.0,1.0,69.01,69.42,68.82,68.94,583673.0
2018-03-09,68.0,69.06,67.56,69.03,850661.0,0.0,1.0,68.0,69.06,67.56,69.03,850661.0
2018-03-08,67.25,67.88,66.81,67.7,523100.0,0.0,1.0,67.25,67.88,66.81,67.7,523100.0
2018-03-07,66.94,67.53,66.63,67.24,654684.0,0.0,1.0,66.94,67.53,66.63,67.24,654684.0
2018-03-06,67.41,67.45,66.75,67.18,568102.0,0.0,1.0,67.41,67.45,66.75,67.18,568102.0
2018-03-05,65.82,67.43,65.82,67.26,685630.0,0.0,1.0,65.82,67.43,65.82,67.26,685630.0
2018-03-02,64.99,66.025,64.69,65.98,473493.0,0.0,1.0,64.99,66.025,64.69,65.98,473493.0
2018-03-01,65.71,66.19,64.7,65.21,638753.0,0.0,1.0,65.71,66.19,64.7,65.21,638753.0
2018-02-28,66.66,67.22,65.79,65.79,552565.0,0.0,1.0,66.66,67.22,65.79,65.79,552565.0
2018-02-27,66.81,67.35,66.4,66.4,517737.0,0.0,1.0,66.81,67.35,66.4,66.4,517737.0
2018-02-26,67.0,67.24,66.53,66.8,357814.0,0.0,1.0,67.0,67.24,66.53,66.8,357814.0
2018-02-23,66.21,66.68,66.21,66.68,264255.0,0.0,1.0,66.21,66.68,66.21,66.68,264255.0
