Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,83.32,83.35,83.23,83.25,966928.0,0.0,1.0,83.32,83.35,83.23,83.25,966928.0
2018-03-26,83.39,83.48,83.3,83.36,480138.0,0.0,1.0,83.39,83.48,83.3,83.36,480138.0
2018-03-23,83.32,83.46,83.26,83.3,415421.0,0.0,1.0,83.32,83.46,83.26,83.3,415421.0
2018-03-22,83.41,83.49,83.31,83.31,525139.0,0.0,1.0,83.41,83.49,83.31,83.31,525139.0
2018-03-21,83.45,83.53,83.4,83.43,378685.0,0.0,1.0,83.45,83.53,83.4,83.43,378685.0
2018-03-20,83.59,83.66,83.42,83.43,356720.0,0.0,1.0,83.59,83.66,83.42,83.43,356720.0
2018-03-19,83.47,83.68,83.37,83.57,577515.0,0.0,1.0,83.47,83.68,83.37,83.57,577515.0
2018-03-16,83.35,83.63,83.35,83.41,1148009.0,0.0,1.0,83.35,83.63,83.35,83.41,1148009.0
2018-03-15,83.35,83.56,83.35,83.36,445314.0,0.0,1.0,83.35,83.56,83.35,83.36,445314.0
2018-03-14,83.35,83.46,83.3,83.3,403009.0,0.0,1.0,83.35,83.46,83.3,83.3,403009.0
2018-03-13,83.47,83.61,83.32,83.32,473199.0,0.0,1.0,83.47,83.61,83.32,83.32,473199.0
2018-03-12,83.65,83.7,83.36,83.43,737175.0,0.0,1.0,83.65,83.7,83.36,83.43,737175.0
2018-03-09,83.55,83.69,83.52,83.68,713501.0,0.0,1.0,83.55,83.69,83.52,83.68,713501.0
2018-03-08,83.57,83.67,83.52,83.53,292849.0,0.0,1.0,83.57,83.67,83.52,83.53,292849.0
2018-03-07,83.6,83.67,83.55,83.57,418556.0,0.0,1.0,83.6,83.67,83.55,83.57,418556.0
2018-03-06,83.55,83.7,83.5,83.61,1019586.0,0.0,1.0,83.55,83.7,83.5,83.61,1019586.0
2018-03-05,83.2,83.44,83.17,83.43,711856.0,0.0,1.0,83.2,83.44,83.17,83.43,711856.0
2018-03-02,83.2,83.31,83.06,83.3,625699.0,0.0,1.0,83.2,83.31,83.06,83.3,625699.0
2018-03-01,83.18,83.47,83.07,83.2,1410760.0,0.0,1.0,83.18,83.47,83.07,83.2,1410760.0
2018-02-28,83.28,83.4,83.1,83.17,791735.0,0.0,1.0,83.28,83.4,83.1,83.17,791735.0
2018-02-27,83.26,83.4,83.24,83.27,877964.0,0.0,1.0,83.26,83.4,83.24,83.27,877964.0
2018-02-26,83.12,83.27,83.09,83.21,523247.0,0.0,1.0,83.12,83.27,83.09,83.21,523247.0
2018-02-23,83.12,83.19,83.01,83.07,218315.0,0.0,1.0,83.12,83.19,83.01,83.07,218315.0
2018-02-22,83.07,83.155,83.0,83.04,595929.0,0.0,1.0,83.07,83.155,83.0,83.04,595929.0
2018-02-21,83.19,83.26,82.94,83.0,964844.0,0.0,1.0,83.19,83.26,82.94,83.0,964844.0
2018-02-20,83.15,83.29,83.12,83.15,346728.0,0.0,1.0,83.15,83.29,83.12,83.15,346728.0
2018-02-16,83.02,83.21,82.83,83.19,581992.0,0.0,1.0,83.02,83.21,82.83,83.19,581992.0
2018-02-15,83.18,83.24,82.83,82.83,2403925.0,0.0,1.0,83.18,83.24,82.83,82.83,2403925.0
2018-02-14,83.0,83.25,82.975,83.06,540671.0,0.0,1.0,83.0,83.25,82.975,83.06,540671.0
2018-02-13,82.95,83.1,82.86,83.1,685432.0,0.0,1.0,82.95,83.1,82.86,83.1,685432.0
2018-02-12,83.12,83.25,82.9,83.0,877308.0,0.0,1.0,83.12,83.25,82.9,83.0,877308.0
2018-02-09,83.2,83.2,82.82,83.07,2043761.0,0.0,1.0,83.2,83.2,82.82,83.07,2043761.0
2018-02-08,83.3,83.3,82.87,83.05,1608129.0,0.0,1.0,83.3,83.3,82.87,83.05,1608129.0
2018-02-07,82.8,83.38,82.73,83.37,1676132.0,0.0,1.0,82.8,83.38,82.73,83.37,1676132.0
2018-02-06,82.85,83.17,82.7,82.75,2850788.0,0.0,1.0,82.85,83.17,82.7,82.75,2850788.0
2018-02-05,83.17,83.38,83.01,83.01,1341480.0,0.0,1.0,83.17,83.38,83.01,83.01,1341480.0
2018-02-02,83.29,83.45,83.19,83.19,937079.0,0.0,1.0,83.29,83.45,83.19,83.19,937079.0
2018-02-01,83.32,83.55,83.25,83.25,1045563.0,0.0,1.0,83.32,83.55,83.25,83.25,1045563.0
2018-01-31,83.34,83.53,83.3,83.37,1418303.0,0.0,1.0,83.34,83.53,83.3,83.37,1418303.0
2018-01-30,83.31,83.39,83.22,83.3,1842045.0,0.0,1.0,83.31,83.39,83.22,83.3,1842045.0
2018-01-29,83.75,83.8,83.21,83.28,1065440.0,0.0,1.0,83.75,83.8,83.21,83.28,1065440.0
2018-01-26,83.77,83.85,83.7,83.78,833132.0,0.0,1.0,83.77,83.85,83.7,83.78,833132.0
2018-01-25,83.94,83.95,83.7,83.75,1524655.0,0.0,1.0,83.94,83.95,83.7,83.75,1524655.0
2018-01-24,83.9,83.98,83.7,83.9,1747489.0,0.0,1.0,83.9,83.98,83.7,83.9,1747489.0
2018-01-23,83.55,84.0,83.5,84.0,2075542.0,0.0,1.0,83.55,84.0,83.5,84.0,2075542.0
2018-01-22,83.79,83.81,83.4,83.59,2054411.0,0.0,1.0,83.79,83.81,83.4,83.59,2054411.0
2018-01-19,83.75,83.87,83.56,83.82,1619818.0,0.0,1.0,83.75,83.87,83.56,83.82,1619818.0
2018-01-18,83.78,83.86,83.64,83.83,1768221.0,0.0,1.0,83.78,83.86,83.64,83.83,1768221.0
2018-01-17,83.73,83.79,83.61,83.79,1985585.0,0.0,1.0,83.73,83.79,83.61,83.79,1985585.0
2018-01-16,83.55,83.75,83.52,83.63,2238758.0,0.0,1.0,83.55,83.75,83.52,83.63,2238758.0
2018-01-12,83.95,84.03,83.51,83.51,3083359.0,0.0,1.0,83.95,84.03,83.51,83.51,3083359.0
2018-01-11,84.14,84.48,83.5,83.92,9751793.0,0.0,1.0,84.14,84.48,83.5,83.92,9751793.0
2018-01-10,65.15,81.2,64.78,79.89,5086000.0,0.0,1.0,65.15,81.2,64.78,79.89,5086000.0
2018-01-09,65.13,65.48,64.46,65.15,213361.0,0.0,1.0,65.13,65.48,64.46,65.15,213361.0
2018-01-08,63.8,65.34,63.7,65.02,478814.0,0.0,1.0,63.8,65.34,63.7,65.02,478814.0
2018-01-05,63.87,63.87,63.4,63.82,205040.0,0.0,1.0,63.87,63.87,63.4,63.82,205040.0
