Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,85.08,87.18,84.17,85.86,330940.0,0.0,1.0,85.08,87.18,84.17,85.86,330940.0
2018-03-26,84.11,84.93,84.07,84.83,266459.0,0.0,1.0,84.11,84.93,84.07,84.83,266459.0
2018-03-23,84.34,84.72,83.38,83.63,230219.0,0.0,1.0,84.34,84.72,83.38,83.63,230219.0
2018-03-22,85.3,86.6,84.39,84.4,340029.0,0.0,1.0,85.3,86.6,84.39,84.4,340029.0
2018-03-21,84.93,85.78,84.78,85.17,257726.0,0.0,1.0,84.93,85.78,84.78,85.17,257726.0
2018-03-20,85.44,86.16,85.14,85.35,242598.0,0.0,1.0,85.44,86.16,85.14,85.35,242598.0
2018-03-19,86.11,86.11,85.29,85.74,195239.0,0.0,1.0,86.11,86.11,85.29,85.74,195239.0
2018-03-16,85.72,86.31,85.61,85.95,661382.0,0.0,1.0,85.72,86.31,85.61,85.95,661382.0
2018-03-15,85.56,86.12,85.265,86.03,336308.0,0.0,1.0,85.56,86.12,85.265,86.03,336308.0
2018-03-14,85.67,86.17,85.19,85.64,401614.0,0.0,1.0,85.67,86.17,85.19,85.64,401614.0
2018-03-13,86.4,86.98,85.41,85.58,277363.0,0.0,1.0,86.4,86.98,85.41,85.58,277363.0
2018-03-12,85.25,86.31,85.25,85.95,481409.0,0.0,1.0,85.25,86.31,85.25,85.95,481409.0
2018-03-09,84.42,85.67,84.34,85.67,274234.0,0.0,1.0,84.42,85.67,84.34,85.67,274234.0
2018-03-08,84.58,84.89,84.22,84.64,276320.0,0.0,1.0,84.58,84.89,84.22,84.64,276320.0
2018-03-07,84.53,85.18,83.69,84.54,516323.0,0.0,1.0,84.53,85.18,83.69,84.54,516323.0
2018-03-06,83.85,84.88,82.6101,84.71,519262.0,0.0,1.0,83.85,84.88,82.6101,84.71,519262.0
