Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.55,16.74,16.36,16.6,1264442.0,0.0,1.0,16.55,16.74,16.36,16.6,1264442.0
2018-03-26,16.48,16.58,16.34,16.56,1659802.0,0.0,1.0,16.48,16.58,16.34,16.56,1659802.0
2018-03-23,16.68,16.71,16.26,16.31,1068847.0,0.0,1.0,16.68,16.71,16.26,16.31,1068847.0
2018-03-22,16.92,17.1,16.655,16.72,980404.0,0.0,1.0,16.92,17.1,16.655,16.72,980404.0
2018-03-21,17.07,17.1,16.89,16.96,756181.0,0.0,1.0,17.07,17.1,16.89,16.96,756181.0
2018-03-20,17.25,17.28,17.0,17.05,1189179.0,0.0,1.0,17.25,17.28,17.0,17.05,1189179.0
2018-03-19,17.3,17.3,17.09,17.23,726275.0,0.0,1.0,17.3,17.3,17.09,17.23,726275.0
2018-03-16,17.12,17.32,17.03,17.29,1016892.0,0.0,1.0,17.12,17.32,17.03,17.29,1016892.0
2018-03-15,17.1,17.27,17.05,17.15,1358846.0,0.0,1.0,17.1,17.27,17.05,17.15,1358846.0
2018-03-14,17.07,17.335,17.04,17.1,2625193.0,0.0,1.0,17.07,17.335,17.04,17.1,2625193.0
2018-03-13,16.9,17.12,16.77,17.1,1323626.0,0.0,1.0,16.9,17.12,16.77,17.1,1323626.0
2018-03-12,16.81,16.92,16.7,16.84,965998.0,0.0,1.0,16.81,16.92,16.7,16.84,965998.0
2018-03-09,16.86,16.91,16.57,16.78,1704142.0,0.0,1.0,16.86,16.91,16.57,16.78,1704142.0
2018-03-08,17.09,17.105,16.82,16.83,800859.0,0.0,1.0,17.09,17.105,16.82,16.83,800859.0
2018-03-07,17.06,17.16,16.99,17.04,981289.0,0.0,1.0,17.06,17.16,16.99,17.04,981289.0
2018-03-06,16.86,17.13,16.785,17.05,1022378.0,0.0,1.0,16.86,17.13,16.785,17.05,1022378.0
2018-03-05,16.68,16.98,16.68,16.86,985540.0,0.0,1.0,16.68,16.98,16.68,16.86,985540.0
