Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,55.94,55.94,54.25,54.56,387546.0,0.0,1.0,55.94,55.94,54.25,54.56,387546.0
2018-03-26,54.76,55.87,54.42,55.71,458459.0,0.0,1.0,54.76,55.87,54.42,55.71,458459.0
2018-03-23,55.1,55.29,53.8,53.81,643524.0,0.0,1.0,55.1,55.29,53.8,53.81,643524.0
2018-03-22,56.72,57.01,55.07,55.07,495720.0,0.0,1.0,56.72,57.01,55.07,55.07,495720.0
2018-03-21,57.07,58.15,57.05,57.48,520024.0,0.0,1.0,57.07,58.15,57.05,57.48,520024.0
2018-03-20,57.02,57.36,56.89,57.21,428359.0,0.0,1.0,57.02,57.36,56.89,57.21,428359.0
2018-03-19,56.81,57.25,56.0,56.68,482292.0,0.0,1.0,56.81,57.25,56.0,56.68,482292.0
2018-03-16,56.58,57.45,56.55,57.1,1190621.0,0.0,1.0,56.58,57.45,56.55,57.1,1190621.0
2018-03-15,56.93,57.08,56.42,56.51,503802.0,0.0,1.0,56.93,57.08,56.42,56.51,503802.0
2018-03-14,57.51,57.51,56.67,56.75,511779.0,0.0,1.0,57.51,57.51,56.67,56.75,511779.0
2018-03-13,58.14,58.64,57.03,57.33,590783.0,0.0,1.0,58.14,58.64,57.03,57.33,590783.0
2018-03-12,57.58,58.46,57.52,57.84,801267.0,0.0,1.0,57.58,58.46,57.52,57.84,801267.0
2018-03-09,56.69,57.77,56.6,57.56,774418.0,0.0,1.0,56.69,57.77,56.6,57.56,774418.0
2018-03-08,55.5,56.39,55.44,56.24,1081938.0,0.0,1.0,55.5,56.39,55.44,56.24,1081938.0
2018-03-07,54.76,55.5,54.65,55.34,792506.0,0.0,1.0,54.76,55.5,54.65,55.34,792506.0
2018-03-06,54.63,55.34,54.43,55.27,604606.0,0.0,1.0,54.63,55.34,54.43,55.27,604606.0
2018-03-05,53.49,54.74,53.48,54.58,1250309.0,0.0,1.0,53.49,54.74,53.48,54.58,1250309.0
2018-03-02,52.44,54.06,52.05,53.96,844877.0,0.0,1.0,52.44,54.06,52.05,53.96,844877.0
2018-03-01,52.8,53.41,52.3,52.96,822849.0,0.0,1.0,52.8,53.41,52.3,52.96,822849.0
2018-02-28,54.27,54.39,52.88,52.93,849278.0,0.0,1.0,54.27,54.39,52.88,52.93,849278.0
2018-02-27,57.5,57.89,54.25,54.25,1108149.0,0.0,1.0,57.5,57.89,54.25,54.25,1108149.0
2018-02-26,55.82,55.88,55.11,55.75,612347.0,0.0,1.0,55.82,55.88,55.11,55.75,612347.0
2018-02-23,55.41,55.63,54.84,55.45,626161.0,0.0,1.0,55.41,55.63,54.84,55.45,626161.0
2018-02-22,55.92,56.3705,54.92,55.02,627637.0,0.0,1.0,55.92,56.3705,54.92,55.02,627637.0
2018-02-21,55.81,56.65,55.48,55.54,487378.0,0.0,1.0,55.81,56.65,55.48,55.54,487378.0
2018-02-20,55.82,56.28,55.38,55.84,495439.0,0.0,1.0,55.82,56.28,55.38,55.84,495439.0
2018-02-16,55.39,56.11,55.08,55.91,1075854.0,0.0,1.0,55.39,56.11,55.08,55.91,1075854.0
2018-02-15,55.84,56.08,54.8,55.48,705725.0,0.0,1.0,55.84,56.08,54.8,55.48,705725.0
2018-02-14,53.6,55.47,53.6,55.39,592736.0,0.0,1.0,53.6,55.47,53.6,55.39,592736.0
2018-02-13,53.33,53.935,52.61,53.9,782034.0,0.0,1.0,53.33,53.935,52.61,53.9,782034.0
2018-02-12,53.54,54.74,53.38,53.75,1052615.0,0.0,1.0,53.54,54.74,53.38,53.75,1052615.0
2018-02-09,53.39,53.52,51.54,53.19,562026.0,0.0,1.0,53.39,53.52,51.54,53.19,562026.0
2018-02-08,55.53,55.53,52.51,52.53,778558.0,0.0,1.0,55.53,55.53,52.51,52.53,778558.0
2018-02-07,54.87,56.21,54.74,55.55,649183.0,0.0,1.0,54.87,56.21,54.74,55.55,649183.0
2018-02-06,53.34,55.13,52.46,55.02,1058039.0,0.0,1.0,53.34,55.13,52.46,55.02,1058039.0
2018-02-05,56.46,57.23,54.35,54.48,1022199.0,0.0,1.0,56.46,57.23,54.35,54.48,1022199.0
2018-02-02,57.66,57.84,56.705,57.05,616885.0,0.0,1.0,57.66,57.84,56.705,57.05,616885.0
2018-02-01,57.6,58.25,57.53,58.19,668737.0,0.0,1.0,57.6,58.25,57.53,58.19,668737.0
2018-01-31,58.82,59.0,57.54,57.8,1686450.0,0.0,1.0,58.82,59.0,57.54,57.8,1686450.0
2018-01-30,59.19,59.4,58.63,58.63,673317.0,0.0,1.0,59.19,59.4,58.63,58.63,673317.0
2018-01-29,60.71,60.95,59.91,60.02,579298.0,0.0,1.0,60.71,60.95,59.91,60.02,579298.0
2018-01-26,60.26,60.89,59.59,60.87,485344.0,0.0,1.0,60.26,60.89,59.59,60.87,485344.0
2018-01-25,60.25,60.25,59.665,60.17,551544.0,0.0,1.0,60.25,60.25,59.665,60.17,551544.0
2018-01-24,60.77,60.95,59.81,60.03,596642.0,0.0,1.0,60.77,60.95,59.81,60.03,596642.0
2018-01-23,60.52,60.57,60.05,60.41,444585.0,0.0,1.0,60.52,60.57,60.05,60.41,444585.0
2018-01-22,60.75,60.87,60.07,60.52,606155.0,0.0,1.0,60.75,60.87,60.07,60.52,606155.0
2018-01-19,60.05,60.77,60.05,60.69,746255.0,0.0,1.0,60.05,60.77,60.05,60.69,746255.0
2018-01-18,60.5,60.615,59.74,59.9,857850.0,0.0,1.0,60.5,60.615,59.74,59.9,857850.0
2018-01-17,60.06,60.77,59.55,60.55,635863.0,0.0,1.0,60.06,60.77,59.55,60.55,635863.0
2018-01-16,60.49,60.865,59.37,59.72,598565.0,0.0,1.0,60.49,60.865,59.37,59.72,598565.0
2018-01-12,60.5,60.85,60.2,60.45,563242.0,0.0,1.0,60.5,60.85,60.2,60.45,563242.0
2018-01-11,59.42,60.095,59.05,59.99,440353.0,0.0,1.0,59.42,60.095,59.05,59.99,440353.0
2018-01-10,58.75,59.57,58.61,59.15,548559.0,0.0,1.0,58.75,59.57,58.61,59.15,548559.0
2018-01-09,58.52,59.23,58.48,58.61,527107.0,0.0,1.0,58.52,59.23,58.48,58.61,527107.0
2018-01-08,58.36,58.65,58.18,58.41,473154.0,0.0,1.0,58.36,58.65,58.18,58.41,473154.0
2018-01-05,58.13,58.42,57.89,58.34,535643.0,0.0,1.0,58.13,58.42,57.89,58.34,535643.0
2018-01-04,57.5,58.4,57.5,57.87,674882.0,0.0,1.0,57.5,58.4,57.5,57.87,674882.0
2018-01-03,56.73,57.185,56.43,57.15,589821.0,0.0,1.0,56.73,57.185,56.43,57.15,589821.0
2018-01-02,57.02,57.19,56.41,56.77,763877.0,0.0,1.0,57.02,57.19,56.41,56.77,763877.0
2017-12-29,56.95,57.205,56.37,56.39,411126.0,0.0,1.0,56.95,57.205,56.37,56.39,411126.0
2017-12-28,56.41,56.83,56.27,56.77,393611.0,0.0,1.0,56.41,56.83,56.27,56.77,393611.0
2017-12-27,56.42,56.52,56.16,56.37,319694.0,0.0,1.0,56.42,56.52,56.16,56.37,319694.0
