Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.33,32.43,31.065,31.34,4642002.0,0.0,1.0,32.33,32.43,31.065,31.34,4642002.0
2018-03-26,31.59,32.185,31.26,32.12,4890979.0,0.0,1.0,31.59,32.185,31.26,32.12,4890979.0
2018-03-23,32.44,32.54,31.0,31.03,6691187.0,0.0,1.0,32.44,32.54,31.0,31.03,6691187.0
2018-03-22,33.21,33.33,32.27,32.3,6857624.0,0.0,1.0,33.21,33.33,32.27,32.3,6857624.0
2018-03-21,33.49,33.975,33.2825,33.62,4176448.0,0.0,1.0,33.49,33.975,33.2825,33.62,4176448.0
2018-03-20,33.81,33.91,33.48,33.53,4518726.0,0.0,1.0,33.81,33.91,33.48,33.53,4518726.0
2018-03-19,33.71,33.81,33.3,33.62,3810544.0,0.0,1.0,33.71,33.81,33.3,33.62,3810544.0
2018-03-16,33.72,34.055,33.59,33.72,8835692.0,0.0,1.0,33.72,34.055,33.59,33.72,8835692.0
2018-03-15,33.72,33.79,33.36,33.57,3418296.0,0.0,1.0,33.72,33.79,33.36,33.57,3418296.0
2018-03-14,33.95,34.14,33.51,33.62,4214056.0,0.0,1.0,33.95,34.14,33.51,33.62,4214056.0
2018-03-13,34.51,34.57,33.93,34.06,5059884.0,0.0,1.0,34.51,34.57,33.93,34.06,5059884.0
2018-03-12,34.2,34.41,33.97,34.26,4267293.0,0.0,1.0,34.2,34.41,33.97,34.26,4267293.0
2018-03-09,33.85,34.22,33.7,34.21,3626299.0,0.0,1.0,33.85,34.22,33.7,34.21,3626299.0
2018-03-08,33.73,33.84,33.115,33.67,3745094.0,0.0,1.0,33.73,33.84,33.115,33.67,3745094.0
2018-03-07,33.18,33.775,33.18,33.68,3662009.0,0.0,1.0,33.18,33.775,33.18,33.68,3662009.0
2018-03-06,33.56,33.75,33.04,33.66,3123720.0,0.0,1.0,33.56,33.75,33.04,33.66,3123720.0
2018-03-05,32.6,33.52,32.375,33.36,5013122.0,0.0,1.0,32.6,33.52,32.375,33.36,5013122.0
2018-03-02,32.53,33.01,32.11,32.91,4091256.0,0.0,1.0,32.53,33.01,32.11,32.91,4091256.0
2018-03-01,33.02,33.38,32.6,32.79,5035307.0,0.0,1.0,33.02,33.38,32.6,32.79,5035307.0
2018-02-28,33.42,33.75,33.04,33.05,5920778.0,0.0,1.0,33.42,33.75,33.04,33.05,5920778.0
2018-02-27,33.74,34.09,33.25,33.26,6965046.0,0.0,1.0,33.74,34.09,33.25,33.26,6965046.0
2018-02-26,33.71,33.77,33.305,33.76,3419988.0,0.0,1.0,33.71,33.77,33.305,33.76,3419988.0
2018-02-23,32.98,33.47,32.98,33.45,2801383.0,0.0,1.0,32.98,33.47,32.98,33.45,2801383.0
2018-02-22,33.63,33.71,32.75,32.87,5049014.0,0.0,1.0,33.63,33.71,32.75,32.87,5049014.0
2018-02-21,33.33,33.93,33.16,33.44,4490955.0,0.0,1.0,33.33,33.93,33.16,33.44,4490955.0
2018-02-20,33.03,33.44,33.03,33.21,3839282.0,0.0,1.0,33.03,33.44,33.03,33.21,3839282.0
2018-02-16,33.11,33.43,32.93,33.13,5479881.0,0.0,1.0,33.11,33.43,32.93,33.13,5479881.0
2018-02-15,33.45,33.53,33.1,33.2,3702781.0,0.0,1.0,33.45,33.53,33.1,33.2,3702781.0
2018-02-14,32.37,33.375,32.22,33.25,4622718.0,0.0,1.0,32.37,33.375,32.22,33.25,4622718.0
2018-02-13,32.09,32.49,31.92,32.39,3193656.0,0.0,1.0,32.09,32.49,31.92,32.39,3193656.0
2018-02-12,32.18,32.67,31.89,32.25,5367907.0,0.0,1.0,32.18,32.67,31.89,32.25,5367907.0
2018-02-09,31.66,32.15,30.89,31.98,7756887.0,0.0,1.0,31.66,32.15,30.89,31.98,7756887.0
2018-02-08,32.3,32.35,31.1,31.1,6378462.0,0.0,1.0,32.3,32.35,31.1,31.1,6378462.0
2018-02-07,31.94,32.79,31.83,32.34,5253109.0,0.0,1.0,31.94,32.79,31.83,32.34,5253109.0
2018-02-06,30.78,32.14,30.53,32.02,8149750.0,0.0,1.0,30.78,32.14,30.53,32.02,8149750.0
2018-02-05,32.68,33.3,31.52,31.89,6047075.0,0.0,1.0,32.68,33.3,31.52,31.89,6047075.0
2018-02-02,33.5,33.91,32.995,33.13,4896391.0,0.0,1.0,33.5,33.91,32.995,33.13,4896391.0
2018-02-01,33.15,33.67,32.98,33.66,3264663.0,0.0,1.0,33.15,33.67,32.98,33.66,3264663.0
2018-01-31,33.08,33.47,32.99,33.1,4270928.0,0.0,1.0,33.08,33.47,32.99,33.1,4270928.0
2018-01-30,32.97,33.38,32.88,33.02,3406987.0,0.0,1.0,32.97,33.38,32.88,33.02,3406987.0
2018-01-29,33.31,33.5889,33.12,33.17,2909802.0,0.0,1.0,33.31,33.5889,33.12,33.17,2909802.0
2018-01-26,32.94,33.395,32.84,33.35,3339474.0,0.0,1.0,32.94,33.395,32.84,33.35,3339474.0
2018-01-25,33.51,33.51,32.82,32.84,4275694.0,0.0,1.0,33.51,33.51,32.82,32.84,4275694.0
2018-01-24,33.17,33.4,32.9134,33.33,4496039.0,0.0,1.0,33.17,33.4,32.9134,33.33,4496039.0
2018-01-23,32.65,33.17,32.06,32.92,6969881.0,0.0,1.0,32.65,33.17,32.06,32.92,6969881.0
2018-01-22,32.5,32.875,32.33,32.77,5518776.0,0.0,1.0,32.5,32.875,32.33,32.77,5518776.0
2018-01-19,32.12,32.55,32.07,32.5,4953573.0,0.0,1.0,32.12,32.55,32.07,32.5,4953573.0
2018-01-18,32.53,32.65,32.07,32.17,4312366.0,0.0,1.0,32.53,32.65,32.07,32.17,4312366.0
2018-01-17,32.45,32.56,31.945,32.49,4402751.0,0.0,1.0,32.45,32.56,31.945,32.49,4402751.0
2018-01-16,32.4,32.685,32.085,32.28,4942275.0,0.0,1.0,32.4,32.685,32.085,32.28,4942275.0
2018-01-12,32.0,32.36,31.87,32.35,4340746.0,0.0,1.0,32.0,32.36,31.87,32.35,4340746.0
2018-01-11,31.68,31.9,31.535,31.86,3249116.0,0.0,1.0,31.68,31.9,31.535,31.86,3249116.0
2018-01-10,31.32,31.925,31.28,31.58,3384880.0,0.0,1.0,31.32,31.925,31.28,31.58,3384880.0
2018-01-09,30.82,31.53,30.76,31.25,4300973.0,0.0,1.0,30.82,31.53,30.76,31.25,4300973.0
2018-01-08,30.67,30.81,30.455,30.7,5839284.0,0.0,1.0,30.67,30.81,30.455,30.7,5839284.0
2018-01-05,30.72,30.81,30.43,30.71,4357598.0,0.0,1.0,30.72,30.81,30.43,30.71,4357598.0
