Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,21.07,21.18,20.89,21.01,627060.0,0.0,1.0,21.07,21.18,20.89,21.01,627060.0
2018-03-26,20.91,21.105,20.85,21.08,974954.0,0.0,1.0,20.91,21.105,20.85,21.08,974954.0
2018-03-23,20.67,20.95,20.57,20.77,1088781.0,0.0,1.0,20.67,20.95,20.57,20.77,1088781.0
2018-03-22,20.78,20.95,20.53,20.53,760895.0,0.0,1.0,20.78,20.95,20.53,20.53,760895.0
2018-03-21,20.98,21.005,20.55,20.8,1343850.0,0.0,1.0,20.98,21.005,20.55,20.8,1343850.0
2018-03-20,21.21,21.36,21.0,21.13,709892.0,0.0,1.0,21.21,21.36,21.0,21.13,709892.0
2018-03-19,21.22,21.35,21.07,21.17,869523.0,0.0,1.0,21.22,21.35,21.07,21.17,869523.0
2018-03-16,20.95,21.23,20.93,21.15,2188244.0,0.0,1.0,20.95,21.23,20.93,21.15,2188244.0
2018-03-15,21.29,21.45,20.91,20.95,785486.0,0.0,1.0,21.29,21.45,20.91,20.95,785486.0
2018-03-14,21.28,21.57,21.22,21.33,1358581.0,0.0,1.0,21.28,21.57,21.22,21.33,1358581.0
2018-03-13,21.22,21.269000000000002,20.995,21.21,742754.0,0.0,1.0,21.22,21.269000000000002,20.995,21.21,742754.0
2018-03-12,21.44,21.49,20.99,21.13,1473834.0,0.0,1.0,21.44,21.49,20.99,21.13,1473834.0
2018-03-09,21.31,21.45,21.12,21.44,589082.0,0.0,1.0,21.31,21.45,21.12,21.44,589082.0
2018-03-08,21.3,21.33,21.08,21.13,1081318.0,0.0,1.0,21.3,21.33,21.08,21.13,1081318.0
2018-03-07,21.26,21.4,21.13,21.28,791904.0,0.0,1.0,21.26,21.4,21.13,21.28,791904.0
2018-03-06,21.04,21.42,20.93,21.37,1045619.0,0.0,1.0,21.04,21.42,20.93,21.37,1045619.0
2018-03-05,20.76,21.07,20.65,21.05,981115.0,0.0,1.0,20.76,21.07,20.65,21.05,981115.0
2018-03-02,20.47,20.86,20.47,20.82,1091879.0,0.0,1.0,20.47,20.86,20.47,20.82,1091879.0
2018-03-01,20.54,20.765,20.32,20.47,1187233.0,0.17,1.0,20.54,20.765,20.32,20.47,1187233.0
2018-02-28,21.01,21.09,20.67,20.74,967675.0,0.0,1.0,21.01,21.09,20.67,20.74,967675.0
2018-02-27,21.21,21.35,20.95,20.98,1252716.0,0.0,1.0,21.21,21.35,20.95,20.98,1252716.0
2018-02-26,21.23,21.38,21.15,21.21,1034582.0,0.0,1.0,21.23,21.38,21.15,21.21,1034582.0
2018-02-23,20.8,21.29,20.71,21.24,1102546.0,0.0,1.0,20.8,21.29,20.71,21.24,1102546.0
2018-02-22,20.73,21.08,20.65,20.81,1873324.0,0.0,1.0,20.73,21.08,20.65,20.81,1873324.0
2018-02-21,20.96,21.26,20.72,20.72,1386655.0,0.0,1.0,20.96,21.26,20.72,20.72,1386655.0
2018-02-20,21.36,21.43,20.86,21.01,1417948.0,0.0,1.0,21.36,21.43,20.86,21.01,1417948.0
2018-02-16,20.82,21.46,20.7203,21.35,1510065.0,0.0,1.0,20.82,21.46,20.7203,21.35,1510065.0
2018-02-15,20.88,20.96,20.6209,20.91,1067321.0,0.0,1.0,20.88,20.96,20.6209,20.91,1067321.0
2018-02-14,20.65,20.98,20.52,20.86,1827182.0,0.0,1.0,20.65,20.98,20.52,20.86,1827182.0
2018-02-13,20.38,20.785,20.2713,20.67,1514763.0,0.0,1.0,20.38,20.785,20.2713,20.67,1514763.0
2018-02-12,20.47,20.47,19.98,20.4,1760189.0,0.0,1.0,20.47,20.47,19.98,20.4,1760189.0
2018-02-09,20.25,20.48,20.02,20.37,3088947.0,0.0,1.0,20.25,20.48,20.02,20.37,3088947.0
2018-02-08,19.19,20.36,19.18,19.96,3321246.0,0.0,1.0,19.19,20.36,19.18,19.96,3321246.0
2018-02-07,18.9,19.15,18.81,18.95,1126327.0,0.0,1.0,18.9,19.15,18.81,18.95,1126327.0
2018-02-06,18.35,19.0,18.2,18.9,1824277.0,0.0,1.0,18.35,19.0,18.2,18.9,1824277.0
2018-02-05,19.07,19.12,18.59,18.59,1546283.0,0.0,1.0,19.07,19.12,18.59,18.59,1546283.0
2018-02-02,19.55,19.55,19.17,19.17,1492158.0,0.0,1.0,19.55,19.55,19.17,19.17,1492158.0
2018-02-01,19.59,19.65,19.45,19.59,978833.0,0.0,1.0,19.59,19.65,19.45,19.59,978833.0
2018-01-31,19.68,19.72,19.41,19.61,1628473.0,0.0,1.0,19.68,19.72,19.41,19.61,1628473.0
2018-01-30,19.42,19.745,19.42,19.62,1744284.0,0.0,1.0,19.42,19.745,19.42,19.62,1744284.0
2018-01-29,19.18,19.575,19.17,19.5,1320760.0,0.0,1.0,19.18,19.575,19.17,19.5,1320760.0
2018-01-26,19.29,19.29,18.94,19.17,770126.0,0.0,1.0,19.29,19.29,18.94,19.17,770126.0
2018-01-25,19.45,19.5,19.09,19.27,943385.0,0.0,1.0,19.45,19.5,19.09,19.27,943385.0
2018-01-24,19.57,19.57,19.35,19.4,654935.0,0.0,1.0,19.57,19.57,19.35,19.4,654935.0
2018-01-23,19.38,19.55,19.26,19.49,814598.0,0.0,1.0,19.38,19.55,19.26,19.49,814598.0
2018-01-22,19.39,19.51,19.23,19.5,862783.0,0.0,1.0,19.39,19.51,19.23,19.5,862783.0
2018-01-19,19.14,19.36,19.07,19.34,891185.0,0.0,1.0,19.14,19.36,19.07,19.34,891185.0
2018-01-18,19.13,19.21,18.91,19.13,928648.0,0.0,1.0,19.13,19.21,18.91,19.13,928648.0
2018-01-17,18.9,19.24,18.9,19.22,978794.0,0.0,1.0,18.9,19.24,18.9,19.22,978794.0
2018-01-16,18.87,19.0,18.69,18.81,1652459.0,0.0,1.0,18.87,19.0,18.69,18.81,1652459.0
2018-01-12,18.43,18.71,18.15,18.69,1383513.0,0.0,1.0,18.43,18.71,18.15,18.69,1383513.0
2018-01-11,18.69,18.71,18.46,18.49,1048852.0,0.0,1.0,18.69,18.71,18.46,18.49,1048852.0
2018-01-10,19.2,19.21,18.55,18.65,1993474.0,0.0,1.0,19.2,19.21,18.55,18.65,1993474.0
2018-01-09,19.1,19.29,19.04,19.28,1909394.0,0.0,1.0,19.1,19.29,19.04,19.28,1909394.0
2018-01-08,18.97,19.21,18.97,19.1,1168706.0,0.0,1.0,18.97,19.21,18.97,19.1,1168706.0
2018-01-05,19.0,19.05,18.9,19.02,795149.0,0.0,1.0,19.0,19.05,18.9,19.02,795149.0
