Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.48,13.5,13.095,13.19,2922042.0,0.0,1.0,13.48,13.5,13.095,13.19,2922042.0
2018-03-26,13.3,13.5,13.205,13.46,3208091.0,0.0,1.0,13.3,13.5,13.205,13.46,3208091.0
2018-03-23,13.75,13.75,13.1,13.11,4222549.0,0.0,1.0,13.75,13.75,13.1,13.11,4222549.0
2018-03-22,14.11,14.15,13.69,13.7,2310682.0,0.0,1.0,14.11,14.15,13.69,13.7,2310682.0
2018-03-21,14.35,14.43,14.13,14.25,2577658.0,0.0,1.0,14.35,14.43,14.13,14.25,2577658.0
2018-03-20,14.35,14.43,14.23,14.36,3926218.0,0.0,1.0,14.35,14.43,14.23,14.36,3926218.0
2018-03-19,14.44,14.48,14.11,14.31,2194062.0,0.0,1.0,14.44,14.48,14.11,14.31,2194062.0
2018-03-16,14.42,14.56,14.37,14.41,12524121.0,0.0,1.0,14.42,14.56,14.37,14.41,12524121.0
2018-03-15,14.41,14.48,14.25,14.37,2228432.0,0.0,1.0,14.41,14.48,14.25,14.37,2228432.0
2018-03-14,14.72,14.75,14.32,14.36,2554373.0,0.0,1.0,14.72,14.75,14.32,14.36,2554373.0
2018-03-13,14.81,14.83,14.635,14.69,3010390.0,0.0,1.0,14.81,14.83,14.635,14.69,3010390.0
2018-03-12,14.83,14.915,14.66,14.74,3668551.0,0.0,1.0,14.83,14.915,14.66,14.74,3668551.0
2018-03-09,14.71,14.77,14.56,14.76,5722590.0,0.0,1.0,14.71,14.77,14.56,14.76,5722590.0
2018-03-08,14.76,14.85,14.39,14.53,3993275.0,0.0,1.0,14.76,14.85,14.39,14.53,3993275.0
2018-03-07,14.58,14.9,14.52,14.74,3768258.0,0.0,1.0,14.58,14.9,14.52,14.74,3768258.0
2018-03-06,14.52,14.74,14.41,14.71,4507121.0,0.0,1.0,14.52,14.74,14.41,14.71,4507121.0
2018-03-05,14.0,14.505,13.96,14.45,2851383.0,0.0,1.0,14.0,14.505,13.96,14.45,2851383.0
2018-03-02,13.8,14.17,13.705,14.14,2182072.0,0.0,1.0,13.8,14.17,13.705,14.14,2182072.0
2018-03-01,14.02,14.16,13.92,13.99,3071300.0,0.0,1.0,14.02,14.16,13.92,13.99,3071300.0
2018-02-28,14.45,14.465,14.0,14.02,2701994.0,0.0,1.0,14.45,14.465,14.0,14.02,2701994.0
2018-02-27,14.62,14.77,14.36,14.36,1673295.0,0.0,1.0,14.62,14.77,14.36,14.36,1673295.0
2018-02-26,14.56,14.6,14.39,14.6,1643420.0,0.0,1.0,14.56,14.6,14.39,14.6,1643420.0
2018-02-23,14.32,14.52,14.3,14.52,1277863.0,0.0,1.0,14.32,14.52,14.3,14.52,1277863.0
2018-02-22,14.55,14.66,14.25,14.28,3338418.0,0.0,1.0,14.55,14.66,14.25,14.28,3338418.0
2018-02-21,14.4,14.66,14.4,14.44,1741402.0,0.0,1.0,14.4,14.66,14.4,14.44,1741402.0
2018-02-20,14.45,14.64,14.32,14.38,1460214.0,0.0,1.0,14.45,14.64,14.32,14.38,1460214.0
2018-02-16,14.22,14.59,14.2,14.51,2888143.0,0.0,1.0,14.22,14.59,14.2,14.51,2888143.0
2018-02-15,14.33,14.33,14.195,14.28,1697879.0,0.0,1.0,14.33,14.33,14.195,14.28,1697879.0
2018-02-14,13.9,14.27,13.86,14.25,2229953.0,0.0,1.0,13.9,14.27,13.86,14.25,2229953.0
2018-02-13,13.79,13.95,13.685,13.9,1796261.0,0.0,1.0,13.79,13.95,13.685,13.9,1796261.0
2018-02-12,13.81,13.97,13.7,13.85,2432676.0,0.0,1.0,13.81,13.97,13.7,13.85,2432676.0
2018-02-09,13.75,13.81,13.4,13.75,5025797.0,0.0,1.0,13.75,13.81,13.4,13.75,5025797.0
2018-02-08,14.17,14.21,13.6,13.6,2406851.0,0.0,1.0,14.17,14.21,13.6,13.6,2406851.0
2018-02-07,13.95,14.27,13.86,14.15,2297299.0,0.0,1.0,13.95,14.27,13.86,14.15,2297299.0
2018-02-06,13.57,14.07,13.33,14.0,3936718.0,0.0,1.0,13.57,14.07,13.33,14.0,3936718.0
2018-02-05,14.27,14.49,13.83,13.88,3258967.0,0.0,1.0,14.27,14.49,13.83,13.88,3258967.0
2018-02-02,14.5,14.7,14.41,14.49,2358076.0,0.0,1.0,14.5,14.7,14.41,14.49,2358076.0
2018-02-01,14.3,14.54,14.18,14.53,2031598.0,0.0,1.0,14.3,14.54,14.18,14.53,2031598.0
2018-01-31,14.39,14.49,14.3,14.35,1909376.0,0.0,1.0,14.39,14.49,14.3,14.35,1909376.0
2018-01-30,14.32,14.495,14.27,14.36,2516445.0,0.0,1.0,14.32,14.495,14.27,14.36,2516445.0
2018-01-29,14.42,14.545,14.4,14.44,1461865.0,0.0,1.0,14.42,14.545,14.4,14.44,1461865.0
2018-01-26,14.53,14.54,14.28,14.4,1954844.0,0.0,1.0,14.53,14.54,14.28,14.4,1954844.0
2018-01-25,14.63,14.63,14.34,14.48,1836108.0,0.0,1.0,14.63,14.63,14.34,14.48,1836108.0
2018-01-24,14.68,14.7,14.4,14.5,2128394.0,0.0,1.0,14.68,14.7,14.4,14.5,2128394.0
2018-01-23,14.51,14.665,14.22,14.51,3012353.0,0.0,1.0,14.51,14.665,14.22,14.51,3012353.0
2018-01-22,14.35,14.53,14.275,14.53,3893874.0,0.0,1.0,14.35,14.53,14.275,14.53,3893874.0
2018-01-19,14.15,14.34,14.12,14.34,2256065.0,0.0,1.0,14.15,14.34,14.12,14.34,2256065.0
2018-01-18,14.32,14.42,14.12,14.15,1579376.0,0.0,1.0,14.32,14.42,14.12,14.15,1579376.0
2018-01-17,14.33,14.335,14.14,14.3,1702819.0,0.0,1.0,14.33,14.335,14.14,14.3,1702819.0
2018-01-16,14.53,14.65,14.16,14.27,2660009.0,0.0,1.0,14.53,14.65,14.16,14.27,2660009.0
2018-01-12,14.47,14.63,14.375,14.49,1909299.0,0.0,1.0,14.47,14.63,14.375,14.49,1909299.0
2018-01-11,14.37,14.45,14.31,14.44,1619055.0,0.0,1.0,14.37,14.45,14.31,14.44,1619055.0
2018-01-10,14.19,14.51,14.1,14.26,1978101.0,0.0,1.0,14.19,14.51,14.1,14.26,1978101.0
2018-01-09,14.05,14.31,14.02,14.11,2871395.0,0.0,1.0,14.05,14.31,14.02,14.11,2871395.0
2018-01-08,14.0,14.06,13.82,13.99,2735671.0,0.0,1.0,14.0,14.06,13.82,13.99,2735671.0
2018-01-05,13.95,14.03,13.82,13.98,1857516.0,0.0,1.0,13.95,14.03,13.82,13.98,1857516.0
2018-01-04,13.93,14.065,13.85,13.87,2293196.0,0.0,1.0,13.93,14.065,13.85,13.87,2293196.0
2018-01-03,13.78,13.87,13.655,13.8,2249110.0,0.0,1.0,13.78,13.87,13.655,13.8,2249110.0
2018-01-02,13.87,14.035,13.71,13.79,2944135.0,0.0,1.0,13.87,14.035,13.71,13.79,2944135.0
2017-12-29,13.97,14.07,13.8,13.82,2239006.0,0.0,1.0,13.97,14.07,13.8,13.82,2239006.0
2017-12-28,13.97,14.01,13.84,13.97,1398898.0,0.0,1.0,13.97,14.01,13.84,13.97,1398898.0
2017-12-27,14.05,14.06,13.89,13.91,1579119.0,0.0,1.0,14.05,14.06,13.89,13.91,1579119.0
2017-12-26,14.2,14.31,14.01,14.07,1437375.0,0.0,1.0,14.2,14.31,14.01,14.07,1437375.0
2017-12-22,14.19,14.285,14.125,14.23,3211986.0,0.0,1.0,14.19,14.285,14.125,14.23,3211986.0
2017-12-21,14.03,14.32,13.935,14.24,5095311.0,0.0,1.0,14.03,14.32,13.935,14.24,5095311.0
2017-12-20,14.19,14.2,13.8,13.9,3363665.0,0.0,1.0,14.19,14.2,13.8,13.9,3363665.0
2017-12-19,14.2,14.23,13.99,14.05,2504454.0,0.0,1.0,14.2,14.23,13.99,14.05,2504454.0
2017-12-18,14.06,14.21,14.03,14.11,2234755.0,0.0,1.0,14.06,14.21,14.03,14.11,2234755.0
2017-12-15,13.63,14.087,13.59,13.88,5238230.0,0.0,1.0,13.63,14.087,13.59,13.88,5238230.0
2017-12-14,13.79,13.81,13.48,13.57,2175507.0,0.0,1.0,13.79,13.81,13.48,13.57,2175507.0
2017-12-13,13.93,14.07,13.71,13.73,2058231.0,0.0,1.0,13.93,14.07,13.71,13.73,2058231.0
2017-12-12,14.02,14.04,13.82,13.95,2100916.0,0.0,1.0,14.02,14.04,13.82,13.95,2100916.0
2017-12-11,14.07,14.08,13.87,13.91,2056225.0,0.0,1.0,14.07,14.08,13.87,13.91,2056225.0
2017-12-08,14.24,14.24,13.97,14.08,2528822.0,0.0,1.0,14.24,14.24,13.97,14.08,2528822.0
2017-12-07,13.99,14.23,13.94,14.13,1645277.0,0.0,1.0,13.99,14.23,13.94,14.13,1645277.0
