Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,45.82,45.82,44.36,44.6,791588.0,0.0,1.0,45.82,45.82,44.36,44.6,791588.0
2018-03-26,45.22,45.69,44.81,45.66,531641.0,0.0,1.0,45.22,45.69,44.81,45.66,531641.0
2018-03-23,45.38,45.62,44.431000000000004,44.47,617097.0,0.0,1.0,45.38,45.62,44.431000000000004,44.47,617097.0
2018-03-22,46.17,46.43,45.14,45.17,722143.0,0.0,1.0,46.17,46.43,45.14,45.17,722143.0
2018-03-21,46.98,47.16,46.62,46.71,579004.0,0.0,1.0,46.98,47.16,46.62,46.71,579004.0
2018-03-20,46.73,47.27,46.55,46.95,644829.0,0.0,1.0,46.73,47.27,46.55,46.95,644829.0
2018-03-19,46.3,46.7,45.73,46.63,599239.0,0.0,1.0,46.3,46.7,45.73,46.63,599239.0
2018-03-16,46.47,46.79,46.06,46.59,1425304.0,0.0,1.0,46.47,46.79,46.06,46.59,1425304.0
2018-03-15,46.54,46.94,46.24,46.38,518030.0,0.0,1.0,46.54,46.94,46.24,46.38,518030.0
2018-03-14,46.62,46.75,46.0701,46.4,488522.0,0.0,1.0,46.62,46.75,46.0701,46.4,488522.0
2018-03-13,46.66,47.07,46.16,46.33,460383.0,0.0,1.0,46.66,47.07,46.16,46.33,460383.0
2018-03-12,46.89,47.05,46.42,46.54,487797.0,0.0,1.0,46.89,47.05,46.42,46.54,487797.0
2018-03-09,46.07,46.86,45.79,46.81,533716.0,0.0,1.0,46.07,46.86,45.79,46.81,533716.0
2018-03-08,45.85,45.92,45.26,45.77,576060.0,0.0,1.0,45.85,45.92,45.26,45.77,576060.0
2018-03-07,44.76,45.79,44.76,45.63,680129.0,0.0,1.0,44.76,45.79,44.76,45.63,680129.0
2018-03-06,44.84,45.245,44.58,45.14,954907.0,0.0,1.0,44.84,45.245,44.58,45.14,954907.0
2018-03-05,43.79,44.89,43.53,44.56,727236.0,0.0,1.0,43.79,44.89,43.53,44.56,727236.0
2018-03-02,43.21,44.16,42.97,44.08,780721.0,0.0,1.0,43.21,44.16,42.97,44.08,780721.0
2018-03-01,44.46,44.7,43.35,43.79,756685.0,0.0,1.0,44.46,44.7,43.35,43.79,756685.0
2018-02-28,44.94,45.33,44.35,44.35,711640.0,0.0,1.0,44.94,45.33,44.35,44.35,711640.0
2018-02-27,45.31,45.415,44.89,44.9,728765.0,0.0,1.0,45.31,45.415,44.89,44.9,728765.0
2018-02-26,45.14,45.39,44.8458,45.34,500576.0,0.0,1.0,45.14,45.39,44.8458,45.34,500576.0
2018-02-23,45.01,45.2,44.59,45.0,638986.0,0.0,1.0,45.01,45.2,44.59,45.0,638986.0
2018-02-22,44.37,45.02,44.27,44.87,1172845.0,0.0,1.0,44.37,45.02,44.27,44.87,1172845.0
2018-02-21,43.94,45.19,43.615,44.28,895891.0,0.0,1.0,43.94,45.19,43.615,44.28,895891.0
2018-02-20,43.81,44.32,43.65,43.96,805893.0,0.0,1.0,43.81,44.32,43.65,43.96,805893.0
2018-02-16,43.75,44.34,43.56,44.04,992668.0,0.0,1.0,43.75,44.34,43.56,44.04,992668.0
2018-02-15,43.6,43.99,42.835,43.9,829386.0,0.0,1.0,43.6,43.99,42.835,43.9,829386.0
2018-02-14,41.96,43.345,41.77,43.31,756809.0,0.0,1.0,41.96,43.345,41.77,43.31,756809.0
