Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,61.69,61.86,60.91,61.12,472006.0,0.0,1.0,61.69,61.86,60.91,61.12,472006.0
2018-03-26,60.97,61.58,60.5,61.54,536126.0,0.0,1.0,60.97,61.58,60.5,61.54,536126.0
2018-03-23,61.82,61.945,60.3,60.37,746594.0,0.0,1.0,61.82,61.945,60.3,60.37,746594.0
2018-03-22,63.22,63.37,61.53,61.58,644702.0,0.0,1.0,63.22,63.37,61.53,61.58,644702.0
2018-03-21,64.26,64.475,63.49,63.62,750757.0,0.0,1.0,64.26,64.475,63.49,63.62,750757.0
2018-03-20,64.93,65.0,64.24,64.25,412787.0,0.0,1.0,64.93,65.0,64.24,64.25,412787.0
2018-03-19,64.98,65.02,64.25,64.71,353373.0,0.0,1.0,64.98,65.02,64.25,64.71,353373.0
2018-03-16,65.7,66.0,65.17,65.33,523775.0,0.0,1.0,65.7,66.0,65.17,65.33,523775.0
2018-03-15,66.48,66.74,65.69,65.76,404203.0,0.0,1.0,66.48,66.74,65.69,65.76,404203.0
2018-03-14,66.96,66.97,65.98,66.4,791690.0,0.0,1.0,66.96,66.97,65.98,66.4,791690.0
2018-03-13,67.52,67.9,66.58,66.69,604936.0,0.0,1.0,67.52,67.9,66.58,66.69,604936.0
2018-03-12,67.21,67.88,67.11,67.24,432509.0,0.0,1.0,67.21,67.88,67.11,67.24,432509.0
2018-03-09,66.96,67.55,66.905,67.34,738631.0,0.0,1.0,66.96,67.55,66.905,67.34,738631.0
2018-03-08,66.93,67.24,66.36,66.94,347492.0,0.0,1.0,66.93,67.24,66.36,66.94,347492.0
2018-03-07,66.25,67.7,66.16,66.91,453708.0,0.0,1.0,66.25,67.7,66.16,66.91,453708.0
2018-03-06,66.37,67.28,65.81,66.85,500383.0,0.0,1.0,66.37,67.28,65.81,66.85,500383.0
2018-03-05,64.59,66.35,64.59,66.14,862429.0,0.0,1.0,64.59,66.35,64.59,66.14,862429.0
2018-03-02,65.5,65.7,64.38,64.7,1150374.0,0.0,1.0,65.5,65.7,64.38,64.7,1150374.0
2018-03-01,66.08,66.435,65.0,65.97,772974.0,0.0,1.0,66.08,66.435,65.0,65.97,772974.0
2018-02-28,67.62,67.62,66.17,66.18,1014542.0,0.0,1.0,67.62,67.62,66.17,66.18,1014542.0
2018-02-27,67.3,67.89,67.2,67.55,825068.0,0.0,1.0,67.3,67.89,67.2,67.55,825068.0
2018-02-26,67.73,67.73,66.5,67.45,579891.0,0.0,1.0,67.73,67.73,66.5,67.45,579891.0
2018-02-23,66.93,67.74,66.47,67.72,433527.0,0.0,1.0,66.93,67.74,66.47,67.72,433527.0
2018-02-22,67.47,68.31,66.36,66.52,505579.0,0.0,1.0,67.47,68.31,66.36,66.52,505579.0
2018-02-21,67.48,68.37,67.29,67.33,876575.0,0.0,1.0,67.48,68.37,67.29,67.33,876575.0
2018-02-20,67.58,68.46,66.84,67.26,911041.0,0.0,1.0,67.58,68.46,66.84,67.26,911041.0
2018-02-16,66.24,67.91,66.04,67.45,1129821.0,0.0,1.0,66.24,67.91,66.04,67.45,1129821.0
2018-02-15,66.89,66.9,65.96,66.64,712871.0,0.0,1.0,66.89,66.9,65.96,66.64,712871.0
2018-02-14,64.65,66.08,64.55,66.0,833765.0,0.0,1.0,64.65,66.08,64.55,66.0,833765.0
2018-02-13,66.9,66.9,64.82,64.9,1052837.0,0.0,1.0,66.9,66.9,64.82,64.9,1052837.0
2018-02-12,65.18,66.05,64.83,65.68,1485639.0,0.0,1.0,65.18,66.05,64.83,65.68,1485639.0
2018-02-09,66.29,66.6147,62.585,64.84,2436022.0,0.0,1.0,66.29,66.6147,62.585,64.84,2436022.0
2018-02-08,72.45,72.45,64.47,65.51,2925054.0,0.0,1.0,72.45,72.45,64.47,65.51,2925054.0
2018-02-07,71.25,72.25,71.0,71.21,1024209.0,0.0,1.0,71.25,72.25,71.0,71.21,1024209.0
2018-02-06,68.98,71.57,68.63,71.36,876146.0,0.0,1.0,68.98,71.57,68.63,71.36,876146.0
2018-02-05,71.71,72.53,69.96,69.96,543588.0,0.0,1.0,71.71,72.53,69.96,69.96,543588.0
2018-02-02,72.96,73.37,72.03,72.03,461715.0,0.0,1.0,72.96,73.37,72.03,72.03,461715.0
2018-02-01,73.51,74.29,72.96,73.46,444363.0,0.0,1.0,73.51,74.29,72.96,73.46,444363.0
2018-01-31,73.53,74.26,73.32,73.82,718935.0,0.0,1.0,73.53,74.26,73.32,73.82,718935.0
2018-01-30,73.67,74.19,73.04,73.29,412914.0,0.0,1.0,73.67,74.19,73.04,73.29,412914.0
2018-01-29,74.47,74.55,73.645,74.16,319154.0,0.0,1.0,74.47,74.55,73.645,74.16,319154.0
2018-01-26,74.85,74.91,74.09,74.52,453483.0,0.0,1.0,74.85,74.91,74.09,74.52,453483.0
2018-01-25,74.98,75.51,74.13,74.72,596411.0,0.0,1.0,74.98,75.51,74.13,74.72,596411.0
2018-01-24,74.17,74.74,74.11,74.35,519714.0,0.0,1.0,74.17,74.74,74.11,74.35,519714.0
2018-01-23,73.25,74.37,73.24,74.12,691775.0,0.0,1.0,73.25,74.37,73.24,74.12,691775.0
2018-01-22,73.4,73.4,72.78,73.13,340637.0,0.0,1.0,73.4,73.4,72.78,73.13,340637.0
2018-01-19,72.86,73.92,72.61,73.71,756693.0,0.0,1.0,72.86,73.92,72.61,73.71,756693.0
2018-01-18,73.54,73.61399999999999,72.7,72.79,366773.0,0.0,1.0,73.54,73.61399999999999,72.7,72.79,366773.0
2018-01-17,73.35,73.85,72.775,73.8,504419.0,0.0,1.0,73.35,73.85,72.775,73.8,504419.0
2018-01-16,74.15,74.15,72.69,72.93,570202.0,0.0,1.0,74.15,74.15,72.69,72.93,570202.0
2018-01-12,74.08,74.1,73.33,73.56,751285.0,0.0,1.0,74.08,74.1,73.33,73.56,751285.0
2018-01-11,72.77,73.92,72.77,73.86,371441.0,0.0,1.0,72.77,73.92,72.77,73.86,371441.0
2018-01-10,72.76,72.76,71.99,72.49,340659.0,0.0,1.0,72.76,72.76,71.99,72.49,340659.0
2018-01-09,72.26,73.13,71.94,72.9,434328.0,0.0,1.0,72.26,73.13,71.94,72.9,434328.0
2018-01-08,72.19,72.38,71.69,72.2,391882.0,0.0,1.0,72.19,72.38,71.69,72.2,391882.0
2018-01-05,72.43,72.82,72.11,72.14,604939.0,0.0,1.0,72.43,72.82,72.11,72.14,604939.0
2018-01-04,71.61,72.27,71.59,72.2,633419.0,0.0,1.0,71.61,72.27,71.59,72.2,633419.0
2018-01-03,71.02,71.38,70.7,71.29,353952.0,0.0,1.0,71.02,71.38,70.7,71.29,353952.0
2018-01-02,70.36,70.95,69.95,70.89,617600.0,0.0,1.0,70.36,70.95,69.95,70.89,617600.0
2017-12-29,70.4,70.675,70.12,70.13,410810.0,0.0,1.0,70.4,70.675,70.12,70.13,410810.0
2017-12-28,70.41,70.49,70.02,70.22,295777.0,0.0,1.0,70.41,70.49,70.02,70.22,295777.0
2017-12-27,69.8,70.38,69.66,70.23,355405.0,0.0,1.0,69.8,70.38,69.66,70.23,355405.0
2017-12-26,70.31,70.31,69.6,69.8,777451.0,0.0,1.0,70.31,70.31,69.6,69.8,777451.0
2017-12-22,69.62,70.34,69.37,70.26,390948.0,0.0,1.0,69.62,70.34,69.37,70.26,390948.0
2017-12-21,71.0,71.17,70.09,70.3,449106.0,0.0,1.0,71.0,71.17,70.09,70.3,449106.0
