Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,47.44,48.08,46.52,46.88,9238369.0,0.0,1.0,47.44,48.08,46.52,46.88,9238369.0
2018-03-26,47.01,47.385,46.2,47.21,8168442.0,0.0,1.0,47.01,47.385,46.2,47.21,8168442.0
2018-03-23,46.57,47.84,46.24,46.44,11386887.0,0.0,1.0,46.57,47.84,46.24,46.44,11386887.0
2018-03-22,46.61,46.945,46.16,46.38,11205584.0,0.0,1.0,46.61,46.945,46.16,46.38,11205584.0
2018-03-21,45.85,47.515,45.59,47.11,9556127.0,0.0,1.0,45.85,47.515,45.59,47.11,9556127.0
2018-03-20,44.86,45.68,44.82,45.49,6022199.0,0.0,1.0,44.86,45.68,44.82,45.49,6022199.0
2018-03-19,45.86,45.86,44.214,44.68,8912612.0,0.0,1.0,45.86,45.86,44.214,44.68,8912612.0
2018-03-16,45.37,46.2258,45.16,45.91,7521413.0,0.0,1.0,45.37,46.2258,45.16,45.91,7521413.0
2018-03-15,46.4,46.52,45.03,45.29,6826608.0,0.0,1.0,46.4,46.52,45.03,45.29,6826608.0
2018-03-14,46.38,46.96,46.155,46.24,5977820.0,0.0,1.0,46.38,46.96,46.155,46.24,5977820.0
2018-03-13,47.08,47.22,45.83,46.1,6424544.0,0.0,1.0,47.08,47.22,45.83,46.1,6424544.0
2018-03-12,46.91,47.46,46.74,46.92,5318737.0,0.0,1.0,46.91,47.46,46.74,46.92,5318737.0
2018-03-09,46.48,47.33,46.41,46.99,7162598.0,0.0,1.0,46.48,47.33,46.41,46.99,7162598.0
2018-03-08,45.85,46.27,45.56,46.01,7899401.0,0.0,1.0,45.85,46.27,45.56,46.01,7899401.0
2018-03-07,45.42,45.96,44.98,45.83,7735392.0,0.0,1.0,45.42,45.96,44.98,45.83,7735392.0
2018-03-06,46.58,46.59,45.62,45.92,5633024.0,0.0,1.0,46.58,46.59,45.62,45.92,5633024.0
2018-03-05,45.58,46.46,45.02,46.26,11767937.0,0.0,1.0,45.58,46.46,45.02,46.26,11767937.0
2018-03-02,45.71,46.2,45.165,46.03,6151538.0,0.0,1.0,45.71,46.2,45.165,46.03,6151538.0
2018-03-01,45.93,46.905,45.46,46.03,10113111.0,0.0,1.0,45.93,46.905,45.46,46.03,10113111.0
2018-02-28,48.01,48.1,46.365,46.42,10528888.0,0.0,1.0,48.01,48.1,46.365,46.42,10528888.0
2018-02-27,48.32,48.94,47.61,47.62,5937313.0,0.0,1.0,48.32,48.94,47.61,47.62,5937313.0
2018-02-26,48.24,48.46,47.62,48.23,8102122.0,0.0,1.0,48.24,48.46,47.62,48.23,8102122.0
2018-02-23,47.48,48.655,47.21,48.45,8995751.0,0.0,1.0,47.48,48.655,47.21,48.45,8995751.0
