Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,15.31,15.37,14.81,14.93,8816188.0,0.0,1.0,15.31,15.37,14.81,14.93,8816188.0
2018-03-26,14.97,15.3,14.9,15.275,7266564.0,0.0,1.0,14.97,15.3,14.9,15.275,7266564.0
2018-03-23,15.37,15.41,14.68,14.7,8949705.0,0.0,1.0,15.37,15.41,14.68,14.7,8949705.0
2018-03-22,15.75,15.83,15.3,15.31,9703392.0,0.0,1.0,15.75,15.83,15.3,15.31,9703392.0
2018-03-21,15.88,16.07,15.73,15.88,5656815.0,0.0,1.0,15.88,16.07,15.73,15.88,5656815.0
2018-03-20,15.98,16.06,15.8,15.83,5721148.0,0.0,1.0,15.98,16.06,15.8,15.83,5721148.0
2018-03-19,16.07,16.12,15.73,15.92,7835232.0,0.0,1.0,16.07,16.12,15.73,15.92,7835232.0
2018-03-16,15.95,16.17,15.95,16.07,16821578.0,0.0,1.0,15.95,16.17,15.95,16.07,16821578.0
2018-03-15,16.12,16.15,15.92,16.04,8264207.0,0.0,1.0,16.12,16.15,15.92,16.04,8264207.0
2018-03-14,16.33,16.36,16.0,16.05,6926347.0,0.0,1.0,16.33,16.36,16.0,16.05,6926347.0
2018-03-13,16.54,16.58,16.205,16.29,7597926.0,0.0,1.0,16.54,16.58,16.205,16.29,7597926.0
2018-03-12,16.51,16.6,16.445,16.48,8363473.0,0.0,1.0,16.51,16.6,16.445,16.48,8363473.0
2018-03-09,16.28,16.5,16.145,16.5,7123636.0,0.0,1.0,16.28,16.5,16.145,16.5,7123636.0
2018-03-08,16.29,16.35,15.995,16.16,5258164.0,0.0,1.0,16.29,16.35,15.995,16.16,5258164.0
2018-03-07,16.0,16.31,16.0,16.28,7066192.0,0.0,1.0,16.0,16.31,16.0,16.28,7066192.0
2018-03-06,16.1,16.26,15.89,16.2,8213378.0,0.0,1.0,16.1,16.26,15.89,16.2,8213378.0
2018-03-05,15.63,16.06,15.57,16.01,6382166.0,0.0,1.0,15.63,16.06,15.57,16.01,6382166.0
2018-03-02,15.53,15.82,15.3,15.8,6811917.0,0.0,1.0,15.53,15.82,15.3,15.8,6811917.0
2018-03-01,15.72,15.81,15.525,15.61,8245783.0,0.0,1.0,15.72,15.81,15.525,15.61,8245783.0
2018-02-28,15.88,16.055,15.7,15.7,7037856.0,0.0,1.0,15.88,16.055,15.7,15.7,7037856.0
2018-02-27,15.97,16.235,15.82,15.82,9788415.0,0.0,1.0,15.97,16.235,15.82,15.82,9788415.0
2018-02-26,16.01,16.15,15.93,16.03,9494086.0,0.0,1.0,16.01,16.15,15.93,16.03,9494086.0
2018-02-23,15.8,15.99,15.765,15.99,5414020.0,0.0,1.0,15.8,15.99,15.765,15.99,5414020.0
2018-02-22,16.14,16.2,15.7,15.73,7796642.0,0.0,1.0,16.14,16.2,15.7,15.73,7796642.0
2018-02-21,15.93,16.29,15.85,16.05,10103711.0,0.0,1.0,15.93,16.29,15.85,16.05,10103711.0
2018-02-20,15.83,15.97,15.76,15.9,7564437.0,0.0,1.0,15.83,15.97,15.76,15.9,7564437.0
