Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,177.38,178.73,173.6,174.68,4640376.0,0.0,1.0,177.38,178.73,173.6,174.68,4640376.0
2018-03-26,174.11,176.8,173.515,176.38,7123755.0,0.0,1.0,174.11,176.8,173.515,176.38,7123755.0
2018-03-23,176.24,177.56,171.56,171.8,5851950.0,0.0,1.0,176.24,177.56,171.56,171.8,5851950.0
2018-03-22,177.42,178.56,175.08,175.29,5049280.0,0.0,1.0,177.42,178.56,175.08,175.29,5049280.0
2018-03-21,178.35,180.14,177.68,178.02,3472629.0,0.0,1.0,178.35,180.14,177.68,178.02,3472629.0
2018-03-20,177.64,178.8883,177.16,178.16,4103461.0,0.0,1.0,177.64,178.8883,177.16,178.16,4103461.0
2018-03-19,178.65,179.32,176.0,177.1,4501096.0,0.0,1.0,178.65,179.32,176.0,177.1,4501096.0
2018-03-16,178.43,180.4,177.97,178.96,7939123.0,0.0,1.0,178.43,180.4,177.97,178.96,7939123.0
2018-03-15,177.69,179.86,176.72,178.07,3747456.0,0.0,1.0,177.69,179.86,176.72,178.07,3747456.0
2018-03-14,179.1,179.66,175.89,177.41,4520695.0,0.0,1.0,179.1,179.66,175.89,177.41,4520695.0
2018-03-13,179.59,180.95,177.86,178.35,6089272.0,0.0,1.0,179.59,180.95,177.86,178.35,6089272.0
2018-03-12,182.43,183.06,179.55,179.71,4951429.0,0.0,1.0,182.43,183.06,179.55,179.71,4951429.0
2018-03-09,179.0,182.24,177.92,182.16,4412928.0,0.0,1.0,179.0,182.24,177.92,182.16,4412928.0
2018-03-08,179.44,179.98,176.73,177.94,4219789.0,0.0,1.0,179.44,179.98,176.73,177.94,4219789.0
2018-03-07,178.82,180.0,176.82,178.58,4799246.0,0.0,1.0,178.82,180.0,176.82,178.58,4799246.0
2018-03-06,182.75,183.0,179.51,181.64,5302091.0,0.0,1.0,182.75,183.0,179.51,181.64,5302091.0
2018-03-05,177.86,182.26,177.7,181.74,5748553.0,0.0,1.0,177.86,182.26,177.7,181.74,5748553.0
2018-03-02,177.72,179.185,176.34,178.46,5671038.0,0.0,1.0,177.72,179.185,176.34,178.46,5671038.0
2018-03-01,182.75,184.4,178.25,179.64,6123863.0,0.0,1.0,182.75,184.4,178.25,179.64,6123863.0
2018-02-28,184.41,186.6495,182.27,182.27,6313166.0,0.0,1.0,184.41,186.6495,182.27,182.27,6313166.0
2018-02-27,188.87,189.25,184.96,184.98,4587554.0,0.0,1.0,188.87,189.25,184.96,184.98,4587554.0
2018-02-26,189.17,189.79,187.8601,188.46,4384908.0,0.0,1.0,189.17,189.79,187.8601,188.46,4384908.0
2018-02-23,186.2,188.41,185.62,188.35,4219309.0,0.0,1.0,186.2,188.41,185.62,188.35,4219309.0
2018-02-22,183.72,186.2199,182.91,185.47,5553659.0,0.0,1.0,183.72,186.2199,182.91,185.47,5553659.0
2018-02-21,187.21,187.98,182.86,183.06,7508615.0,0.0,1.0,187.21,187.98,182.86,183.06,7508615.0
2018-02-20,189.9,191.44,186.31,186.71,8746130.0,0.0,1.0,189.9,191.44,186.31,186.71,8746130.0
2018-02-16,185.06,187.99,184.86,186.97,7565848.0,0.0,1.0,185.06,187.99,184.86,186.97,7565848.0
2018-02-15,186.74,187.19,183.255,185.27,5078846.0,0.0,1.0,186.74,187.19,183.255,185.27,5078846.0
2018-02-14,181.88,185.06,181.05,184.69,6506394.0,0.0,1.0,181.88,185.06,181.05,184.69,6506394.0
2018-02-13,183.23,183.99,180.89,183.72,4259241.0,0.0,1.0,183.23,183.99,180.89,183.72,4259241.0
2018-02-12,186.55,187.01,183.41,184.06,6741208.0,0.0,1.0,186.55,187.01,183.41,184.06,6741208.0
2018-02-09,183.25,186.0,175.79,184.12,9029210.0,0.0,1.0,183.25,186.0,175.79,184.12,9029210.0
2018-02-08,191.14,191.14,180.93,181.22,7207421.0,0.0,1.0,191.14,191.14,180.93,181.22,7207421.0
2018-02-07,190.73,194.515,189.72,191.29,5957101.0,0.0,1.0,190.73,194.515,189.72,191.29,5957101.0
2018-02-06,178.62,191.96,175.42,191.04,11647438.0,0.0,1.0,178.62,191.96,175.42,191.04,11647438.0
2018-02-05,190.07,194.295,180.38,183.11,10331341.0,0.0,1.0,190.07,194.295,180.38,183.11,10331341.0
2018-02-02,199.25,199.3,193.44,193.97,5995623.0,0.0,1.0,199.25,199.3,193.44,193.97,5995623.0
2018-02-01,199.34,202.25,198.28,199.9,3552226.0,0.0,1.0,199.34,202.25,198.28,199.9,3552226.0
2018-01-31,203.22,205.083,200.23,200.9,4487502.0,0.0,1.0,203.22,205.083,200.23,200.9,4487502.0
2018-01-30,201.47,203.15,191.57,201.81,5923556.0,0.0,1.0,201.47,203.15,191.57,201.81,5923556.0
2018-01-29,207.23,207.605,204.71,204.92,2999591.0,0.0,1.0,207.23,207.605,204.71,204.92,2999591.0
2018-01-26,205.6,207.3098,204.44,207.23,3655333.0,0.0,1.0,205.6,207.3098,204.44,207.23,3655333.0
2018-01-25,206.8,206.83,203.84,205.37,3533782.0,0.0,1.0,206.8,206.83,203.84,205.37,3533782.0
2018-01-24,205.2,207.1,204.551,206.22,4065050.0,0.0,1.0,205.2,207.1,204.551,206.22,4065050.0
2018-01-23,204.89,206.35,204.15099999999998,204.9,3552418.0,0.0,1.0,204.89,206.35,204.15099999999998,204.9,3552418.0
2018-01-22,201.6,204.47,201.51,204.46,4450374.0,0.0,1.0,201.6,204.47,201.51,204.46,4450374.0
2018-01-19,199.81,201.33,199.13,201.33,5786379.0,0.0,1.0,199.81,201.33,199.13,201.33,5786379.0
2018-01-18,199.78,200.24,197.66,198.33,4313752.0,0.0,1.0,199.78,200.24,197.66,198.33,4313752.0
2018-01-17,197.5,199.82,196.8401,199.82,3988075.0,0.0,1.0,197.5,199.82,196.8401,199.82,3988075.0
2018-01-16,197.86,198.9496,195.7,196.31,5653697.0,0.0,1.0,197.86,198.9496,195.7,196.31,5653697.0
2018-01-12,195.5,199.42,194.82,196.42,6726295.0,0.0,1.0,195.5,199.42,194.82,196.42,6726295.0
2018-01-11,191.68,194.73,191.4,194.68,3326194.0,0.0,1.0,191.68,194.73,191.4,194.68,3326194.0
2018-01-10,192.76,193.21599999999998,191.65,191.8,3110852.0,0.0,1.0,192.76,193.21599999999998,191.65,191.8,3110852.0
2018-01-09,192.7,193.47,191.64,193.1,3006571.0,0.0,1.0,192.7,193.47,191.64,193.1,3006571.0
2018-01-08,191.72,193.72,191.6,192.04,3490089.0,0.0,1.0,191.72,193.72,191.6,192.04,3490089.0
2018-01-05,190.93,192.54,190.51,192.5,4214521.0,0.0,1.0,190.93,192.54,190.51,192.5,4214521.0
2018-01-04,189.87,190.87,188.47,190.51,4029021.0,0.0,1.0,189.87,190.87,188.47,190.51,4029021.0
