Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,33.87,34.6,33.75,34.22,280001.0,0.0,1.0,33.87,34.6,33.75,34.22,280001.0
2018-03-26,33.44,33.91,33.31,33.81,278893.0,0.0,1.0,33.44,33.91,33.31,33.81,278893.0
2018-03-23,33.87,34.13,33.28,33.32,425349.0,0.0,1.0,33.87,34.13,33.28,33.32,425349.0
2018-03-22,33.78,34.54,33.62,33.76,486205.0,0.0,1.0,33.78,34.54,33.62,33.76,486205.0
2018-03-21,33.85,34.12,33.7,33.81,385827.0,0.0,1.0,33.85,34.12,33.7,33.81,385827.0
2018-03-20,33.96,34.16,33.61,33.84,278042.0,0.0,1.0,33.96,34.16,33.61,33.84,278042.0
2018-03-19,34.14,34.22,33.8,33.99,320611.0,0.0,1.0,34.14,34.22,33.8,33.99,320611.0
2018-03-16,33.83,34.19,33.82,34.13,689849.0,0.0,1.0,33.83,34.19,33.82,34.13,689849.0
2018-03-15,33.61,33.97,33.565,33.77,327878.0,0.0,1.0,33.61,33.97,33.565,33.77,327878.0
2018-03-14,33.82,34.04,33.47,33.65,440314.0,0.0,1.0,33.82,34.04,33.47,33.65,440314.0
2018-03-13,33.72,34.08,33.46,33.68,723069.0,0.0,1.0,33.72,34.08,33.46,33.68,723069.0
2018-03-12,33.28,33.76,33.21,33.72,497199.0,0.0,1.0,33.28,33.76,33.21,33.72,497199.0
2018-03-09,32.89,33.37,32.82,33.3,574701.0,0.0,1.0,32.89,33.37,32.82,33.3,574701.0
2018-03-08,32.95,32.99,32.58,32.89,425399.0,0.0,1.0,32.95,32.99,32.58,32.89,425399.0
2018-03-07,33.05,33.13,32.73,32.82,422788.0,0.0,1.0,33.05,33.13,32.73,32.82,422788.0
2018-03-06,33.43,33.485,33.0,33.11,519251.0,0.0,1.0,33.43,33.485,33.0,33.11,519251.0
2018-03-05,32.92,33.585,32.83,33.5,443124.0,0.0,1.0,32.92,33.585,32.83,33.5,443124.0
2018-03-02,33.01,33.36,32.7399,33.0,422419.0,0.0,1.0,33.01,33.36,32.7399,33.0,422419.0
2018-03-01,33.0,33.51,32.96,33.08,430490.0,0.0,1.0,33.0,33.51,32.96,33.08,430490.0
2018-02-28,33.26,33.42,32.93,32.96,428128.0,0.0,1.0,33.26,33.42,32.93,32.96,428128.0
