Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,41.93,42.72,41.56,42.1,505288.0,0.0,1.0,41.93,42.72,41.56,42.1,505288.0
2018-03-26,41.83,42.04,41.51,41.95,527433.0,0.0,1.0,41.83,42.04,41.51,41.95,527433.0
2018-03-23,42.45,42.63,41.34,41.5,662744.0,0.0,1.0,42.45,42.63,41.34,41.5,662744.0
2018-03-22,42.73,43.33,42.48,42.5,662471.0,0.0,1.0,42.73,43.33,42.48,42.5,662471.0
2018-03-21,43.27,43.43,42.7,42.88,915356.0,0.0,1.0,43.27,43.43,42.7,42.88,915356.0
2018-03-20,43.65,44.085,43.19,43.35,478382.0,0.0,1.0,43.65,44.085,43.19,43.35,478382.0
2018-03-19,43.95,43.95,43.3299,43.66,358954.0,0.0,1.0,43.95,43.95,43.3299,43.66,358954.0
2018-03-16,43.73,44.05,43.51,43.99,734244.0,0.0,1.0,43.73,44.05,43.51,43.99,734244.0
2018-03-15,43.78,43.99,43.255,43.65,451369.0,0.0,1.0,43.78,43.99,43.255,43.65,451369.0
2018-03-14,43.73,43.99,43.53,43.75,364729.0,0.0,1.0,43.73,43.99,43.53,43.75,364729.0
2018-03-13,44.25,44.35,43.31,43.72,982500.0,0.0,1.0,44.25,44.35,43.31,43.72,982500.0
2018-03-12,44.5,44.53,44.09,44.45,647926.0,0.0,1.0,44.5,44.53,44.09,44.45,647926.0
2018-03-09,44.46,44.51,43.91,44.5,564178.0,0.0,1.0,44.46,44.51,43.91,44.5,564178.0
2018-03-08,44.16,44.16,43.63,44.02,414558.0,0.0,1.0,44.16,44.16,43.63,44.02,414558.0
2018-03-07,43.43,44.01,43.34,44.01,683996.0,0.0,1.0,43.43,44.01,43.34,44.01,683996.0
2018-03-06,43.23,43.7,42.88,43.54,569860.0,0.0,1.0,43.23,43.7,42.88,43.54,569860.0
2018-03-05,42.76,43.52,42.76,43.27,672381.0,0.0,1.0,42.76,43.52,42.76,43.27,672381.0
