Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,86.07,86.65,84.73,84.96,426047.0,0.0,1.0,86.07,86.65,84.73,84.96,426047.0
2018-03-26,85.06,85.84,83.85,85.74,384505.0,0.0,1.0,85.06,85.84,83.85,85.74,384505.0
2018-03-23,84.65,84.96,83.54,84.17,401808.0,0.0,1.0,84.65,84.96,83.54,84.17,401808.0
2018-03-22,85.39,86.21,84.53,84.73,459095.0,0.0,1.0,85.39,86.21,84.53,84.73,459095.0
2018-03-21,87.29,87.6,85.89,85.91,287224.0,0.0,1.0,87.29,87.6,85.89,85.91,287224.0
2018-03-20,86.38,87.44,86.16,87.18,398384.0,0.0,1.0,86.38,87.44,86.16,87.18,398384.0
2018-03-19,86.56,86.96,85.5,86.21,519327.0,0.0,1.0,86.56,86.96,85.5,86.21,519327.0
2018-03-16,86.7,87.25,86.4,86.92,501776.0,0.0,1.0,86.7,87.25,86.4,86.92,501776.0
2018-03-15,87.61,87.61,86.36,86.53,284293.0,0.0,1.0,87.61,87.61,86.36,86.53,284293.0
2018-03-14,87.78,88.45,86.8,87.38,394957.0,0.0,1.0,87.78,88.45,86.8,87.38,394957.0
2018-03-13,87.94,88.66,87.2301,87.75,429138.0,0.0,1.0,87.94,88.66,87.2301,87.75,429138.0
2018-03-12,87.36,88.5,87.29,87.83,293344.0,0.0,1.0,87.36,88.5,87.29,87.83,293344.0
2018-03-09,86.0,87.77,85.92,87.19,238837.0,0.0,1.0,86.0,87.77,85.92,87.19,238837.0
2018-03-08,85.43,85.69,84.5,85.5,200740.0,0.0,1.0,85.43,85.69,84.5,85.5,200740.0
2018-03-07,84.57,86.01,84.14,85.07,435173.0,0.0,1.0,84.57,86.01,84.14,85.07,435173.0
2018-03-06,83.13,84.94,82.685,84.88,558835.0,0.0,1.0,83.13,84.94,82.685,84.88,558835.0
2018-03-05,82.32,83.4125,81.67,83.16,349293.0,0.0,1.0,82.32,83.4125,81.67,83.16,349293.0
2018-03-02,81.49,82.79,81.01,82.58,394858.0,0.0,1.0,81.49,82.79,81.01,82.58,394858.0
2018-03-01,83.71,83.71,80.7,81.57,411170.0,0.0,1.0,83.71,83.71,80.7,81.57,411170.0
2018-02-28,83.85,84.97,83.64,83.66,475115.0,0.0,1.0,83.85,84.97,83.64,83.66,475115.0
2018-02-27,83.86,84.83,83.16,83.58,510136.0,0.0,1.0,83.86,84.83,83.16,83.58,510136.0
2018-02-26,84.08,84.21,83.3,83.88,560152.0,0.0,1.0,84.08,84.21,83.3,83.88,560152.0
2018-02-23,83.91,84.35,83.14,84.06,448159.0,0.0,1.0,83.91,84.35,83.14,84.06,448159.0
2018-02-22,84.43,84.85,83.26,83.44,410591.0,0.0,1.0,84.43,84.85,83.26,83.44,410591.0
2018-02-21,83.19,84.98,82.76,84.15,552859.0,0.0,1.0,83.19,84.98,82.76,84.15,552859.0
2018-02-20,82.63,83.56,82.48,83.01,386077.0,0.0,1.0,82.63,83.56,82.48,83.01,386077.0
2018-02-16,82.96,84.09,82.66,82.91,439141.0,0.0,1.0,82.96,84.09,82.66,82.91,439141.0
2018-02-15,81.5,83.19,80.98,83.12,430073.0,0.0,1.0,81.5,83.19,80.98,83.12,430073.0
2018-02-14,79.86,81.43,79.3602,81.07,337360.0,0.0,1.0,79.86,81.43,79.3602,81.07,337360.0
2018-02-13,80.58,80.88,79.73,80.39,460063.0,0.0,1.0,80.58,80.88,79.73,80.39,460063.0
2018-02-12,80.53,81.6,80.07,81.04,598360.0,0.0,1.0,80.53,81.6,80.07,81.04,598360.0
2018-02-09,80.38,80.6,78.16,79.73,793106.0,0.0,1.0,80.38,80.6,78.16,79.73,793106.0
2018-02-08,83.01,83.33,79.81,79.83,393294.0,0.0,1.0,83.01,83.33,79.81,79.83,393294.0
2018-02-07,82.25,83.93,82.16,83.12,572301.0,0.0,1.0,82.25,83.93,82.16,83.12,572301.0
2018-02-06,81.92,84.72,81.03,82.44,858657.0,0.0,1.0,81.92,84.72,81.03,82.44,858657.0
2018-02-05,86.5,86.6,83.05,83.4,1035564.0,0.0,1.0,86.5,86.6,83.05,83.4,1035564.0
2018-02-02,86.52,87.59,86.045,87.03,905225.0,0.0,1.0,86.52,87.59,86.045,87.03,905225.0
2018-02-01,85.31,86.74,84.77,86.71,879884.0,0.0,1.0,85.31,86.74,84.77,86.71,879884.0
2018-01-31,86.94,86.94,84.85,85.33,910318.0,0.0,1.0,86.94,86.94,84.85,85.33,910318.0
2018-01-30,87.02,87.63,86.2,86.53,647220.0,0.0,1.0,87.02,87.63,86.2,86.53,647220.0
2018-01-29,88.32,88.605,87.18,87.88,684738.0,0.0,1.0,88.32,88.605,87.18,87.88,684738.0
2018-01-26,87.0,89.87,86.33,88.22,1706641.0,0.0,1.0,87.0,89.87,86.33,88.22,1706641.0
2018-01-25,90.44,91.11,90.14,91.01,785234.0,0.0,1.0,90.44,91.11,90.14,91.01,785234.0
2018-01-24,89.35,90.09,89.18,89.93,504033.0,0.0,1.0,89.35,90.09,89.18,89.93,504033.0
2018-01-23,89.3,89.7,88.615,89.03,305949.0,0.0,1.0,89.3,89.7,88.615,89.03,305949.0
2018-01-22,89.13,89.61,88.53,89.23,451041.0,0.0,1.0,89.13,89.61,88.53,89.23,451041.0
2018-01-19,88.18,89.64,87.83,89.3,512733.0,0.0,1.0,88.18,89.64,87.83,89.3,512733.0
2018-01-18,88.22,88.47,87.3498,87.8,460120.0,0.0,1.0,88.22,88.47,87.3498,87.8,460120.0
2018-01-17,86.81,88.24,86.2,88.11,632921.0,0.0,1.0,86.81,88.24,86.2,88.11,632921.0
2018-01-16,87.64,87.98,85.85,86.19,915437.0,0.0,1.0,87.64,87.98,85.85,86.19,915437.0
2018-01-12,87.13,87.46,86.57,86.79,693332.0,0.0,1.0,87.13,87.46,86.57,86.79,693332.0
2018-01-11,87.89,88.19,86.39,86.96,401608.0,0.0,1.0,87.89,88.19,86.39,86.96,401608.0
2018-01-10,88.14,88.69,87.01,87.77,307457.0,0.0,1.0,88.14,88.69,87.01,87.77,307457.0
2018-01-09,88.07,88.91,87.49,88.34,412396.0,0.0,1.0,88.07,88.91,87.49,88.34,412396.0
2018-01-08,87.48,88.24,86.69,87.84,333130.0,0.0,1.0,87.48,88.24,86.69,87.84,333130.0
2018-01-05,86.36,87.64,85.71,87.38,356585.0,0.0,1.0,86.36,87.64,85.71,87.38,356585.0
2018-01-04,86.94,87.24,85.61,85.82,692516.0,0.0,1.0,86.94,87.24,85.61,85.82,692516.0
2018-01-03,86.55,87.575,85.88,86.25,617690.0,0.0,1.0,86.55,87.575,85.88,86.25,617690.0
2018-01-02,83.6,85.08,83.31,84.64,435030.0,0.0,1.0,83.6,85.08,83.31,84.64,435030.0
2017-12-29,85.41,85.65,84.23,84.29,305503.0,0.0,1.0,85.41,85.65,84.23,84.29,305503.0
2017-12-28,85.35,85.54,84.79,85.28,173949.0,0.0,1.0,85.35,85.54,84.79,85.28,173949.0
