Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,66.19,66.19,64.23,64.57,475181.0,0.0,1.0,66.19,66.19,64.23,64.57,475181.0
2018-03-26,65.32,66.35,64.82,66.2,333004.0,0.0,1.0,65.32,66.35,64.82,66.2,333004.0
2018-03-23,64.57,65.6999,64.26,64.34,391108.0,0.0,1.0,64.57,65.6999,64.26,64.34,391108.0
2018-03-22,66.19,66.32,64.56,64.56,601718.0,0.0,1.0,66.19,66.32,64.56,64.56,601718.0
2018-03-21,67.01,67.7299,66.725,66.92,808742.0,0.0,1.0,67.01,67.7299,66.725,66.92,808742.0
2018-03-20,66.72,67.59,66.59,66.91,374303.0,0.0,1.0,66.72,67.59,66.59,66.91,374303.0
2018-03-19,66.57,66.75,65.92,66.69,584987.0,0.0,1.0,66.57,66.75,65.92,66.69,584987.0
2018-03-16,67.33,67.72,66.48,66.81,802244.0,0.0,1.0,67.33,67.72,66.48,66.81,802244.0
2018-03-15,67.15,67.62,66.44,67.41,292319.0,0.0,1.0,67.15,67.62,66.44,67.41,292319.0
2018-03-14,68.62,68.62,66.81,67.05,343563.0,0.0,1.0,68.62,68.62,66.81,67.05,343563.0
2018-03-13,68.47,68.75,67.965,68.13,280419.0,0.0,1.0,68.47,68.75,67.965,68.13,280419.0
2018-03-12,69.23,69.52,68.13,68.29,337011.0,0.0,1.0,69.23,69.52,68.13,68.29,337011.0
2018-03-09,68.44,69.27,67.95,69.08,430088.0,0.0,1.0,68.44,69.27,67.95,69.08,430088.0
2018-03-08,68.0,68.12,67.2542,68.03,416387.0,0.0,1.0,68.0,68.12,67.2542,68.03,416387.0
2018-03-07,66.7,67.95,66.7,67.75,435919.0,0.0,1.0,66.7,67.95,66.7,67.75,435919.0
2018-03-06,66.9,67.5,66.7,67.29,436656.0,0.0,1.0,66.9,67.5,66.7,67.29,436656.0
2018-03-05,65.39,67.06,65.39,66.86,605822.0,0.0,1.0,65.39,67.06,65.39,66.86,605822.0
2018-03-02,65.38,66.11,64.73,65.91,370494.0,0.0,1.0,65.38,66.11,64.73,65.91,370494.0
2018-03-01,67.42,67.42,65.23,65.84,516037.0,0.0,1.0,67.42,67.42,65.23,65.84,516037.0
2018-02-28,67.44,68.21,67.2,67.28,639851.0,0.0,1.0,67.44,68.21,67.2,67.28,639851.0
2018-02-27,67.74,68.26,67.32,67.32,402181.0,0.0,1.0,67.74,68.26,67.32,67.32,402181.0
2018-02-26,67.62,67.74,66.63,67.63,262196.0,0.0,1.0,67.62,67.74,66.63,67.63,262196.0
2018-02-23,66.67,67.38,66.5,67.38,236389.0,0.0,1.0,66.67,67.38,66.5,67.38,236389.0
2018-02-22,67.63,67.63,66.17,66.39,541706.0,0.0,1.0,67.63,67.63,66.17,66.39,541706.0
2018-02-21,67.05,67.88,66.91,67.22,640873.0,0.0,1.0,67.05,67.88,66.91,67.22,640873.0
2018-02-20,67.85,68.16,66.9,67.06,627582.0,0.0,1.0,67.85,68.16,66.9,67.06,627582.0
2018-02-16,67.89,68.4145,67.5394,68.1,390311.0,0.0,1.0,67.89,68.4145,67.5394,68.1,390311.0
2018-02-15,67.33,68.27,66.88,68.24,466463.0,0.0,1.0,67.33,68.27,66.88,68.24,466463.0
2018-02-14,65.18,67.02,64.995,66.78,545206.0,0.0,1.0,65.18,67.02,64.995,66.78,545206.0
2018-02-13,64.35,65.59,64.31,65.4,710216.0,0.0,1.0,64.35,65.59,64.31,65.4,710216.0
2018-02-12,64.06,64.97,63.39,64.51,483483.0,0.0,1.0,64.06,64.97,63.39,64.51,483483.0
2018-02-09,63.89,64.16,61.86,63.42,613223.0,0.0,1.0,63.89,64.16,61.86,63.42,613223.0
2018-02-08,65.2,65.2,63.23,63.23,520464.0,0.0,1.0,65.2,65.2,63.23,63.23,520464.0
2018-02-07,64.37,65.79,64.215,64.74,549684.0,0.0,1.0,64.37,65.79,64.215,64.74,549684.0
2018-02-06,62.65,64.93,61.691,64.52,765761.0,0.0,1.0,62.65,64.93,61.691,64.52,765761.0
2018-02-05,66.5,67.11,63.34,63.99,800003.0,0.0,1.0,66.5,67.11,63.34,63.99,800003.0
2018-02-02,68.29,68.33,67.15,67.38,519670.0,0.0,1.0,68.29,68.33,67.15,67.38,519670.0
2018-02-01,68.18,68.86,67.85,68.7,495100.0,0.0,1.0,68.18,68.86,67.85,68.7,495100.0
2018-01-31,68.0,68.93,67.98,68.35,688320.0,0.0,1.0,68.0,68.93,67.98,68.35,688320.0
2018-01-30,67.71,68.36,66.95,67.55,686066.0,0.0,1.0,67.71,68.36,66.95,67.55,686066.0
2018-01-29,67.56,69.05,67.45,68.15,979021.0,0.0,1.0,67.56,69.05,67.45,68.15,979021.0
2018-01-26,66.51,67.97,65.31,67.62,1087927.0,0.0,1.0,66.51,67.97,65.31,67.62,1087927.0
2018-01-25,66.68,69.27,64.97,66.37,1158920.0,0.0,1.0,66.68,69.27,64.97,66.37,1158920.0
2018-01-24,65.03,65.71,64.9701,65.3,613537.0,0.0,1.0,65.03,65.71,64.9701,65.3,613537.0
2018-01-23,65.02,65.25,64.71,65.0,418466.0,0.0,1.0,65.02,65.25,64.71,65.0,418466.0
2018-01-22,64.95,65.2,64.36,65.1,372869.0,0.0,1.0,64.95,65.2,64.36,65.1,372869.0
2018-01-19,64.98,65.34,64.59,65.17,604766.0,0.0,1.0,64.98,65.34,64.59,65.17,604766.0
2018-01-18,64.75,64.89,64.4,64.68,863791.0,0.0,1.0,64.75,64.89,64.4,64.68,863791.0
2018-01-17,64.03,64.94,63.93,64.75,448576.0,0.0,1.0,64.03,64.94,63.93,64.75,448576.0
2018-01-16,64.65,65.32,63.74,63.81,536638.0,0.0,1.0,64.65,65.32,63.74,63.81,536638.0
2018-01-12,64.11,65.01,63.87,64.6,443853.0,0.0,1.0,64.11,65.01,63.87,64.6,443853.0
2018-01-11,62.81,64.15,62.37,64.05,472078.0,0.0,1.0,62.81,64.15,62.37,64.05,472078.0
2018-01-10,62.81,62.85,62.2,62.47,738943.0,0.0,1.0,62.81,62.85,62.2,62.47,738943.0
2018-01-09,64.33,64.33,63.03,63.1,760751.0,0.0,1.0,64.33,64.33,63.03,63.1,760751.0
2018-01-08,63.07,64.28,62.75,64.23,817484.0,0.0,1.0,63.07,64.28,62.75,64.23,817484.0
2018-01-05,63.42,63.42,62.38,63.02,715364.0,0.0,1.0,63.42,63.42,62.38,63.02,715364.0
2018-01-04,62.93,63.23,62.7,63.05,679753.0,0.0,1.0,62.93,63.23,62.7,63.05,679753.0
2018-01-03,61.89,62.69,61.64,62.5,525491.0,0.0,1.0,61.89,62.69,61.64,62.5,525491.0
2018-01-02,62.22,62.46,60.99,61.67,677248.0,0.0,1.0,62.22,62.46,60.99,61.67,677248.0
2017-12-29,62.39,62.47,61.84,61.85,396462.0,0.0,1.0,62.39,62.47,61.84,61.85,396462.0
2017-12-28,62.31,62.46,61.99,62.24,332154.0,0.0,1.0,62.31,62.46,61.99,62.24,332154.0
2017-12-27,62.04,62.43,61.87,62.19,228211.0,0.0,1.0,62.04,62.43,61.87,62.19,228211.0
2017-12-26,62.58,62.91,62.01,62.07,194355.0,0.0,1.0,62.58,62.91,62.01,62.07,194355.0
2017-12-22,62.09,62.585,61.88,62.46,261527.0,0.0,1.0,62.09,62.585,61.88,62.46,261527.0
2017-12-21,61.73,62.36,61.41,62.33,304150.0,0.0,1.0,61.73,62.36,61.41,62.33,304150.0
2017-12-20,61.45,61.77,61.26,61.37,307959.0,0.0,1.0,61.45,61.77,61.26,61.37,307959.0
2017-12-19,62.02,62.225,61.56,61.57,605210.0,0.0,1.0,62.02,62.225,61.56,61.57,605210.0
2017-12-18,62.59,62.76,61.81,62.16,497099.0,0.0,1.0,62.59,62.76,61.81,62.16,497099.0
2017-12-15,61.4,62.14,61.26,61.92,734311.0,0.0,1.0,61.4,62.14,61.26,61.92,734311.0
2017-12-14,61.2,61.67,61.005,61.04,559867.0,0.0,1.0,61.2,61.67,61.005,61.04,559867.0
2017-12-13,60.91,61.91,60.83,61.2,666177.0,0.0,1.0,60.91,61.91,60.83,61.2,666177.0
2017-12-12,59.33,62.02,58.775,60.98,1300476.0,0.0,1.0,59.33,62.02,58.775,60.98,1300476.0
2017-12-11,60.44,60.63,59.18,59.34,578065.0,0.0,1.0,60.44,60.63,59.18,59.34,578065.0
2017-12-08,60.98,60.98,60.13,60.5,509968.0,0.0,1.0,60.98,60.98,60.13,60.5,509968.0
2017-12-07,60.74,60.98,60.29,60.72,999814.0,0.0,1.0,60.74,60.98,60.29,60.72,999814.0
2017-12-06,60.0,60.99,59.97,60.57,438364.0,0.0,1.0,60.0,60.99,59.97,60.57,438364.0
2017-12-05,60.71,60.835,59.735,59.78,277549.0,0.0,1.0,60.71,60.835,59.735,59.78,277549.0
2017-12-04,61.92,62.29,60.65,60.68,401280.0,0.0,1.0,61.92,62.29,60.65,60.68,401280.0
2017-12-01,61.99,62.04,60.12,61.22,309905.0,0.0,1.0,61.99,62.04,60.12,61.22,309905.0
2017-11-30,61.79,62.34,61.5,62.0,286768.0,0.0,1.0,61.79,62.34,61.5,62.0,286768.0
2017-11-29,61.56,61.9,61.5,61.67,197941.0,0.0,1.0,61.56,61.9,61.5,61.67,197941.0
2017-11-28,61.3,61.66,60.82,61.63,290723.0,0.0,1.0,61.3,61.66,60.82,61.63,290723.0
2017-11-27,60.45,61.25,60.36,60.92,572541.0,0.0,1.0,60.45,61.25,60.36,60.92,572541.0
2017-11-24,60.41,60.64,60.12,60.3,196011.0,0.0,1.0,60.41,60.64,60.12,60.3,196011.0
2017-11-22,60.24,60.49,60.15,60.25,304251.0,0.0,1.0,60.24,60.49,60.15,60.25,304251.0
2017-11-21,60.16,60.74,60.0,60.26,709970.0,0.0,1.0,60.16,60.74,60.0,60.26,709970.0
