Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,27.05,27.13,26.38,26.55,1453328.0,0.0,1.0,27.05,27.13,26.38,26.55,1453328.0
2018-03-26,27.15,27.29,26.38,27.05,1618341.0,0.0,1.0,27.15,27.29,26.38,27.05,1618341.0
2018-03-23,27.86,28.255,26.79,26.89,1496453.0,0.0,1.0,27.86,28.255,26.79,26.89,1496453.0
2018-03-22,28.5,28.67,27.78,27.82,1237638.0,0.0,1.0,28.5,28.67,27.78,27.82,1237638.0
2018-03-21,28.89,29.4,28.755,28.8,940350.0,0.0,1.0,28.89,29.4,28.755,28.8,940350.0
2018-03-20,29.75,29.82,28.88,29.12,1462677.0,0.0,1.0,29.75,29.82,28.88,29.12,1462677.0
2018-03-19,29.99,30.11,29.4,29.64,1508945.0,0.0,1.0,29.99,30.11,29.4,29.64,1508945.0
2018-03-16,30.15,30.5,29.92,29.99,1357562.0,0.0,1.0,30.15,30.5,29.92,29.99,1357562.0
2018-03-15,30.75,30.75,30.18,30.19,1370220.0,0.0,1.0,30.75,30.75,30.18,30.19,1370220.0
2018-03-14,29.91,30.82,29.62,30.74,2659104.0,0.0,1.0,29.91,30.82,29.62,30.74,2659104.0
2018-03-13,29.79,30.47,29.77,29.92,1613489.0,0.0,1.0,29.79,30.47,29.77,29.92,1613489.0
2018-03-12,29.23,30.22,29.23,29.72,2126587.0,0.0,1.0,29.23,30.22,29.23,29.72,2126587.0
2018-03-09,29.99,29.99,29.01,29.21,2017390.0,0.0,1.0,29.99,29.99,29.01,29.21,2017390.0
2018-03-08,29.3,30.0,28.35,29.86,4380055.0,0.0,1.0,29.3,30.0,28.35,29.86,4380055.0
2018-03-07,27.45,28.0,27.25,27.65,1976463.0,0.0,1.0,27.45,28.0,27.25,27.65,1976463.0
2018-03-06,26.98,27.67,26.86,27.59,1592511.0,0.0,1.0,26.98,27.67,26.86,27.59,1592511.0
2018-03-05,26.71,27.03,26.26,26.82,1181302.0,0.0,1.0,26.71,27.03,26.26,26.82,1181302.0
2018-03-02,26.11,26.98,25.95,26.88,1346113.0,0.0,1.0,26.11,26.98,25.95,26.88,1346113.0
2018-03-01,26.57,26.91,26.09,26.36,1196427.0,0.0,1.0,26.57,26.91,26.09,26.36,1196427.0
2018-02-28,26.65,27.05,26.42,26.5,736155.0,0.0,1.0,26.65,27.05,26.42,26.5,736155.0
2018-02-27,27.1,27.19,26.58,26.7,1090562.0,0.0,1.0,27.1,27.19,26.58,26.7,1090562.0
2018-02-26,27.06,27.3,26.65,27.07,614750.0,0.0,1.0,27.06,27.3,26.65,27.07,614750.0
2018-02-23,26.6,26.99,26.53,26.97,885254.0,0.0,1.0,26.6,26.99,26.53,26.97,885254.0
2018-02-22,27.03,27.25,26.48,26.49,648514.0,0.0,1.0,27.03,27.25,26.48,26.49,648514.0
2018-02-21,27.45,27.55,26.98,26.98,819079.0,0.0,1.0,27.45,27.55,26.98,26.98,819079.0
2018-02-20,27.14,27.7,27.09,27.59,687214.0,0.0,1.0,27.14,27.7,27.09,27.59,687214.0
2018-02-16,27.08,27.52,26.96,27.19,962092.0,0.0,1.0,27.08,27.52,26.96,27.19,962092.0
2018-02-15,26.78,27.26,26.491,27.23,979564.0,0.0,1.0,26.78,27.26,26.491,27.23,979564.0
2018-02-14,25.81,27.01,25.75,26.61,1968149.0,0.0,1.0,25.81,27.01,25.75,26.61,1968149.0
2018-02-13,25.9,26.27,25.71,25.96,1096426.0,0.0,1.0,25.9,26.27,25.71,25.96,1096426.0
2018-02-12,26.13,26.62,25.67,25.92,1187605.0,0.0,1.0,26.13,26.62,25.67,25.92,1187605.0
2018-02-09,26.71,26.8,25.1,25.92,2942490.0,0.0,1.0,26.71,26.8,25.1,25.92,2942490.0
2018-02-08,27.45,27.66,26.59,26.61,1210327.0,0.0,1.0,27.45,27.66,26.59,26.61,1210327.0
2018-02-07,28.05,28.38,27.47,27.48,913149.0,0.0,1.0,28.05,28.38,27.47,27.48,913149.0
2018-02-06,27.31,28.06,26.85,28.05,2120062.0,0.0,1.0,27.31,28.06,26.85,28.05,2120062.0
2018-02-05,28.56,29.0,27.73,27.77,878475.0,0.0,1.0,28.56,29.0,27.73,27.77,878475.0
2018-02-02,29.41,29.51,28.72,28.84,1280294.0,0.0,1.0,29.41,29.51,28.72,28.84,1280294.0
2018-02-01,29.0,29.89,28.89,29.64,1473917.0,0.0,1.0,29.0,29.89,28.89,29.64,1473917.0
2018-01-31,29.12,29.28,28.9677,29.07,775459.0,0.0,1.0,29.12,29.28,28.9677,29.07,775459.0
2018-01-30,28.93,29.01,28.45,28.94,1185572.0,0.0,1.0,28.93,29.01,28.45,28.94,1185572.0
2018-01-29,28.75,29.51,28.34,29.15,1754247.0,0.0,1.0,28.75,29.51,28.34,29.15,1754247.0
2018-01-26,28.79,29.19,28.18,28.88,1319260.0,0.0,1.0,28.79,29.19,28.18,28.88,1319260.0
2018-01-25,28.43,28.99,28.095,28.9,1518470.0,0.0,1.0,28.43,28.99,28.095,28.9,1518470.0
2018-01-24,28.07,28.8396,27.97,28.36,2179797.0,0.0,1.0,28.07,28.8396,27.97,28.36,2179797.0
2018-01-23,27.69,28.45,27.63,28.01,1134346.0,0.0,1.0,27.69,28.45,27.63,28.01,1134346.0
2018-01-22,27.37,27.67,27.07,27.63,504280.0,0.0,1.0,27.37,27.67,27.07,27.63,504280.0
2018-01-19,27.07,27.61,26.79,27.33,988292.0,0.0,1.0,27.07,27.61,26.79,27.33,988292.0
2018-01-18,27.46,27.57,26.89,26.98,1386668.0,0.0,1.0,27.46,27.57,26.89,26.98,1386668.0
2018-01-17,27.55,27.81,27.29,27.49,764090.0,0.0,1.0,27.55,27.81,27.29,27.49,764090.0
2018-01-16,28.07,28.095,27.0,27.33,720080.0,0.0,1.0,28.07,28.095,27.0,27.33,720080.0
2018-01-12,27.98,28.24,27.54,27.79,729622.0,0.0,1.0,27.98,28.24,27.54,27.79,729622.0
2018-01-11,27.61,28.27,27.61,28.03,817646.0,0.0,1.0,27.61,28.27,27.61,28.03,817646.0
2018-01-10,27.61,27.78,27.01,27.64,894576.0,0.0,1.0,27.61,27.78,27.01,27.64,894576.0
2018-01-09,27.76,28.0,27.41,27.93,1699339.0,0.0,1.0,27.76,28.0,27.41,27.93,1699339.0
2018-01-08,27.8,28.55,27.44,27.6,1246444.0,0.0,1.0,27.8,28.55,27.44,27.6,1246444.0
2018-01-05,27.11,27.83,26.9,27.77,1368455.0,0.0,1.0,27.11,27.83,26.9,27.77,1368455.0
2018-01-04,26.72,27.14,26.4278,26.9,1039140.0,0.0,1.0,26.72,27.14,26.4278,26.9,1039140.0
2018-01-03,26.81,27.48,26.485,26.63,1118347.0,0.0,1.0,26.81,27.48,26.485,26.63,1118347.0
2018-01-02,26.5,26.93,26.41,26.76,1061425.0,0.0,1.0,26.5,26.93,26.41,26.76,1061425.0
2017-12-29,26.44,26.71,26.19,26.51,945554.0,0.0,1.0,26.44,26.71,26.19,26.51,945554.0
2017-12-28,26.47,26.6,26.27,26.32,614133.0,0.0,1.0,26.47,26.6,26.27,26.32,614133.0
2017-12-27,26.25,26.82,26.2,26.43,831387.0,0.0,1.0,26.25,26.82,26.2,26.43,831387.0
2017-12-26,26.18,26.48,25.98,26.27,1201506.0,0.0,1.0,26.18,26.48,25.98,26.27,1201506.0
2017-12-22,26.81,27.11,26.17,26.25,1063681.0,0.0,1.0,26.81,27.11,26.17,26.25,1063681.0
2017-12-21,26.82,27.31,26.645,27.24,1398300.0,0.0,1.0,26.82,27.31,26.645,27.24,1398300.0
2017-12-20,26.04,26.825,25.82,26.68,1680664.0,0.0,1.0,26.04,26.825,25.82,26.68,1680664.0
2017-12-19,26.61,26.64,26.06,26.06,1203172.0,0.0,1.0,26.61,26.64,26.06,26.06,1203172.0
2017-12-18,26.7,27.24,26.37,26.48,1980997.0,0.0,1.0,26.7,27.24,26.37,26.48,1980997.0
2017-12-15,26.955,27.18,26.57,26.67,1674076.0,0.0,1.0,26.955,27.18,26.57,26.67,1674076.0
2017-12-14,27.28,27.4,27.04,27.05,617272.0,0.0,1.0,27.28,27.4,27.04,27.05,617272.0
2017-12-13,27.14,27.43,26.96,27.15,1156790.0,0.0,1.0,27.14,27.43,26.96,27.15,1156790.0
2017-12-12,27.32,27.43,26.93,27.04,683423.0,0.0,1.0,27.32,27.43,26.93,27.04,683423.0
2017-12-11,26.78,27.63,26.78,27.4,1078023.0,0.0,1.0,26.78,27.63,26.78,27.4,1078023.0
2017-12-08,27.76,27.87,26.63,26.67,1657936.0,0.0,1.0,27.76,27.87,26.63,26.67,1657936.0
2017-12-07,27.29,27.8,27.18,27.69,1130268.0,0.0,1.0,27.29,27.8,27.18,27.69,1130268.0
2017-12-06,27.4,27.63,27.09,27.32,1076072.0,0.0,1.0,27.4,27.63,27.09,27.32,1076072.0
2017-12-05,27.74,28.08,27.36,27.47,1522289.0,0.0,1.0,27.74,28.08,27.36,27.47,1522289.0
2017-12-04,28.07,28.29,27.48,27.75,838030.0,0.0,1.0,28.07,28.29,27.48,27.75,838030.0
2017-12-01,27.39,28.0,27.2334,27.75,1056355.0,0.0,1.0,27.39,28.0,27.2334,27.75,1056355.0
2017-11-30,27.72,27.81,27.11,27.49,1861863.0,0.0,1.0,27.72,27.81,27.11,27.49,1861863.0
2017-11-29,28.84,28.91,27.465,27.53,1482835.0,0.0,1.0,28.84,28.91,27.465,27.53,1482835.0
2017-11-28,27.96,27.99,27.53,27.63,1456016.0,0.0,1.0,27.96,27.99,27.53,27.63,1456016.0
2017-11-27,27.82,28.0,27.67,27.9,1085493.0,0.2,1.0,27.82,28.0,27.67,27.9,1085493.0
2017-11-24,27.99,28.39,27.88,28.1,740023.0,0.0,1.0,27.790782918149,28.187935943059998,27.681565836299,27.9,740023.0
2017-11-22,28.55,28.66,27.965,27.97,1121548.0,0.0,1.0,28.346797153024998,28.456014234875003,27.765960854093,27.770925266904,1121548.0
2017-11-21,28.5,28.69,28.08,28.51,1305564.0,0.0,1.0,28.297153024910997,28.485800711743998,27.880142348754,28.307081850534,1305564.0
2017-11-20,28.65,28.87,28.15,28.5,1973385.0,0.0,1.0,28.446085409253,28.664519572954003,27.949644128114,28.297153024910997,1973385.0
2017-11-17,28.72,29.36,28.54,28.54,2087834.0,0.0,1.0,28.515587188612,29.151032028470002,28.336868327402,28.336868327402,2087834.0
2017-11-16,27.75,28.89,27.75,28.8,3688512.0,0.0,1.0,27.552491103203,28.684377224199,27.552491103203,28.595017793593996,3688512.0
2017-11-15,27.14,27.87,26.59,27.76,3638907.0,0.0,1.0,26.946832740214,27.671637010675997,26.400747330961,27.562419928826,3638907.0
2017-11-14,26.64,27.52,26.24,27.45,8349685.0,0.0,1.0,26.450391459074996,27.324128113879,26.053238434164,27.25462633452,8349685.0
2017-11-13,23.7,23.95,23.34,23.85,3181214.0,0.0,1.0,23.531316725979,23.779537366548,23.173879003558998,23.680249110320002,3181214.0
2017-11-10,24.09,24.205,23.68,23.8,1409232.0,0.0,1.0,23.918540925267,24.032722419928998,23.511459074733,23.630604982206002,1409232.0
2017-11-09,24.0,24.76,23.68,24.08,2231274.0,0.0,1.0,23.829181494662,24.583772241993,23.511459074733,23.908612099644,2231274.0
2017-11-07,24.14,24.17,23.695,23.79,2119370.0,0.0,1.0,23.968185053381,23.997971530249,23.526352313167,23.620676156584,2119370.0
2017-11-06,24.05,24.39,23.98,24.3,1009932.0,0.0,1.0,23.878825622776,24.21640569395,23.809323843416,24.127046263344997,1009932.0
2017-11-03,23.62,24.42,23.49,24.07,1326833.0,0.0,1.0,23.451886120995997,24.246192170819,23.3228113879,23.898683274021,1326833.0
2017-11-02,24.16,24.16,23.3,23.72,1222135.0,0.0,1.0,23.988042704626004,23.988042704626004,23.134163701068,23.551174377224,1222135.0
2017-11-01,23.8,24.29,23.5,24.15,2440524.0,0.0,1.0,23.630604982206002,24.117117437722,23.332740213523003,23.978113879004002,2440524.0
2017-10-31,23.47,23.7152,23.17,23.5,2696054.0,0.0,1.0,23.302953736655002,23.546408540925,23.005088967972004,23.332740213523003,2696054.0
2017-10-30,22.83,23.64,22.77,23.53,2596161.0,0.0,1.0,22.667508896797,23.471743772241997,22.607935943060003,23.362526690391,2596161.0
2017-10-27,22.8,22.9,22.34,22.86,2087732.0,0.0,1.0,22.637722419929,22.737010676157,22.180996441281,22.697295373665,2087732.0
2017-10-26,23.58,23.69,22.7,22.76,2502334.0,0.0,1.0,23.412170818505,23.521387900356,22.538434163701,22.598007117438,2502334.0
2017-10-25,23.66,23.9,23.16,23.57,1645358.0,0.0,1.0,23.491601423488003,23.729893238434,22.995160142349,23.402241992883,1645358.0
2017-10-24,23.62,23.88,23.38,23.76,2006003.0,0.0,1.0,23.451886120995997,23.710035587189,23.213594306050002,23.590889679714998,2006003.0
2017-10-23,23.83,23.97,23.36,23.46,1390461.0,0.0,1.0,23.660391459074997,23.799395017793998,23.193736654804002,23.293024911032,1390461.0
2017-10-20,23.93,24.18,23.67,23.93,1239795.0,0.0,1.0,23.759679715302,24.007900355872003,23.50153024911,23.759679715302,1239795.0
2017-10-19,23.71,24.175,23.47,23.79,2220894.0,0.0,1.0,23.541245551601,24.002935943060002,23.302953736655002,23.620676156584,2220894.0
2017-10-18,23.4,23.9,23.4,23.89,2015957.0,0.0,1.0,23.233451957295,23.729893238434,23.233451957295,23.719964412811,2015957.0
2017-10-17,23.96,23.96,23.2,23.37,2840884.0,0.0,1.0,23.789466192171002,23.789466192171002,23.034875444839997,23.203665480427,2840884.0
2017-10-16,23.65,24.03,23.535,24.0,1408884.0,0.0,1.0,23.481672597865,23.85896797153,23.367491103203,23.829181494662,1408884.0
2017-10-13,23.4,23.79,23.175,23.62,1665613.0,0.0,1.0,23.233451957295,23.620676156584,23.010053380783,23.451886120995997,1665613.0
2017-10-12,23.56,23.7,23.2,23.4,1428679.0,0.0,1.0,23.39231316726,23.531316725979,23.034875444839997,23.233451957295,1428679.0
2017-10-11,24.04,24.06,23.67,23.71,1081232.0,0.0,1.0,23.868896797153,23.888754448399,23.50153024911,23.541245551601,1081232.0
2017-10-10,24.43,24.48,23.9,24.0,1530728.0,0.0,1.0,24.256120996441002,24.305765124555002,23.729893238434,23.829181494662,1530728.0
2017-10-09,24.61,24.77,24.15,24.33,1915275.0,0.0,1.0,24.434839857651,24.593701067616,23.978113879004002,24.156832740214,1915275.0
2017-10-06,24.65,24.91,24.21,24.61,3115305.0,0.0,1.0,24.474555160142003,24.732704626335,24.03768683274,24.434839857651,3115305.0
2017-10-05,24.67,24.96,24.36,24.64,3028487.0,0.0,1.0,24.494412811388003,24.782348754447998,24.186619217082,24.464626334520002,3028487.0
2017-10-04,24.75,24.77,24.11,24.25,1721130.0,0.0,1.0,24.57384341637,24.593701067616,23.938398576511997,24.077402135230997,1721130.0
2017-10-03,24.4,25.16,24.12,24.71,2703712.0,0.0,1.0,24.226334519573,24.980925266904002,23.948327402135,24.534128113879,2703712.0
2017-10-02,24.48,24.75,24.0,24.32,1795930.0,0.0,1.0,24.305765124555002,24.57384341637,23.829181494662,24.146903914590997,1795930.0
2017-09-29,24.61,24.785,24.18,24.55,1782791.0,0.0,1.0,24.434839857651,24.60859430605,24.007900355872003,24.375266903915,1782791.0
2017-09-28,24.23,24.76,23.99,24.56,1465987.0,0.0,1.0,24.057544483986,24.583772241993,23.819252669039003,24.385195729537,1465987.0
2017-09-27,24.17,24.92,24.02,24.28,2211911.0,0.0,1.0,23.997971530249,24.742633451957,23.849039145907003,24.1071886121,2211911.0
2017-09-26,23.71,24.75,23.63,24.65,3921685.0,0.0,1.0,23.541245551601,24.57384341637,23.461814946619,24.474555160142003,3921685.0
2017-09-25,23.4,23.52,23.04,23.25,1338419.0,0.0,1.0,23.233451957295,23.352597864769002,22.876014234875,23.084519572954,1338419.0
2017-09-22,23.52,23.66,23.17,23.46,1265980.0,0.0,1.0,23.352597864769002,23.491601423488003,23.005088967972004,23.293024911032,1265980.0
2017-09-21,23.88,24.1,23.46,23.56,1921723.0,0.0,1.0,23.710035587189,23.92846975089,23.293024911032,23.39231316726,1921723.0
2017-09-20,24.12,24.24,23.31,23.88,4091580.0,0.0,1.0,23.948327402135,24.067473309609,23.144092526690002,23.710035587189,4091580.0
2017-09-19,22.78,22.87,22.37,22.45,1823077.0,0.0,1.0,22.617864768683,22.707224199288,22.210782918149,22.290213523132,1823077.0
2017-09-18,22.33,23.14,22.2,22.81,2155217.0,0.0,1.0,22.171067615658004,22.975302491103,22.041992882562,22.647651245552,2155217.0
2017-09-15,21.55,22.65,21.41,22.24,4568552.0,0.0,1.0,21.396619217082,22.488790035587,21.257615658362997,22.081708185053,4568552.0
2017-09-14,21.3,21.67,21.1,21.52,1802304.0,0.0,1.0,21.148398576512,21.515765124555003,20.949822064057,21.366832740214,1802304.0
2017-09-13,21.07,21.6317,20.89,21.36,2969945.0,0.0,1.0,20.920035587189,21.477737722420002,20.741316725979,21.207971530249,2969945.0
2017-09-12,20.64,21.29,20.29,21.07,1981198.0,0.0,1.0,20.493096085409,21.13846975089,20.145587188612,20.920035587189,1981198.0
2017-09-11,20.17,20.97,20.07,20.55,2266957.0,0.0,1.0,20.026441281139,20.820747330961,19.927153024911,20.403736654804,2266957.0
2017-09-08,20.56,20.59,20.0,20.09,958681.0,0.0,1.0,20.413665480427,20.443451957295,19.857651245552002,19.947010676157,958681.0
2017-09-07,20.64,20.76,20.5,20.54,752497.0,0.0,1.0,20.493096085409,20.612241992883,20.35409252669,20.393807829181,752497.0
2017-09-06,20.6,20.87,20.45,20.63,1321067.0,0.0,1.0,20.453380782918,20.721459074733,20.304448398577,20.483167259786,1321067.0
2017-09-05,20.55,20.67,20.22,20.5,1256512.0,0.0,1.0,20.403736654804,20.522882562278,20.076085409253,20.35409252669,1256512.0
2017-09-01,20.44,20.9,20.44,20.54,1049866.0,0.0,1.0,20.294519572953998,20.751245551601,20.294519572953998,20.393807829181,1049866.0
2017-08-31,20.63,20.8,20.36,20.37,1834992.0,0.0,1.0,20.483167259786,20.651957295374,20.215088967972,20.225017793594,1834992.0
2017-08-30,20.28,20.62,20.2215,20.6,1143450.0,0.0,1.0,20.135658362989,20.473238434164,20.077574733096,20.453380782918,1143450.0
2017-08-29,19.81,20.38,19.6438,20.34,2232918.0,0.0,1.0,19.669003558719,20.234946619217,19.503986476868,20.195231316726,2232918.0
