Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,129.35,129.98,127.0,127.53,438760.0,0.0,1.0,129.35,129.98,127.0,127.53,438760.0
2018-03-26,128.0,128.91,126.535,128.78,435691.0,0.0,1.0,128.0,128.91,126.535,128.78,435691.0
2018-03-23,128.8,129.27,126.53,126.74,350985.0,0.0,1.0,128.8,129.27,126.53,126.74,350985.0
2018-03-22,129.95,131.12,128.46,128.51,263100.0,0.0,1.0,129.95,131.12,128.46,128.51,263100.0
2018-03-21,131.05,131.53,129.335,130.25,426354.0,0.0,1.0,131.05,131.53,129.335,130.25,426354.0
2018-03-20,131.52,132.11,130.07,131.43,333582.0,0.0,1.0,131.52,132.11,130.07,131.43,333582.0
2018-03-19,131.81,132.12,130.725,131.51,166782.0,0.0,1.0,131.81,132.12,130.725,131.51,166782.0
2018-03-16,131.34,132.63,131.195,131.82,590752.0,0.0,1.0,131.34,132.63,131.195,131.82,590752.0
2018-03-15,132.71,132.95,130.627,131.1,249737.0,0.0,1.0,132.71,132.95,130.627,131.1,249737.0
2018-03-14,133.77,134.27,132.06,132.34,214710.0,0.0,1.0,133.77,134.27,132.06,132.34,214710.0
2018-03-13,135.15,135.395,132.961,133.3,723870.0,0.0,1.0,135.15,135.395,132.961,133.3,723870.0
2018-03-12,133.66,135.21,133.66,134.78,408887.0,0.0,1.0,133.66,135.21,133.66,134.78,408887.0
2018-03-09,132.81,133.78,131.86,133.25,273607.0,0.0,1.0,132.81,133.78,131.86,133.25,273607.0
2018-03-08,134.5,134.5,131.68,132.1,409480.0,0.0,1.0,134.5,134.5,131.68,132.1,409480.0
2018-03-07,132.63,135.143,132.04,134.0,444486.0,0.0,1.0,132.63,135.143,132.04,134.0,444486.0
2018-03-06,131.92,133.67,130.6925,133.63,528142.0,0.0,1.0,131.92,133.67,130.6925,133.63,528142.0
2018-03-05,130.55,132.63,130.39,131.54,300902.0,0.0,1.0,130.55,132.63,130.39,131.54,300902.0
2018-03-02,128.04,131.38,128.04,131.2,240203.0,0.0,1.0,128.04,131.38,128.04,131.2,240203.0
2018-03-01,130.37,131.77,128.12,128.95,407304.0,0.0,1.0,130.37,131.77,128.12,128.95,407304.0
2018-02-28,131.66,132.14,130.1,130.64,474693.0,0.0,1.0,131.66,132.14,130.1,130.64,474693.0
2018-02-27,130.17,132.15,129.81,131.02,489645.0,0.0,1.0,130.17,132.15,129.81,131.02,489645.0
2018-02-26,129.39,130.675,128.8,130.23,230929.0,0.0,1.0,129.39,130.675,128.8,130.23,230929.0
2018-02-23,128.76,128.9,127.74,128.73,238388.0,0.0,1.0,128.76,128.9,127.74,128.73,238388.0
2018-02-22,127.39,128.76,127.045,128.03,269637.0,0.0,1.0,127.39,128.76,127.045,128.03,269637.0
2018-02-21,129.2,129.205,126.89,127.02,437089.0,0.0,1.0,129.2,129.205,126.89,127.02,437089.0
2018-02-20,130.51,130.85,128.65,129.25,410332.0,0.0,1.0,130.51,130.85,128.65,129.25,410332.0
2018-02-16,130.85,131.53,129.9268,131.12,277295.0,0.0,1.0,130.85,131.53,129.9268,131.12,277295.0
2018-02-15,130.37,131.09,128.71,130.81,448767.0,0.0,1.0,130.37,131.09,128.71,130.81,448767.0
2018-02-14,127.98,130.08,127.715,129.99,266484.0,0.0,1.0,127.98,130.08,127.715,129.99,266484.0
2018-02-13,128.94,129.36,127.21,128.37,408520.0,0.0,1.0,128.94,129.36,127.21,128.37,408520.0
2018-02-12,128.8,130.3,126.97,129.47,420337.0,0.0,1.0,128.8,130.3,126.97,129.47,420337.0
2018-02-09,128.75,129.55,125.85,127.99,440628.0,0.0,1.0,128.75,129.55,125.85,127.99,440628.0
2018-02-08,131.48,131.74,127.55,127.58,456547.0,0.0,1.0,131.48,131.74,127.55,127.58,456547.0
2018-02-07,130.19,132.74,130.13,130.87,410702.0,0.0,1.0,130.19,132.74,130.13,130.87,410702.0
2018-02-06,128.34,131.4872,126.93,130.3,880377.0,0.0,1.0,128.34,131.4872,126.93,130.3,880377.0
2018-02-05,135.09,135.91,130.1,130.1,540540.0,0.0,1.0,135.09,135.91,130.1,130.1,540540.0
