Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.98,24.16,23.6,23.74,335053.0,0.0,1.0,23.98,24.16,23.6,23.74,335053.0
2018-03-26,23.37,23.895,22.78,23.86,611970.0,0.0,1.0,23.37,23.895,22.78,23.86,611970.0
2018-03-23,23.72,24.02,23.025,23.05,621637.0,0.0,1.0,23.72,24.02,23.025,23.05,621637.0
2018-03-22,24.03,24.16,23.57,23.66,466334.0,0.0,1.0,24.03,24.16,23.57,23.66,466334.0
2018-03-21,24.23,24.7,24.02,24.23,412822.0,0.0,1.0,24.23,24.7,24.02,24.23,412822.0
2018-03-20,24.03,24.2,23.78,24.15,442608.0,0.0,1.0,24.03,24.2,23.78,24.15,442608.0
2018-03-19,24.36,24.54,23.6,23.94,514100.0,0.0,1.0,24.36,24.54,23.6,23.94,514100.0
2018-03-16,24.01,24.57,24.01,24.49,911626.0,0.0,1.0,24.01,24.57,24.01,24.49,911626.0
2018-03-15,23.94,24.14,23.49,23.93,432306.0,0.0,1.0,23.94,24.14,23.49,23.93,432306.0
2018-03-14,23.75,24.12,23.7,23.87,679445.0,0.0,1.0,23.75,24.12,23.7,23.87,679445.0
2018-03-13,23.67,24.01,23.47,23.61,1308864.0,0.0,1.0,23.67,24.01,23.47,23.61,1308864.0
2018-03-12,23.54,23.78,23.175,23.57,945125.0,0.0,1.0,23.54,23.78,23.175,23.57,945125.0
2018-03-09,23.8,24.05,23.39,23.59,994844.0,0.0,1.0,23.8,24.05,23.39,23.59,994844.0
2018-03-08,23.59,23.75,23.23,23.62,543183.0,0.0,1.0,23.59,23.75,23.23,23.62,543183.0
2018-03-07,23.25,23.9,23.25,23.5,591853.0,0.0,1.0,23.25,23.9,23.25,23.5,591853.0
2018-03-06,23.32,23.76,23.05,23.43,566861.0,0.0,1.0,23.32,23.76,23.05,23.43,566861.0
2018-03-05,22.88,23.42,22.86,23.23,671076.0,0.0,1.0,22.88,23.42,22.86,23.23,671076.0
2018-03-02,22.45,23.0,22.3,22.93,771124.0,0.0,1.0,22.45,23.0,22.3,22.93,771124.0
2018-03-01,22.85,23.24,22.35,22.58,957313.0,0.0,1.0,22.85,23.24,22.35,22.58,957313.0
2018-02-28,23.12,23.37,22.84,22.85,663694.0,0.0,1.0,23.12,23.37,22.84,22.85,663694.0
2018-02-27,23.36,24.26,22.985,23.08,1022727.0,0.0,1.0,23.36,24.26,22.985,23.08,1022727.0
2018-02-26,21.66,23.86,21.66,23.35,1605618.0,0.0,1.0,21.66,23.86,21.66,23.35,1605618.0
2018-02-23,23.66,24.31,20.64,21.64,1997863.0,0.0,1.0,23.66,24.31,20.64,21.64,1997863.0
2018-02-22,25.77,25.885,25.05,25.11,1019203.0,0.0,1.0,25.77,25.885,25.05,25.11,1019203.0
2018-02-21,25.99,26.195,25.71,25.72,541614.0,0.0,1.0,25.99,26.195,25.71,25.72,541614.0
2018-02-20,26.28,26.43,25.88,26.02,325844.0,0.0,1.0,26.28,26.43,25.88,26.02,325844.0
2018-02-16,26.21,26.54,26.15,26.31,401172.0,0.0,1.0,26.21,26.54,26.15,26.31,401172.0
2018-02-15,26.04,26.35,25.79,26.3,437971.0,0.0,1.0,26.04,26.35,25.79,26.3,437971.0
2018-02-14,24.94,26.07,24.66,26.0,498210.0,0.0,1.0,24.94,26.07,24.66,26.0,498210.0
2018-02-13,24.75,25.13,24.6,25.05,534088.0,0.0,1.0,24.75,25.13,24.6,25.05,534088.0
2018-02-12,24.83,25.065,24.51,24.92,795571.0,0.0,1.0,24.83,25.065,24.51,24.92,795571.0
2018-02-09,24.61,24.83,23.86,24.65,481840.0,0.0,1.0,24.61,24.83,23.86,24.65,481840.0
2018-02-08,25.34,25.53,24.37,24.38,542193.0,0.0,1.0,25.34,25.53,24.37,24.38,542193.0
2018-02-07,25.82,26.27,25.34,25.34,492970.0,0.0,1.0,25.82,26.27,25.34,25.34,492970.0
2018-02-06,25.55,26.08,25.27,25.93,731592.0,0.0,1.0,25.55,26.08,25.27,25.93,731592.0
2018-02-05,26.5,27.09,25.82,26.02,681292.0,0.0,1.0,26.5,27.09,25.82,26.02,681292.0
2018-02-02,28.0,28.2,26.575,26.95,537275.0,0.0,1.0,28.0,28.2,26.575,26.95,537275.0
2018-02-01,27.96,28.255,27.635,28.22,437227.0,0.0,1.0,27.96,28.255,27.635,28.22,437227.0
2018-01-31,27.59,28.05,27.4,27.89,643181.0,0.0,1.0,27.59,28.05,27.4,27.89,643181.0
2018-01-30,27.53,27.89,27.46,27.46,598496.0,0.0,1.0,27.53,27.89,27.46,27.46,598496.0
2018-01-29,27.59,28.02,27.55,27.71,541098.0,0.0,1.0,27.59,28.02,27.55,27.71,541098.0
2018-01-26,27.5,27.68,27.27,27.64,352913.0,0.0,1.0,27.5,27.68,27.27,27.64,352913.0
2018-01-25,28.02,28.02,27.39,27.48,423396.0,0.0,1.0,28.02,28.02,27.39,27.48,423396.0
2018-01-24,28.42,28.565,27.8,27.86,472801.0,0.0,1.0,28.42,28.565,27.8,27.86,472801.0
2018-01-23,28.62,28.77,28.06,28.42,335491.0,0.0,1.0,28.62,28.77,28.06,28.42,335491.0
2018-01-22,28.08,28.7,27.96,28.66,296144.0,0.0,1.0,28.08,28.7,27.96,28.66,296144.0
2018-01-19,28.35,28.35,27.93,28.11,447205.0,0.0,1.0,28.35,28.35,27.93,28.11,447205.0
2018-01-18,28.39,28.4454,27.9702,28.29,370742.0,0.0,1.0,28.39,28.4454,27.9702,28.29,370742.0
2018-01-17,28.64,28.73,28.18,28.39,458436.0,0.0,1.0,28.64,28.73,28.18,28.39,458436.0
2018-01-16,29.07,29.1,28.45,28.5,281132.0,0.0,1.0,29.07,29.1,28.45,28.5,281132.0
2018-01-12,28.93,29.12,28.74,28.98,278391.0,0.0,1.0,28.93,29.12,28.74,28.98,278391.0
2018-01-11,28.44,28.9399,28.35,28.88,362599.0,0.0,1.0,28.44,28.9399,28.35,28.88,362599.0
2018-01-10,28.2,28.63,28.1,28.38,327923.0,0.0,1.0,28.2,28.63,28.1,28.38,327923.0
2018-01-09,28.31,28.41,27.95,28.17,425104.0,0.0,1.0,28.31,28.41,27.95,28.17,425104.0
2018-01-08,28.09,28.27,27.82,28.18,596647.0,0.0,1.0,28.09,28.27,27.82,28.18,596647.0
2018-01-05,28.78,28.78,28.09,28.1,481209.0,0.0,1.0,28.78,28.78,28.09,28.1,481209.0
2018-01-04,29.03,29.1,28.5,28.72,470488.0,0.0,1.0,29.03,29.1,28.5,28.72,470488.0
2018-01-03,28.69,29.43,28.63,29.11,510206.0,0.0,1.0,28.69,29.43,28.63,29.11,510206.0
2018-01-02,28.26,28.75,28.26,28.54,481713.0,0.0,1.0,28.26,28.75,28.26,28.54,481713.0
2017-12-29,28.63,28.63,28.13,28.14,360491.0,0.0,1.0,28.63,28.63,28.13,28.14,360491.0
2017-12-28,28.41,28.805,28.17,28.61,481198.0,0.0,1.0,28.41,28.805,28.17,28.61,481198.0
2017-12-27,28.43,28.46,28.13,28.45,352277.0,0.0,1.0,28.43,28.46,28.13,28.45,352277.0
2017-12-26,28.33,28.6,28.2665,28.39,255759.0,0.0,1.0,28.33,28.6,28.2665,28.39,255759.0
2017-12-22,28.21,28.37,28.09,28.31,239752.0,0.0,1.0,28.21,28.37,28.09,28.31,239752.0
2017-12-21,28.01,28.53,27.9524,28.25,413733.0,0.0,1.0,28.01,28.53,27.9524,28.25,413733.0
2017-12-20,27.97,28.08,27.71,27.95,398847.0,0.0,1.0,27.97,28.08,27.71,27.95,398847.0
2017-12-19,28.06,28.18,27.76,27.79,424641.0,0.0,1.0,28.06,28.18,27.76,27.79,424641.0
