Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,31.53,32.36,31.25,31.9,2193041.0,0.0,1.0,31.53,32.36,31.25,31.9,2193041.0
2018-03-26,31.12,31.35,30.95,31.27,1242562.0,0.0,1.0,31.12,31.35,30.95,31.27,1242562.0
2018-03-23,31.67,31.87,30.78,30.89,1799698.0,0.0,1.0,31.67,31.87,30.78,30.89,1799698.0
2018-03-22,31.46,32.03,31.42,31.64,2222089.0,0.0,1.0,31.46,32.03,31.42,31.64,2222089.0
2018-03-21,31.72,31.97,31.39,31.61,1446775.0,0.0,1.0,31.72,31.97,31.39,31.61,1446775.0
2018-03-20,31.47,31.74,31.37,31.73,1304035.0,0.0,1.0,31.47,31.74,31.37,31.73,1304035.0
2018-03-19,32.23,32.23,31.33,31.46,1923289.0,0.0,1.0,32.23,32.23,31.33,31.46,1923289.0
2018-03-16,32.44,32.59,31.87,32.52,5343807.0,0.0,1.0,32.44,32.59,31.87,32.52,5343807.0
2018-03-15,32.98,33.09,32.62,32.89,1754290.0,0.0,1.0,32.98,33.09,32.62,32.89,1754290.0
2018-03-14,32.71,32.99,32.55,32.98,1995549.0,0.0,1.0,32.71,32.99,32.55,32.98,1995549.0
2018-03-13,33.14,33.37,33.12,33.22,1610074.0,0.0,1.0,33.14,33.37,33.12,33.22,1610074.0
2018-03-12,33.29,33.38,32.86,33.01,2077870.0,0.0,1.0,33.29,33.38,32.86,33.01,2077870.0
2018-03-09,32.76,33.25,32.55,33.25,2595775.0,0.0,1.0,32.76,33.25,32.55,33.25,2595775.0
2018-03-08,32.8,32.89,32.52,32.71,1584110.0,0.0,1.0,32.8,32.89,32.52,32.71,1584110.0
2018-03-07,32.24,32.75,32.14,32.71,2005004.0,0.0,1.0,32.24,32.75,32.14,32.71,2005004.0
2018-03-06,32.11,32.43,31.88,32.39,1310076.0,0.0,1.0,32.11,32.43,31.88,32.39,1310076.0
2018-03-05,31.39,32.23,31.26,32.1,1724595.0,0.0,1.0,31.39,32.23,31.26,32.1,1724595.0
2018-03-02,31.48,31.59,31.1,31.55,2046804.0,0.0,1.0,31.48,31.59,31.1,31.55,2046804.0
2018-03-01,31.36,32.0863,31.15,31.63,2161630.0,0.0,1.0,31.36,32.0863,31.15,31.63,2161630.0
2018-02-28,31.21,31.56,30.95,31.46,2487705.0,0.0,1.0,31.21,31.56,30.95,31.46,2487705.0
2018-02-27,32.03,32.26,31.02,31.05,2268387.0,0.0,1.0,32.03,32.26,31.02,31.05,2268387.0
2018-02-26,32.08,32.3,31.81,31.95,1827745.0,0.0,1.0,32.08,32.3,31.81,31.95,1827745.0
2018-02-23,31.78,32.04,31.76,31.96,1532965.0,0.0,1.0,31.78,32.04,31.76,31.96,1532965.0
2018-02-22,31.7,32.03,31.34,31.58,2260723.0,0.0,1.0,31.7,32.03,31.34,31.58,2260723.0
2018-02-21,31.89,32.35,31.45,31.47,2904235.0,0.0,1.0,31.89,32.35,31.45,31.47,2904235.0
2018-02-20,32.75,33.15,31.89,32.12,3819550.0,0.0,1.0,32.75,33.15,31.89,32.12,3819550.0
2018-02-16,34.87,35.25,33.13,33.17,3036165.0,0.0,1.0,34.87,35.25,33.13,33.17,3036165.0
2018-02-15,33.43,33.74,33.06,33.72,2550643.0,0.0,1.0,33.43,33.74,33.06,33.72,2550643.0
2018-02-14,33.25,33.35,32.73,33.19,1436544.0,0.0,1.0,33.25,33.35,32.73,33.19,1436544.0
2018-02-13,33.25,33.79,32.94,33.54,1612596.0,0.0,1.0,33.25,33.79,32.94,33.54,1612596.0
2018-02-12,33.22,33.48,32.7,33.3,2596419.0,0.0,1.0,33.22,33.48,32.7,33.3,2596419.0
2018-02-09,32.33,33.39,31.91,33.1,2349936.0,0.0,1.0,32.33,33.39,31.91,33.1,2349936.0
