Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,49.91,49.93,48.01,48.24,439801.0,0.0,1.0,49.91,49.93,48.01,48.24,439801.0
2018-03-26,49.81,49.81,48.6,49.66,707709.0,0.0,1.0,49.81,49.81,48.6,49.66,707709.0
2018-03-23,50.35,50.87,48.78,48.88,385387.0,0.0,1.0,50.35,50.87,48.78,48.88,385387.0
2018-03-22,52.03,52.51,50.18,50.19,438468.0,0.0,1.0,52.03,52.51,50.18,50.19,438468.0
2018-03-21,51.95,52.89,51.88,52.43,330718.0,0.0,1.0,51.95,52.89,51.88,52.43,330718.0
2018-03-20,51.6,52.07,51.42,51.78,311386.0,0.0,1.0,51.6,52.07,51.42,51.78,311386.0
2018-03-19,51.3,51.6,50.57,51.37,442037.0,0.0,1.0,51.3,51.6,50.57,51.37,442037.0
2018-03-16,50.91,51.82,50.91,51.63,855276.0,0.0,1.0,50.91,51.82,50.91,51.63,855276.0
2018-03-15,51.06,51.34,50.85,51.11,385738.0,0.0,1.0,51.06,51.34,50.85,51.11,385738.0
2018-03-14,51.81,51.81,50.83,51.02,657216.0,0.0,1.0,51.81,51.81,50.83,51.02,657216.0
2018-03-13,52.56,52.8931,51.37,51.5,1526280.0,0.0,1.0,52.56,52.8931,51.37,51.5,1526280.0
2018-03-12,53.3,53.3,52.22,52.47,441973.0,0.0,1.0,53.3,53.3,52.22,52.47,441973.0
2018-03-09,52.33,53.34,51.915,53.27,476428.0,0.0,1.0,52.33,53.34,51.915,53.27,476428.0
2018-03-08,52.05,52.1,51.28,51.99,314996.0,0.0,1.0,52.05,52.1,51.28,51.99,314996.0
2018-03-07,51.17,52.16,50.201,51.9,484070.0,0.0,1.0,51.17,52.16,50.201,51.9,484070.0
2018-03-06,50.9,51.82,50.73,51.77,554446.0,0.0,1.0,50.9,51.82,50.73,51.77,554446.0
2018-03-05,49.11,50.8,49.11,50.55,460820.0,0.0,1.0,49.11,50.8,49.11,50.55,460820.0
2018-03-02,48.87,49.57,48.57,49.45,590235.0,0.0,1.0,48.87,49.57,48.57,49.45,590235.0
2018-03-01,50.07,50.41,48.901,49.35,556996.0,0.0,1.0,50.07,50.41,48.901,49.35,556996.0
2018-02-28,52.29,52.29,50.15,50.18,1175219.0,0.0,1.0,52.29,52.29,50.15,50.18,1175219.0
2018-02-27,53.24,53.71,52.18,52.22,319482.0,0.0,1.0,53.24,53.71,52.18,52.22,319482.0
2018-02-26,53.05,53.4,52.58,53.27,425607.0,0.0,1.0,53.05,53.4,52.58,53.27,425607.0
2018-02-23,52.9,53.29,52.08,52.67,332859.0,0.0,1.0,52.9,53.29,52.08,52.67,332859.0
2018-02-22,52.85,53.08,52.3,52.5,460586.0,0.0,1.0,52.85,53.08,52.3,52.5,460586.0
