Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.17,32.24,31.06,31.36,3904282.0,0.0,1.0,32.17,32.24,31.06,31.36,3904282.0
2018-03-26,31.4,32.18,31.06,32.13,3999667.0,0.0,1.0,31.4,32.18,31.06,32.13,3999667.0
2018-03-23,31.53,31.71,30.66,30.72,2925322.0,0.0,1.0,31.53,31.71,30.66,30.72,2925322.0
2018-03-22,32.45,32.62,31.36,31.45,3983274.0,0.0,1.0,32.45,32.62,31.36,31.45,3983274.0
2018-03-21,32.58,33.55,32.54,32.94,3744124.0,0.0,1.0,32.58,33.55,32.54,32.94,3744124.0
2018-03-20,32.79,32.85,32.415,32.53,2888729.0,0.0,1.0,32.79,32.85,32.415,32.53,2888729.0
2018-03-19,33.11,33.2,32.29,32.64,3390495.0,0.0,1.0,33.11,33.2,32.29,32.64,3390495.0
2018-03-16,33.05,33.47,33.04,33.2,10855867.0,0.0,1.0,33.05,33.47,33.04,33.2,10855867.0
2018-03-15,33.35,33.37,32.605,32.92,5065433.0,0.0,1.0,33.35,33.37,32.605,32.92,5065433.0
2018-03-14,34.23,34.23,33.205,33.27,4175675.0,0.0,1.0,34.23,34.23,33.205,33.27,4175675.0
2018-03-13,34.64,34.885,33.97,34.11,2831723.0,0.0,1.0,34.64,34.885,33.97,34.11,2831723.0
2018-03-12,34.61,35.03,34.47,34.52,4189639.0,0.0,1.0,34.61,35.03,34.47,34.52,4189639.0
2018-03-09,34.24,34.57,33.795,34.52,3514480.0,0.0,1.0,34.24,34.57,33.795,34.52,3514480.0
2018-03-08,33.37,33.96,33.2,33.9,5522825.0,0.0,1.0,33.37,33.96,33.2,33.9,5522825.0
2018-03-07,32.74,33.38,32.7,33.34,4082329.0,0.0,1.0,32.74,33.38,32.7,33.34,4082329.0
2018-03-06,32.93,33.225,32.57,33.12,3012752.0,0.0,1.0,32.93,33.225,32.57,33.12,3012752.0
2018-03-05,32.11,32.9,31.8,32.67,3225602.0,0.0,1.0,32.11,32.9,31.8,32.67,3225602.0
2018-03-02,31.64,32.28,31.44,32.21,3727600.0,0.0,1.0,31.64,32.28,31.44,32.21,3727600.0
2018-03-01,32.55,32.74,31.57,31.81,4218443.0,0.0,1.0,32.55,32.74,31.57,31.81,4218443.0
2018-02-28,33.25,33.515,32.52,32.54,4098235.0,0.0,1.0,33.25,33.515,32.52,32.54,4098235.0
2018-02-27,33.75,34.0,33.01,33.02,3266875.0,0.0,1.0,33.75,34.0,33.01,33.02,3266875.0
2018-02-26,33.43,33.88,33.14,33.84,2636577.0,0.0,1.0,33.43,33.88,33.14,33.84,2636577.0
2018-02-23,33.06,33.2,32.8,33.19,2230435.0,0.0,1.0,33.06,33.2,32.8,33.19,2230435.0
2018-02-22,33.36,33.6,32.85,32.94,3783075.0,0.0,1.0,33.36,33.6,32.85,32.94,3783075.0
2018-02-21,33.34,33.95,33.2,33.22,3769741.0,0.0,1.0,33.34,33.95,33.2,33.22,3769741.0
2018-02-20,33.71,34.03,33.05,33.21,4281635.0,0.0,1.0,33.71,34.03,33.05,33.21,4281635.0
2018-02-16,33.12,34.05,33.02,33.92,4801236.0,0.0,1.0,33.12,34.05,33.02,33.92,4801236.0
2018-02-15,33.4,33.81,32.86,33.19,3747809.0,0.0,1.0,33.4,33.81,32.86,33.19,3747809.0
2018-02-14,32.06,33.19,31.92,33.17,3932443.0,0.0,1.0,32.06,33.19,31.92,33.17,3932443.0
2018-02-13,32.49,33.01,32.31,32.51,3180873.0,0.0,1.0,32.49,33.01,32.31,32.51,3180873.0
2018-02-12,32.72,32.95,32.1537,32.52,2715961.0,0.0,1.0,32.72,32.95,32.1537,32.52,2715961.0
2018-02-09,32.4,32.73,31.24,32.44,5316685.0,0.0,1.0,32.4,32.73,31.24,32.44,5316685.0
2018-02-08,33.45,33.53,31.92,31.92,4143576.0,0.0,1.0,33.45,33.53,31.92,31.92,4143576.0
2018-02-07,33.54,34.36,33.43,33.46,4162831.0,0.0,1.0,33.54,34.36,33.43,33.46,4162831.0
2018-02-06,32.39,33.86,32.08,33.61,6412809.0,0.0,1.0,32.39,33.86,32.08,33.61,6412809.0
2018-02-05,34.53,35.1538,33.02,33.17,6208166.0,0.0,1.0,34.53,35.1538,33.02,33.17,6208166.0
2018-02-02,35.65,35.7,34.815,35.16,4996773.0,0.0,1.0,35.65,35.7,34.815,35.16,4996773.0
2018-02-01,36.25,36.64,35.85,36.03,3966626.0,0.0,1.0,36.25,36.64,35.85,36.03,3966626.0
2018-01-31,36.25,36.66,35.41,36.13,4906359.0,0.0,1.0,36.25,36.66,35.41,36.13,4906359.0
2018-01-30,37.12,37.4,36.68,36.68,3924828.0,0.0,1.0,37.12,37.4,36.68,36.68,3924828.0
2018-01-29,38.26,38.43,37.47,37.48,3056512.0,0.0,1.0,38.26,38.43,37.47,37.48,3056512.0
2018-01-26,37.7,38.43,37.45,38.4,3271482.0,0.0,1.0,37.7,38.43,37.45,38.4,3271482.0
2018-01-25,37.69,37.71,37.24,37.59,2018986.0,0.0,1.0,37.69,37.71,37.24,37.59,2018986.0
2018-01-24,37.88,38.2,37.49,37.61,2673014.0,0.0,1.0,37.88,38.2,37.49,37.61,2673014.0
2018-01-23,37.78,38.0149,37.435,37.61,3187251.0,0.0,1.0,37.78,38.0149,37.435,37.61,3187251.0
2018-01-22,37.96,38.06,37.33,37.87,3096192.0,0.0,1.0,37.96,38.06,37.33,37.87,3096192.0
2018-01-19,37.98,38.25,37.92,38.13,2450570.0,0.0,1.0,37.98,38.25,37.92,38.13,2450570.0
2018-01-18,38.08,38.21,37.79,37.86,2308808.0,0.0,1.0,38.08,38.21,37.79,37.86,2308808.0
2018-01-17,37.4,38.29,37.31,38.08,3170584.0,0.0,1.0,37.4,38.29,37.31,38.08,3170584.0
2018-01-16,38.13,38.42,37.09,37.2,3768076.0,0.0,1.0,38.13,38.42,37.09,37.2,3768076.0
2018-01-12,37.59,37.88,37.41,37.86,2511785.0,0.0,1.0,37.59,37.88,37.41,37.86,2511785.0
2018-01-11,36.92,37.33,36.6,37.3,2974177.0,0.0,1.0,36.92,37.33,36.6,37.3,2974177.0
2018-01-10,37.31,37.66,36.68,36.82,3929525.0,0.0,1.0,37.31,37.66,36.68,36.82,3929525.0
2018-01-09,36.97,37.4799,36.97,37.2,2825481.0,0.0,1.0,36.97,37.4799,36.97,37.2,2825481.0
2018-01-08,36.57,37.09,36.56,36.84,3534044.0,0.0,1.0,36.57,37.09,36.56,36.84,3534044.0
2018-01-05,36.99,37.33,36.81,37.28,3219762.0,0.0,1.0,36.99,37.33,36.81,37.28,3219762.0
2018-01-04,36.67,37.12,36.64,36.83,2362264.0,0.0,1.0,36.67,37.12,36.64,36.83,2362264.0
2018-01-03,36.0,36.58,35.89,36.53,2876736.0,0.0,1.0,36.0,36.58,35.89,36.53,2876736.0
2018-01-02,36.84,36.86,36.18,36.35,2814381.0,0.0,1.0,36.84,36.86,36.18,36.35,2814381.0
2017-12-29,36.89,36.89,36.54,36.54,1490256.0,0.0,1.0,36.89,36.89,36.54,36.54,1490256.0
2017-12-28,36.65,36.795,36.48,36.77,1388134.0,0.0,1.0,36.65,36.795,36.48,36.77,1388134.0
2017-12-27,36.68,36.68,36.4,36.54,1040641.0,0.0,1.0,36.68,36.68,36.4,36.54,1040641.0
2017-12-26,36.66,36.79,36.42,36.6,637852.0,0.0,1.0,36.66,36.79,36.42,36.6,637852.0
2017-12-22,36.62,36.79,36.51,36.64,1303404.0,0.0,1.0,36.62,36.79,36.51,36.64,1303404.0
2017-12-21,36.62,36.79,36.455,36.61,2601350.0,0.0,1.0,36.62,36.79,36.455,36.61,2601350.0
2017-12-20,36.94,37.05,36.41,36.52,1785709.0,0.0,1.0,36.94,37.05,36.41,36.52,1785709.0
2017-12-19,37.0,37.09,36.6,36.61,2467526.0,0.0,1.0,37.0,37.09,36.6,36.61,2467526.0
2017-12-18,36.99,37.09,36.67,36.81,2231816.0,0.0,1.0,36.99,37.09,36.67,36.81,2231816.0
2017-12-15,36.48,36.85,36.41,36.56,4892301.0,0.0,1.0,36.48,36.85,36.41,36.56,4892301.0
2017-12-14,37.0,37.15,36.29,36.29,2791350.0,0.0,1.0,37.0,37.15,36.29,36.29,2791350.0
2017-12-13,37.24,37.72,36.92,36.96,3606382.0,0.0,1.0,37.24,37.72,36.92,36.96,3606382.0
2017-12-12,37.17,37.4,36.81,37.17,2837564.0,0.0,1.0,37.17,37.4,36.81,37.17,2837564.0
