Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,28.85,29.14,28.58,28.64,1783508.0,0.0,1.0,28.85,29.14,28.58,28.64,1783508.0
2018-03-26,29.08,29.3124,28.18,28.74,3428247.0,0.0,1.0,29.08,29.3124,28.18,28.74,3428247.0
2018-03-23,29.32,29.47,28.57,28.59,2746734.0,0.0,1.0,29.32,29.47,28.57,28.59,2746734.0
2018-03-22,30.28,30.37,29.22,29.25,3176085.0,0.0,1.0,30.28,30.37,29.22,29.25,3176085.0
2018-03-21,30.7,31.1481,30.56,30.58,2760457.0,0.0,1.0,30.7,31.1481,30.56,30.58,2760457.0
2018-03-20,31.1,31.345,30.71,30.77,2799660.0,0.0,1.0,31.1,31.345,30.71,30.77,2799660.0
2018-03-19,31.29,31.77,30.97,31.03,4827650.0,0.0,1.0,31.29,31.77,30.97,31.03,4827650.0
2018-03-16,30.04,31.68,29.6901,31.37,10462389.0,0.0,1.0,30.04,31.68,29.6901,31.37,10462389.0
2018-03-15,28.23,28.59,28.1,28.49,3114768.0,0.0,1.0,28.23,28.59,28.1,28.49,3114768.0
2018-03-14,28.28,28.55,28.08,28.2,2198762.0,0.0,1.0,28.28,28.55,28.08,28.2,2198762.0
2018-03-13,28.44,28.62,28.06,28.27,2834837.0,0.0,1.0,28.44,28.62,28.06,28.27,2834837.0
2018-03-12,28.25,28.55,28.16,28.31,2235486.0,0.0,1.0,28.25,28.55,28.16,28.31,2235486.0
2018-03-09,27.98,28.395,27.76,28.19,1808667.0,0.0,1.0,27.98,28.395,27.76,28.19,1808667.0
2018-03-08,27.57,27.95,27.525,27.84,1550914.0,0.0,1.0,27.57,27.95,27.525,27.84,1550914.0
2018-03-07,27.26,27.74,27.25,27.55,2182047.0,0.0,1.0,27.26,27.74,27.25,27.55,2182047.0
2018-03-06,27.27,27.62,27.18,27.47,1775727.0,0.0,1.0,27.27,27.62,27.18,27.47,1775727.0
2018-03-05,26.76,27.36,26.76,27.08,1280817.0,0.0,1.0,26.76,27.36,26.76,27.08,1280817.0
2018-03-02,26.26,27.06,26.16,27.0,1445991.0,0.0,1.0,26.26,27.06,26.16,27.0,1445991.0
2018-03-01,27.16,27.24,26.47,26.54,1890940.0,0.0,1.0,27.16,27.24,26.47,26.54,1890940.0
2018-02-28,27.39,27.49,27.08,27.09,1448605.0,0.0,1.0,27.39,27.49,27.08,27.09,1448605.0
2018-02-27,27.16,27.8,27.02,27.3,1649008.0,0.0,1.0,27.16,27.8,27.02,27.3,1649008.0
2018-02-26,26.66,27.19,26.65,27.18,1149826.0,0.0,1.0,26.66,27.19,26.65,27.18,1149826.0
2018-02-23,26.65,26.78,26.335,26.61,1315859.0,0.0,1.0,26.65,26.78,26.335,26.61,1315859.0
2018-02-22,26.41,26.625,26.22,26.33,1097958.0,0.0,1.0,26.41,26.625,26.22,26.33,1097958.0
2018-02-21,26.43,26.62,26.28,26.35,1266382.0,0.0,1.0,26.43,26.62,26.28,26.35,1266382.0
2018-02-20,26.19,26.68,26.18,26.38,1321981.0,0.0,1.0,26.19,26.68,26.18,26.38,1321981.0
2018-02-16,26.42,26.61,26.35,26.37,1223744.0,0.0,1.0,26.42,26.61,26.35,26.37,1223744.0
2018-02-15,26.31,26.48,25.99,26.46,1045232.0,0.0,1.0,26.31,26.48,25.99,26.46,1045232.0
2018-02-14,25.51,26.17,25.51,26.13,1052597.0,0.0,1.0,25.51,26.17,25.51,26.13,1052597.0
2018-02-13,25.71,25.82,25.39,25.69,1841187.0,0.0,1.0,25.71,25.82,25.39,25.69,1841187.0
2018-02-12,25.56,26.02,25.425,25.83,2578810.0,0.0,1.0,25.56,26.02,25.425,25.83,2578810.0
2018-02-09,25.31,25.635,24.79,25.44,2556513.0,0.0,1.0,25.31,25.635,24.79,25.44,2556513.0
2018-02-08,25.34,25.81,24.92,24.93,2532402.0,0.0,1.0,25.34,25.81,24.92,24.93,2532402.0
2018-02-07,24.79,25.4,24.55,25.2,2429616.0,0.0,1.0,24.79,25.4,24.55,25.2,2429616.0
2018-02-06,23.93,25.115,23.7,24.89,3526231.0,0.0,1.0,23.93,25.115,23.7,24.89,3526231.0
2018-02-05,25.0,25.26,24.36,24.38,2829435.0,0.0,1.0,25.0,25.26,24.36,24.38,2829435.0
2018-02-02,25.84,25.865,25.23,25.28,1788834.0,0.0,1.0,25.84,25.865,25.23,25.28,1788834.0
2018-02-01,25.33,26.29,25.1685,26.04,2837499.0,0.0,1.0,25.33,26.29,25.1685,26.04,2837499.0
2018-01-31,26.14,26.37,25.42,25.43,1993028.0,0.0,1.0,26.14,26.37,25.42,25.43,1993028.0
2018-01-30,25.54,25.96,25.54,25.86,1938022.0,0.0,1.0,25.54,25.96,25.54,25.86,1938022.0
2018-01-29,26.35,26.47,25.95,25.96,2492106.0,0.0,1.0,26.35,26.47,25.95,25.96,2492106.0
2018-01-26,26.22,26.559,25.97,26.53,2484996.0,0.0,1.0,26.22,26.559,25.97,26.53,2484996.0
2018-01-25,27.03,27.22,26.66,26.79,1543008.0,0.0,1.0,27.03,27.22,26.66,26.79,1543008.0
2018-01-24,27.21,27.3,26.7301,26.86,1688917.0,0.0,1.0,27.21,27.3,26.7301,26.86,1688917.0
2018-01-23,26.66,27.259,26.66,27.09,2155912.0,0.0,1.0,26.66,27.259,26.66,27.09,2155912.0
2018-01-22,26.83,26.83,26.24,26.62,3409801.0,0.0,1.0,26.83,26.83,26.24,26.62,3409801.0
2018-01-19,28.26,28.26,27.39,27.39,3356211.0,0.0,1.0,28.26,28.26,27.39,27.39,3356211.0
2018-01-18,28.2,28.64,27.97,27.97,2745079.0,0.0,1.0,28.2,28.64,27.97,27.97,2745079.0
2018-01-17,27.73,28.51,27.545,28.45,4169546.0,0.0,1.0,27.73,28.51,27.545,28.45,4169546.0
2018-01-16,27.87,28.225,27.35,27.51,3113613.0,0.0,1.0,27.87,28.225,27.35,27.51,3113613.0
2018-01-12,27.4,27.76,27.4,27.66,1926024.0,0.0,1.0,27.4,27.76,27.4,27.66,1926024.0
2018-01-11,27.0,27.47,26.9,27.44,1718091.0,0.0,1.0,27.0,27.47,26.9,27.44,1718091.0
2018-01-10,26.8,27.05,26.75,26.92,1276277.0,0.0,1.0,26.8,27.05,26.75,26.92,1276277.0
2018-01-09,27.13,27.381,26.92,26.93,1883283.0,0.0,1.0,27.13,27.381,26.92,26.93,1883283.0
2018-01-08,27.18,27.25,26.83,27.08,2300972.0,0.0,1.0,27.18,27.25,26.83,27.08,2300972.0
2018-01-05,27.49,27.53,27.15,27.19,1706903.0,0.0,1.0,27.49,27.53,27.15,27.19,1706903.0
2018-01-04,27.22,27.39,26.95,27.31,1994984.0,0.0,1.0,27.22,27.39,26.95,27.31,1994984.0
2018-01-03,26.8,27.145,26.7,27.05,1765940.0,0.0,1.0,26.8,27.145,26.7,27.05,1765940.0
2018-01-02,26.5,26.72,26.255,26.7,2011061.0,0.0,1.0,26.5,26.72,26.255,26.7,2011061.0
2017-12-29,26.31,26.4,26.16,26.25,1259919.0,0.0,1.0,26.31,26.4,26.16,26.25,1259919.0
2017-12-28,26.37,26.49,26.17,26.24,1261453.0,0.0,1.0,26.37,26.49,26.17,26.24,1261453.0
2017-12-27,26.25,26.38,26.19,26.24,1954509.0,0.0,1.0,26.25,26.38,26.19,26.24,1954509.0
2017-12-26,26.24,26.53,26.04,26.24,2257113.0,0.0,1.0,26.24,26.53,26.04,26.24,2257113.0
2017-12-22,27.155,27.16,26.67,26.7,2049139.0,0.0,1.0,27.155,27.16,26.67,26.7,2049139.0
2017-12-21,26.91,26.98,26.69,26.95,2236326.0,0.0,1.0,26.91,26.98,26.69,26.95,2236326.0
2017-12-20,27.0,27.24,26.62,26.9,2688153.0,0.0,1.0,27.0,27.24,26.62,26.9,2688153.0
2017-12-19,26.98,27.11,26.65,26.75,4434241.0,0.0,1.0,26.98,27.11,26.65,26.75,4434241.0
2017-12-18,28.37,28.44,26.87,26.96,6307544.0,0.0,1.0,28.37,28.44,26.87,26.96,6307544.0
2017-12-15,28.06,28.58,27.72,27.87,9097510.0,0.0,1.0,28.06,28.58,27.72,27.87,9097510.0
2017-12-14,28.44,28.58,27.45,27.45,5828912.0,0.0,1.0,28.44,28.58,27.45,27.45,5828912.0
2017-12-13,28.51,29.01,28.36,28.53,3131790.0,0.0,1.0,28.51,29.01,28.36,28.53,3131790.0
2017-12-12,28.37,28.865,28.37,28.42,2513285.0,0.0,1.0,28.37,28.865,28.37,28.42,2513285.0
2017-12-11,27.87,28.59,27.85,28.4,2589072.0,0.0,1.0,27.87,28.59,27.85,28.4,2589072.0
2017-12-08,27.95,28.4,27.87,27.88,2637831.0,0.0,1.0,27.95,28.4,27.87,27.88,2637831.0
2017-12-07,27.66,28.19,27.62,27.72,2683980.0,0.0,1.0,27.66,28.19,27.62,27.72,2683980.0
2017-12-06,27.79,27.965,27.55,27.56,2775115.0,0.0,1.0,27.79,27.965,27.55,27.56,2775115.0
2017-12-05,28.84,28.88,28.15,28.19,2824169.0,0.0,1.0,28.84,28.88,28.15,28.19,2824169.0
2017-12-04,28.87,29.025,28.5099,28.74,3209842.0,0.0,1.0,28.87,29.025,28.5099,28.74,3209842.0
2017-12-01,28.72,28.86,28.11,28.58,2212047.0,0.0,1.0,28.72,28.86,28.11,28.58,2212047.0
2017-11-30,28.62,28.98,28.34,28.85,2366050.0,0.0,1.0,28.62,28.98,28.34,28.85,2366050.0
2017-11-29,29.03,29.06,28.32,28.52,2292030.0,0.0,1.0,29.03,29.06,28.32,28.52,2292030.0
2017-11-28,29.43,29.475,28.97,29.04,2004697.0,0.0,1.0,29.43,29.475,28.97,29.04,2004697.0
2017-11-27,29.74,29.86,29.06,29.38,2755177.0,0.0,1.0,29.74,29.86,29.06,29.38,2755177.0
2017-11-24,29.8,30.02,29.63,29.78,742510.0,0.0,1.0,29.8,30.02,29.63,29.78,742510.0
2017-11-22,29.81,29.905,29.537,29.77,1265708.0,0.0,1.0,29.81,29.905,29.537,29.77,1265708.0
2017-11-21,29.75,29.88,29.435,29.77,1547119.0,0.0,1.0,29.75,29.88,29.435,29.77,1547119.0
2017-11-20,29.43,29.56,29.21,29.56,1550851.0,0.0,1.0,29.43,29.56,29.21,29.56,1550851.0
2017-11-17,29.12,29.44,28.94,29.22,1396267.0,0.0,1.0,29.12,29.44,28.94,29.22,1396267.0
2017-11-16,28.75,29.4,28.72,29.1,1775868.0,0.0,1.0,28.75,29.4,28.72,29.1,1775868.0
2017-11-15,28.43,28.81,28.21,28.58,1304241.0,0.0,1.0,28.43,28.81,28.21,28.58,1304241.0
2017-11-14,28.41,28.92,28.41,28.69,1867092.0,0.0,1.0,28.41,28.92,28.41,28.69,1867092.0
2017-11-13,28.44,28.69,28.28,28.66,5640119.0,0.0,1.0,28.44,28.69,28.28,28.66,5640119.0
2017-11-10,28.27,28.735,28.21,28.61,2191684.0,0.0,1.0,28.27,28.735,28.21,28.61,2191684.0
2017-11-09,28.13,28.36,27.89,28.32,2028939.0,0.0,1.0,28.13,28.36,27.89,28.32,2028939.0
2017-11-07,28.22,28.22,27.29,27.66,2651555.0,0.0,1.0,28.22,28.22,27.29,27.66,2651555.0
2017-11-06,27.92,28.47,27.54,28.46,2146929.0,0.0,1.0,27.92,28.47,27.54,28.46,2146929.0
2017-11-03,28.75,28.87,27.965,28.02,2842697.0,0.0,1.0,28.75,28.87,27.965,28.02,2842697.0
2017-11-02,28.37,28.57,28.02,28.49,1865580.0,0.0,1.0,28.37,28.57,28.02,28.49,1865580.0
2017-11-01,28.51,28.59,28.205,28.42,1182553.0,0.0,1.0,28.51,28.59,28.205,28.42,1182553.0
2017-10-31,28.0,28.42,27.84,28.28,1171085.0,0.0,1.0,28.0,28.42,27.84,28.28,1171085.0
2017-10-30,28.48,28.48,27.8,27.9,2084485.0,0.0,1.0,28.48,28.48,27.8,27.9,2084485.0
2017-10-27,28.04,28.47,27.62,28.44,1738245.0,0.0,1.0,28.04,28.47,27.62,28.44,1738245.0
2017-10-26,28.35,28.48,27.89,27.92,1413522.0,0.0,1.0,28.35,28.48,27.89,27.92,1413522.0
2017-10-25,28.22,28.47,27.97,28.315,1366712.0,0.0,1.0,28.22,28.47,27.97,28.315,1366712.0
2017-10-24,28.0,28.39,28.0,28.31,1361755.0,0.0,1.0,28.0,28.39,28.0,28.31,1361755.0
2017-10-23,28.11,28.325,27.85,28.02,2042674.0,0.0,1.0,28.11,28.325,27.85,28.02,2042674.0
