Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,69.89,71.18,68.91,69.98,458118.0,0.0,1.0,69.89,71.18,68.91,69.98,458118.0
2018-03-26,69.34,69.91,68.66,69.82,397535.0,0.0,1.0,69.34,69.91,68.66,69.82,397535.0
2018-03-23,70.08,70.2,68.33,68.54,490512.0,0.0,1.0,70.08,70.2,68.33,68.54,490512.0
2018-03-22,70.54,71.33,70.07,70.07,530462.0,0.0,1.0,70.54,71.33,70.07,70.07,530462.0
2018-03-21,70.84,70.94,70.02,70.6,442682.0,0.0,1.0,70.84,70.94,70.02,70.6,442682.0
2018-03-20,71.24,71.92,70.63,70.96,346732.0,0.0,1.0,71.24,71.92,70.63,70.96,346732.0
2018-03-19,71.99,72.21,70.61,71.33,899674.0,0.0,1.0,71.99,72.21,70.61,71.33,899674.0
2018-03-16,71.24,72.23,70.835,72.01,1033269.0,0.0,1.0,71.24,72.23,70.835,72.01,1033269.0
2018-03-15,70.78,71.0,70.16,70.96,480218.0,0.0,1.0,70.78,71.0,70.16,70.96,480218.0
2018-03-14,70.62,71.12,69.89,70.54,679359.0,0.0,1.0,70.62,71.12,69.89,70.54,679359.0
2018-03-13,70.65,70.99,70.06,70.63,451214.0,0.0,1.0,70.65,70.99,70.06,70.63,451214.0
2018-03-12,70.09,70.49,69.65,70.45,462214.0,0.0,1.0,70.09,70.49,69.65,70.45,462214.0
2018-03-09,69.58,70.15,68.67,70.07,492263.0,0.0,1.0,69.58,70.15,68.67,70.07,492263.0
2018-03-08,69.52,69.52,68.91,69.34,419656.0,0.0,1.0,69.52,69.52,68.91,69.34,419656.0
2018-03-07,68.48,69.43,68.29,69.24,563014.0,0.0,1.0,68.48,69.43,68.29,69.24,563014.0
2018-03-06,68.37,68.82,67.75,68.73,536228.0,0.0,1.0,68.37,68.82,67.75,68.73,536228.0
2018-03-05,67.5,68.57,67.5,68.18,589921.0,0.0,1.0,67.5,68.57,67.5,68.18,589921.0
2018-03-02,67.51,67.81,66.9,67.73,390095.0,0.0,1.0,67.51,67.81,66.9,67.73,390095.0
2018-03-01,67.74,68.54,67.21,67.69,574335.0,0.0,1.0,67.74,68.54,67.21,67.69,574335.0
2018-02-28,68.06,69.07,67.54,68.1,765327.0,0.0,1.0,68.06,69.07,67.54,68.1,765327.0
2018-02-27,68.47,69.08,67.15,67.61,793694.0,0.0,1.0,68.47,69.08,67.15,67.61,793694.0
2018-02-26,68.64,68.64,67.71,68.25,290648.0,0.0,1.0,68.64,68.64,67.71,68.25,290648.0
2018-02-23,67.24,68.42,66.99,68.38,312144.0,0.0,1.0,67.24,68.42,66.99,68.38,312144.0
2018-02-22,66.46,67.06,66.12,66.89,488067.0,0.0,1.0,66.46,67.06,66.12,66.89,488067.0
2018-02-21,67.72,67.8,66.04,66.1,454127.0,0.0,1.0,67.72,67.8,66.04,66.1,454127.0
2018-02-20,68.19,69.06,67.62,67.71,616338.0,0.0,1.0,68.19,69.06,67.62,67.71,616338.0
2018-02-16,67.67,68.63,67.5,68.43,616479.0,0.0,1.0,67.67,68.63,67.5,68.43,616479.0
2018-02-15,66.82,67.79,66.45,67.7,601600.0,0.0,1.0,66.82,67.79,66.45,67.7,601600.0
2018-02-14,65.69,66.71,64.811,66.46,671200.0,0.0,1.0,65.69,66.71,64.811,66.46,671200.0
2018-02-13,64.67,66.34,64.435,66.15,630109.0,0.0,1.0,64.67,66.34,64.435,66.15,630109.0
2018-02-12,65.63,65.98,62.91,64.73,888850.0,0.0,1.0,65.63,65.98,62.91,64.73,888850.0
2018-02-09,64.17,66.135,63.54,65.45,721992.0,0.0,1.0,64.17,66.135,63.54,65.45,721992.0
2018-02-08,65.97,66.31,63.64,63.72,730265.0,0.0,1.0,65.97,66.31,63.64,63.72,730265.0
2018-02-07,65.8,67.06,65.47,65.97,645463.0,0.0,1.0,65.8,67.06,65.47,65.97,645463.0
2018-02-06,65.76,67.43,64.63,65.94,772172.0,0.0,1.0,65.76,67.43,64.63,65.94,772172.0
2018-02-05,68.61,69.15,66.31,66.68,699766.0,0.0,1.0,68.61,69.15,66.31,66.68,699766.0
2018-02-02,69.36,69.55,68.21,68.9,526923.0,0.0,1.0,69.36,69.55,68.21,68.9,526923.0
2018-02-01,71.45,72.76,69.46,69.86,811480.0,0.0,1.0,71.45,72.76,69.46,69.86,811480.0
2018-01-31,70.2,71.45,69.98,71.32,1041656.0,0.0,1.0,70.2,71.45,69.98,71.32,1041656.0
2018-01-30,70.24,70.52,69.68,69.95,588125.0,0.0,1.0,70.24,70.52,69.68,69.95,588125.0
2018-01-29,71.27,71.38,70.31,70.37,414103.0,0.0,1.0,71.27,71.38,70.31,70.37,414103.0
2018-01-26,71.82,71.82,71.0,71.53,327495.0,0.0,1.0,71.82,71.82,71.0,71.53,327495.0
2018-01-25,70.93,71.65,70.67,71.64,437815.0,0.0,1.0,70.93,71.65,70.67,71.64,437815.0
2018-01-24,72.0,72.24,70.56,70.88,670679.0,0.0,1.0,72.0,72.24,70.56,70.88,670679.0
2018-01-23,71.66,72.149,71.46,71.97,447183.0,0.0,1.0,71.66,72.149,71.46,71.97,447183.0
2018-01-22,70.79,71.39,70.57,71.39,678082.0,0.0,1.0,70.79,71.39,70.57,71.39,678082.0
2018-01-19,71.84,72.23,70.57,70.87,506296.0,0.0,1.0,71.84,72.23,70.57,70.87,506296.0
2018-01-18,71.86,72.27,71.36,71.76,787790.0,0.0,1.0,71.86,72.27,71.36,71.76,787790.0
2018-01-17,71.69,72.08,71.22,71.82,519071.0,0.0,1.0,71.69,72.08,71.22,71.82,519071.0
2018-01-16,71.78,72.74,71.6,71.62,459064.0,0.0,1.0,71.78,72.74,71.6,71.62,459064.0
2018-01-12,71.74,71.91,71.19,71.55,471607.0,0.0,1.0,71.74,71.91,71.19,71.55,471607.0
2018-01-11,71.5,71.92,71.39,71.8,459976.0,0.0,1.0,71.5,71.92,71.39,71.8,459976.0
2018-01-10,71.8,71.8,70.61,71.33,507440.0,0.0,1.0,71.8,71.8,70.61,71.33,507440.0
2018-01-09,72.69,72.7,71.94,72.12,698887.0,0.0,1.0,72.69,72.7,71.94,72.12,698887.0
2018-01-08,71.11,73.18,70.56,72.83,955536.0,0.0,1.0,71.11,73.18,70.56,72.83,955536.0
2018-01-05,72.35,72.43,71.86,72.17,422088.0,0.0,1.0,72.35,72.43,71.86,72.17,422088.0
2018-01-04,74.22,74.22,72.1,72.14,326627.0,0.0,1.0,74.22,74.22,72.1,72.14,326627.0
2018-01-03,74.29,74.46,73.65,74.22,286566.0,0.0,1.0,74.29,74.46,73.65,74.22,286566.0
2018-01-02,74.84,74.98,73.995,74.27,562079.0,0.0,1.0,74.84,74.98,73.995,74.27,562079.0
2017-12-29,74.51,74.86,74.13,74.65,369672.0,0.0,1.0,74.51,74.86,74.13,74.65,369672.0
2017-12-28,74.29,74.44,73.85,74.35,237841.0,0.0,1.0,74.29,74.44,73.85,74.35,237841.0
2017-12-27,74.44,74.73,73.94,74.53,231435.0,0.0,1.0,74.44,74.73,73.94,74.53,231435.0
2017-12-26,73.5,74.49,73.5,74.31,209760.0,0.0,1.0,73.5,74.49,73.5,74.31,209760.0
2017-12-22,73.5,73.72,72.654,73.57,221974.0,0.0,1.0,73.5,73.72,72.654,73.57,221974.0
2017-12-21,72.9,73.47,72.85,72.93,230156.0,0.0,1.0,72.9,73.47,72.85,72.93,230156.0
