Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,63.85,64.1,63.14,63.28,647957.0,0.0,1.0,63.85,64.1,63.14,63.28,647957.0
2018-03-26,63.84,65.12,63.13,63.78,512775.0,0.0,1.0,63.84,65.12,63.13,63.78,512775.0
2018-03-23,63.28,64.2,63.01,63.11,657930.0,0.0,1.0,63.28,64.2,63.01,63.11,657930.0
2018-03-22,63.83,64.47,63.19,63.24,806975.0,0.0,1.0,63.83,64.47,63.19,63.24,806975.0
2018-03-21,64.73,65.1,64.04,64.11,466869.0,0.0,1.0,64.73,65.1,64.04,64.11,466869.0
2018-03-20,65.49,65.85,64.52,64.66,427894.0,0.0,1.0,65.49,65.85,64.52,64.66,427894.0
2018-03-19,65.13,65.52,64.18,65.41,618999.0,0.0,1.0,65.13,65.52,64.18,65.41,618999.0
2018-03-16,65.65,65.83,65.14,65.37,648147.0,0.0,1.0,65.65,65.83,65.14,65.37,648147.0
2018-03-15,66.57,66.62,66.05,66.48,1641311.0,0.0,1.0,66.57,66.62,66.05,66.48,1641311.0
2018-03-14,67.06,67.85,66.49,66.5,449164.0,0.0,1.0,67.06,67.85,66.49,66.5,449164.0
2018-03-13,67.59,67.68,66.37,66.87,675840.0,0.0,1.0,67.59,67.68,66.37,66.87,675840.0
2018-03-12,67.42,68.545,67.375,67.54,518587.0,0.0,1.0,67.42,68.545,67.375,67.54,518587.0
2018-03-09,66.86,67.32,66.41,67.28,432387.0,0.0,1.0,66.86,67.32,66.41,67.28,432387.0
2018-03-08,66.8,67.04,66.2,66.65,545021.0,0.0,1.0,66.8,67.04,66.2,66.65,545021.0
2018-03-07,65.49,66.51,65.25,66.23,689713.0,0.0,1.0,65.49,66.51,65.25,66.23,689713.0
2018-03-06,66.63,67.73,65.63,65.79,655035.0,0.0,1.0,66.63,67.73,65.63,65.79,655035.0
2018-03-05,66.14,67.84,66.14,66.64,692786.0,0.0,1.0,66.14,67.84,66.14,66.64,692786.0
2018-03-02,65.48,66.3,65.21,66.15,664950.0,0.0,1.0,65.48,66.3,65.21,66.15,664950.0
2018-03-01,66.67,67.49,65.49,65.97,603024.0,0.0,1.0,66.67,67.49,65.49,65.97,603024.0
2018-02-28,67.61,68.3742,66.07,66.47,1301067.0,0.0,1.0,67.61,68.3742,66.07,66.47,1301067.0
2018-02-27,73.83,74.125,67.93,68.14,1892983.0,0.0,1.0,73.83,74.125,67.93,68.14,1892983.0
2018-02-26,72.09,72.77,71.47,72.64,1195477.0,0.0,1.0,72.09,72.77,71.47,72.64,1195477.0
2018-02-23,69.57,72.06,69.01,71.88,998639.0,0.0,1.0,69.57,72.06,69.01,71.88,998639.0
2018-02-22,68.07,69.4,68.07,69.19,610633.0,0.0,1.0,68.07,69.4,68.07,69.19,610633.0
2018-02-21,69.32,69.91,67.88,67.89,698644.0,0.0,1.0,69.32,69.91,67.88,67.89,698644.0
2018-02-20,69.82,70.77,69.15,69.32,753573.0,0.0,1.0,69.82,70.77,69.15,69.32,753573.0
2018-02-16,69.43,70.39,69.43,70.07,646059.0,0.0,1.0,69.43,70.39,69.43,70.07,646059.0
2018-02-15,68.27,69.96,67.82,69.59,636367.0,0.0,1.0,68.27,69.96,67.82,69.59,636367.0
2018-02-14,66.68,68.265,66.27,68.03,834076.0,0.0,1.0,66.68,68.265,66.27,68.03,834076.0
2018-02-13,67.01,67.352,66.465,67.05,463137.0,0.0,1.0,67.01,67.352,66.465,67.05,463137.0
2018-02-12,66.95,68.87,64.53,67.16,755310.0,0.0,1.0,66.95,68.87,64.53,67.16,755310.0
2018-02-09,66.5,67.14,65.22,66.63,907511.0,0.0,1.0,66.5,67.14,65.22,66.63,907511.0
2018-02-08,67.83,70.1126,65.97,65.97,672150.0,0.0,1.0,67.83,70.1126,65.97,65.97,672150.0
2018-02-07,67.9,69.94,67.88,67.93,674954.0,0.0,1.0,67.9,69.94,67.88,67.93,674954.0
2018-02-06,67.44,69.11,66.91,67.89,980987.0,0.0,1.0,67.44,69.11,66.91,67.89,980987.0
2018-02-05,69.54,70.9,68.04,68.4,586392.0,0.0,1.0,69.54,70.9,68.04,68.4,586392.0
2018-02-02,71.14,71.64,69.43,69.95,683320.0,0.0,1.0,71.14,71.64,69.43,69.95,683320.0
2018-02-01,71.82,72.35,71.045,71.5,564304.0,0.0,1.0,71.82,72.35,71.045,71.5,564304.0
2018-01-31,72.13,72.6575,71.91,72.0,1061606.0,0.0,1.0,72.13,72.6575,71.91,72.0,1061606.0
2018-01-30,71.09,71.9,71.0,71.77,594222.0,0.0,1.0,71.09,71.9,71.0,71.77,594222.0
2018-01-29,71.58,72.02,71.12,71.38,834672.0,0.0,1.0,71.58,72.02,71.12,71.38,834672.0
2018-01-26,72.7,72.74,71.51,72.0,554195.0,0.0,1.0,72.7,72.74,71.51,72.0,554195.0
2018-01-25,72.48,73.89,71.49,72.1,591408.0,0.0,1.0,72.48,73.89,71.49,72.1,591408.0
2018-01-24,73.12,73.6221,72.07,72.5,594596.0,0.0,1.0,73.12,73.6221,72.07,72.5,594596.0
2018-01-23,72.92,73.58,72.73,73.05,461994.0,0.0,1.0,72.92,73.58,72.73,73.05,461994.0
2018-01-22,73.48,73.7,72.74,72.75,627322.0,0.0,1.0,73.48,73.7,72.74,72.75,627322.0
2018-01-19,72.85,74.05,72.58,73.64,666782.0,0.0,1.0,72.85,74.05,72.58,73.64,666782.0
2018-01-18,71.87,72.64,71.2,72.54,480571.0,0.0,1.0,71.87,72.64,71.2,72.54,480571.0
2018-01-17,71.89,72.56,71.73,72.08,305555.0,0.0,1.0,71.89,72.56,71.73,72.08,305555.0
2018-01-16,71.61,72.7,71.61,71.68,378390.0,0.0,1.0,71.61,72.7,71.61,71.68,378390.0
2018-01-12,72.51,72.72,71.25,71.43,295280.0,0.0,1.0,72.51,72.72,71.25,71.43,295280.0
2018-01-11,71.89,72.88,71.89,72.57,489603.0,0.0,1.0,71.89,72.88,71.89,72.57,489603.0
2018-01-10,72.11,72.48,71.2709,71.86,376263.0,0.0,1.0,72.11,72.48,71.2709,71.86,376263.0
2018-01-09,73.27,73.53,72.06,72.14,319421.0,0.0,1.0,73.27,73.53,72.06,72.14,319421.0
2018-01-08,71.61,73.69,71.59,73.24,607072.0,0.0,1.0,71.61,73.69,71.59,73.24,607072.0
