Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,91.44,92.315,88.84,89.44,256405.0,0.0,1.0,91.44,92.315,88.84,89.44,256405.0
2018-03-26,90.3,91.32,89.32,91.26,215867.0,0.0,1.0,90.3,91.32,89.32,91.26,215867.0
2018-03-23,90.76,91.83,88.7875,88.91,234816.0,0.0,1.0,90.76,91.83,88.7875,88.91,234816.0
2018-03-22,93.2,94.17,90.6,90.78,283722.0,0.0,1.0,93.2,94.17,90.6,90.78,283722.0
2018-03-21,93.12,94.73,93.07,94.22,186179.0,0.0,1.0,93.12,94.73,93.07,94.22,186179.0
2018-03-20,93.53,95.2,92.96,93.24,305551.0,0.0,1.0,93.53,95.2,92.96,93.24,305551.0
2018-03-19,92.8,93.77,91.99,93.53,383165.0,0.0,1.0,92.8,93.77,91.99,93.53,383165.0
2018-03-16,92.21,93.6299,91.995,93.31,460082.0,0.0,1.0,92.21,93.6299,91.995,93.31,460082.0
2018-03-15,92.68,93.84,91.73,92.21,318028.0,0.0,1.0,92.68,93.84,91.73,92.21,318028.0
2018-03-14,93.91,95.36,87.0768,92.39,303247.0,0.0,1.0,93.91,95.36,87.0768,92.39,303247.0
2018-03-13,95.0,95.515,93.49,93.78,901895.0,0.0,1.0,95.0,95.515,93.49,93.78,901895.0
2018-03-12,93.42,93.92,92.52,93.07,369226.0,0.0,1.0,93.42,93.92,92.52,93.07,369226.0
2018-03-09,91.71,93.75,91.12,93.13,342077.0,0.0,1.0,91.71,93.75,91.12,93.13,342077.0
2018-03-08,90.16,91.74,89.45,91.32,639000.0,0.0,1.0,90.16,91.74,89.45,91.32,639000.0
2018-03-07,88.35,90.09,88.35,89.85,375393.0,0.0,1.0,88.35,90.09,88.35,89.85,375393.0
2018-03-06,88.57,89.68,87.93,89.46,434899.0,0.0,1.0,88.57,89.68,87.93,89.46,434899.0
2018-03-05,86.36,88.42,86.27,88.05,307604.0,0.0,1.0,86.36,88.42,86.27,88.05,307604.0
2018-03-02,85.6,86.87,85.01,86.73,348203.0,0.0,1.0,85.6,86.87,85.01,86.73,348203.0
2018-03-01,87.75,88.26,85.555,86.32,436194.0,0.0,1.0,87.75,88.26,85.555,86.32,436194.0
2018-02-28,89.78,90.29,87.49,87.54,536483.0,0.0,1.0,89.78,90.29,87.49,87.54,536483.0
2018-02-27,91.26,91.53,89.5,89.53,359544.0,0.0,1.0,91.26,91.53,89.5,89.53,359544.0
2018-02-26,91.75,91.77,90.21,91.3,362730.0,0.0,1.0,91.75,91.77,90.21,91.3,362730.0
2018-02-23,92.2,92.2,90.307,91.57,275058.0,0.0,1.0,92.2,92.2,90.307,91.57,275058.0
2018-02-22,91.23,92.73,91.2,91.45,393186.0,0.0,1.0,91.23,92.73,91.2,91.45,393186.0
2018-02-21,90.53,92.1,90.27,90.7,557454.0,0.0,1.0,90.53,92.1,90.27,90.7,557454.0
2018-02-20,90.62,91.94,89.88,90.21,527840.0,0.0,1.0,90.62,91.94,89.88,90.21,527840.0
2018-02-16,93.3,94.05,91.16,91.24,497284.0,0.0,1.0,93.3,94.05,91.16,91.24,497284.0
2018-02-15,91.61,93.5,91.61,93.41,698202.0,0.0,1.0,91.61,93.5,91.61,93.41,698202.0
2018-02-14,86.88,91.1,85.28,90.51,1181590.0,0.0,1.0,86.88,91.1,85.28,90.51,1181590.0
2018-02-13,88.24,89.2,87.1,89.08,448376.0,0.0,1.0,88.24,89.2,87.1,89.08,448376.0
2018-02-12,86.76,89.05,86.76,88.58,568324.0,0.0,1.0,86.76,89.05,86.76,88.58,568324.0
2018-02-09,87.31,87.9005,83.77,86.84,671467.0,0.0,1.0,87.31,87.9005,83.77,86.84,671467.0
2018-02-08,90.05,90.05,86.41,86.45,386047.0,0.0,1.0,90.05,90.05,86.41,86.45,386047.0
2018-02-07,90.22,91.6,89.89,90.0,400488.0,0.0,1.0,90.22,91.6,89.89,90.0,400488.0
2018-02-06,89.1,91.48,87.38,90.65,754052.0,0.0,1.0,89.1,91.48,87.38,90.65,754052.0
2018-02-05,93.87,94.54,89.85,90.67,419397.0,0.0,1.0,93.87,94.54,89.85,90.67,419397.0
2018-02-02,97.12,97.16,94.61,95.06,384487.0,0.0,1.0,97.12,97.16,94.61,95.06,384487.0
2018-02-01,97.67,99.045,97.04,97.86,268238.0,0.0,1.0,97.67,99.045,97.04,97.86,268238.0
2018-01-31,99.1,99.25,97.35,97.57,712216.0,0.0,1.0,99.1,99.25,97.35,97.57,712216.0
2018-01-30,98.5,99.2,97.62,98.67,251490.0,0.0,1.0,98.5,99.2,97.62,98.67,251490.0
2018-01-29,99.23,100.295,99.1,99.22,221555.0,0.0,1.0,99.23,100.295,99.1,99.22,221555.0
2018-01-26,100.03,100.29,99.01,99.57,376467.0,0.0,1.0,100.03,100.29,99.01,99.57,376467.0
2018-01-25,100.05,100.11,98.45,99.82,468238.0,0.0,1.0,100.05,100.11,98.45,99.82,468238.0
2018-01-24,100.36,101.34,99.455,100.09,514234.0,0.0,1.0,100.36,101.34,99.455,100.09,514234.0
2018-01-23,100.1,100.62,99.6,99.81,403180.0,0.0,1.0,100.1,100.62,99.6,99.81,403180.0
2018-01-22,99.62,100.24,98.855,100.13,231864.0,0.0,1.0,99.62,100.24,98.855,100.13,231864.0
2018-01-19,99.46,100.15,99.26,100.01,354615.0,0.0,1.0,99.46,100.15,99.26,100.01,354615.0
2018-01-18,98.52,99.49,98.47,98.92,267615.0,0.0,1.0,98.52,99.49,98.47,98.92,267615.0
2018-01-17,99.4,99.58,98.45,98.54,406672.0,0.0,1.0,99.4,99.58,98.45,98.54,406672.0
2018-01-16,99.84,100.68,98.56,99.03,659509.0,0.0,1.0,99.84,100.68,98.56,99.03,659509.0
2018-01-12,97.73,98.58,97.23,97.87,478315.0,0.0,1.0,97.73,98.58,97.23,97.87,478315.0
2018-01-11,96.05,97.54,95.26,97.44,486278.0,0.0,1.0,96.05,97.54,95.26,97.44,486278.0
