Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,59.39,59.4,58.25,58.67,2924929.0,0.0,1.0,59.39,59.4,58.25,58.67,2924929.0
2018-03-26,59.04,59.4,58.33,59.21,2410607.0,0.0,1.0,59.04,59.4,58.33,59.21,2410607.0
2018-03-23,59.17,60.26,58.01,58.06,3558856.0,0.0,1.0,59.17,60.26,58.01,58.06,3558856.0
2018-03-22,59.3,60.41,58.63,58.68,2986319.0,0.0,1.0,59.3,60.41,58.63,58.68,2986319.0
2018-03-21,59.03,60.57,58.7,59.9,3113308.0,0.0,1.0,59.03,60.57,58.7,59.9,3113308.0
2018-03-20,59.25,59.745,58.62,58.87,2403066.0,0.0,1.0,59.25,59.745,58.62,58.87,2403066.0
2018-03-19,59.0,59.1,58.24,59.06,2796047.0,0.0,1.0,59.0,59.1,58.24,59.06,2796047.0
2018-03-16,58.97,59.555,58.47,59.21,3709947.0,0.0,1.0,58.97,59.555,58.47,59.21,3709947.0
2018-03-15,60.07,60.3,58.49,58.89,3331020.0,0.0,1.0,60.07,60.3,58.49,58.89,3331020.0
2018-03-14,60.87,60.9,59.73,59.9,3350816.0,0.0,1.0,60.87,60.9,59.73,59.9,3350816.0
2018-03-13,60.86,61.515,60.435,60.56,3738969.0,0.0,1.0,60.86,61.515,60.435,60.56,3738969.0
2018-03-12,59.86,60.73,59.8,60.43,3794930.0,0.0,1.0,59.86,60.73,59.8,60.43,3794930.0
2018-03-09,59.01,59.88,58.24,59.79,3781119.0,0.0,1.0,59.01,59.88,58.24,59.79,3781119.0
2018-03-08,59.29,59.57,58.0,58.66,3137667.0,0.0,1.0,59.29,59.57,58.0,58.66,3137667.0
2018-03-07,58.69,59.66,58.535,59.29,2458288.0,0.0,1.0,58.69,59.66,58.535,59.29,2458288.0
2018-03-06,58.64,59.33,57.88,59.17,5147043.0,0.0,1.0,58.64,59.33,57.88,59.17,5147043.0
2018-03-05,57.04,58.65,56.9601,58.31,6150982.0,0.0,1.0,57.04,58.65,56.9601,58.31,6150982.0
2018-03-02,56.78,57.58,55.92,57.48,4306343.0,0.0,1.0,56.78,57.58,55.92,57.48,4306343.0
2018-03-01,56.84,57.55,56.17,57.36,5266487.0,0.0,1.0,56.84,57.55,56.17,57.36,5266487.0
2018-02-28,57.9,58.13,55.94,56.58,9061845.0,0.0,1.0,57.9,58.13,55.94,56.58,9061845.0
2018-02-27,59.57,60.81,57.655,57.66,5085266.0,0.0,1.0,59.57,60.81,57.655,57.66,5085266.0
2018-02-26,59.37,59.62,58.45,59.45,4722127.0,0.0,1.0,59.37,59.62,58.45,59.45,4722127.0
2018-02-23,59.56,59.56,58.2,59.04,3484370.0,0.0,1.0,59.56,59.56,58.2,59.04,3484370.0
2018-02-22,58.98,59.32,58.13,58.43,4884319.0,0.0,1.0,58.98,59.32,58.13,58.43,4884319.0
2018-02-21,59.38,60.39,58.64,58.66,3788810.0,0.0,1.0,59.38,60.39,58.64,58.66,3788810.0
