Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-10-31,53.0,53.63,52.66,53.63,3117591.0,0.0,1.0,53.0,53.63,52.66,53.63,3117591.0
2017-10-30,50.99,52.78,50.82,52.7,4364089.0,0.0,1.0,50.99,52.78,50.82,52.7,4364089.0
2017-10-27,52.8,52.86,51.25,51.31,4967361.0,0.0,1.0,52.8,52.86,51.25,51.31,4967361.0
2017-10-26,52.9,53.16,52.67,52.85,2447330.0,0.0,1.0,52.9,53.16,52.67,52.85,2447330.0
2017-10-25,52.94,53.12,52.74,52.87,2003569.0,0.0,1.0,52.94,53.12,52.74,52.87,2003569.0
2017-10-24,53.18,53.63,53.09,53.2,1324306.0,0.0,1.0,53.18,53.63,53.09,53.2,1324306.0
2017-10-23,53.44,53.9,52.985,53.19,3468738.0,0.0,1.0,53.44,53.9,52.985,53.19,3468738.0
2017-10-20,52.9,53.77,52.79,53.51,2068606.0,0.0,1.0,52.9,53.77,52.79,53.51,2068606.0
2017-10-19,53.05,53.43,52.49,52.78,3671172.0,0.0,1.0,53.05,53.43,52.49,52.78,3671172.0
2017-10-18,53.5,53.63,52.875,52.93,10149483.0,0.0,1.0,53.5,53.63,52.875,52.93,10149483.0
2017-10-17,54.56,54.97,53.39,53.47,7042409.0,0.0,1.0,54.56,54.97,53.39,53.47,7042409.0
2017-10-16,55.3,55.36,54.56,54.68,1979719.0,0.0,1.0,55.3,55.36,54.56,54.68,1979719.0
2017-10-13,55.55,55.82,55.14,55.36,3939197.0,0.0,1.0,55.55,55.82,55.14,55.36,3939197.0
2017-10-12,55.21,55.61,55.01,55.4,16627904.0,0.0,1.0,55.21,55.61,55.01,55.4,16627904.0
2017-10-11,55.51,55.77,55.3,55.39,4779343.0,0.0,1.0,55.51,55.77,55.3,55.39,4779343.0
2017-10-10,55.06,55.53,55.05,55.49,1512299.0,0.0,1.0,55.06,55.53,55.05,55.49,1512299.0
2017-10-09,55.2,55.31,54.93,55.16,886702.0,0.0,1.0,55.2,55.31,54.93,55.16,886702.0
2017-10-06,54.95,55.08,54.41,55.08,952088.0,0.0,1.0,54.95,55.08,54.41,55.08,952088.0
2017-10-05,55.28,55.64,54.89,55.06,2370144.0,0.0,1.0,55.28,55.64,54.89,55.06,2370144.0
2017-10-04,55.16,55.58,55.02,55.16,2984581.0,0.0,1.0,55.16,55.58,55.02,55.16,2984581.0
2017-10-03,54.55,55.33,53.64,55.3,3245321.0,0.0,1.0,54.55,55.33,53.64,55.3,3245321.0
2017-10-02,53.38,54.08,53.14,53.94,2767260.0,0.0,1.0,53.38,54.08,53.14,53.94,2767260.0
