Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,113.81,115.685,112.1,113.02,551740.0,0.0,1.0,113.81,115.685,112.1,113.02,551740.0
2018-03-26,113.68,114.17,111.5,113.72,718973.0,0.0,1.0,113.68,114.17,111.5,113.72,718973.0
2018-03-23,115.81,117.075,111.41,111.58,488816.0,0.0,1.0,115.81,117.075,111.41,111.58,488816.0
2018-03-22,120.0,120.37,115.71,115.81,511123.0,0.0,1.0,120.0,120.37,115.71,115.81,511123.0
2018-03-21,120.91,122.7,120.91,121.15,393023.0,0.0,1.0,120.91,122.7,120.91,121.15,393023.0
2018-03-20,121.09,121.97,120.11,120.87,437603.0,0.0,1.0,121.09,121.97,120.11,120.87,437603.0
2018-03-19,121.96,122.51,120.35,121.04,415798.0,0.0,1.0,121.96,122.51,120.35,121.04,415798.0
2018-03-16,121.04,123.28,120.93,122.32,464520.0,0.0,1.0,121.04,123.28,120.93,122.32,464520.0
2018-03-15,120.84,121.8,120.145,120.82,269729.0,0.0,1.0,120.84,121.8,120.145,120.82,269729.0
2018-03-14,121.75,122.16,119.54,120.61,316574.0,0.0,1.0,121.75,122.16,119.54,120.61,316574.0
2018-03-13,121.16,122.72,120.77,121.24,681386.0,0.0,1.0,121.16,122.72,120.77,121.24,681386.0
2018-03-12,122.63,122.9,120.02,120.36,419261.0,0.0,1.0,122.63,122.9,120.02,120.36,419261.0
2018-03-09,121.89,122.58,120.53,122.36,296488.0,0.0,1.0,121.89,122.58,120.53,122.36,296488.0
2018-03-08,121.29,121.32,119.78,120.6,463761.0,0.0,1.0,121.29,121.32,119.78,120.6,463761.0
2018-03-07,117.35,120.55,117.35,120.23,526914.0,0.0,1.0,117.35,120.55,117.35,120.23,526914.0
2018-03-06,119.21,119.66,117.99,118.62,638752.0,0.0,1.0,119.21,119.66,117.99,118.62,638752.0
2018-03-05,117.95,119.01,116.52,118.58,691782.0,0.0,1.0,117.95,119.01,116.52,118.58,691782.0
2018-03-02,116.04,119.55,115.47,119.26,436026.0,0.0,1.0,116.04,119.55,115.47,119.26,436026.0
2018-03-01,118.1,119.4,116.1,117.23,704174.0,0.0,1.0,118.1,119.4,116.1,117.23,704174.0
2018-02-28,120.32,121.015,118.43,118.46,568694.0,0.0,1.0,120.32,121.015,118.43,118.46,568694.0
2018-02-27,121.43,123.04,120.05,120.1,526351.0,0.0,1.0,121.43,123.04,120.05,120.1,526351.0
2018-02-26,122.99,123.22,120.85,121.87,319693.0,0.0,1.0,122.99,123.22,120.85,121.87,319693.0
2018-02-23,122.25,122.64,120.88,122.58,274920.0,0.0,1.0,122.25,122.64,120.88,122.58,274920.0
2018-02-22,121.79,123.19,121.07,121.34,313106.0,0.0,1.0,121.79,123.19,121.07,121.34,313106.0
2018-02-21,122.06,123.925,121.18,121.35,407221.0,0.0,1.0,122.06,123.925,121.18,121.35,407221.0
2018-02-20,121.16,122.63,120.64,121.76,318104.0,0.0,1.0,121.16,122.63,120.64,121.76,318104.0
2018-02-16,122.19,123.53,120.9,121.92,326723.0,0.0,1.0,122.19,123.53,120.9,121.92,326723.0
2018-02-15,124.05,124.3734,122.22,122.87,429469.0,0.0,1.0,124.05,124.3734,122.22,122.87,429469.0
2018-02-14,118.4,123.66,118.195,122.97,664415.0,0.0,1.0,118.4,123.66,118.195,122.97,664415.0
2018-02-13,116.76,119.68,116.33,119.43,511367.0,0.0,1.0,116.76,119.68,116.33,119.43,511367.0
2018-02-12,116.97,118.715,115.67,117.44,436531.0,0.0,1.0,116.97,118.715,115.67,117.44,436531.0
2018-02-09,115.61,116.51,111.18,115.6,659032.0,0.0,1.0,115.61,116.51,111.18,115.6,659032.0
2018-02-08,120.9,121.09,113.67,113.73,749467.0,0.0,1.0,120.9,121.09,113.67,113.73,749467.0
2018-02-07,121.61,122.97,120.41,120.97,687553.0,0.0,1.0,121.61,122.97,120.41,120.97,687553.0
2018-02-06,113.01,122.85,112.74,121.83,1173719.0,0.0,1.0,113.01,122.85,112.74,121.83,1173719.0
2018-02-05,121.35,122.0,117.36,117.37,1152949.0,0.0,1.0,121.35,122.0,117.36,117.37,1152949.0
2018-02-02,129.87,130.35,120.6,122.5,818944.0,0.0,1.0,129.87,130.35,120.6,122.5,818944.0
2018-02-01,131.13,132.86,130.96,132.23,607767.0,0.0,1.0,131.13,132.86,130.96,132.23,607767.0
2018-01-31,132.15,134.04,131.32,131.39,441232.0,0.0,1.0,132.15,134.04,131.32,131.39,441232.0
2018-01-30,133.14,133.35,131.24,131.59,415871.0,0.0,1.0,133.14,133.35,131.24,131.59,415871.0
2018-01-29,135.46,136.93,134.35,134.51,324396.0,0.0,1.0,135.46,136.93,134.35,134.51,324396.0
2018-01-26,134.15,136.18,133.6,136.02,196874.0,0.0,1.0,134.15,136.18,133.6,136.02,196874.0
2018-01-25,133.73,134.02,132.73,133.71,211858.0,0.0,1.0,133.73,134.02,132.73,133.71,211858.0
2018-01-24,133.37,134.38,132.1,132.82,253591.0,0.0,1.0,133.37,134.38,132.1,132.82,253591.0
2018-01-23,134.29,134.73,132.07,132.79,316586.0,0.0,1.0,134.29,134.73,132.07,132.79,316586.0
2018-01-22,132.89,134.29,132.56,134.19,376571.0,0.0,1.0,132.89,134.29,132.56,134.19,376571.0
2018-01-19,131.68,133.1,131.56,133.04,220623.0,0.0,1.0,131.68,133.1,131.56,133.04,220623.0
2018-01-18,132.52,132.52,130.51,131.18,250103.0,0.0,1.0,132.52,132.52,130.51,131.18,250103.0
2018-01-17,129.77,132.23,129.62,131.99,387184.0,0.0,1.0,129.77,132.23,129.62,131.99,387184.0
2018-01-16,130.71,131.46,128.7,129.07,284447.0,0.0,1.0,130.71,131.46,128.7,129.07,284447.0
2018-01-12,130.4,131.06,129.38,129.75,279438.0,0.0,1.0,130.4,131.06,129.38,129.75,279438.0
2018-01-11,129.66,131.11,129.39,129.9,254253.0,0.0,1.0,129.66,131.11,129.39,129.9,254253.0
2018-01-10,130.39,131.26,128.81,129.14,279544.0,0.0,1.0,130.39,131.26,128.81,129.14,279544.0
2018-01-09,130.85,131.97,130.13,130.49,392206.0,0.0,1.0,130.85,131.97,130.13,130.49,392206.0
2018-01-08,128.85,130.51,128.01,130.31,259117.0,0.0,1.0,128.85,130.51,128.01,130.31,259117.0
2018-01-05,128.86,129.1,127.97,129.07,163619.0,0.0,1.0,128.86,129.1,127.97,129.07,163619.0
2018-01-04,128.04,128.8399,127.58,128.7,306386.0,0.0,1.0,128.04,128.8399,127.58,128.7,306386.0
2018-01-03,127.17,127.75,126.46,127.09,211717.0,0.0,1.0,127.17,127.75,126.46,127.09,211717.0
2018-01-02,127.16,127.16,125.74,126.75,256038.0,0.0,1.0,127.16,127.16,125.74,126.75,256038.0
2017-12-29,127.39,127.41,126.08,126.11,173564.0,0.0,1.0,127.39,127.41,126.08,126.11,173564.0
2017-12-28,126.92,127.22,125.58,127.12,170291.0,0.0,1.0,126.92,127.22,125.58,127.12,170291.0
2017-12-27,126.17,126.83,125.4862,126.29,153141.0,0.0,1.0,126.17,126.83,125.4862,126.29,153141.0
2017-12-26,126.73,127.3,126.0,126.32,99320.0,0.0,1.0,126.73,127.3,126.0,126.32,99320.0
2017-12-22,127.13,127.96,126.23,127.04,166292.0,0.0,1.0,127.13,127.96,126.23,127.04,166292.0
2017-12-21,127.8,128.21,127.31,127.38,253637.0,0.0,1.0,127.8,128.21,127.31,127.38,253637.0
2017-12-20,126.96,127.75,126.25,127.34,226979.0,0.0,1.0,126.96,127.75,126.25,127.34,226979.0
2017-12-19,125.79,127.435,125.475,126.29,355054.0,0.0,1.0,125.79,127.435,125.475,126.29,355054.0
2017-12-18,127.15,127.59,125.65,126.39,327200.0,0.0,1.0,127.15,127.59,125.65,126.39,327200.0
2017-12-15,123.15,125.97,122.9,124.82,703711.0,0.0,1.0,123.15,125.97,122.9,124.82,703711.0
