Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,45.17,45.17,44.125,44.27,544493.0,0.0,1.0,45.17,45.17,44.125,44.27,544493.0
2018-03-26,45.33,45.3518,44.64,44.99,631757.0,0.0,1.0,45.33,45.3518,44.64,44.99,631757.0
2018-03-23,45.63,46.01,44.74,44.76,391311.0,0.0,1.0,45.63,46.01,44.74,44.76,391311.0
2018-03-22,47.49,47.95,45.53,45.57,595236.0,0.0,1.0,47.49,47.95,45.53,45.57,595236.0
2018-03-21,47.68,48.2,47.41,47.93,223618.0,0.0,1.0,47.68,48.2,47.41,47.93,223618.0
2018-03-20,47.44,47.87,47.2,47.6,365278.0,0.0,1.0,47.44,47.87,47.2,47.6,365278.0
2018-03-19,47.94,47.94,47.03,47.23,522119.0,0.0,1.0,47.94,47.94,47.03,47.23,522119.0
2018-03-16,47.49,48.75,47.4047,48.08,5853504.0,0.0,1.0,47.49,48.75,47.4047,48.08,5853504.0
2018-03-15,46.81,47.76,46.11,47.49,587112.0,0.0,1.0,46.81,47.76,46.11,47.49,587112.0
2018-03-14,46.3,46.77,45.52,46.67,585032.0,0.0,1.0,46.3,46.77,45.52,46.67,585032.0
2018-03-13,47.03,47.03,46.1,46.85,544560.0,0.0,1.0,47.03,47.03,46.1,46.85,544560.0
2018-03-12,46.48,46.93,45.6,46.91,660945.0,0.0,1.0,46.48,46.93,45.6,46.91,660945.0
2018-03-09,46.81,47.35,46.42,46.83,309026.0,0.0,1.0,46.81,47.35,46.42,46.83,309026.0
2018-03-08,46.49,46.5,45.89,46.5,313555.0,0.0,1.0,46.49,46.5,45.89,46.5,313555.0
2018-03-07,45.81,46.57,45.81,46.4,327376.0,0.0,1.0,45.81,46.57,45.81,46.4,327376.0
2018-03-06,46.08,46.25,45.3,46.21,247596.0,0.0,1.0,46.08,46.25,45.3,46.21,247596.0
2018-03-05,45.38,46.04,45.03,45.92,333493.0,0.0,1.0,45.38,46.04,45.03,45.92,333493.0
2018-03-02,44.86,45.58,44.75,45.46,233004.0,0.0,1.0,44.86,45.58,44.75,45.46,233004.0
2018-03-01,45.8,46.11,44.72,45.08,296739.0,0.0,1.0,45.8,46.11,44.72,45.08,296739.0
2018-02-28,46.18,46.54,45.63,45.64,411117.0,0.0,1.0,46.18,46.54,45.63,45.64,411117.0
2018-02-27,45.6,46.32,45.56,46.02,329731.0,0.0,1.0,45.6,46.32,45.56,46.02,329731.0
2018-02-26,45.13,45.7,44.78,45.6,170869.0,0.0,1.0,45.13,45.7,44.78,45.6,170869.0
2018-02-23,44.6,45.05,44.39,45.02,179387.0,0.0,1.0,44.6,45.05,44.39,45.02,179387.0
2018-02-22,45.09,45.2,44.2,44.37,288275.0,0.0,1.0,45.09,45.2,44.2,44.37,288275.0
2018-02-21,45.23,45.9299,44.87,44.89,194124.0,0.0,1.0,45.23,45.9299,44.87,44.89,194124.0
2018-02-20,45.55,45.7799,45.04,45.34,378955.0,0.0,1.0,45.55,45.7799,45.04,45.34,378955.0
2018-02-16,45.17,45.93,45.06,45.7,285102.0,0.0,1.0,45.17,45.93,45.06,45.7,285102.0
2018-02-15,44.88,45.59,44.63,45.29,293000.0,0.0,1.0,44.88,45.59,44.63,45.29,293000.0
2018-02-14,42.75,44.52,42.75,44.48,328604.0,0.0,1.0,42.75,44.52,42.75,44.48,328604.0
2018-02-13,43.09,43.41,42.44,42.95,240323.0,0.0,1.0,43.09,43.41,42.44,42.95,240323.0
2018-02-12,43.47,43.9,42.34,43.37,320861.0,0.0,1.0,43.47,43.9,42.34,43.37,320861.0
2018-02-09,42.78,43.5,42.3,43.12,495728.0,0.0,1.0,42.78,43.5,42.3,43.12,495728.0
2018-02-08,43.08,43.32,42.31,42.31,701867.0,0.0,1.0,43.08,43.32,42.31,42.31,701867.0
2018-02-07,42.28,43.4,42.28,43.0,524488.0,0.0,1.0,42.28,43.4,42.28,43.0,524488.0
2018-02-06,42.29,42.97,41.4046,42.6,872805.0,0.0,1.0,42.29,42.97,41.4046,42.6,872805.0
2018-02-05,47.12,47.87,41.85,42.91,998964.0,0.0,1.0,47.12,47.87,41.85,42.91,998964.0
2018-02-02,49.64,49.74,48.31,48.98,383202.0,0.0,1.0,49.64,49.74,48.31,48.98,383202.0
2018-02-01,48.84,49.75,48.84,49.64,311210.0,0.0,1.0,48.84,49.75,48.84,49.64,311210.0
2018-01-31,49.53,49.66,48.68,48.95,1265429.0,0.0,1.0,49.53,49.66,48.68,48.95,1265429.0
