Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,27.6,28.01,27.4318,27.77,682620.0,0.0,1.0,27.6,28.01,27.4318,27.77,682620.0
2018-03-26,27.32,27.64,27.16,27.58,641602.0,0.0,1.0,27.32,27.64,27.16,27.58,641602.0
2018-03-23,27.57,27.83,27.1401,27.17,666453.0,0.0,1.0,27.57,27.83,27.1401,27.17,666453.0
2018-03-22,27.57,28.02,27.52,27.53,775887.0,0.0,1.0,27.57,28.02,27.52,27.53,775887.0
2018-03-21,27.64,27.95,27.61,27.68,372078.0,0.0,1.0,27.64,27.95,27.61,27.68,372078.0
2018-03-20,27.75,27.98,27.48,27.65,629360.0,0.0,1.0,27.75,27.98,27.48,27.65,629360.0
2018-03-19,27.55,27.97,27.52,27.81,955516.0,0.0,1.0,27.55,27.97,27.52,27.81,955516.0
2018-03-16,27.67,27.7,26.96,27.55,4015808.0,0.0,1.0,27.67,27.7,26.96,27.55,4015808.0
2018-03-15,27.34,27.685,27.328000000000003,27.61,1088838.0,0.0,1.0,27.34,27.685,27.328000000000003,27.61,1088838.0
2018-03-14,27.22,27.4,27.07,27.4,782492.0,0.0,1.0,27.22,27.4,27.07,27.4,782492.0
2018-03-13,26.9,27.17,26.875,27.05,1956403.0,0.0,1.0,26.9,27.17,26.875,27.05,1956403.0
2018-03-12,26.58,26.94,26.58,26.88,719015.0,0.0,1.0,26.58,26.94,26.58,26.88,719015.0
2018-03-09,26.29,26.51,26.07,26.48,555529.0,0.0,1.0,26.29,26.51,26.07,26.48,555529.0
2018-03-08,26.58,26.59,26.16,26.27,951676.0,0.0,1.0,26.58,26.59,26.16,26.27,951676.0
2018-03-07,26.33,26.58,26.305,26.53,863498.0,0.198,1.0,26.33,26.58,26.305,26.53,863498.0
2018-03-06,27.01,27.01,26.33,26.6,766184.0,0.0,1.0,26.8099109548,26.8099109548,26.1349483688,26.402948219099997,766184.0
2018-03-05,26.42,27.06,26.29,26.99,777017.0,0.0,1.0,26.2242816522,26.8595405567,26.095244687199997,26.790059114,777017.0
2018-03-02,26.36,26.555,26.09,26.47,587556.0,0.0,1.0,26.164726129899996,26.358281577399996,25.8967262796,26.2739112541,587556.0
2018-03-01,26.38,26.84,26.32,26.43,618102.0,0.0,1.0,26.1845779707,26.641170308299998,26.125022448400003,26.234207572600003,618102.0
2018-02-28,26.67,26.71,26.28,26.29,816709.0,0.0,1.0,26.67,26.71,26.28,26.29,816709.0
2018-02-27,27.31,27.385,26.58,26.6,829675.0,0.0,1.0,27.31,27.385,26.58,26.6,829675.0
2018-02-26,27.46,27.81,27.17,27.28,683829.0,0.0,1.0,27.46,27.81,27.17,27.28,683829.0
2018-02-23,27.02,27.46,26.96,27.46,537016.0,0.0,1.0,27.02,27.46,26.96,27.46,537016.0
2018-02-22,26.91,27.23,26.8,26.98,677204.0,0.0,1.0,26.91,27.23,26.8,26.98,677204.0
2018-02-21,27.15,27.31,26.82,26.82,596848.0,0.0,1.0,27.15,27.31,26.82,26.82,596848.0
2018-02-20,27.43,27.46,26.985,27.13,605713.0,0.0,1.0,27.43,27.46,26.985,27.13,605713.0
2018-02-16,27.38,27.625,27.09,27.55,1001255.0,0.0,1.0,27.38,27.625,27.09,27.55,1001255.0
2018-02-15,27.25,27.48,27.04,27.48,586762.0,0.0,1.0,27.25,27.48,27.04,27.48,586762.0
2018-02-14,26.79,27.33,26.62,27.22,763289.0,0.0,1.0,26.79,27.33,26.62,27.22,763289.0
2018-02-13,26.76,27.06,26.44,26.93,709065.0,0.0,1.0,26.76,27.06,26.44,26.93,709065.0
2018-02-12,26.67,26.93,26.38,26.81,1093297.0,0.0,1.0,26.67,26.93,26.38,26.81,1093297.0
2018-02-09,25.68,26.79,25.68,26.62,1508641.0,0.0,1.0,25.68,26.79,25.68,26.62,1508641.0
2018-02-08,25.74,26.05,25.22,25.55,1285082.0,0.0,1.0,25.74,26.05,25.22,25.55,1285082.0
2018-02-07,25.57,26.5,25.41,25.67,1443140.0,0.0,1.0,25.57,26.5,25.41,25.67,1443140.0
2018-02-06,24.86,25.23,24.29,25.15,1366951.0,0.0,1.0,24.86,25.23,24.29,25.15,1366951.0
2018-02-05,25.64,26.05,25.17,25.17,1043090.0,0.0,1.0,25.64,26.05,25.17,25.17,1043090.0
2018-02-02,26.01,26.3,25.745,25.77,693193.0,0.0,1.0,26.01,26.3,25.745,25.77,693193.0
2018-02-01,26.5,26.6601,26.09,26.23,804663.0,0.0,1.0,26.5,26.6601,26.09,26.23,804663.0
2018-01-31,26.51,26.61,26.16,26.48,3553606.0,0.0,1.0,26.51,26.61,26.16,26.48,3553606.0
2018-01-30,26.28,26.595,26.28,26.41,886735.0,0.0,1.0,26.28,26.595,26.28,26.41,886735.0
2018-01-29,26.34,26.43,26.16,26.31,803595.0,0.0,1.0,26.34,26.43,26.16,26.31,803595.0
2018-01-26,26.54,26.54,26.12,26.46,549000.0,0.0,1.0,26.54,26.54,26.12,26.46,549000.0
2018-01-25,26.42,26.54,26.14,26.49,880669.0,0.0,1.0,26.42,26.54,26.14,26.49,880669.0
2018-01-24,26.33,26.39,26.055,26.38,922763.0,0.0,1.0,26.33,26.39,26.055,26.38,922763.0
2018-01-23,26.16,26.495,26.16,26.28,820906.0,0.0,1.0,26.16,26.495,26.16,26.28,820906.0
2018-01-22,26.16,26.39,25.98,26.03,624366.0,0.0,1.0,26.16,26.39,25.98,26.03,624366.0
2018-01-19,25.86,26.115,25.78,26.07,640960.0,0.0,1.0,25.86,26.115,25.78,26.07,640960.0
2018-01-18,26.14,26.19,25.69,25.85,766491.0,0.0,1.0,26.14,26.19,25.69,25.85,766491.0
2018-01-17,26.06,26.27,25.93,26.25,927218.0,0.0,1.0,26.06,26.27,25.93,26.25,927218.0
2018-01-16,26.09,26.17,25.665,25.9,971125.0,0.0,1.0,26.09,26.17,25.665,25.9,971125.0
2018-01-12,26.01,26.18,25.94,26.08,468148.0,0.0,1.0,26.01,26.18,25.94,26.08,468148.0
2018-01-11,26.07,26.23,25.905,25.98,844889.0,0.0,1.0,26.07,26.23,25.905,25.98,844889.0
2018-01-10,26.31,26.34,26.0,26.05,658011.0,0.0,1.0,26.31,26.34,26.0,26.05,658011.0
2018-01-09,26.53,26.73,26.38,26.42,854008.0,0.0,1.0,26.53,26.73,26.38,26.42,854008.0
2018-01-08,26.43,26.64,26.31,26.61,546819.0,0.0,1.0,26.43,26.64,26.31,26.61,546819.0
2018-01-05,26.72,26.85,26.35,26.41,611292.0,0.0,1.0,26.72,26.85,26.35,26.41,611292.0
2018-01-04,26.72,26.98,26.57,26.58,549494.0,0.0,1.0,26.72,26.98,26.57,26.58,549494.0
2018-01-03,26.7,27.04,26.56,26.76,873220.0,0.0,1.0,26.7,27.04,26.56,26.76,873220.0
2018-01-02,27.01,27.14,26.68,26.72,993992.0,0.0,1.0,27.01,27.14,26.68,26.72,993992.0
2017-12-29,26.8,27.05,26.72,26.88,718985.0,0.0,1.0,26.8,27.05,26.72,26.88,718985.0
2017-12-28,26.44,26.81,26.44,26.8,638183.0,0.0,1.0,26.44,26.81,26.44,26.8,638183.0
2017-12-27,26.15,26.42,26.09,26.34,399514.0,0.0,1.0,26.15,26.42,26.09,26.34,399514.0
2017-12-26,26.21,26.41,25.98,26.14,536775.0,0.0,1.0,26.21,26.41,25.98,26.14,536775.0
2017-12-22,26.02,26.35,25.98,26.21,412689.0,0.0,1.0,26.02,26.35,25.98,26.21,412689.0
2017-12-21,26.23,26.29,25.97,26.02,800054.0,0.0,1.0,26.23,26.29,25.97,26.02,800054.0
2017-12-20,26.34,26.59,26.14,26.15,906397.0,0.0,1.0,26.34,26.59,26.14,26.15,906397.0
2017-12-19,26.86,26.88,26.22,26.23,697331.0,0.0,1.0,26.86,26.88,26.22,26.23,697331.0
2017-12-18,26.885,27.2,26.5,26.61,1258635.0,0.0,1.0,26.885,27.2,26.5,26.61,1258635.0
2017-12-15,27.02,27.27,26.86,26.91,2001808.0,0.0,1.0,27.02,27.27,26.86,26.91,2001808.0
2017-12-14,27.06,27.22,26.76,26.76,1061115.0,0.0,1.0,27.06,27.22,26.76,26.76,1061115.0
2017-12-13,27.52,27.57,27.1,27.14,822708.0,0.0,1.0,27.52,27.57,27.1,27.14,822708.0
2017-12-12,28.02,28.12,27.67,27.67,527515.0,0.0,1.0,28.02,28.12,27.67,27.67,527515.0
2017-12-11,28.11,28.14,27.7,27.96,1355602.0,0.0,1.0,28.11,28.14,27.7,27.96,1355602.0
2017-12-08,28.03,28.15,27.77,28.14,668723.0,0.0,1.0,28.03,28.15,27.77,28.14,668723.0
2017-12-07,27.54,28.07,27.47,28.06,1139565.0,0.0,1.0,27.54,28.07,27.47,28.06,1139565.0
2017-12-06,27.69,27.74,27.49,27.5,526708.0,0.0,1.0,27.69,27.74,27.49,27.5,526708.0
2017-12-05,28.05,28.05,27.54,27.65,867432.0,0.0,1.0,28.05,28.05,27.54,27.65,867432.0
2017-12-04,28.01,28.22,27.96,28.02,476991.0,0.0,1.0,28.01,28.22,27.96,28.02,476991.0
2017-12-01,28.02,28.07,27.48,27.96,583336.0,0.0,1.0,28.02,28.07,27.48,27.96,583336.0
2017-11-30,27.78,28.07,27.78,27.95,928011.0,0.0,1.0,27.78,28.07,27.78,27.95,928011.0
2017-11-29,27.43,28.1525,27.37,27.67,936192.0,0.0,1.0,27.43,28.1525,27.37,27.67,936192.0
2017-11-28,27.17,27.43,27.04,27.4,637662.0,0.0,1.0,27.17,27.43,27.04,27.4,637662.0
2017-11-27,26.94,27.3,26.8308,27.24,723048.0,0.0,1.0,26.94,27.3,26.8308,27.24,723048.0
2017-11-24,26.93,27.03,26.88,27.01,237573.0,0.0,1.0,26.93,27.03,26.88,27.01,237573.0
2017-11-22,26.91,26.93,26.64,26.87,684483.0,0.0,1.0,26.91,26.93,26.64,26.87,684483.0
2017-11-21,26.65,26.96,26.65,26.89,702492.0,0.0,1.0,26.65,26.96,26.65,26.89,702492.0
2017-11-20,26.78,26.85,26.565,26.65,457082.0,0.0,1.0,26.78,26.85,26.565,26.65,457082.0
2017-11-17,26.8,26.92,26.69,26.78,1172121.0,0.0,1.0,26.8,26.92,26.69,26.78,1172121.0
2017-11-16,26.36,27.05,26.3039,26.88,874423.0,0.0,1.0,26.36,27.05,26.3039,26.88,874423.0
2017-11-15,26.75,26.8,26.325,26.36,966346.0,0.0,1.0,26.75,26.8,26.325,26.36,966346.0
2017-11-14,26.52,26.925,26.52,26.89,694351.0,0.0,1.0,26.52,26.925,26.52,26.89,694351.0
2017-11-13,26.33,26.62,26.27,26.62,569939.0,0.0,1.0,26.33,26.62,26.27,26.62,569939.0
2017-11-10,26.42,26.67,26.34,26.41,1023470.0,0.0,1.0,26.42,26.67,26.34,26.41,1023470.0
2017-11-09,26.57,26.73,26.5,26.54,957125.0,0.0,1.0,26.57,26.73,26.5,26.54,957125.0
2017-11-07,27.14,27.28,26.73,26.9,1463588.0,0.0,1.0,27.14,27.28,26.73,26.9,1463588.0
2017-11-06,26.13,27.22,26.09,27.15,1183329.0,0.0,1.0,26.13,27.22,26.09,27.15,1183329.0
2017-11-03,26.17,26.5,26.1,26.16,701453.0,0.0,1.0,26.17,26.5,26.1,26.16,701453.0
2017-11-02,26.63,26.77,25.89,26.41,1475882.0,0.0,1.0,26.63,26.77,25.89,26.41,1475882.0
2017-11-01,27.5,27.5,26.93,27.09,585334.0,0.0,1.0,27.5,27.5,26.93,27.09,585334.0
2017-10-31,27.12,27.405,26.99,27.35,1028741.0,0.0,1.0,27.12,27.405,26.99,27.35,1028741.0
2017-10-30,26.99,27.21,26.88,27.14,647744.0,0.0,1.0,26.99,27.21,26.88,27.14,647744.0
2017-10-27,26.73,27.04,26.61,27.02,661058.0,0.0,1.0,26.73,27.04,26.61,27.02,661058.0
2017-10-26,26.78,27.0,26.71,26.79,556244.0,0.0,1.0,26.78,27.0,26.71,26.79,556244.0
2017-10-25,26.78,26.8,26.53,26.7,686273.0,0.0,1.0,26.78,26.8,26.53,26.7,686273.0
2017-10-24,26.95,27.02,26.68,26.89,553477.0,0.0,1.0,26.95,27.02,26.68,26.89,553477.0
2017-10-23,27.02,27.04,26.76,26.97,402827.0,0.0,1.0,27.02,27.04,26.76,26.97,402827.0
2017-10-20,27.27,27.28,26.91,27.03,339196.0,0.0,1.0,27.27,27.28,26.91,27.03,339196.0
2017-10-19,27.07,27.27,26.89,27.25,528321.0,0.0,1.0,27.07,27.27,26.89,27.25,528321.0
2017-10-18,27.07,27.175,26.98,27.14,303822.0,0.0,1.0,27.07,27.175,26.98,27.14,303822.0
2017-10-17,26.93,27.13,26.88,27.11,426486.0,0.0,1.0,26.93,27.13,26.88,27.11,426486.0
2017-10-16,27.03,27.16,26.89,26.98,344548.0,0.0,1.0,27.03,27.16,26.89,26.98,344548.0
2017-10-13,27.19,27.25,26.87,26.91,345660.0,0.0,1.0,27.19,27.25,26.87,26.91,345660.0
2017-10-12,26.95,27.215,26.94,27.16,571829.0,0.0,1.0,26.95,27.215,26.94,27.16,571829.0
2017-10-11,26.82,27.03,26.77,26.94,479985.0,0.0,1.0,26.82,27.03,26.77,26.94,479985.0
2017-10-10,26.67,26.87,26.63,26.87,605762.0,0.0,1.0,26.67,26.87,26.63,26.87,605762.0
2017-10-09,26.69,26.71,26.43,26.54,378176.0,0.0,1.0,26.69,26.71,26.43,26.54,378176.0
2017-10-06,26.61,26.75,26.485,26.6,477215.0,0.0,1.0,26.61,26.75,26.485,26.6,477215.0
2017-10-05,26.7,26.79,26.54,26.71,487447.0,0.0,1.0,26.7,26.79,26.54,26.71,487447.0
2017-10-04,26.63,26.67,26.45,26.67,854519.0,0.0,1.0,26.63,26.67,26.45,26.67,854519.0
2017-10-03,26.34,26.77,26.31,26.65,985941.0,0.0,1.0,26.34,26.77,26.31,26.65,985941.0
2017-10-02,26.05,26.505,25.97,26.23,779143.0,0.0,1.0,26.05,26.505,25.97,26.23,779143.0
2017-09-29,26.07,26.25,25.92,25.95,739994.0,0.0,1.0,26.07,26.25,25.92,25.95,739994.0
2017-09-28,25.93,26.09,25.81,26.06,873406.0,0.0,1.0,25.93,26.09,25.81,26.06,873406.0
2017-09-27,26.09,26.3,25.61,25.98,1047234.0,0.0,1.0,26.09,26.3,25.61,25.98,1047234.0
2017-09-26,26.04,26.315,26.04,26.15,581135.0,0.0,1.0,26.04,26.315,26.04,26.15,581135.0
2017-09-25,25.99,26.14,25.92,26.08,822177.0,0.0,1.0,25.99,26.14,25.92,26.08,822177.0
2017-09-22,26.26,26.31,25.93,25.99,664948.0,0.0,1.0,26.26,26.31,25.93,25.99,664948.0
2017-09-21,26.35,26.525,26.125,26.21,559934.0,0.0,1.0,26.35,26.525,26.125,26.21,559934.0
2017-09-20,26.7,26.85,26.13,26.4,806310.0,0.0,1.0,26.7,26.85,26.13,26.4,806310.0
2017-09-19,26.71,26.845,26.62,26.65,625790.0,0.0,1.0,26.71,26.845,26.62,26.65,625790.0
2017-09-18,27.04,27.04,26.58,26.64,639760.0,0.0,1.0,27.04,27.04,26.58,26.64,639760.0
2017-09-15,26.97,27.17,26.84,27.02,1317873.0,0.0,1.0,26.97,27.17,26.84,27.02,1317873.0
2017-09-14,26.75,27.13,26.71,27.12,520065.0,0.0,1.0,26.75,27.13,26.71,27.12,520065.0
2017-09-13,27.1,27.1738,26.78,26.79,847647.0,0.192,1.0,27.1,27.1738,26.78,26.79,847647.0
2017-09-12,27.66,27.73,27.19,27.24,597532.0,0.0,1.0,27.463175450300003,27.532677340449,26.996519902157,27.046164109406,597532.0
2017-09-11,27.47,27.715,27.3901,27.66,482779.0,0.0,1.0,27.274527462753,27.517784078274,27.195196019569,27.463175450300003,482779.0
2017-09-08,27.28,27.5,27.11,27.43,641736.0,0.0,1.0,27.085879475206,27.304313987103,26.917089170558,27.234812096954002,641736.0
2017-09-07,27.24,27.33,27.02,27.33,435707.0,0.0,1.0,27.046164109406,27.135523682455002,26.827729597509,27.135523682455002,435707.0
2017-09-06,27.37,27.5,27.15,27.18,809430.0,0.0,1.0,27.175239048254,27.304313987103,26.956804536358,26.986591060707003,809430.0
2017-09-05,27.25,27.33,27.06,27.3,731978.0,0.0,1.0,27.056092950855998,27.135523682455002,26.867444963309,27.105737158105,731978.0
2017-09-01,27.1,27.24,26.99,27.19,425843.0,0.0,1.0,26.907160329108,27.046164109406,26.79794307316,26.996519902157,425843.0
2017-08-31,26.91,27.08,26.87,27.04,516296.0,0.0,1.0,26.718512341561,26.887302646209,26.678796975762,26.847587280409,516296.0
2017-08-30,26.68,26.84,26.66,26.84,561136.0,0.0,1.0,26.490148988214003,26.649010451412,26.470291305314998,26.649010451412,561136.0
2017-08-29,26.7,26.848000000000003,26.53,26.72,494348.0,0.0,1.0,26.510006671114002,26.656953524572,26.341216366467,26.529864354014002,494348.0
