Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,7.53,7.59,7.45,7.55,4144444.0,0.0,1.0,7.53,7.59,7.45,7.55,4144444.0
2018-03-26,7.5,7.54,7.44,7.51,4266177.0,0.0,1.0,7.5,7.54,7.44,7.51,4266177.0
2018-03-23,7.48,7.51,7.42,7.43,1873556.0,0.0,1.0,7.48,7.51,7.42,7.43,1873556.0
2018-03-22,7.45,7.55,7.43,7.45,3453983.0,0.0,1.0,7.45,7.55,7.43,7.45,3453983.0
2018-03-21,7.47,7.515,7.44,7.46,3151048.0,0.0,1.0,7.47,7.515,7.44,7.46,3151048.0
2018-03-20,7.53,7.57,7.48,7.48,1554066.0,0.0,1.0,7.53,7.57,7.48,7.48,1554066.0
2018-03-19,7.62,7.63,7.47,7.51,3530480.0,0.0,1.0,7.62,7.63,7.47,7.51,3530480.0
2018-03-16,7.57,7.67,7.55,7.64,2474950.0,0.0,1.0,7.57,7.67,7.55,7.64,2474950.0
2018-03-15,7.64,7.65,7.5,7.57,2263340.0,0.0,1.0,7.64,7.65,7.5,7.57,2263340.0
2018-03-14,7.64,7.72,7.64,7.64,2531065.0,0.0,1.0,7.64,7.72,7.64,7.64,2531065.0
2018-03-13,7.67,7.67,7.59,7.63,2293722.0,0.0,1.0,7.67,7.67,7.59,7.63,2293722.0
2018-03-12,7.53,7.68,7.53,7.63,3621336.0,0.0,1.0,7.53,7.68,7.53,7.63,3621336.0
2018-03-09,7.46,7.51,7.41,7.5,1961134.0,0.0,1.0,7.46,7.51,7.41,7.5,1961134.0
2018-03-08,7.44,7.49,7.41,7.46,2321783.0,0.0,1.0,7.44,7.49,7.41,7.46,2321783.0
2018-03-07,7.39,7.47,7.39,7.43,1711804.0,0.0,1.0,7.39,7.47,7.39,7.43,1711804.0
2018-03-06,7.39,7.42,7.34,7.41,3662650.0,0.0,1.0,7.39,7.42,7.34,7.41,3662650.0
2018-03-05,7.21,7.4,7.2,7.38,2214035.0,0.0,1.0,7.21,7.4,7.2,7.38,2214035.0
2018-03-02,7.1,7.24,7.1,7.22,2023627.0,0.0,1.0,7.1,7.24,7.1,7.22,2023627.0
2018-03-01,7.13,7.25,7.09,7.14,2105233.0,0.0,1.0,7.13,7.25,7.09,7.14,2105233.0
2018-02-28,7.23,7.27,7.11,7.12,2527605.0,0.0,1.0,7.23,7.27,7.11,7.12,2527605.0
2018-02-27,7.38,7.42,7.2,7.23,2653685.0,0.0,1.0,7.38,7.42,7.2,7.23,2653685.0
2018-02-26,7.39,7.415,7.31,7.39,2215906.0,0.0,1.0,7.39,7.415,7.31,7.39,2215906.0
2018-02-23,7.32,7.445,7.27,7.35,2921215.0,0.0,1.0,7.32,7.445,7.27,7.35,2921215.0
2018-02-22,7.33,7.37,7.26,7.27,2441435.0,0.0,1.0,7.33,7.37,7.26,7.27,2441435.0
2018-02-21,7.3,7.43,7.275,7.3,2935708.0,0.0,1.0,7.3,7.43,7.275,7.3,2935708.0
2018-02-20,7.41,7.45,7.24,7.28,3980369.0,0.0,1.0,7.41,7.45,7.24,7.28,3980369.0
2018-02-16,7.4,7.5,7.33,7.42,3668304.0,0.0,1.0,7.4,7.5,7.33,7.42,3668304.0
2018-02-15,7.27,7.44,7.16,7.38,4276743.0,0.0,1.0,7.27,7.44,7.16,7.38,4276743.0
2018-02-14,7.01,7.13,7.01,7.12,3147655.0,0.0,1.0,7.01,7.13,7.01,7.12,3147655.0
2018-02-13,6.99,7.05,6.93,7.03,3036801.0,0.0,1.0,6.99,7.05,6.93,7.03,3036801.0
2018-02-12,6.96,7.01,6.91,7.0,3996751.0,0.0,1.0,6.96,7.01,6.91,7.0,3996751.0
2018-02-09,6.96,6.985,6.83,6.93,4145944.0,0.0,1.0,6.96,6.985,6.83,6.93,4145944.0
2018-02-08,6.98,7.03,6.93,6.93,4817949.0,0.0,1.0,6.98,7.03,6.93,6.93,4817949.0
2018-02-07,6.93,7.08,6.93,6.95,3481774.0,0.0,1.0,6.93,7.08,6.93,6.95,3481774.0
2018-02-06,6.75,7.0,6.72,6.94,5979981.0,0.0,1.0,6.75,7.0,6.72,6.94,5979981.0
2018-02-05,6.95,7.0,6.76,6.83,5611817.0,0.0,1.0,6.95,7.0,6.76,6.83,5611817.0
2018-02-02,7.13,7.1498,6.98,6.99,5234338.0,0.0,1.0,7.13,7.1498,6.98,6.99,5234338.0
2018-02-01,7.15,7.29,7.13,7.14,3215077.0,0.0,1.0,7.15,7.29,7.13,7.14,3215077.0
2018-01-31,7.35,7.355,7.095,7.16,4576608.0,0.0,1.0,7.35,7.355,7.095,7.16,4576608.0
2018-01-30,7.16,7.33,7.12,7.29,5447356.0,0.0,1.0,7.16,7.33,7.12,7.29,5447356.0
2018-01-29,7.41,7.43,7.16,7.2,5676057.0,0.0,1.0,7.41,7.43,7.16,7.2,5676057.0
2018-01-26,7.51,7.52,7.42,7.43,2204086.0,0.0,1.0,7.51,7.52,7.42,7.43,2204086.0
