Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,22.32,22.37,21.24,21.39,6952402.0,0.0,1.0,22.32,22.37,21.24,21.39,6952402.0
2018-03-26,21.97,22.37,21.749000000000002,22.21,6093877.0,0.0,1.0,21.97,22.37,21.749000000000002,22.21,6093877.0
2018-03-23,22.16,22.36,21.47,21.48,6685921.0,0.0,1.0,22.16,22.36,21.47,21.48,6685921.0
2018-03-22,22.64,22.945,22.05,22.06,6603402.0,0.0,1.0,22.64,22.945,22.05,22.06,6603402.0
2018-03-21,23.04,23.38,22.92,23.0,5821881.0,0.0,1.0,23.04,23.38,22.92,23.0,5821881.0
2018-03-20,22.9,23.27,22.8,23.12,7281588.0,0.0,1.0,22.9,23.27,22.8,23.12,7281588.0
2018-03-19,22.93,23.275,22.55,22.82,11332605.0,0.0,1.0,22.93,23.275,22.55,22.82,11332605.0
2018-03-16,23.35,23.45,23.05,23.18,6661161.0,0.0,1.0,23.35,23.45,23.05,23.18,6661161.0
2018-03-15,23.52,23.77,23.02,23.19,10763929.0,0.0,1.0,23.52,23.77,23.02,23.19,10763929.0
2018-03-14,23.0,23.46,22.47,23.4,19325236.0,0.0,1.0,23.0,23.46,22.47,23.4,19325236.0
2018-03-13,24.1,24.535,22.8,22.94,22288298.0,0.0,1.0,24.1,24.535,22.8,22.94,22288298.0
2018-03-12,24.56,24.63,23.67,24.37,17546989.0,0.0,1.0,24.56,24.63,23.67,24.37,17546989.0
2018-03-09,24.21,25.18,23.85,24.34,17112897.0,0.0,1.0,24.21,25.18,23.85,24.34,17112897.0
2018-03-08,23.9,24.42,23.615,24.32,16053342.0,0.0,1.0,23.9,24.42,23.615,24.32,16053342.0
2018-03-07,23.5,23.85,23.3272,23.69,14781090.0,0.0,1.0,23.5,23.85,23.3272,23.69,14781090.0
2018-03-06,23.55,23.68,23.27,23.57,7222934.0,0.0,1.0,23.55,23.68,23.27,23.57,7222934.0
2018-03-05,23.22,23.6,23.01,23.49,6061332.0,0.0,1.0,23.22,23.6,23.01,23.49,6061332.0
2018-03-02,23.0,23.52,22.77,23.42,5972125.0,0.0,1.0,23.0,23.52,22.77,23.42,5972125.0
2018-03-01,23.57,23.75,23.01,23.31,4287391.0,0.0,1.0,23.57,23.75,23.01,23.31,4287391.0
2018-02-28,23.47,23.82,23.25,23.49,6530152.0,0.0,1.0,23.47,23.82,23.25,23.49,6530152.0
2018-02-27,23.54,23.95,23.375,23.38,6949811.0,0.0,1.0,23.54,23.95,23.375,23.38,6949811.0
2018-02-26,23.32,23.53,23.21,23.46,3657718.0,0.0,1.0,23.32,23.53,23.21,23.46,3657718.0
2018-02-23,23.3,23.36,23.005,23.25,3997046.0,0.0,1.0,23.3,23.36,23.005,23.25,3997046.0
2018-02-22,23.23,23.84,22.99,23.13,6838545.0,0.0,1.0,23.23,23.84,22.99,23.13,6838545.0
2018-02-21,23.27,23.57,22.96,23.19,6994863.0,0.0,1.0,23.27,23.57,22.96,23.19,6994863.0
2018-02-20,22.72,23.4,22.53,23.2,6043975.0,0.0,1.0,22.72,23.4,22.53,23.2,6043975.0
2018-02-16,22.65,22.91,22.43,22.68,4878044.0,0.0,1.0,22.65,22.91,22.43,22.68,4878044.0
2018-02-15,22.55,22.93,22.43,22.74,6600369.0,0.0,1.0,22.55,22.93,22.43,22.74,6600369.0
2018-02-14,22.15,22.435,22.0,22.26,6552982.0,0.0,1.0,22.15,22.435,22.0,22.26,6552982.0
2018-02-13,21.85,22.36,21.64,22.35,10941999.0,0.0,1.0,21.85,22.36,21.64,22.35,10941999.0
2018-02-12,21.48,22.04,21.39,21.92,6604899.0,0.0,1.0,21.48,22.04,21.39,21.92,6604899.0
2018-02-09,21.05,21.45,20.54,21.3,9623899.0,0.0,1.0,21.05,21.45,20.54,21.3,9623899.0
2018-02-08,21.44,21.53,20.37,20.78,11152299.0,0.0,1.0,21.44,21.53,20.37,20.78,11152299.0
2018-02-07,21.58,21.95,21.21,21.33,8328009.0,0.0,1.0,21.58,21.95,21.21,21.33,8328009.0
2018-02-06,20.87,21.83,20.51,21.7,12352205.0,0.0,1.0,20.87,21.83,20.51,21.7,12352205.0
2018-02-05,22.14,22.56,21.31,21.445,8036884.0,0.0,1.0,22.14,22.56,21.31,21.445,8036884.0
2018-02-02,22.38,22.59,21.87,22.43,9559744.0,0.0,1.0,22.38,22.59,21.87,22.43,9559744.0
2018-02-01,23.11,23.45,22.53,22.6,7771085.0,0.0,1.0,23.11,23.45,22.53,22.6,7771085.0
2018-01-31,23.34,23.54,23.26,23.33,10977251.0,0.0,1.0,23.34,23.54,23.26,23.33,10977251.0
2018-01-30,23.05,23.37,22.9252,23.12,3874471.0,0.0,1.0,23.05,23.37,22.9252,23.12,3874471.0
2018-01-29,23.37,23.49,23.24,23.45,6752378.0,0.0,1.0,23.37,23.49,23.24,23.45,6752378.0
2018-01-26,23.23,23.46,23.16,23.39,6024358.0,0.0,1.0,23.23,23.46,23.16,23.39,6024358.0
2018-01-25,23.59,23.605,22.97,23.01,8772509.0,0.0,1.0,23.59,23.605,22.97,23.01,8772509.0
2018-01-24,23.36,23.545,22.75,23.3,9248892.0,0.0,1.0,23.36,23.545,22.75,23.3,9248892.0
2018-01-23,23.68,23.81,23.28,23.53,10748095.0,0.0,1.0,23.68,23.81,23.28,23.53,10748095.0
2018-01-22,23.76,23.81,23.52,23.62,3580707.0,0.0,1.0,23.76,23.81,23.52,23.62,3580707.0
2018-01-19,23.84,23.9,23.64,23.68,7503114.0,0.0,1.0,23.84,23.9,23.64,23.68,7503114.0
2018-01-18,23.63,23.9,23.6,23.69,8393657.0,0.0,1.0,23.63,23.9,23.6,23.69,8393657.0
2018-01-17,23.65,23.86,23.48,23.59,7046457.0,0.0,1.0,23.65,23.86,23.48,23.59,7046457.0
2018-01-16,24.07,24.07,23.465,23.58,10461441.0,0.0,1.0,24.07,24.07,23.465,23.58,10461441.0
2018-01-12,23.14,24.21,23.13,23.83,18413398.0,0.0,1.0,23.14,24.21,23.13,23.83,18413398.0
2018-01-11,23.25,23.25,22.85,23.15,5144610.0,0.0,1.0,23.25,23.25,22.85,23.15,5144610.0
2018-01-10,22.83,23.215,22.6,23.14,8995383.0,0.0,1.0,22.83,23.215,22.6,23.14,8995383.0
2018-01-09,23.28,23.31,22.99,23.15,9496445.0,0.0,1.0,23.28,23.31,22.99,23.15,9496445.0
2018-01-08,22.97,23.24,22.89,23.17,5486193.0,0.0,1.0,22.97,23.24,22.89,23.17,5486193.0
2018-01-05,23.5,23.64,23.0,23.0,5809044.0,0.0,1.0,23.5,23.64,23.0,23.0,5809044.0
2018-01-04,22.97,23.47,22.8275,23.41,9173866.0,0.0,1.0,22.97,23.47,22.8275,23.41,9173866.0
2018-01-03,22.29,22.95,22.23,22.89,8931339.0,0.0,1.0,22.29,22.95,22.23,22.89,8931339.0
2018-01-02,21.66,22.35,21.41,22.2,5601128.0,0.0,1.0,21.66,22.35,21.41,22.2,5601128.0
2017-12-29,21.99,21.99,21.47,21.47,4147670.0,0.0,1.0,21.99,21.99,21.47,21.47,4147670.0
2017-12-28,22.05,22.15,21.81,21.89,3450877.0,0.0,1.0,22.05,22.15,21.81,21.89,3450877.0
2017-12-27,21.8,22.115,21.72,22.05,4033832.0,0.0,1.0,21.8,22.115,21.72,22.05,4033832.0
2017-12-26,21.81,21.98,21.66,21.84,3656199.0,0.0,1.0,21.81,21.98,21.66,21.84,3656199.0
2017-12-22,22.0,22.21,21.91,22.01,5212316.0,0.0,1.0,22.0,22.21,21.91,22.01,5212316.0
2017-12-21,22.39,22.39,21.97,22.05,5500745.0,0.0,1.0,22.39,22.39,21.97,22.05,5500745.0
2017-12-20,22.55,22.57,22.09,22.31,4182775.0,0.0,1.0,22.55,22.57,22.09,22.31,4182775.0
2017-12-19,22.32,22.42,22.015,22.37,5582351.0,0.0,1.0,22.32,22.42,22.015,22.37,5582351.0
2017-12-18,21.72,22.36,21.6,22.16,7535097.0,0.0,1.0,21.72,22.36,21.6,22.16,7535097.0
2017-12-15,21.71,21.8304,21.4239,21.64,7899946.0,0.0,1.0,21.71,21.8304,21.4239,21.64,7899946.0
2017-12-14,21.87,22.035,21.57,21.65,7990888.0,0.0,1.0,21.87,22.035,21.57,21.65,7990888.0
2017-12-13,22.31,22.52,21.77,21.83,6191792.0,0.0,1.0,22.31,22.52,21.77,21.83,6191792.0
2017-12-12,22.0,22.25,21.94,22.19,4553205.0,0.0,1.0,22.0,22.25,21.94,22.19,4553205.0
2017-12-11,22.02,22.33,21.98,22.05,5067415.0,0.0,1.0,22.02,22.33,21.98,22.05,5067415.0
2017-12-08,22.04,22.19,21.85,22.04,6726082.0,0.0,1.0,22.04,22.19,21.85,22.04,6726082.0
2017-12-07,22.1,22.28,21.805,22.0,6321124.0,0.0,1.0,22.1,22.28,21.805,22.0,6321124.0
2017-12-06,21.8,21.96,21.6,21.82,6269473.0,0.0,1.0,21.8,21.96,21.6,21.82,6269473.0
2017-12-05,22.21,22.65,21.78,21.97,7114378.0,0.0,1.0,22.21,22.65,21.78,21.97,7114378.0
2017-12-04,22.43,22.615,21.88,22.3,10638351.0,0.0,1.0,22.43,22.615,21.88,22.3,10638351.0
