Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,91.95,92.0799,88.82,89.4,284736.0,0.0,1.0,91.95,92.0799,88.82,89.4,284736.0
2018-03-26,90.65,91.78,90.35,91.47,810240.0,0.0,1.0,90.65,91.78,90.35,91.47,810240.0
2018-03-23,91.89,92.34,89.39,89.49,416024.0,0.0,1.0,91.89,92.34,89.39,89.49,416024.0
2018-03-22,92.72,93.79,91.4,91.48,493850.0,0.0,1.0,92.72,93.79,91.4,91.48,493850.0
2018-03-21,93.67,94.47,92.86,93.49,430262.0,0.0,1.0,93.67,94.47,92.86,93.49,430262.0
2018-03-20,93.98,95.47,92.8,93.58,516937.0,0.0,1.0,93.98,95.47,92.8,93.58,516937.0
2018-03-19,96.16,96.27,92.54,93.79,626204.0,0.0,1.0,96.16,96.27,92.54,93.79,626204.0
2018-03-16,93.69,96.35,92.03,95.63,1368161.0,0.0,1.0,93.69,96.35,92.03,95.63,1368161.0
2018-03-15,95.3,96.56,94.1,94.3,731385.0,0.0,1.0,95.3,96.56,94.1,94.3,731385.0
2018-03-14,94.52,96.16,94.245,95.39,883500.0,0.0,1.0,94.52,96.16,94.245,95.39,883500.0
2018-03-13,94.05,94.51,92.81,93.75,567926.0,0.0,1.0,94.05,94.51,92.81,93.75,567926.0
2018-03-12,93.67,94.76,93.31,93.42,958375.0,0.0,1.0,93.67,94.76,93.31,93.42,958375.0
2018-03-09,92.17,93.665,91.98,93.4,427422.0,0.0,1.0,92.17,93.665,91.98,93.4,427422.0
2018-03-08,91.82,92.11,90.56,91.66,361448.0,0.0,1.0,91.82,92.11,90.56,91.66,361448.0
2018-03-07,89.65,91.53,88.99,91.31,790399.0,0.0,1.0,89.65,91.53,88.99,91.31,790399.0
2018-03-06,88.52,90.84,88.22,90.39,527961.0,0.0,1.0,88.52,90.84,88.22,90.39,527961.0
2018-03-05,86.6,88.43,86.22,88.01,383419.0,0.0,1.0,86.6,88.43,86.22,88.01,383419.0
2018-03-02,85.76,87.275,84.8401,86.91,488078.0,0.0,1.0,85.76,87.275,84.8401,86.91,488078.0
2018-03-01,87.54,88.3,85.76,86.52,466338.0,0.0,1.0,87.54,88.3,85.76,86.52,466338.0
2018-02-28,89.24,89.66,87.46,87.48,357163.0,0.0,1.0,89.24,89.66,87.46,87.48,357163.0
2018-02-27,89.94,90.705,88.69,88.92,431718.0,0.0,1.0,89.94,90.705,88.69,88.92,431718.0
2018-02-26,89.23,90.14,88.17,89.86,535436.0,0.0,1.0,89.23,90.14,88.17,89.86,535436.0
2018-02-23,88.41,88.94,87.57,88.82,293249.0,0.0,1.0,88.41,88.94,87.57,88.82,293249.0
2018-02-22,89.14,89.39,87.58,87.76,543379.0,0.0,1.0,89.14,89.39,87.58,87.76,543379.0
2018-02-21,88.54,89.82,88.52,88.53,373390.0,0.0,1.0,88.54,89.82,88.52,88.53,373390.0
2018-02-20,88.12,88.96,87.72,88.3,426272.0,0.0,1.0,88.12,88.96,87.72,88.3,426272.0
2018-02-16,89.27,90.41,88.53,88.72,384222.0,0.0,1.0,89.27,90.41,88.53,88.72,384222.0
2018-02-15,89.32,89.7899,87.25,89.35,664199.0,0.0,1.0,89.32,89.7899,87.25,89.35,664199.0
2018-02-14,87.99,88.69,87.38,88.58,793428.0,0.0,1.0,87.99,88.69,87.38,88.58,793428.0
2018-02-13,87.93,88.82,87.36,88.63,458439.0,0.0,1.0,87.93,88.82,87.36,88.63,458439.0
2018-02-12,89.75,90.18,87.83,88.46,670684.0,0.0,1.0,89.75,90.18,87.83,88.46,670684.0
2018-02-09,89.19,90.12,86.69,89.21,1078289.0,0.0,1.0,89.19,90.12,86.69,89.21,1078289.0
