Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,184.8,185.39,178.99,180.33,510319.0,0.0,1.0,184.8,185.39,178.99,180.33,510319.0
2018-03-26,180.89,184.915,179.83,184.24,755058.0,0.0,1.0,180.89,184.915,179.83,184.24,755058.0
2018-03-23,182.45,183.71,177.01,177.51,945765.0,0.0,1.0,182.45,183.71,177.01,177.51,945765.0
2018-03-22,186.69,189.08,182.35,182.45,900974.0,0.0,1.0,186.69,189.08,182.35,182.45,900974.0
2018-03-21,189.22,192.15,188.22,189.65,410869.0,0.0,1.0,189.22,192.15,188.22,189.65,410869.0
2018-03-20,190.35,191.09,188.08,188.69,473987.0,0.0,1.0,190.35,191.09,188.08,188.69,473987.0
2018-03-19,190.39,190.97,187.09,189.29,590160.0,0.0,1.0,190.39,190.97,187.09,189.29,590160.0
2018-03-16,190.36,192.35,190.26,190.37,1281442.0,0.0,1.0,190.36,192.35,190.26,190.37,1281442.0
2018-03-15,191.26,191.69,189.35,190.33,357593.0,0.0,1.0,191.26,191.69,189.35,190.33,357593.0
2018-03-14,194.12,194.35,189.525,190.31,472058.0,0.0,1.0,194.12,194.35,189.525,190.31,472058.0
2018-03-13,196.26,196.295,192.47,193.05,401542.0,0.0,1.0,196.26,196.295,192.47,193.05,401542.0
2018-03-12,196.28,197.35,194.08,194.91,631008.0,0.0,1.0,196.28,197.35,194.08,194.91,631008.0
2018-03-09,196.28,196.86,194.44,196.81,780775.0,0.0,1.0,196.28,196.86,194.44,196.81,780775.0
2018-03-08,196.0,196.0,191.78,194.69,435426.0,0.0,1.0,196.0,196.0,191.78,194.69,435426.0
2018-03-07,194.04,195.44,191.86,195.19,594452.0,0.0,1.0,194.04,195.44,191.86,195.19,594452.0
2018-03-06,194.08,195.74,191.83,195.34,513351.0,0.0,1.0,194.08,195.74,191.83,195.34,513351.0
2018-03-05,188.94,195.25,186.145,193.75,663829.0,0.0,1.0,188.94,195.25,186.145,193.75,663829.0
2018-03-02,187.28,191.45,185.8003,190.98,654643.0,0.0,1.0,187.28,191.45,185.8003,190.98,654643.0
2018-03-01,190.6,191.99,187.235,188.85,832222.0,0.0,1.0,190.6,191.99,187.235,188.85,832222.0
2018-02-28,192.59,195.58,189.84,189.84,742806.0,0.0,1.0,192.59,195.58,189.84,189.84,742806.0
2018-02-27,195.67,197.37,192.19,192.19,506444.0,0.0,1.0,195.67,197.37,192.19,192.19,506444.0
2018-02-26,194.48,195.6,192.92,195.32,657996.0,0.0,1.0,194.48,195.6,192.92,195.32,657996.0
2018-02-23,190.26,193.68,189.985,193.51,518651.0,0.0,1.0,190.26,193.68,189.985,193.51,518651.0
2018-02-22,194.14,194.45,188.79,189.5,627846.0,0.0,1.0,194.14,194.45,188.79,189.5,627846.0
2018-02-21,191.03,196.64,190.91,192.82,826275.0,0.0,1.0,191.03,196.64,190.91,192.82,826275.0
2018-02-20,190.6,193.43,190.28,190.64,696031.0,0.0,1.0,190.6,193.43,190.28,190.64,696031.0
2018-02-16,189.92,194.24,189.92,191.64,792211.0,0.0,1.0,189.92,194.24,189.92,191.64,792211.0
2018-02-15,192.52,193.0,189.78,191.1,661490.0,0.0,1.0,192.52,193.0,189.78,191.1,661490.0
2018-02-14,185.15,192.3,184.92,191.98,759180.0,0.0,1.0,185.15,192.3,184.92,191.98,759180.0
2018-02-13,183.34,187.29,183.2,186.15,661761.0,0.0,1.0,183.34,187.29,183.2,186.15,661761.0
2018-02-12,183.42,187.37,181.2,184.75,770644.0,0.0,1.0,183.42,187.37,181.2,184.75,770644.0
2018-02-09,180.65,183.98,177.0,182.62,810409.0,0.0,1.0,180.65,183.98,177.0,182.62,810409.0
2018-02-08,185.2,185.625,178.23,178.35,940239.0,0.0,1.0,185.2,185.625,178.23,178.35,940239.0
2018-02-07,183.83,187.35,183.53,184.97,512071.0,0.0,1.0,183.83,187.35,183.53,184.97,512071.0
2018-02-06,175.31,188.36,175.31,185.06,1388418.0,0.0,1.0,175.31,188.36,175.31,185.06,1388418.0
2018-02-05,187.43,188.67,179.09,179.81,986984.0,0.0,1.0,187.43,188.67,179.09,179.81,986984.0
2018-02-02,192.0,193.85,188.7,189.2,562991.0,0.0,1.0,192.0,193.85,188.7,189.2,562991.0
2018-02-01,190.17,192.91,188.39,192.85,571477.0,0.0,1.0,190.17,192.91,188.39,192.85,571477.0
2018-01-31,190.54,192.675,189.84,190.78,626424.0,0.0,1.0,190.54,192.675,189.84,190.78,626424.0
2018-01-30,188.56,191.2,187.865,190.57,608463.0,0.0,1.0,188.56,191.2,187.865,190.57,608463.0
2018-01-29,189.75,191.93,189.57,189.79,623597.0,0.0,1.0,189.75,191.93,189.57,189.79,623597.0
2018-01-26,188.3,189.45,187.07,189.37,420270.0,0.0,1.0,188.3,189.45,187.07,189.37,420270.0
2018-01-25,190.06,190.06,187.26,187.66,581102.0,0.0,1.0,190.06,190.06,187.26,187.66,581102.0
2018-01-24,189.62,190.07,188.12,189.46,516899.0,0.0,1.0,189.62,190.07,188.12,189.46,516899.0
2018-01-23,187.35,190.1,187.26,188.83,930668.0,0.0,1.0,187.35,190.1,187.26,188.83,930668.0
2018-01-22,188.0,188.98,186.78,188.76,627180.0,0.0,1.0,188.0,188.98,186.78,188.76,627180.0
2018-01-19,187.43,188.85,186.7,188.78,745069.0,0.0,1.0,187.43,188.85,186.7,188.78,745069.0
2018-01-18,180.0,188.7,179.2,186.15,1396978.0,0.0,1.0,180.0,188.7,179.2,186.15,1396978.0
2018-01-17,178.5,179.61,175.6,179.21,822141.0,0.0,1.0,178.5,179.61,175.6,179.21,822141.0
2018-01-16,179.18,179.82,176.84,177.78,567259.0,0.0,1.0,179.18,179.82,176.84,177.78,567259.0
2018-01-12,178.68,179.49,177.61,178.52,439557.0,0.0,1.0,178.68,179.49,177.61,178.52,439557.0
2018-01-11,177.33,178.2,176.04,177.99,340390.0,0.0,1.0,177.33,178.2,176.04,177.99,340390.0
2018-01-10,175.25,178.42,174.92,176.75,547234.0,0.0,1.0,175.25,178.42,174.92,176.75,547234.0
2018-01-09,173.39,176.57,173.21,174.91,537489.0,0.0,1.0,173.39,176.57,173.21,174.91,537489.0
2018-01-08,172.64,172.92,171.73,172.42,468289.0,0.0,1.0,172.64,172.92,171.73,172.42,468289.0
2018-01-05,174.46,176.5,171.79,172.82,530543.0,0.0,1.0,174.46,176.5,171.79,172.82,530543.0
2018-01-04,173.4,176.71,173.05,173.44,624994.0,0.0,1.0,173.4,176.71,173.05,173.44,624994.0
2018-01-03,171.01,173.555,170.38,173.11,421752.0,0.0,1.0,171.01,173.555,170.38,173.11,421752.0
2018-01-02,172.48,172.9,170.0,171.19,424005.0,0.0,1.0,172.48,172.9,170.0,171.19,424005.0
2017-12-29,172.48,173.07,170.94,170.99,376835.0,0.0,1.0,172.48,173.07,170.94,170.99,376835.0
2017-12-28,171.78,172.33,171.27,172.29,224174.0,0.0,1.0,171.78,172.33,171.27,172.29,224174.0
2017-12-27,172.34,172.34,170.66,171.57,248261.0,0.0,1.0,172.34,172.34,170.66,171.57,248261.0
2017-12-26,173.26,173.91,171.09,171.99,306857.0,0.0,1.0,173.26,173.91,171.09,171.99,306857.0
2017-12-22,174.39,174.51,171.78,173.07,332223.0,0.0,1.0,174.39,174.51,171.78,173.07,332223.0
2017-12-21,173.11,174.68,172.7,173.59,439710.0,0.0,1.0,173.11,174.68,172.7,173.59,439710.0
2017-12-20,174.19,175.79,171.96,172.53,592430.0,0.0,1.0,174.19,175.79,171.96,172.53,592430.0
2017-12-19,174.16,175.25,173.2025,173.9,509356.0,0.0,1.0,174.16,175.25,173.2025,173.9,509356.0
2017-12-18,172.63,174.13,172.27,173.86,616056.0,0.0,1.0,172.63,174.13,172.27,173.86,616056.0
2017-12-15,170.16,172.63,169.43,170.9,1470298.0,0.0,1.0,170.16,172.63,169.43,170.9,1470298.0
2017-12-14,170.48,171.7,168.55,169.04,477801.0,0.0,1.0,170.48,171.7,168.55,169.04,477801.0
2017-12-13,172.73,173.77,170.74,171.02,509840.0,0.0,1.0,172.73,173.77,170.74,171.02,509840.0
2017-12-12,171.82,173.47,171.025,172.49,945808.0,0.0,1.0,171.82,173.47,171.025,172.49,945808.0
2017-12-11,171.61,171.79,169.42,170.51,656334.0,0.0,1.0,171.61,171.79,169.42,170.51,656334.0
2017-12-08,171.95,172.02200000000002,170.25,171.72,398846.0,0.0,1.0,171.95,172.02200000000002,170.25,171.72,398846.0
2017-12-07,169.25,171.59,168.31,171.07,463754.0,0.0,1.0,169.25,171.59,168.31,171.07,463754.0
2017-12-06,169.89,171.22,169.15,169.51,436789.0,0.0,1.0,169.89,171.22,169.15,169.51,436789.0
2017-12-05,172.82,173.57,169.97,170.43,598014.0,0.0,1.0,172.82,173.57,169.97,170.43,598014.0
2017-12-04,172.07,176.62,171.435,172.25,846643.0,0.0,1.0,172.07,176.62,171.435,172.25,846643.0
2017-12-01,169.59,169.99,163.27,169.47,699154.0,0.0,1.0,169.59,169.99,163.27,169.47,699154.0
2017-11-30,169.03,171.89,168.1,168.95,1060923.0,0.0,1.0,169.03,171.89,168.1,168.95,1060923.0
2017-11-29,165.0,170.675,165.0,169.11,764823.0,0.0,1.0,165.0,170.675,165.0,169.11,764823.0
2017-11-28,159.94,164.63,159.45,164.34,753652.0,0.0,1.0,159.94,164.63,159.45,164.34,753652.0
2017-11-27,159.08,160.365,158.56,159.5,346557.0,0.0,1.0,159.08,160.365,158.56,159.5,346557.0
2017-11-24,160.59,160.82,158.95,159.14,180748.0,0.0,1.0,160.59,160.82,158.95,159.14,180748.0
2017-11-22,160.5,161.29,159.28,159.92,388226.0,0.0,1.0,160.5,161.29,159.28,159.92,388226.0
2017-11-21,162.08,162.08,159.61,160.19,596034.0,0.0,1.0,162.08,162.08,159.61,160.19,596034.0
2017-11-20,160.73,161.63,160.37,161.61,289938.0,0.0,1.0,160.73,161.63,160.37,161.61,289938.0
2017-11-17,158.94,161.32,158.29,160.57,371381.0,0.0,1.0,158.94,161.32,158.29,160.57,371381.0
2017-11-16,161.73,162.78,159.75,159.87,514469.0,0.0,1.0,161.73,162.78,159.75,159.87,514469.0
2017-11-15,159.81,161.73,158.99,161.22,588314.0,0.0,1.0,159.81,161.73,158.99,161.22,588314.0
2017-11-14,158.58,161.19,158.58,160.71,488405.0,0.0,1.0,158.58,161.19,158.58,160.71,488405.0
2017-11-13,156.26,159.77,155.77,159.44,1084235.0,0.0,1.0,156.26,159.77,155.77,159.44,1084235.0
2017-11-10,158.6,159.28,157.06,157.1,672290.0,0.0,1.0,158.6,159.28,157.06,157.1,672290.0
2017-11-09,160.28,160.85,156.68,158.61,1108599.0,0.0,1.0,160.28,160.85,156.68,158.61,1108599.0
2017-11-07,168.96,169.47,162.67,162.88,948550.0,0.0,1.0,168.96,169.47,162.67,162.88,948550.0
2017-11-06,168.2,169.18,168.19,168.71,516435.0,0.0,1.0,168.2,169.18,168.19,168.71,516435.0
2017-11-03,168.26,169.37,167.44,168.76,704433.0,0.0,1.0,168.26,169.37,167.44,168.76,704433.0
2017-11-02,167.32,169.41,166.39,169.03,541719.0,0.0,1.0,167.32,169.41,166.39,169.03,541719.0
2017-11-01,167.63,168.83,166.86,167.28,626601.0,0.0,1.0,167.63,168.83,166.86,167.28,626601.0
2017-10-31,166.5,168.4,166.42,166.77,604359.0,0.0,1.0,166.5,168.4,166.42,166.77,604359.0
2017-10-30,167.02,168.12,166.28,166.9,558745.0,0.0,1.0,167.02,168.12,166.28,166.9,558745.0
2017-10-27,167.15,168.19,166.26,167.82,458836.0,0.0,1.0,167.15,168.19,166.26,167.82,458836.0
2017-10-26,166.72,168.22,165.53,167.6,689837.0,0.0,1.0,166.72,168.22,165.53,167.6,689837.0
2017-10-25,166.98,167.19,164.77,165.83,564522.0,0.0,1.0,166.98,167.19,164.77,165.83,564522.0
2017-10-24,165.32,167.2,165.05,165.75,696618.0,0.0,1.0,165.32,167.2,165.05,165.75,696618.0
2017-10-23,165.31,165.75,164.48,164.94,592848.0,0.0,1.0,165.31,165.75,164.48,164.94,592848.0
2017-10-20,164.36,166.35,163.83,165.2,993919.0,0.0,1.0,164.36,166.35,163.83,165.2,993919.0
2017-10-19,159.56,163.6,159.3,162.26,734634.0,0.0,1.0,159.56,163.6,159.3,162.26,734634.0
2017-10-18,163.44,163.9,159.68,160.62,1302519.0,0.0,1.0,163.44,163.9,159.68,160.62,1302519.0
2017-10-17,164.53,164.7,163.21,164.14,570768.0,0.0,1.0,164.53,164.7,163.21,164.14,570768.0
2017-10-16,163.1,164.46,163.1,164.22,728343.0,0.0,1.0,163.1,164.46,163.1,164.22,728343.0
2017-10-13,162.35,163.67,160.9,163.21,598795.0,0.0,1.0,162.35,163.67,160.9,163.21,598795.0
2017-10-12,163.25,164.5,162.7412,162.83,650450.0,0.0,1.0,163.25,164.5,162.7412,162.83,650450.0
2017-10-11,162.62,163.7124,161.695,163.15,386757.0,0.0,1.0,162.62,163.7124,161.695,163.15,386757.0
2017-10-10,161.09,163.3,161.09,163.16,526545.0,0.0,1.0,161.09,163.3,161.09,163.16,526545.0
2017-10-09,162.28,162.7639,160.77,161.17,337400.0,0.0,1.0,162.28,162.7639,160.77,161.17,337400.0
2017-10-06,161.96,162.82,160.73,162.08,446460.0,0.0,1.0,161.96,162.82,160.73,162.08,446460.0
2017-10-05,160.75,162.0,159.87,161.57,697728.0,0.0,1.0,160.75,162.0,159.87,161.57,697728.0
2017-10-04,161.0,161.68,160.01,160.69,429278.0,0.0,1.0,161.0,161.68,160.01,160.69,429278.0
2017-10-03,161.58,162.21,160.2645,161.31,391404.0,0.0,1.0,161.58,162.21,160.2645,161.31,391404.0
2017-10-02,161.17,161.67,159.32,161.39,673567.0,0.0,1.0,161.17,161.67,159.32,161.39,673567.0
2017-09-29,159.33,161.78,158.96,161.04,645566.0,0.0,1.0,159.33,161.78,158.96,161.04,645566.0
2017-09-28,158.1,159.26,156.39,159.22,820081.0,0.0,1.0,158.1,159.26,156.39,159.22,820081.0
2017-09-27,157.62,159.17,156.39,157.91,799775.0,0.0,1.0,157.62,159.17,156.39,157.91,799775.0
2017-09-26,155.29,155.55,153.97,155.44,641922.0,0.0,1.0,155.29,155.55,153.97,155.44,641922.0
2017-09-25,153.67,154.82,153.09,154.71,660479.0,0.0,1.0,153.67,154.82,153.09,154.71,660479.0
2017-09-22,154.18,154.33,153.21,153.82,494609.0,0.0,1.0,154.18,154.33,153.21,153.82,494609.0
2017-09-21,154.58,155.82,154.22,154.42,486087.0,0.0,1.0,154.58,155.82,154.22,154.42,486087.0
2017-09-20,153.06,155.13,151.68,154.56,673568.0,0.0,1.0,153.06,155.13,151.68,154.56,673568.0
2017-09-19,151.5,153.52,151.04,152.71,492905.0,0.0,1.0,151.5,153.52,151.04,152.71,492905.0
2017-09-18,150.63,152.42,150.15,151.67,689043.0,0.0,1.0,150.63,152.42,150.15,151.67,689043.0
2017-09-15,149.72,150.01,148.52,149.99,1546583.0,0.0,1.0,149.72,150.01,148.52,149.99,1546583.0
2017-09-14,150.43,150.98,149.6,149.92,1801806.0,0.0,1.0,150.43,150.98,149.6,149.92,1801806.0
2017-09-13,148.42,150.79,148.03,150.5,966446.0,0.0,1.0,148.42,150.79,148.03,150.5,966446.0
2017-09-12,147.17,149.65,146.74,149.02,833213.0,0.0,1.0,147.17,149.65,146.74,149.02,833213.0
2017-09-11,146.33,147.67,145.56,146.52,721982.0,0.0,1.0,146.33,147.67,145.56,146.52,721982.0
2017-09-08,142.36,144.73,142.17,144.07,718523.0,0.0,1.0,142.36,144.73,142.17,144.07,718523.0
2017-09-07,145.25,145.25,141.12,142.47,746323.0,0.0,1.0,145.25,145.25,141.12,142.47,746323.0
2017-09-06,146.46,146.83,144.59,145.16,469532.0,0.0,1.0,146.46,146.83,144.59,145.16,469532.0
2017-09-05,147.64,148.15,145.24,145.45,692885.0,0.0,1.0,147.64,148.15,145.24,145.45,692885.0
2017-09-01,148.66,150.38,148.1,149.0,797088.0,0.0,1.0,148.66,150.38,148.1,149.0,797088.0
2017-08-31,150.05,150.05,147.74,147.86,568208.0,0.0,1.0,150.05,150.05,147.74,147.86,568208.0
2017-08-30,149.75,150.3,149.03,149.29,653197.0,0.75,1.0,149.75,150.3,149.03,149.29,653197.0
2017-08-29,149.93,150.52,149.16,150.13,899358.0,0.0,1.0,149.18054985337,149.76760063983,148.41439882698,149.37955011997,899358.0
2017-08-28,154.04,154.485,151.28,152.0,478877.0,0.0,1.0,153.27000533191003,153.71278092509,150.52380165289,151.24020261264,478877.0
2017-08-25,153.31,154.51,153.31,153.8,487063.0,0.0,1.0,152.54365435884,153.73765595841002,152.54365435884,153.03120501200002,487063.0
2017-08-24,153.54,153.63,152.57,152.83,405487.0,0.0,1.0,152.77250466542,152.86205478539,151.80735337243,152.06605371901,405487.0
2017-08-23,152.53,154.62,152.42,153.21,469248.0,0.0,1.0,151.76755331911002,153.84710610503998,151.65810317248997,152.44415422554,469248.0
2017-08-22,152.97,153.78,152.3,153.6,457388.0,0.0,1.0,152.20535390563,153.01130498534,151.53870301253,152.83220474540002,457388.0
2017-08-21,153.46,153.46,151.79,152.49,581365.0,0.0,1.0,152.69290455878001,152.69290455878001,151.03125233271,151.7277532658,581365.0
2017-08-18,153.04,154.79,152.04,153.43,617086.0,0.0,1.0,152.27500399893,154.01625633164,151.28000266596,152.66305451879,617086.0
2017-08-17,158.21,158.46,153.69,153.87,499742.0,0.0,1.0,157.41916089043002,157.66791122367,152.92175486537,153.10085510531,499742.0
2017-08-16,159.12,159.74,158.14,158.6,415894.0,0.0,1.0,158.32461210344,158.94151292989,157.34951079712,157.80721141029,415894.0
2017-08-15,160.11,160.72,158.39,158.5,390028.0,0.0,1.0,159.30966342308997,159.91661423620002,157.59826113037,157.70771127698998,390028.0
2017-08-14,157.88,159.7557,157.88,159.09,378099.0,0.0,1.0,157.09081045055,158.95713445081,157.09081045055,158.29476206344998,378099.0
2017-08-11,159.4,160.15,156.03,156.6,631328.0,0.0,1.0,158.60321247667,159.34946347641,155.25005798453998,155.81720874433,631328.0
2017-08-10,162.0,162.6284,158.62,158.72,803634.0,0.0,1.0,161.19021594242,161.81547478006001,157.82711143695,157.92661157025,803634.0
2017-08-09,163.33,164.36,162.4301,163.0,761120.0,0.0,1.0,162.51356771528,163.53841908824,161.61816601573,162.18521727539,761120.0
2017-08-08,163.3,166.7,163.2,164.37,570610.0,0.0,1.0,162.48371767529,165.86672220741002,162.38421754198998,163.54836910157,570610.0
2017-08-07,163.34,164.61,162.73,163.62,479820.0,0.0,1.0,162.52351772861,163.78716942148998,161.91656691549,162.80211810184,479820.0
2017-08-04,163.99,165.21,163.12,163.58,678962.0,0.0,1.0,163.17026859504,164.38417022126998,162.30461743535,162.76231804852,678962.0
2017-08-03,164.64,164.88,163.1,163.79,607814.0,0.0,1.0,163.81701946148002,164.05581978139,162.28471740869,162.97126832844998,607814.0
2017-08-02,164.19,164.94,163.59,164.92,436949.0,0.0,1.0,163.36926886164,164.11551986137,162.77226806184999,164.09561983471,436949.0
2017-08-01,163.88,165.14,163.44,164.66,947054.0,0.0,1.0,163.06081844841,164.31452012796998,162.6230178619,163.83691948813998,947054.0
2017-07-31,160.82,164.23,160.44,163.15,690532.0,0.0,1.0,160.0161143695,163.40906891496002,159.63801386296998,162.33446747533998,690532.0
