Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,61.56,61.98,59.09,59.41,3191136.0,0.0,1.0,61.56,61.98,59.09,59.41,3191136.0
2018-03-26,60.01,61.06,59.56,61.0,2535583.0,0.0,1.0,60.01,61.06,59.56,61.0,2535583.0
2018-03-23,60.18,60.39,58.81,58.82,1931981.0,0.0,1.0,60.18,60.39,58.81,58.82,1931981.0
2018-03-22,60.91,61.43,59.88,60.04,1618032.0,0.0,1.0,60.91,61.43,59.88,60.04,1618032.0
2018-03-21,61.62,62.19,61.19,61.42,1661176.0,0.0,1.0,61.62,62.19,61.19,61.42,1661176.0
2018-03-20,61.5,62.08,61.14,61.71,1609506.0,0.0,1.0,61.5,62.08,61.14,61.71,1609506.0
2018-03-19,62.01,62.2,60.44,61.34,2129830.0,0.0,1.0,62.01,62.2,60.44,61.34,2129830.0
2018-03-16,62.69,63.26,62.15,62.62,3969272.0,0.0,1.0,62.69,63.26,62.15,62.62,3969272.0
2018-03-15,61.86,62.81,61.77,62.37,2068600.0,0.0,1.0,61.86,62.81,61.77,62.37,2068600.0
2018-03-14,62.8,62.88,61.64,62.01,3170174.0,0.0,1.0,62.8,62.88,61.64,62.01,3170174.0
2018-03-13,63.87,64.08,62.12,62.19,2544356.0,0.0,1.0,63.87,64.08,62.12,62.19,2544356.0
2018-03-12,64.0,64.4,63.38,63.49,1807242.0,0.0,1.0,64.0,64.4,63.38,63.49,1807242.0
2018-03-09,62.74,63.73,62.57,63.46,1578426.0,0.0,1.0,62.74,63.73,62.57,63.46,1578426.0
2018-03-08,63.08,63.08,61.9001,62.18,1462983.0,0.0,1.0,63.08,63.08,61.9001,62.18,1462983.0
2018-03-07,62.45,63.39,61.83,62.8,1463369.0,0.0,1.0,62.45,63.39,61.83,62.8,1463369.0
2018-03-06,61.93,62.79,61.45,62.78,2117081.0,0.0,1.0,61.93,62.79,61.45,62.78,2117081.0
2018-03-05,61.02,62.3762,60.82,61.73,1381917.0,0.0,1.0,61.02,62.3762,60.82,61.73,1381917.0
2018-03-02,60.72,61.34,60.26,61.23,1701444.0,0.0,1.0,60.72,61.34,60.26,61.23,1701444.0
2018-03-01,61.0,61.41,59.95,60.9,3011940.0,0.0,1.0,61.0,61.41,59.95,60.9,3011940.0
2018-02-28,61.12,61.955,60.87,60.94,2470436.0,0.0,1.0,61.12,61.955,60.87,60.94,2470436.0
