Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,40.13,40.25,39.36,39.53,3472060.0,0.0,1.0,40.13,40.25,39.36,39.53,3472060.0
2018-03-26,39.52,39.96,38.58,39.86,4082907.0,0.0,1.0,39.52,39.96,38.58,39.86,4082907.0
2018-03-23,39.92,40.065,38.8,38.87,3308912.0,0.0,1.0,39.92,40.065,38.8,38.87,3308912.0
2018-03-22,40.62,41.0,39.79,39.89,3533223.0,0.0,1.0,40.62,41.0,39.79,39.89,3533223.0
2018-03-21,40.42,41.48,40.14,41.16,3137096.0,0.0,1.0,40.42,41.48,40.14,41.16,3137096.0
2018-03-20,40.82,41.08,40.02,40.41,3061022.0,0.0,1.0,40.82,41.08,40.02,40.41,3061022.0
2018-03-19,41.55,41.7,40.38,40.8,4348628.0,0.0,1.0,41.55,41.7,40.38,40.8,4348628.0
2018-03-16,41.79,42.4,41.65,41.73,6666979.0,0.0,1.0,41.79,42.4,41.65,41.73,6666979.0
2018-03-15,42.18,42.32,41.59,41.67,2448197.0,0.0,1.0,42.18,42.32,41.59,41.67,2448197.0
2018-03-14,42.52,42.69,41.57,42.02,3140635.0,0.0,1.0,42.52,42.69,41.57,42.02,3140635.0
2018-03-13,43.04,43.32,42.21,42.35,3432426.0,0.0,1.0,43.04,43.32,42.21,42.35,3432426.0
2018-03-12,42.76,43.08,42.365,42.78,5804249.0,0.0,1.0,42.76,43.08,42.365,42.78,5804249.0
2018-03-09,42.43,42.56,41.8,42.51,5562053.0,0.0,1.0,42.43,42.56,41.8,42.51,5562053.0
2018-03-08,42.54,42.88,41.78,42.01,4181738.0,0.0,1.0,42.54,42.88,41.78,42.01,4181738.0
2018-03-07,42.94,43.21,42.31,42.49,5814966.0,0.0,1.0,42.94,43.21,42.31,42.49,5814966.0
2018-03-06,43.09,44.18,42.5,43.23,8017426.0,0.0,1.0,43.09,44.18,42.5,43.23,8017426.0
2018-03-05,40.55,41.78,40.17,41.54,4599924.0,0.0,1.0,40.55,41.78,40.17,41.54,4599924.0
2018-03-02,40.35,41.2,39.55,40.97,7072373.0,0.0,1.0,40.35,41.2,39.55,40.97,7072373.0
2018-03-01,41.6,43.04,40.66,40.69,10688102.0,0.0,1.0,41.6,43.04,40.66,40.69,10688102.0
2018-02-28,41.43,41.43,40.3,40.32,5085968.0,0.0,1.0,41.43,41.43,40.3,40.32,5085968.0
2018-02-27,41.75,41.9599,40.87,41.11,3795201.0,0.0,1.0,41.75,41.9599,40.87,41.11,3795201.0
2018-02-26,41.57,41.89,40.91,41.78,3195436.0,0.0,1.0,41.57,41.89,40.91,41.78,3195436.0
2018-02-23,41.69,42.0,41.16,41.45,2770317.0,0.0,1.0,41.69,42.0,41.16,41.45,2770317.0
2018-02-22,41.49,42.04,41.06,41.28,3460199.0,0.0,1.0,41.49,42.04,41.06,41.28,3460199.0
2018-02-21,41.38,42.03,40.91,41.21,3429268.0,0.0,1.0,41.38,42.03,40.91,41.21,3429268.0
2018-02-20,42.12,42.16,40.82,41.34,5304894.0,0.0,1.0,42.12,42.16,40.82,41.34,5304894.0
2018-02-16,41.75,42.46,41.71,42.14,3376974.0,0.0,1.0,41.75,42.46,41.71,42.14,3376974.0
2018-02-15,41.87,41.95,40.88,41.65,3127145.0,0.0,1.0,41.87,41.95,40.88,41.65,3127145.0
2018-02-14,40.17,41.59,39.99,41.34,4050100.0,0.0,1.0,40.17,41.59,39.99,41.34,4050100.0
2018-02-13,40.29,40.98,40.11,40.41,4248321.0,0.0,1.0,40.29,40.98,40.11,40.41,4248321.0
2018-02-12,39.6,41.47,39.59,40.6,7887274.0,0.0,1.0,39.6,41.47,39.59,40.6,7887274.0
2018-02-09,39.27,39.7299,38.1,39.27,6785732.0,0.0,1.0,39.27,39.7299,38.1,39.27,6785732.0
2018-02-08,40.67,41.34,39.22,39.23,6719753.0,0.0,1.0,40.67,41.34,39.22,39.23,6719753.0
2018-02-07,40.52,41.08,39.95,40.45,4793449.0,0.0,1.0,40.52,41.08,39.95,40.45,4793449.0
2018-02-06,39.7,41.59,39.55,40.98,6326195.0,0.0,1.0,39.7,41.59,39.55,40.98,6326195.0
2018-02-05,41.61,41.84,39.9,40.53,5749292.0,0.0,1.0,41.61,41.84,39.9,40.53,5749292.0
2018-02-02,42.63,43.01,41.85,42.1,4147941.0,0.0,1.0,42.63,43.01,41.85,42.1,4147941.0
2018-02-01,42.65,43.5,42.35,43.05,4378154.0,0.0,1.0,42.65,43.5,42.35,43.05,4378154.0
2018-01-31,43.88,44.19,42.51,42.85,7199806.0,0.0,1.0,43.88,44.19,42.51,42.85,7199806.0
2018-01-30,44.6,44.7001,43.88,44.02,6719612.0,0.0,1.0,44.6,44.7001,43.88,44.02,6719612.0
2018-01-29,45.8,46.64,45.73,45.98,3961624.0,0.0,1.0,45.8,46.64,45.73,45.98,3961624.0
2018-01-26,46.2,46.59,46.02,46.2,4742463.0,0.0,1.0,46.2,46.59,46.02,46.2,4742463.0
2018-01-25,46.42,46.78,45.8,45.99,5664491.0,0.0,1.0,46.42,46.78,45.8,45.99,5664491.0
2018-01-24,46.97,47.17,45.6304,46.12,5911495.0,0.0,1.0,46.97,47.17,45.6304,46.12,5911495.0
2018-01-23,47.47,47.82,46.83,46.85,5008281.0,0.0,1.0,47.47,47.82,46.83,46.85,5008281.0
2018-01-22,46.72,47.69,46.6,47.62,4332455.0,0.0,1.0,46.72,47.69,46.6,47.62,4332455.0
2018-01-19,46.59,46.96,45.05,46.73,7815925.0,0.0,1.0,46.59,46.96,45.05,46.73,7815925.0
2018-01-18,46.32,46.63,45.69,46.51,6209940.0,0.0,1.0,46.32,46.63,45.69,46.51,6209940.0
