Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,51.53,51.53,49.49,49.72,746504.0,0.0,1.0,51.53,51.53,49.49,49.72,746504.0
2018-03-26,50.84,51.3,49.21,51.29,658332.0,0.0,1.0,50.84,51.3,49.21,51.29,658332.0
2018-03-23,51.26,51.45,50.15,50.2,426922.0,0.0,1.0,51.26,51.45,50.15,50.2,426922.0
2018-03-22,52.2,52.42,51.2,51.27,405870.0,0.0,1.0,52.2,52.42,51.2,51.27,405870.0
2018-03-21,52.56,53.21,52.36,52.63,455374.0,0.0,1.0,52.56,53.21,52.36,52.63,455374.0
2018-03-20,52.12,52.54,52.12,52.53,618171.0,0.0,1.0,52.12,52.54,52.12,52.53,618171.0
2018-03-19,52.33,52.55,51.34,52.02,636172.0,0.0,1.0,52.33,52.55,51.34,52.02,636172.0
2018-03-16,52.35,52.84,52.11,52.65,957134.0,0.0,1.0,52.35,52.84,52.11,52.65,957134.0
2018-03-15,52.07,52.38,51.73,52.3,757909.0,0.0,1.0,52.07,52.38,51.73,52.3,757909.0
2018-03-14,52.63,52.71,51.75,51.95,568121.0,0.0,1.0,52.63,52.71,51.75,51.95,568121.0
2018-03-13,53.36,53.5,52.16,52.38,517216.0,0.0,1.0,53.36,53.5,52.16,52.38,517216.0
2018-03-12,52.99,53.25,52.71,53.08,865538.0,0.0,1.0,52.99,53.25,52.71,53.08,865538.0
2018-03-09,52.67,53.01,52.05,52.81,695581.0,0.0,1.0,52.67,53.01,52.05,52.81,695581.0
2018-03-08,53.57,53.57,51.96,52.31,526681.0,0.0,1.0,53.57,53.57,51.96,52.31,526681.0
2018-03-07,52.51,53.51,52.51,53.32,552121.0,0.0,1.0,52.51,53.51,52.51,53.32,552121.0
2018-03-06,52.31,52.97,51.73,52.97,631888.0,0.0,1.0,52.31,52.97,51.73,52.97,631888.0
2018-03-05,51.09,52.19,50.65,52.1,730993.0,0.0,1.0,51.09,52.19,50.65,52.1,730993.0
2018-03-02,50.02,51.53,49.26,51.42,594382.0,0.0,1.0,50.02,51.53,49.26,51.42,594382.0
2018-03-01,50.65,50.74,49.8,50.41,453619.0,0.0,1.0,50.65,50.74,49.8,50.41,453619.0
2018-02-28,50.6,51.29,50.01,50.56,648402.0,0.0,1.0,50.6,51.29,50.01,50.56,648402.0
