Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,400.86,402.15,397.0,399.13,33365.0,0.0,1.0,400.86,402.15,397.0,399.13,33365.0
2018-03-26,399.24,400.88,395.532,399.01,48560.0,0.0,1.0,399.24,400.88,395.532,399.01,48560.0
2018-03-23,395.24,402.575,392.625,394.71,43259.0,0.0,1.0,395.24,402.575,392.625,394.71,43259.0
2018-03-22,405.08,408.315,394.7201,395.24,35997.0,0.0,1.0,405.08,408.315,394.7201,395.24,35997.0
2018-03-21,407.4,413.82,405.8186,408.33,53177.0,0.0,1.0,407.4,413.82,405.8186,408.33,53177.0
2018-03-20,414.63,416.885,405.22,407.81,49985.0,0.0,1.0,414.63,416.885,405.22,407.81,49985.0
2018-03-19,412.34,418.2,410.0,414.08,56311.0,0.0,1.0,412.34,418.2,410.0,414.08,56311.0
2018-03-16,411.12,413.81,407.455,413.51,87858.0,0.0,1.0,411.12,413.81,407.455,413.51,87858.0
2018-03-15,418.94,418.94,410.3,412.0,52637.0,0.0,1.0,418.94,418.94,410.3,412.0,52637.0
2018-03-14,422.92,422.92,414.3,417.29,27438.0,0.0,1.0,422.92,422.92,414.3,417.29,27438.0
2018-03-13,432.27,432.87,419.59,422.09,27566.0,0.0,1.0,432.27,432.87,419.59,422.09,27566.0
2018-03-12,434.5,437.2526,429.12,430.33,23160.0,0.0,1.0,434.5,437.2526,429.12,430.33,23160.0
2018-03-09,429.12,437.63,429.12,435.54,24806.0,0.0,1.0,429.12,437.63,429.12,435.54,24806.0
2018-03-08,428.38,432.25,423.83,425.93,25999.0,0.0,1.0,428.38,432.25,423.83,425.93,25999.0
2018-03-07,427.6,430.025,424.73,427.96,31326.0,0.0,1.0,427.6,430.025,424.73,427.96,31326.0
2018-03-06,425.17,435.06,422.7135,430.53,29203.0,0.0,1.0,425.17,435.06,422.7135,430.53,29203.0
2018-03-05,415.28,426.645,410.82,424.72,28620.0,0.0,1.0,415.28,426.645,410.82,424.72,28620.0
2018-03-02,411.05,416.785,405.87,416.43,18620.0,0.0,1.0,411.05,416.785,405.87,416.43,18620.0
2018-03-01,417.53,420.39,406.59,412.16,27364.0,0.0,1.0,417.53,420.39,406.59,412.16,27364.0
2018-02-28,422.79,422.79,414.985,417.91,20737.0,0.0,1.0,422.79,422.79,414.985,417.91,20737.0
2018-02-27,426.97,427.36,419.17,421.32,37581.0,0.0,1.0,426.97,427.36,419.17,421.32,37581.0
2018-02-26,429.49,429.49,425.15,427.22,35738.0,0.0,1.0,429.49,429.49,425.15,427.22,35738.0
2018-02-23,425.99,430.0,423.5806,429.32,32585.0,0.0,1.0,425.99,430.0,423.5806,429.32,32585.0
2018-02-22,425.77,429.99,421.53,425.56,36678.0,0.0,1.0,425.77,429.99,421.53,425.56,36678.0
2018-02-21,422.52,429.2,420.01,423.77,65589.0,0.0,1.0,422.52,429.2,420.01,423.77,65589.0
2018-02-20,422.94,425.45,418.11,421.18,63432.0,0.0,1.0,422.94,425.45,418.11,421.18,63432.0
2018-02-16,423.85,426.37,419.4,424.05,41386.0,0.0,1.0,423.85,426.37,419.4,424.05,41386.0
2018-02-15,418.4,424.86,413.82,424.0,30922.0,0.0,1.0,418.4,424.86,413.82,424.0,30922.0
2018-02-14,406.42,418.63,406.0,416.0,26688.0,0.0,1.0,406.42,418.63,406.0,416.0,26688.0
2018-02-13,403.92,411.5,400.335,408.72,40674.0,0.0,1.0,403.92,411.5,400.335,408.72,40674.0
2018-02-12,394.61,407.88,392.16,405.12,51993.0,0.0,1.0,394.61,407.88,392.16,405.12,51993.0
2018-02-09,391.1,398.81,388.31,392.85,62692.0,0.0,1.0,391.1,398.81,388.31,392.85,62692.0
2018-02-08,395.76,396.78,388.93,388.93,72254.0,0.0,1.0,395.76,396.78,388.93,388.93,72254.0
2018-02-07,384.0,401.08,384.0,396.0,58197.0,0.0,1.0,384.0,401.08,384.0,396.0,58197.0
2018-02-06,380.69,384.38,373.5887,381.01,45560.0,0.0,1.0,380.69,384.38,373.5887,381.01,45560.0
2018-02-05,390.42,390.45,382.01,385.45,59683.0,0.0,1.0,390.42,390.45,382.01,385.45,59683.0
2018-02-02,392.4,395.48,390.485,392.53,25781.0,0.0,1.0,392.4,395.48,390.485,392.53,25781.0
2018-02-01,396.89,397.36,391.4619,395.51,34857.0,0.0,1.0,396.89,397.36,391.4619,395.51,34857.0
2018-01-31,397.15,399.195,395.19,397.59,37516.0,0.0,1.0,397.15,399.195,395.19,397.59,37516.0
2018-01-30,395.65,400.7921,395.0101,396.46,25944.0,0.0,1.0,395.65,400.7921,395.0101,396.46,25944.0
2018-01-29,399.0,402.78,396.74,397.91,29930.0,0.0,1.0,399.0,402.78,396.74,397.91,29930.0
2018-01-26,401.03,401.36,399.28,400.59,23759.0,0.0,1.0,401.03,401.36,399.28,400.59,23759.0
2018-01-25,401.01,402.7,396.9,401.25,21289.0,0.0,1.0,401.01,402.7,396.9,401.25,21289.0
2018-01-24,398.92,400.28,396.125,399.0,18814.0,0.0,1.0,398.92,400.28,396.125,399.0,18814.0
2018-01-23,395.91,401.0905,395.041,397.57,29807.0,0.0,1.0,395.91,401.0905,395.041,397.57,29807.0
2018-01-22,398.89,399.83,395.85,396.24,19561.0,0.0,1.0,398.89,399.83,395.85,396.24,19561.0
2018-01-19,397.08,399.81,395.1692,399.22,22798.0,0.0,1.0,397.08,399.81,395.1692,399.22,22798.0
2018-01-18,398.55,402.78,396.79,396.96,34464.0,0.0,1.0,398.55,402.78,396.79,396.96,34464.0
2018-01-17,402.18,402.2221,398.1912,398.98,23777.0,0.0,1.0,402.18,402.2221,398.1912,398.98,23777.0
2018-01-16,398.49,403.27,396.96,400.53,49669.0,0.0,1.0,398.49,403.27,396.96,400.53,49669.0
2018-01-12,399.5,402.77,396.985,397.63,21545.0,0.0,1.0,399.5,402.77,396.985,397.63,21545.0
2018-01-11,397.68,402.7715,393.52,399.2,30799.0,0.0,1.0,397.68,402.7715,393.52,399.2,30799.0
2018-01-10,396.51,401.71,395.2601,396.13,23969.0,0.0,1.0,396.51,401.71,395.2601,396.13,23969.0
2018-01-09,402.14,402.14,396.23,397.86,27990.0,0.0,1.0,402.14,402.14,396.23,397.86,27990.0
2018-01-08,401.26,403.36,397.28,401.67,35758.0,0.0,1.0,401.26,403.36,397.28,401.67,35758.0
2018-01-05,400.83,404.365,398.8801,400.32,27817.0,0.0,1.0,400.83,404.365,398.8801,400.32,27817.0
2018-01-04,401.4,405.45,398.72,400.3,48326.0,0.0,1.0,401.4,405.45,398.72,400.3,48326.0
2018-01-03,403.81,404.3499,398.77,400.78,48704.0,0.0,1.0,403.81,404.3499,398.77,400.78,48704.0
2018-01-02,399.74,405.65,395.22,403.63,63687.0,0.0,1.0,399.74,405.65,395.22,403.63,63687.0
2017-12-29,394.87,402.5099,394.28,397.39,40191.0,0.0,1.0,394.87,402.5099,394.28,397.39,40191.0
2017-12-28,392.7,394.48,390.14,392.88,30042.0,0.0,1.0,392.7,394.48,390.14,392.88,30042.0
2017-12-27,393.5,394.3,390.55,392.13,31598.0,0.0,1.0,393.5,394.3,390.55,392.13,31598.0
2017-12-26,393.23,397.66,389.2988,394.26,33982.0,0.0,1.0,393.23,397.66,389.2988,394.26,33982.0
2017-12-22,393.11,395.83,390.3991,393.93,30869.0,0.0,1.0,393.11,395.83,390.3991,393.93,30869.0
2017-12-21,395.62,398.5,392.78,393.44,29662.0,0.0,1.0,395.62,398.5,392.78,393.44,29662.0
2017-12-20,397.56,400.11,395.1925,396.99,41017.0,0.0,1.0,397.56,400.11,395.1925,396.99,41017.0
2017-12-19,400.59,401.47,395.03,396.88,67584.0,0.0,1.0,400.59,401.47,395.03,396.88,67584.0
2017-12-18,391.705,398.67,385.25,396.23,68497.0,0.0,1.0,391.705,398.67,385.25,396.23,68497.0
2017-12-15,384.67,388.3582,381.24,383.27,78259.0,0.0,1.0,384.67,388.3582,381.24,383.27,78259.0
2017-12-14,384.505,386.09,377.27,381.23,38556.0,0.0,1.0,384.505,386.09,377.27,381.23,38556.0
2017-12-13,392.05,392.97900000000004,385.69,385.82,36275.0,0.0,1.0,392.05,392.97900000000004,385.69,385.82,36275.0
2017-12-12,391.11,395.66,391.06,391.67,25331.0,0.0,1.0,391.11,395.66,391.06,391.67,25331.0
2017-12-11,386.42,393.95,384.9999,390.17,44530.0,0.0,1.0,386.42,393.95,384.9999,390.17,44530.0
2017-12-08,394.25,397.56,387.2,388.16,42202.0,0.0,1.0,394.25,397.56,387.2,388.16,42202.0
2017-12-07,389.34,393.61,388.2832,392.77,32335.0,0.0,1.0,389.34,393.61,388.2832,392.77,32335.0
2017-12-06,395.18,395.18,388.394,390.13,38004.0,0.0,1.0,395.18,395.18,388.394,390.13,38004.0
2017-12-05,400.16,400.4999,393.17,395.05,29987.0,0.0,1.0,400.16,400.4999,393.17,395.05,29987.0
2017-12-04,398.49,408.96,398.49,400.99,34497.0,0.0,1.0,398.49,408.96,398.49,400.99,34497.0
2017-12-01,400.24,400.24,395.09,396.63,33614.0,0.0,1.0,400.24,400.24,395.09,396.63,33614.0
2017-11-30,400.93,402.66,396.91,400.52,42761.0,0.0,1.0,400.93,402.66,396.91,400.52,42761.0
2017-11-29,395.05,402.03,392.93,399.93,26821.0,0.0,1.0,395.05,402.03,392.93,399.93,26821.0
2017-11-28,396.88,398.52,394.99,396.2,35052.0,0.0,1.0,396.88,398.52,394.99,396.2,35052.0
2017-11-27,394.74,397.425,392.71,396.28,41973.0,0.0,1.0,394.74,397.425,392.71,396.28,41973.0
2017-11-24,393.52,394.86,392.06,394.44,16641.0,0.0,1.0,393.52,394.86,392.06,394.44,16641.0
2017-11-22,392.0,395.24,390.5305,391.8,25951.0,0.0,1.0,392.0,395.24,390.5305,391.8,25951.0
2017-11-21,395.35,397.36,391.09,393.26,40684.0,0.0,1.0,395.35,397.36,391.09,393.26,40684.0
2017-11-20,392.48,395.42,390.819,394.73,31376.0,0.0,1.0,392.48,395.42,390.819,394.73,31376.0
2017-11-17,390.04,394.9,386.62,392.49,33741.0,0.0,1.0,390.04,394.9,386.62,392.49,33741.0
2017-11-16,390.09,393.6,382.865,390.0,54706.0,0.0,1.0,390.09,393.6,382.865,390.0,54706.0
2017-11-15,391.97,393.45,385.9866,389.04,41776.0,0.0,1.0,391.97,393.45,385.9866,389.04,41776.0
2017-11-14,394.62,395.95,392.44300000000004,393.24,20879.0,0.0,1.0,394.62,395.95,392.44300000000004,393.24,20879.0
2017-11-13,393.25,397.29,391.5,395.08,29439.0,0.0,1.0,393.25,397.29,391.5,395.08,29439.0
2017-11-10,393.37,396.62,393.37,395.0,27727.0,0.0,1.0,393.37,396.62,393.37,395.0,27727.0
2017-11-09,397.11,399.15,392.93,393.75,29232.0,0.0,1.0,397.11,399.15,392.93,393.75,29232.0
