Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,50.59,51.48,50.22,50.83,453146.0,0.0,1.0,50.59,51.48,50.22,50.83,453146.0
2018-03-26,50.14,50.59,49.78,50.52,427493.0,0.0,1.0,50.14,50.59,49.78,50.52,427493.0
2018-03-23,50.57,50.82,49.76,49.81,324703.0,0.0,1.0,50.57,50.82,49.76,49.81,324703.0
2018-03-22,50.44,51.39,50.32,50.38,378631.0,0.0,1.0,50.44,51.39,50.32,50.38,378631.0
2018-03-21,49.99,51.22,49.83,50.69,277817.0,0.0,1.0,49.99,51.22,49.83,50.69,277817.0
2018-03-20,50.84,51.08,49.79,50.02,361240.0,0.0,1.0,50.84,51.08,49.79,50.02,361240.0
2018-03-19,51.06,51.285,50.34,50.85,422316.0,0.0,1.0,51.06,51.285,50.34,50.85,422316.0
2018-03-16,50.29,51.34,50.2136,51.13,717038.0,0.0,1.0,50.29,51.34,50.2136,51.13,717038.0
2018-03-15,50.69,50.84,49.69,50.24,532155.0,0.0,1.0,50.69,50.84,49.69,50.24,532155.0
2018-03-14,50.47,50.88,50.39,50.72,463747.0,0.0,1.0,50.47,50.88,50.39,50.72,463747.0
2018-03-13,49.96,50.57,49.9,50.36,379820.0,0.0,1.0,49.96,50.57,49.9,50.36,379820.0
2018-03-12,49.5,49.97,49.41,49.93,395735.0,0.0,1.0,49.5,49.97,49.41,49.93,395735.0
2018-03-09,49.33,49.61,48.94,49.5,478154.0,0.0,1.0,49.33,49.61,48.94,49.5,478154.0
2018-03-08,50.15,50.3,48.43,49.1,623586.0,0.0,1.0,50.15,50.3,48.43,49.1,623586.0
2018-03-07,50.6,50.75,49.855,50.05,575207.0,0.0,1.0,50.6,50.75,49.855,50.05,575207.0
2018-03-06,50.48,50.77,49.97,50.75,610756.0,0.0,1.0,50.48,50.77,49.97,50.75,610756.0
2018-03-05,49.93,50.56,49.73,50.51,503254.0,0.0,1.0,49.93,50.56,49.73,50.51,503254.0
2018-03-02,49.48,50.1,49.02,50.04,381460.0,0.0,1.0,49.48,50.1,49.02,50.04,381460.0
2018-03-01,49.55,50.3,49.43,49.63,463735.0,0.0,1.0,49.55,50.3,49.43,49.63,463735.0
2018-02-28,50.5,50.68,49.41,49.43,574239.0,0.0,1.0,50.5,50.68,49.41,49.43,574239.0
2018-02-27,51.0,51.41,50.47,50.47,486795.0,0.0,1.0,51.0,51.41,50.47,50.47,486795.0
2018-02-26,50.9,51.31,50.19,50.93,507679.0,0.0,1.0,50.9,51.31,50.19,50.93,507679.0
2018-02-23,50.03,50.77,49.71,50.7,481339.0,0.0,1.0,50.03,50.77,49.71,50.7,481339.0
