Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,10.55,10.66,10.48,10.6,10587895.0,0.0,1.0,10.55,10.66,10.48,10.6,10587895.0
2018-03-26,10.56,10.63,10.49,10.57,7512275.0,0.0,1.0,10.56,10.63,10.49,10.57,7512275.0
2018-03-23,10.57,10.6893,10.48,10.49,9261033.0,0.0,1.0,10.57,10.6893,10.48,10.49,9261033.0
2018-03-22,10.5,10.715,10.48,10.55,11030707.0,0.0,1.0,10.5,10.715,10.48,10.55,11030707.0
2018-03-21,10.5,10.55,10.45,10.54,5978097.0,0.0,1.0,10.5,10.55,10.45,10.54,5978097.0
2018-03-20,10.5,10.57,10.47,10.5,7496936.0,0.0,1.0,10.5,10.57,10.47,10.5,7496936.0
2018-03-19,10.62,10.62,10.38,10.49,7218035.0,0.0,1.0,10.62,10.62,10.38,10.49,7218035.0
2018-03-16,10.52,10.65,10.49,10.62,7935676.0,0.0,1.0,10.52,10.65,10.49,10.62,7935676.0
2018-03-15,10.54,10.55,10.39,10.49,5512911.0,0.0,1.0,10.54,10.55,10.39,10.49,5512911.0
2018-03-14,10.6,10.69,10.53,10.53,9186821.0,0.0,1.0,10.6,10.69,10.53,10.53,9186821.0
2018-03-13,10.52,10.6,10.51,10.57,5191150.0,0.0,1.0,10.52,10.6,10.51,10.57,5191150.0
2018-03-12,10.35,10.55,10.34,10.48,8099138.0,0.0,1.0,10.35,10.55,10.34,10.48,8099138.0
2018-03-09,10.34,10.365,10.24,10.34,4619936.0,0.0,1.0,10.34,10.365,10.24,10.34,4619936.0
2018-03-08,10.27,10.36,10.26,10.32,6473338.0,0.0,1.0,10.27,10.36,10.26,10.32,6473338.0
2018-03-07,10.25,10.37,10.21,10.27,7516670.0,0.0,1.0,10.25,10.37,10.21,10.27,7516670.0
2018-03-06,10.26,10.3,10.15,10.26,7084749.0,0.0,1.0,10.26,10.3,10.15,10.26,7084749.0
2018-03-05,10.1,10.28,10.1,10.16,5757850.0,0.0,1.0,10.1,10.28,10.1,10.16,5757850.0
2018-03-02,10.07,10.13,10.015,10.12,6836495.0,0.0,1.0,10.07,10.13,10.015,10.12,6836495.0
2018-03-01,10.06,10.14,10.0,10.08,8032582.0,0.0,1.0,10.06,10.14,10.0,10.08,8032582.0
2018-02-28,10.16,10.2345,10.03,10.03,11638225.0,0.0,1.0,10.16,10.2345,10.03,10.03,11638225.0
2018-02-27,10.45,10.45,10.15,10.15,8248893.0,0.0,1.0,10.45,10.45,10.15,10.15,8248893.0
2018-02-26,10.43,10.5,10.35,10.41,4966896.0,0.0,1.0,10.43,10.5,10.35,10.41,4966896.0
2018-02-23,10.24,10.41,10.22,10.38,6015930.0,0.0,1.0,10.24,10.41,10.22,10.38,6015930.0
2018-02-22,10.19,10.3,10.14,10.18,6752641.0,0.0,1.0,10.19,10.3,10.14,10.18,6752641.0
2018-02-21,10.4,10.46,10.16,10.16,11380079.0,0.0,1.0,10.4,10.46,10.16,10.16,11380079.0
2018-02-20,10.61,10.68,10.33,10.37,10320625.0,0.0,1.0,10.61,10.68,10.33,10.37,10320625.0
2018-02-16,10.62,10.74,10.56,10.68,7590001.0,0.0,1.0,10.62,10.74,10.56,10.68,7590001.0
2018-02-15,10.49,10.65,10.45,10.64,9588274.0,0.0,1.0,10.49,10.65,10.45,10.64,9588274.0
2018-02-14,10.42,10.46,10.34,10.38,6764609.0,0.0,1.0,10.42,10.46,10.34,10.38,6764609.0
2018-02-13,10.35,10.49,10.29,10.45,7493667.0,0.0,1.0,10.35,10.49,10.29,10.45,7493667.0
2018-02-12,10.23,10.32,10.16,10.3,7540214.0,0.0,1.0,10.23,10.32,10.16,10.3,7540214.0
2018-02-09,10.15,10.25,10.03,10.21,10008235.0,0.0,1.0,10.15,10.25,10.03,10.21,10008235.0
2018-02-08,10.23,10.339,10.11,10.11,12971524.0,0.0,1.0,10.23,10.339,10.11,10.11,12971524.0
2018-02-07,10.33,10.485,10.21,10.21,11048992.0,0.0,1.0,10.33,10.485,10.21,10.21,11048992.0
2018-02-06,10.17,10.49,10.1,10.32,17966176.0,0.0,1.0,10.17,10.49,10.1,10.32,17966176.0
2018-02-05,10.32,10.38,10.05,10.23,17591339.0,0.0,1.0,10.32,10.38,10.05,10.23,17591339.0
2018-02-02,10.48,10.52,10.34,10.36,9709005.0,0.0,1.0,10.48,10.52,10.34,10.36,9709005.0
2018-02-01,10.51,10.745,10.48,10.5,12964877.0,0.0,1.0,10.51,10.745,10.48,10.5,12964877.0
2018-01-31,10.67,10.7001,10.41,10.54,15571466.0,0.0,1.0,10.67,10.7001,10.41,10.54,15571466.0
