Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,16.19,16.26,15.45,15.53,3532593.0,0.0,1.0,16.19,16.26,15.45,15.53,3532593.0
2018-03-26,16.02,16.085,15.79,16.08,2384653.0,0.0,1.0,16.02,16.085,15.79,16.08,2384653.0
2018-03-23,16.41,16.48,15.8,15.82,2266682.0,0.0,1.0,16.41,16.48,15.8,15.82,2266682.0
2018-03-22,16.85,17.5685,16.33,16.35,5423374.0,0.0,1.0,16.85,17.5685,16.33,16.35,5423374.0
2018-03-21,16.93,17.02,16.79,16.85,1503720.0,0.0,1.0,16.93,17.02,16.79,16.85,1503720.0
2018-03-20,17.16,17.22,16.93,16.98,1257380.0,0.0,1.0,17.16,17.22,16.93,16.98,1257380.0
2018-03-19,17.31,17.38,16.98,17.17,1423852.0,0.0,1.0,17.31,17.38,16.98,17.17,1423852.0
2018-03-16,17.7,17.98,17.37,17.43,2906928.0,0.0,1.0,17.7,17.98,17.37,17.43,2906928.0
2018-03-15,17.35,17.77,17.195,17.68,4312800.0,0.0,1.0,17.35,17.77,17.195,17.68,4312800.0
2018-03-14,17.51,17.62,17.235,17.48,1778017.0,0.0,1.0,17.51,17.62,17.235,17.48,1778017.0
2018-03-13,17.97,18.03,17.36,17.4,3601635.0,0.0,1.0,17.97,18.03,17.36,17.4,3601635.0
2018-03-12,17.56,18.17,17.39,17.96,4579135.0,0.0,1.0,17.56,18.17,17.39,17.96,4579135.0
2018-03-09,17.61,17.7401,17.33,17.57,2823145.0,0.0,1.0,17.61,17.7401,17.33,17.57,2823145.0
2018-03-08,16.81,17.59,16.75,17.58,5002641.0,0.0,1.0,16.81,17.59,16.75,17.58,5002641.0
2018-03-07,16.22,16.74,16.14,16.71,2576658.0,0.0,1.0,16.22,16.74,16.14,16.71,2576658.0
2018-03-06,16.45,16.56,16.27,16.31,1264931.0,0.0,1.0,16.45,16.56,16.27,16.31,1264931.0
2018-03-05,16.35,16.5218,16.265,16.36,1664173.0,0.0,1.0,16.35,16.5218,16.265,16.36,1664173.0
2018-03-02,15.89,16.39,15.83,16.38,1220440.0,0.0,1.0,15.89,16.39,15.83,16.38,1220440.0
2018-03-01,16.11,16.28,15.84,16.05,2155186.0,0.0,1.0,16.11,16.28,15.84,16.05,2155186.0
2018-02-28,16.07,16.28,16.05,16.06,1882210.0,0.0,1.0,16.07,16.28,16.05,16.06,1882210.0
2018-02-27,16.36,16.4,16.04,16.04,1224902.0,0.0,1.0,16.36,16.4,16.04,16.04,1224902.0
2018-02-26,16.26,16.43,16.21,16.33,1288716.0,0.0,1.0,16.26,16.43,16.21,16.33,1288716.0
2018-02-23,16.24,16.3,16.05,16.24,1412962.0,0.0,1.0,16.24,16.3,16.05,16.24,1412962.0
2018-02-22,16.19,16.505,16.175,16.21,1687085.0,0.0,1.0,16.19,16.505,16.175,16.21,1687085.0
2018-02-21,16.61,16.72,16.27,16.28,2235937.0,0.0,1.0,16.61,16.72,16.27,16.28,2235937.0
2018-02-20,16.53,16.86,16.5,16.55,2170079.0,0.0,1.0,16.53,16.86,16.5,16.55,2170079.0
2018-02-16,16.49,16.79,16.49,16.66,1985956.0,0.0,1.0,16.49,16.79,16.49,16.66,1985956.0
2018-02-15,16.41,16.76,16.41,16.6,2343587.0,0.0,1.0,16.41,16.76,16.41,16.6,2343587.0
2018-02-14,16.01,16.45,15.99,16.42,2687841.0,0.0,1.0,16.01,16.45,15.99,16.42,2687841.0
2018-02-13,15.95,16.285,15.95,16.11,1808317.0,0.0,1.0,15.95,16.285,15.95,16.11,1808317.0
2018-02-12,16.17,16.39,15.89,16.1,7466171.0,0.0,1.0,16.17,16.39,15.89,16.1,7466171.0
2018-02-09,16.8,16.9,15.61,16.09,6132170.0,0.0,1.0,16.8,16.9,15.61,16.09,6132170.0
2018-02-08,17.13,17.23,16.3,16.31,2641932.0,0.0,1.0,17.13,17.23,16.3,16.31,2641932.0
2018-02-07,16.98,17.25,16.89,17.06,2739154.0,0.0,1.0,16.98,17.25,16.89,17.06,2739154.0
2018-02-06,16.51,17.04,16.3,16.97,3449180.0,0.0,1.0,16.51,17.04,16.3,16.97,3449180.0
2018-02-05,17.32,17.65,16.87,16.965,2035475.0,0.0,1.0,17.32,17.65,16.87,16.965,2035475.0
2018-02-02,17.67,17.73,17.37,17.47,1710384.0,0.0,1.0,17.67,17.73,17.37,17.47,1710384.0
2018-02-01,17.75,18.14,17.58,17.7,1994154.0,0.0,1.0,17.75,18.14,17.58,17.7,1994154.0
2018-01-31,17.72,17.895,17.58,17.805,1812914.0,0.0,1.0,17.72,17.895,17.58,17.805,1812914.0
2018-01-30,17.7,17.82,17.54,17.68,2118541.0,0.0,1.0,17.7,17.82,17.54,17.68,2118541.0
2018-01-29,18.09,18.0999,17.815,17.85,2347565.0,0.0,1.0,18.09,18.0999,17.815,17.85,2347565.0
2018-01-26,17.96,18.18,17.71,18.14,1938702.0,0.0,1.0,17.96,18.18,17.71,18.14,1938702.0
2018-01-25,18.11,18.25,17.85,17.92,1936660.0,0.0,1.0,18.11,18.25,17.85,17.92,1936660.0
2018-01-24,18.4,18.545,18.065,18.11,2494543.0,0.0,1.0,18.4,18.545,18.065,18.11,2494543.0
2018-01-23,18.46,18.75,18.185,18.36,6169238.0,0.0,1.0,18.46,18.75,18.185,18.36,6169238.0
2018-01-22,18.5,18.735,17.75,18.68,8868723.0,0.0,1.0,18.5,18.735,17.75,18.68,8868723.0
2018-01-19,16.72,17.06,16.65,17.01,2349309.0,0.0,1.0,16.72,17.06,16.65,17.01,2349309.0
2018-01-18,17.01,17.1,16.6847,16.71,1781932.0,0.0,1.0,17.01,17.1,16.6847,16.71,1781932.0
2018-01-17,17.11,17.2,16.94,16.97,1820057.0,0.0,1.0,17.11,17.2,16.94,16.97,1820057.0
2018-01-16,17.17,17.4,17.065,17.09,2608285.0,0.0,1.0,17.17,17.4,17.065,17.09,2608285.0
2018-01-12,17.16,17.26,17.01,17.09,1767557.0,0.0,1.0,17.16,17.26,17.01,17.09,1767557.0
2018-01-11,17.33,17.4,16.99,17.13,2260950.0,0.0,1.0,17.33,17.4,16.99,17.13,2260950.0
2018-01-10,17.4,17.43,17.12,17.32,2682862.0,0.0,1.0,17.4,17.43,17.12,17.32,2682862.0
2018-01-09,17.29,17.65,17.07,17.41,5477884.0,0.0,1.0,17.29,17.65,17.07,17.41,5477884.0
2018-01-08,16.94,17.19,16.72,17.11,3135826.0,0.0,1.0,16.94,17.19,16.72,17.11,3135826.0
2018-01-05,17.15,17.31,16.96,16.96,2147676.0,0.0,1.0,17.15,17.31,16.96,16.96,2147676.0
2018-01-04,17.01,17.3,17.0,17.11,2577968.0,0.0,1.0,17.01,17.3,17.0,17.11,2577968.0
2018-01-03,16.8,17.01,16.7,16.94,2480323.0,0.0,1.0,16.8,17.01,16.7,16.94,2480323.0
2018-01-02,16.45,16.65,16.37,16.62,1543373.0,0.0,1.0,16.45,16.65,16.37,16.62,1543373.0
2017-12-29,16.39,16.5,16.25,16.35,2300024.0,0.0,1.0,16.39,16.5,16.25,16.35,2300024.0
2017-12-28,16.47,16.5,16.301,16.38,1693357.0,0.0,1.0,16.47,16.5,16.301,16.38,1693357.0
2017-12-27,16.45,16.59,16.325,16.42,1386230.0,0.0,1.0,16.45,16.59,16.325,16.42,1386230.0
2017-12-26,16.5,16.5,16.29,16.46,866101.0,0.0,1.0,16.5,16.5,16.29,16.46,866101.0
2017-12-22,16.52,16.65,16.43,16.55,1506052.0,0.0,1.0,16.52,16.65,16.43,16.55,1506052.0
2017-12-21,16.48,16.615,16.43,16.52,1665172.0,0.0,1.0,16.48,16.615,16.43,16.52,1665172.0
2017-12-20,16.67,16.6931,16.45,16.47,2463314.0,0.0,1.0,16.67,16.6931,16.45,16.47,2463314.0
2017-12-19,16.7,16.77,16.45,16.58,4160891.0,0.0,1.0,16.7,16.77,16.45,16.58,4160891.0
2017-12-18,16.98,17.04,16.52,16.64,5464897.0,0.0,1.0,16.98,17.04,16.52,16.64,5464897.0
2017-12-15,16.68,16.96,16.55,16.87,3426359.0,0.0,1.0,16.68,16.96,16.55,16.87,3426359.0
2017-12-14,16.61,16.79,16.49,16.59,3200867.0,0.0,1.0,16.61,16.79,16.49,16.59,3200867.0
2017-12-13,16.36,17.03,16.35,16.6,8095311.0,0.0,1.0,16.36,17.03,16.35,16.6,8095311.0
2017-12-12,15.73,16.45,15.66,16.39,5502057.0,0.0,1.0,15.73,16.45,15.66,16.39,5502057.0
2017-12-11,15.58,15.78,15.46,15.64,2829142.0,0.0,1.0,15.58,15.78,15.46,15.64,2829142.0
2017-12-08,15.59,15.71,15.47,15.6,2201025.0,0.0,1.0,15.59,15.71,15.47,15.6,2201025.0
2017-12-07,15.43,15.605,15.33,15.51,3161525.0,0.0,1.0,15.43,15.605,15.33,15.51,3161525.0
2017-12-06,14.81,15.6,14.76,15.49,5447961.0,0.0,1.0,14.81,15.6,14.76,15.49,5447961.0
2017-12-05,15.25,15.33,14.97,15.06,4071675.0,0.0,1.0,15.25,15.33,14.97,15.06,4071675.0
2017-12-04,15.87,16.025,15.27,15.29,3554946.0,0.0,1.0,15.87,16.025,15.27,15.29,3554946.0
2017-12-01,15.45,15.92,15.36,15.8,5712069.0,0.0,1.0,15.45,15.92,15.36,15.8,5712069.0
2017-11-30,16.57,16.59,15.24,15.54,22757254.0,0.0,1.0,16.57,16.59,15.24,15.54,22757254.0
2017-11-29,17.2,17.72,16.31,16.37,18877993.0,0.0,1.0,17.2,17.72,16.31,16.37,18877993.0
2017-11-28,15.24,15.935,15.195,15.86,6814977.0,0.0,1.0,15.24,15.935,15.195,15.86,6814977.0
2017-11-27,15.46,15.56,15.01,15.31,4272054.0,0.0,1.0,15.46,15.56,15.01,15.31,4272054.0
2017-11-24,14.64,14.825,14.53,14.74,1312040.0,0.0,1.0,14.64,14.825,14.53,14.74,1312040.0
2017-11-22,14.65,14.875,14.5,14.63,2952560.0,0.0,1.0,14.65,14.875,14.5,14.63,2952560.0
2017-11-21,14.55,14.76,14.45,14.67,3202056.0,0.0,1.0,14.55,14.76,14.45,14.67,3202056.0
2017-11-20,14.46,14.54,14.28,14.52,1987614.0,0.0,1.0,14.46,14.54,14.28,14.52,1987614.0
2017-11-17,14.46,14.47,14.25,14.44,2062292.0,0.0,1.0,14.46,14.47,14.25,14.44,2062292.0
2017-11-16,14.31,14.51,14.2,14.44,1830654.0,0.0,1.0,14.31,14.51,14.2,14.44,1830654.0
2017-11-15,14.23,14.38,14.02,14.19,2698839.0,0.0,1.0,14.23,14.38,14.02,14.19,2698839.0
2017-11-14,14.65,14.65,14.26,14.29,4011025.0,0.0,1.0,14.65,14.65,14.26,14.29,4011025.0
2017-11-13,14.68,14.93,14.46,14.76,2304851.0,0.0,1.0,14.68,14.93,14.46,14.76,2304851.0
2017-11-10,14.94,15.07,14.78,14.79,1685874.0,0.0,1.0,14.94,15.07,14.78,14.79,1685874.0
2017-11-09,15.01,15.36,14.77,14.99,2500914.0,0.0,1.0,15.01,15.36,14.77,14.99,2500914.0
2017-11-07,15.29,15.29,14.85,14.96,2356970.0,0.0,1.0,15.29,15.29,14.85,14.96,2356970.0
2017-11-06,15.3,15.3,14.98,15.27,2269078.0,0.0,1.0,15.3,15.3,14.98,15.27,2269078.0
2017-11-03,15.5,15.5,15.03,15.31,2348610.0,0.0,1.0,15.5,15.5,15.03,15.31,2348610.0
2017-11-02,15.54,16.0,15.07,15.4,4767371.0,0.0,1.0,15.54,16.0,15.07,15.4,4767371.0
2017-11-01,14.75,15.05,14.64,14.75,2354049.0,0.0,1.0,14.75,15.05,14.64,14.75,2354049.0
2017-10-31,14.78,14.93,14.7,14.74,3151599.0,0.0,1.0,14.78,14.93,14.7,14.74,3151599.0
2017-10-30,14.93,15.06,14.725,14.76,1945024.0,0.0,1.0,14.93,15.06,14.725,14.76,1945024.0
